GCCSA_PEP_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Oth_lt_health_cond_0_14,M_Oth_lt_health_cond_15_24,M_Oth_lt_health_cond_25_34,M_Oth_lt_health_cond_35_44,M_Oth_lt_health_cond_45_54,M_Oth_lt_health_cond_55_64,M_Oth_lt_health_cond_65_74,M_Oth_lt_health_cond_75_84,M_Oth_lt_health_cond_85_over,M_Oth_lt_health_cond_Tot,M_No_lt_health_cond_0_14,M_No_lt_health_cond_15_24,M_No_lt_health_cond_25_34,M_No_lt_health_cond_35_44,M_No_lt_health_cond_45_54,M_No_lt_health_cond_55_64,M_No_lt_health_cond_65_74,M_No_lt_health_cond_75_84,M_No_lt_health_cond_85_over,M_No_lt_health_cond_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
1GSYD,315,859,3282,6995,14192,26665,34963,26387,10476,124126,33150,24658,25085,23885,19049,15713,12267,6632,2206,162645,465,592,1315,2409,4524,10780,17676,14534,5204,57503,27,39,59,84,251,717,2284,5600,5367,14433,635,1408,3087,9458,17860,31434,36574,22658,6352,129454,771,726,1166,2979,8780,21274,32989,27240,11235,107152,556,427,706,1305,2136,3649,5577,5256,2608,22220,445,335,542,1021,2310,5526,8800,8057,3179,30213,7715,18399,23669,22339,22492,19273,12058,5922,2499,134369,128,126,255,617,1563,3715,6144,6111,2943,21605,20354,13313,15014,19553,24271,29833,26106,14655,6623,169722,399589,248715,304897,281904,213085,148228,77761,30603,7561,1712348,36347,26164,32775,28917,24668,19894,13273,8755,4982,195788,493661,327312,399810,384535,325753,281151,207134,114924,40784,2575068,418,1376,4458,10159,24575,46924,62479,50046,25326,225757,21359,22975,29843,28816,26354,23547,20058,11765,4686,189416,377,525,1558,4180,9644,15172,18089,13077,5514,68143,21,18,45,69,227,663,2234,7030,10839,21154,623,1488,3484,7355,13640,24250,29556,20134,7747,108280,596,627,1016,1749,4028,9747,17652,18848,13164,67426
1RNSW,250,755,2387,5321,12403,28425,40185,27651,9526,126896,24751,14907,14213,14238,13010,13809,12922,6758,2022,116624,231,335,701,1341,3151,9022,17555,13604,4379,50319,28,24,45,61,182,642,2062,4811,3762,11614,496,963,1741,3604,8919,17991,26343,17307,4378,81745,497,499,771,1637,5354,15478,27919,23335,8978,84465,333,299,426,687,1347,2716,4778,4770,2189,17543,374,277,459,899,2504,7009,11627,9053,3133,35337,7772,15481,17298,17758,19634,19823,13940,6218,2129,120058,91,93,193,398,1135,3025,5513,5530,2369,18349,13618,7974,7973,9965,13999,19797,18595,10078,4226,106221,192797,110867,108458,98997,96306,83943,56290,22714,5120,775491,26400,18160,18342,17440,17668,16893,13189,7889,3433,139415,261054,163529,163618,158787,170541,185645,170455,95473,30194,1399291,291,1090,3382,7993,19785,42579,58723,44734,21534,200105,17683,16461,20171,20166,20662,22693,21510,12249,4268,155874,252,300,913,2288,5789,11029,15149,10928,4354,51003,13,17,35,63,148,471,1788,5232,7678,15441,449,1067,2145,3760,7948,14500,19182,14212,5302,68568,410,446,708,1182,3148,8223,15136,16327,10996,56574
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,5,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,10,4,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,268,887,3423,6814,13500,24243,31049,24581,10499,115274,32099,24918,29884,27779,21336,16509,12721,7388,2523,175158,473,582,1370,2292,4610,10423,17201,14313,5429,56693,41,39,66,82,210,571,1891,4980,4921,12799,690,1451,3265,9376,17097,27528,32242,20909,6325,118881,870,661,1158,2791,8149,19273,29644,24803,10927,98278,582,394,739,1248,2003,3342,4974,4948,2546,20782,423,333,599,992,2235,5029,7913,7361,3139,28026,7915,19739,29370,26678,24695,19917,12426,6631,3220,150580,191,135,271,651,1697,3551,5972,6218,3106,21795,19953,13680,16057,19851,23620,27381,22897,13656,6645,163737,368145,232078,287780,258201,194107,131685,69196,27351,6961,1575504,32468,23592,30451,25760,22488,17444,11293,7281,3530,174300,456968,309155,389468,362938,305331,254229,185946,105443,38272,2407757,307,1417,4732,10240,24463,45502,60529,49594,26039,222813,20232,24597,36353,33315,29416,24823,21814,13168,5308,209026,364,499,1548,3901,9026,13976,17360,12496,5566,64725,24,27,46,65,186,526,2037,6667,10670,20244,607,1362,3543,7219,12826,21020,26008,18953,8254,99798,669,584,1077,1618,3859,8684,15862,18178,13365,63894
2RVIC,139,363,1426,2979,6654,14252,20237,14118,4857,65032,13085,8560,8815,8726,7796,8058,7381,3933,1150,67499,146,184,355,782,1763,4862,9475,7412,2337,27311,8,20,25,38,91,314,998,2098,1777,5375,243,569,1048,2063,5001,9729,14467,9098,2408,44617,325,276,425,892,3043,8717,15824,12363,4765,46634,200,151,218,339,672,1341,2335,2220,1016,8490,192,125,238,490,1295,3594,5982,4721,1613,18249,4227,8225,9908,10081,11181,10946,7937,3386,1203,67088,64,78,110,242,723,1750,3175,2975,1274,10393,7354,4658,4616,5597,7844,10815,10044,5416,2238,58577,106380,60026,60936,54590,53930,47712,32197,12217,2903,430884,13711,8954,9433,9134,9520,9158,7450,4414,1952,73741,142636,88118,92043,88060,95168,102813,94789,50879,16350,770853,138,623,2029,4528,11313,23599,32356,23126,10983,108685,8981,9260,12174,12041,12105,12845,11999,6552,2295,88253,119,175,474,1293,3168,6297,8405,5888,2403,28221,12,25,30,27,74,249,888,2424,3654,7384,247,555,1149,2232,4384,8032,10645,7426,2919,37590,231,244,423,666,1771,4584,8516,8722,5909,31061
29799,0,0,0,4,0,3,0,0,0,10,0,0,0,5,5,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,9,0,3,10,30,35,28,7,0,0,109,0,4,19,90,121,100,13,0,0,338,0,9,30,131,163,141,16,0,0,493,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,182,709,2510,4957,9719,16441,20590,13998,4462,73569,17607,13905,15194,14758,12116,9344,7599,3792,1021,95347,258,386,777,1473,3054,6517,10766,8408,2518,34166,20,24,49,67,141,381,1326,2809,2196,7011,371,911,1742,4247,9250,14423,17099,10287,2280,60602,509,509,795,1742,5199,11772,18397,14290,5065,58279,256,244,381,646,1129,1825,2812,2599,1166,11056,530,298,432,833,1918,4363,6532,5487,1680,22070,7074,14529,18268,17099,16381,12786,8784,3993,1351,100265,78,88,175,390,1013,2122,3405,3213,1234,11713,14183,8771,9588,11857,14259,15427,13207,7175,2705,97185,194238,120308,126053,115927,94066,62136,33485,12445,2660,761322,19174,13916,16200,14071,12400,8964,5934,3487,1655,95790,248743,167648,182030,174419,158614,130635,100565,53798,16160,1232619,234,1129,3373,7179,16644,27556,35560,25050,11132,127865,12597,15361,20688,20557,19050,16231,13846,7535,2406,128265,221,348,1062,2654,5907,8591,10229,7158,2762,38923,16,11,35,33,119,302,1211,3287,4507,9527,384,906,2036,3999,7531,11559,13340,8527,2817,51096,392,502,796,1209,2929,6058,10446,10521,6412,39268
3RQLD,218,678,2208,4929,11049,23093,32778,21676,6274,102887,17490,11215,11706,12234,11394,11035,10032,5395,1299,91806,237,323,672,1327,3048,8337,15563,11654,3380,44535,31,23,31,76,154,591,1802,3792,2897,9405,396,885,1427,3334,8352,15756,21688,13266,2978,68082,501,517,746,1573,5311,14066,24842,19604,6473,73635,242,197,349,566,1162,2156,3720,3650,1548,13592,486,249,399,907,2321,6110,9984,7857,2189,30506,6841,11713,13289,14771,16591,16128,11894,5246,1656,98140,89,102,174,405,1053,2643,4747,4520,1672,15415,12734,7327,7102,9462,13468,17622,16194,8888,3249,96041,188939,109086,109496,101625,97450,79475,52735,20430,3997,763236,25235,18576,21986,20461,21307,18917,14328,7713,2640,151159,248228,155467,162233,159846,170105,171249,153754,81978,22424,1325293,232,957,2783,7141,17690,35749,48118,33398,13634,159709,12404,13152,16824,17809,18055,18578,17303,8960,2663,125734,197,302,817,2341,5809,10196,13559,8802,3054,45080,20,20,33,55,138,485,1543,4183,5479,11957,436,856,1815,3438,7147,12305,15031,10193,3245,54467,460,496,750,1321,3038,7718,13432,13292,7735,48239
39799,0,0,0,3,0,0,3,0,0,9,0,0,5,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,19,19,20,6,3,0,0,87,0,4,42,72,44,16,12,0,0,194,6,17,69,102,77,26,14,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,94,323,1198,2458,5147,9947,12870,9552,4191,45777,9010,7095,7795,7540,6404,5686,4813,2627,917,51885,130,162,358,709,1380,3656,6520,5128,2068,20114,0,18,24,36,79,265,808,1954,2048,5224,217,504,974,2592,5354,9412,11687,7445,2372,40554,213,235,372,777,2699,6829,11060,9237,4342,35766,180,170,211,320,548,1027,1520,1498,815,6287,237,138,226,346,895,2295,3527,3017,1306,11993,2361,6594,9032,8789,9142,8066,5377,2530,1175,53065,41,35,73,173,555,1293,2150,2076,1116,7518,6727,4203,4494,5795,7545,9334,8149,4522,2167,52932,97145,64408,69257,61272,51280,38453,22231,8858,2369,415265,7993,5810,6129,5811,5748,4854,3227,2003,1019,42583,122047,86484,95305,89837,85098,79815,64645,36252,13704,673187,114,522,1688,3679,9013,17206,23566,18666,10309,84768,6112,7555,10126,10224,9480,9534,8712,5078,2075,68900,109,158,391,1122,2771,4814,6363,4546,2132,22400,10,17,14,29,68,211,854,2589,4368,8163,204,473,1142,2259,4346,7248,8999,6528,3052,34247,198,201,355,556,1421,3347,6106,6777,5486,24450
