GCCSA_PEP_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85_yr_over_Married,M_85_yr_over_Separated,M_85_yr_over_Divorced,M_85_yr_over_Widowed,M_85_yr_over_Never_married,M_85_yr_over_Tot,M_OS_visitors_Married,M_OS_visitors_Separated,M_OS_visitors_Divorced,M_OS_visitors_Widowed,M_OS_visitors_Never_married,M_OS_visitors_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85_yr_over_Married,F_85_yr_over_Separated,F_85_yr_over_Divorced,F_85_yr_over_Widowed,F_85_yr_over_Never_married,F_85_yr_over_Tot,F_OS_visitors_Married,F_OS_visitors_Separated,F_OS_visitors_Divorced,F_OS_visitors_Widowed,F_OS_visitors_Never_married,F_OS_visitors_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85_yr_over_Married,P_85_yr_over_Separated,P_85_yr_over_Divorced,P_85_yr_over_Widowed,P_85_yr_over_Never_married,P_85_yr_over_Tot,P_OS_vis_Married,P_OS_vis_Separated,P_OS_vis_Divorced,P_OS_vis_Widowed,P_OS_vis_Never_married,P_OS_vis_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
1GSYD,176,25,31,36,151269,151542,4917,275,180,67,170332,175772,122354,4921,6147,245,266145,399810,248540,11740,19200,569,104484,384535,214388,14419,31265,1586,64089,325753,186806,12497,36700,3810,41336,281151,145200,8558,26454,8209,18718,207134,81161,3504,11026,12305,6921,114924,23839,671,2209,12234,1831,40784,3177,182,352,154,2152,6014,1030554,56799,133562,39211,827290,2087418,270,37,24,36,141460,141825,11112,732,438,64,152961,165303,165003,8299,9786,437,225200,408728,256186,16231,27906,1735,89220,391277,213618,18197,46771,5349,55266,339203,178887,14235,52616,15664,33453,294866,130407,8445,39737,33897,16500,228986,58259,2586,17165,49361,6193,133562,11389,468,4361,45860,2706,64783,3078,165,456,960,1835,6496,1028207,69399,199263,153377,724787,2175026,447,63,54,70,292728,293365,16025,1007,618,131,323292,341071,287353,13218,15938,680,491345,808540,504728,27971,47102,2310,193704,775813,428009,32613,78036,6941,119360,664959,365695,26736,89315,19473,74796,576018,275604,17002,66193,42109,35221,436121,139421,6096,28191,61663,13114,248481,35226,1136,6566,58097,4535,105566,6254,352,813,1116,3980,12509,2058760,126194,332829,192592,1552074,4262444
1RNSW,95,23,22,31,84373,84549,1639,101,48,59,77126,78978,45938,2598,2279,115,112692,163618,87055,6590,9074,361,55700,158787,95171,9436,20626,1164,44148,170541,108584,9454,30379,3437,33778,185645,110780,7815,28153,8183,15525,170455,64653,2869,11368,11834,4750,95473,16673,486,1888,10000,1139,30194,874,60,128,57,949,2060,531472,39442,103965,35238,430177,1140295,74,19,18,27,79552,79692,2914,249,64,45,72357,75632,59430,4532,3769,320,100201,168252,93491,9154,13222,1071,49960,166903,100412,11170,28093,3379,36766,179824,112301,10531,38599,10283,24335,196043,102337,6435,32525,24180,10297,175782,49172,1900,13083,38359,3472,105978,8559,303,2821,34827,1328,47847,559,38,140,172,724,1635,529262,44319,132333,112666,379000,1197584,170,49,36,64,163928,164242,4556,350,113,103,149480,154604,105368,7123,6048,433,212896,331869,180550,15745,22294,1432,105657,325687,195587,20606,48717,4539,80915,350368,220886,19985,68980,13717,58121,381687,213121,14246,60676,32362,25822,346234,113825,4770,24445,50197,8220,201457,25237,793,4713,44826,2467,78038,1429,101,269,226,1672,3693,1060735,83763,236298,147902,809180,2337878
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,7,0,0,0,3,16,4,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,8,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,7,0,0,0,5,18,9,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,21,0,0,0,14,38
2GMEL,136,29,31,26,140614,140840,3021,164,101,67,164971,168318,109002,4008,5027,271,271155,389468,230421,10445,17283,610,104180,362938,196356,14159,29751,1611,63464,305331,167607,11832,34379,3821,36604,254229,131159,7549,23799,7711,15727,185946,75935,2964,9762,11596,5189,105443,22421,599,1924,11878,1449,38272,2776,142,270,152,1674,5014,938833,51890,122326,37746,805015,1955807,210,30,26,25,133386,133671,7378,455,252,58,151076,159222,147800,6816,8181,479,233136,396418,235529,14790,25040,1797,93022,370186,196581,17873,44492,5008,57529,321492,162076,13470,49796,13520,31415,270284,120932,7686,37055,30872,14027,210571,56556,2457,15359,46853,4930,126159,11220,400,3565,44162,2004,61346,2541,121,382,1012,1412,5469,940834,64099,184155,143780,721950,2054818,346,58,57,49,274001,274512,10395,620,355,123,316049,327541,256802,10824,13209,756,504295,785890,465948,25237,42326,2410,197201,733122,392940,32037,74241,6620,120995,626824,329689,25302,84179,17336,68016,524519,252092,15239,60857,38582,29753,396519,132495,5422,25116,58448,10126,231597,33637,992,5488,56041,3453,99619,5319,264,647,1166,3086,10483,1879666,115989,306479,181523,1526965,4010621
2RVIC,30,16,10,11,45736,45811,761,69,24,31,41435,42310,24836,1395,1126,80,64608,92043,49072,3578,4964,203,30235,88060,53771,5383,11196,663,24163,95168,62001,5472,16488,1976,16868,102813,62645,4376,15015,4406,8345,94789,34801,1545,5677,6267,2590,50879,8905,261,872,5640,680,16350,314,19,63,27,423,850,297134,22111,55439,19306,235073,629074,41,14,7,22,42987,43065,1407,157,28,28,38610,40231,31594,2280,1828,186,58479,94362,52724,5149,6982,604,28956,94412,56391,6482,15764,1847,21048,101531,64123,5920,21409,5592,13086,110129,57935,3687,17613,13244,5561,98042,26598,969,6490,20225,1839,56122,4624,172,1246,19107,686,25835,243,26,65,87,319,751,295670,24858,71441,60934,211572,664477,70,32,17,32,88726,88874,2165,226,54,58,80039,82540,56425,3677,2951,266,123086,186404,101797,8725,11952,806,59190,182469,110157,11866,26960,2509,45216,196704,126129,11388,37901,7571,29948,212940,120582,8061,32629,17651,13906,192832,61398,2515,12169,26499,4422,107000,13531,437,2118,24742,1362,42187,554,46,131,114,751,1599,592806,46969,126880,80244,446650,1293551
29799,0,0,0,0,0,0,0,0,0,0,4,4,17,0,0,0,15,30,63,11,15,0,40,131,127,9,7,0,20,163,113,11,8,0,5,141,6,0,5,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,32,38,0,102,493,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,19,17,6,0,6,0,8,14,0,0,5,0,18,18,12,0,6,3,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,6,3,38,72,0,0,0,0,0,0,0,0,0,0,4,4,21,0,0,0,29,52,66,11,19,0,43,140,127,9,11,0,38,182,124,11,11,4,9,158,6,0,5,0,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,32,51,4,139,565
3GBRI,84,29,18,19,80303,80451,1958,154,57,35,84993,87202,51059,2940,2841,137,125062,182030,102325,6927,10108,366,54696,174419,97641,8524,18152,912,33391,158614,83710,6612,20082,2033,18203,130635,68858,4304,15448,4309,7635,100565,37487,1679,6073,6015,2548,53798,9008,285,1019,5152,698,16160,1333,78,165,81,1187,2846,453457,31528,73963,19051,408711,986723,103,21,14,15,76666,76815,3782,315,88,44,82156,86380,67373,4900,4619,285,112718,189899,110214,9631,14660,1039,48362,183896,99220,10410,25837,2921,29714,168105,82021,7518,28657,7020,14738,139960,62756,4278,22258,15552,6413,111261,27277,1297,8974,22199,2385,62134,4524,175,1928,19160,1062,26846,1108,76,173,334,955,2652,458375,38627,107217,68570,375174,1047958,190,53,29,32,156964,157267,5739,468,147,80,167146,173579,118432,7842,7466,420,237777,371931,212533,16559,24768,1407,103055,358316,196862,18934,43989,3829,63106,326719,165730,14128,48746,9054,32946,270600,131617,8585,37707,19860,14054,211821,64768,2981,15045,28211,4932,115935,13528,460,2950,24312,1760,43010,2441,157,343,414,2146,5502,911831,70164,181183,87622,783885,2034683
3RQLD,95,22,12,21,79886,80043,1918,181,47,44,73236,75432,43599,2671,2542,167,113253,162233,86456,6895,10136,348,56012,159846,97029,9660,21165,1111,41145,170105,103528,8721,28787,2956,27256,171249,102542,6883,25794,6615,11918,153754,56335,2501,10187,9002,3945,81978,12599,438,1642,6802,944,22424,2140,103,287,102,2528,5170,506244,38078,100611,27177,410124,1082234,120,36,15,14,76049,76232,3483,283,87,54,70923,74833,56730,4588,4027,308,103059,168710,94466,9868,14407,1127,50606,170480,100249,11561,28881,3188,34270,178149,105953,9555,36597,9062,19508,180677,93139,5670,28930,20575,7528,155848,40547,1712,11339,29357,2353,85304,6162,230,2252,23328,827,32802,1160,88,231,249,1727,3454,502018,43581,126771,87258,366856,1126489,219,60,29,37,155931,156273,5406,469,137,101,144157,150265,100332,7253,6568,474,216317,330945,180921,16762,24541,1479,106619,330321,197270,21220,50049,4295,75416,348255,209480,18276,65390,12019,46762,351917,195682,12555,54726,27192,19448,309599,96885,4215,21532,38358,6297,167282,18765,666,3896,30134,1771,55230,3309,189,519,352,4257,8625,1008259,81661,227379,114437,776979,2208722
39799,0,0,0,0,8,8,0,0,0,0,8,8,8,6,0,4,43,69,43,11,7,0,43,102,39,5,11,0,19,77,9,0,9,0,0,26,10,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,6,17,124,20,29,4,134,317,0,0,0,0,6,6,0,0,0,0,3,3,0,0,0,0,23,23,0,0,0,0,7,7,0,0,0,0,8,3,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,4,0,4,0,61,65,0,0,0,0,11,11,0,0,0,0,15,15,8,6,0,4,72,87,43,11,7,0,53,111,47,5,11,0,23,79,17,0,15,0,0,34,10,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,19,24,129,20,36,4,192,380
4GADE,22,13,11,13,40260,40319,892,61,24,14,45169,46159,27900,1174,1303,50,64874,95305,52825,3206,4986,155,28659,89837,49815,4173,9667,517,20931,85098,48606,3646,12551,1274,13739,79815,43828,2485,9934,2801,5591,64645,25947,903,3904,3975,1527,36252,7791,198,746,4586,381,13704,569,37,78,25,404,1120,258195,15906,43216,13408,221534,552258,57,13,9,6,38267,38348,2097,174,60,16,41890,44233,37135,2053,2159,131,55289,96768,56239,4465,7322,550,25041,93621,50746,5196,13809,1579,17154,88480,48759,4172,17842,4305,11028,86110,41322,2406,14741,10061,4700,73227,20192,762,5921,16133,1484,44494,3947,120,1505,16339,583,22497,537,26,101,199,353,1207,261036,19384,63471,49318,195784,588994,78,23,18,24,78527,78669,2987,233,86,32,87060,90394,65036,3227,3464,179,120160,192067,109065,7673,12310,704,53703,183460,100561,9367,23468,2094,38082,173585,97370,7818,30392,5578,24770,165925,85148,4896,24681,12865,10285,137874,46143,1666,9829,20109,3008,80746,11739,323,2256,20924,961,36200,1108,59,177,226,757,2325,519234,35284,106686,62733,417320,1141251
