GCCSA_PEP_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
4RSAU,23,19,43,1403,365,1768,30,9,36,0,7,7,124,129,246,60217,52604,112823,4052,4036,8086,1271,54,1323,507,66,573,557,144,698,1378,379,1755,4224,3595,7821,73782,61405,135184,3,0,4,0,0,0,0,0,0,21,27,46,0,3,5,0,0,3,26,34,56,0,0,0,0,0,0,138,68,212,27,25,51,43,8,50,210,106,311,764,374,1134,998,510,1500,9,10,16,34,3,36,65,25,90,104,35,140,7219,7875,15090,7468,10672,18145,881,686,1570,90452,81185,171633
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,3,0,0,0,0,0,0,16,0,16,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22
5GPER,11475,11472,22950,14077,13217,27295,134,79,218,31,15,41,1983,1684,3664,345003,305836,650846,18584,25652,44238,5137,165,5303,2529,252,2788,5293,1523,6813,9247,2298,11544,7489,7357,14844,420978,369559,790541,6775,6578,13357,9,7,25,0,4,5,4694,4279,8975,667,923,1597,500,190,683,12656,11986,24639,13,8,24,8,8,15,739,771,1511,456,886,1341,507,350,860,1723,2024,3745,3985,2129,6110,18363,16133,34496,2152,2559,4709,323,225,552,199,79,276,2674,2867,5544,35069,45345,80421,52520,67569,120090,2354,1649,3997,531954,503124,1035077
5RWAU,80,61,135,8747,1829,10574,46,11,57,5,7,12,289,215,504,86465,74279,160742,9251,7184,16433,2333,118,2448,734,160,896,1276,667,1942,5845,1567,7411,6636,6467,13105,121702,92568,214266,24,15,40,0,0,0,0,0,0,51,56,108,4,8,16,3,0,5,87,87,165,0,0,0,0,0,0,439,143,582,106,56,158,415,90,510,957,290,1246,1920,731,2654,2970,1104,4070,46,22,67,375,64,437,165,43,209,585,136,720,7940,10124,18061,16396,17219,33616,1303,887,2191,150893,122040,272925
59799,0,0,0,190,15,207,4,3,7,0,0,0,5,0,5,81,8,91,27,0,27,13,0,13,0,0,0,0,0,0,767,78,850,287,36,324,1390,143,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,9,8,6,11,38,4,39,46,8,50,0,0,0,5,0,10,0,0,0,8,0,11,17,4,23,31,34,64,23,0,24,1517,186,1697
6GHOB,12,13,23,1948,3126,5071,38,46,86,0,0,0,216,222,438,39154,32209,71357,2367,4402,6764,678,18,695,556,59,615,905,404,1310,304,154,452,2610,3027,5635,48788,43675,92464,0,7,7,0,0,0,0,0,0,10,9,17,0,0,3,0,0,0,13,16,32,3,8,11,0,0,0,164,302,469,109,242,346,52,65,117,330,613,945,508,441,946,853,1073,1923,0,5,9,45,74,125,19,8,31,69,92,158,4564,5171,9730,5186,8757,13937,267,257,523,59717,59019,118737
6RTAS,8,4,12,463,542,1004,11,5,17,0,0,8,123,189,311,49091,42653,91745,2918,3667,6585,1003,27,1030,450,67,516,341,118,455,436,189,627,2549,2533,5082,57396,49994,107387,0,0,0,0,0,0,0,0,0,10,13,21,0,0,0,4,5,5,14,15,26,0,0,0,0,0,0,51,49,98,49,89,139,15,23,35,118,159,275,448,285,735,579,460,1038,4,4,4,15,31,42,28,10,35,50,41,92,4960,5804,10761,5945,9238,15186,561,441,1006,69489,65978,135466
69799,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,29,14,39,4,0,4,5,0,5,0,0,0,0,0,0,89,8,94,20,4,24,147,26,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,10,9,19,67,10,80,228,48,277
7GDAR,14,5,17,667,970,1637,18,3,20,5,3,13,154,166,312,27030,24107,51137,1607,2831,4441,356,21,377,740,155,897,780,517,1296,735,272,1006,1512,1353,2859,33605,30410,64022,0,6,3,0,0,0,0,0,0,10,9,22,3,0,3,0,4,7,19,17,40,0,0,0,0,0,0,46,46,95,37,99,135,27,26,57,115,174,289,359,227,589,493,417,913,4,0,4,27,35,58,26,11,36,55,45,97,1517,2206,3721,3940,4986,8922,246,189,433,39852,38261,78112
7RNTE,4,9,10,556,229,788,7,8,15,3,5,10,33,44,76,9882,8491,18380,1240,1727,2972,201,22,223,189,55,247,536,388,923,510,235,745,2723,3271,5991,15895,14473,30376,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,0,0,0,4,7,0,0,3,0,0,0,16,6,21,15,8,18,28,3,33,60,21,82,260,207,466,324,234,560,0,0,0,30,14,42,20,20,42,51,37,88,712,860,1579,2254,2672,4925,341,270,604,19578,18550,38122
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,5,5,0,0,0,8,0,8,0,0,0,0,0,0,164,11,174,47,7,54,224,16,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,5,9,5,4,13,7,0,6,249,35,282
8ACTE,64,44,106,4047,5044,9089,26,0,28,1038,1252,2287,277,320,600,79182,68032,147216,4191,8374,12568,978,31,1007,1603,186,1781,3490,1744,5234,745,306,1050,5152,4974,10119,100792,90300,191099,18,12,30,0,0,0,0,0,0,12,20,37,0,0,4,3,0,5,40,42,78,0,0,0,646,736,1387,249,300,551,151,456,603,164,147,308,1209,1640,2849,1364,1065,2427,2613,2748,5354,7,6,19,172,239,412,70,39,107,251,283,538,12868,14319,27187,8792,14885,23681,340,253,596,125659,122796,248458
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,37,48,83,16,12,23,0,0,0,0,0,0,729,696,1425,43,70,111,73,10,85,50,12,70,17,12,24,35,22,62,144,104,247,1149,982,2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,28,0,0,0,6,0,3,0,0,0,0,0,0,14,20,38,17,18,34,32,36,67,0,0,0,4,9,13,0,0,0,12,9,12,57,76,137,108,127,233,9,11,22,1370,1244,2614
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
