GCCSA_PEP_CODE_2021,M_15_19_Mgrs,M_15_19_Profnls,M_15_19_Techs_trades_workers,M_15_19_Comm_psnl_serv_wrkrs,M_15_19_Cler_admin_wrkrs,M_15_19_Sales_wrkrs,M_15_19_Mach_oper_dvrs,M_15_19_Labrs,M_15_19_Inad_desc_Ns,M_15_19_Tot,M_20_24_Mgrs,M_20_24_Profnls,M_20_24_Techs_trades_wrkrs,M_20_24_Comm_psnl_serv_wrkrs,M_20_24_Cler_admin_wrkrs,M_20_24_Sales_wrkrs,M_20_24_Mach_oper_dvrs,M_20_24_Labrs,M_20_24_Inad_desc_Ns,M_20_24_Tot,M_25_34_Mgrs,M_25_34_Profnls,M_25_34_Techs_trades_wrkrs,M_25_34_Comm_psnl_serv_wrkrs,M_25_34_Cler_admin_wrkrs,M_25_34_Sales_wrkrs,M_25_34_Mach_oper_dvrs,M_25_34_Labrs,M_25_34_Inad_desc_Ns,M_25_34_Tot,M_35_44_Mgrs,M_35_44_Profnls,M_35_44_Techs_trades_wrkrs,M_35_44_Comm_psnl_serv_wrkrs,M_35_44_Cler_admin_wrkrs,M_35_44_Sales_wrkrs,M_35_44_Mach_oper_dvrs,M_35_44_Labrs,M_35_44_Inad_desc_Ns,M_35_44_Tot,M_45_54_Mgrs,M_45_54_Profnls,M_45_54_Techs_trades_wrkrs,M_45_54_Comm_psnl_serv_wrkrs,M_45_54_Cler_admin_wrkrs,M_45_54_Sales_wrkrs,M_45_54_Mach_oper_dvrs,M_45_54_Labrs,M_45_54_Inad_desc_Ns,M_45_54_Tot,M_55_64_Mgrs,M_55_64_Profnls,M_55_64_Techs_trades_wrkrs,M_55_64_Comm_psnl_serv_wrkrs,M_55_64_Cler_admin_wrkrs,M_55_64_Sales_wrkrs,M_55_64_Mach_oper_dvrs,M_55_64_Labrs,M_55_64_Inad_desc_Ns,M_55_64_Tot,M_65_74_Mgrs,M_65_74_Profnls,M_65_74_Techs_trades_wrkrs,M_65_74_Comm_psnl_serv_wrkrs,M_65_74_Cler_admin_wrkrs,M_65_74_Sales_wrkrs,M_65_74_Mach_oper_dvrs,M_65_74_Labrs,M_65_74_Inad_desc_Ns,M_65_74_Tot,M_75_84_Mgrs,M_75_84_Profnls,M_75_84_Techs_trades_wrkrs,M_75_84_Comm_psnl_serv_wrkrs,M_75_84_Cler_admin_wrkrs,M_75_84_Sales_wrkrs,M_75_84_Mach_oper_dvrs,M_75_84_Labrs,M_75_84_Inad_desc_Ns,M_75_84_Tot,M_85_yr_over_Mgrs,M_85_yr_over_Profnls,M_85ov_Techs_trades_wrkrs,M_85ov_Com_psnl_serv_wrkrs,M_85_yr_over_Cler_admin_wrkrs,M_85_yr_over_Sales_wrkrs,M_85_yr_over_Mach_oper_dvrs,M_85_yr_over_Labrs,M_85_yr_over_Inad_desc_Ns,M_85_yr_over_Tot,M_Tot_Mgrs,M_Tot_Profnls,M_Tot_Techs_trades_wrkrs,M_Tot_Comm_psnl_serv_wrkrs,M_Tot_Cler_admin_wrkrs,M_Tot_Sales_wrkrs,M_Tot_Mach_oper_dvrs,M_Tot_Labrs,M_Tot_Inad_desc_Ns,M_Tot_Tot,F_15_19_Mgrs,F_15_19_Profnls,F_15_19_Techs_trades_workers,F_15_19_Comm_psnl_serv_wrkrs,F_15_19_Cler_admin_wrkrs,F_15_19_Sales_wrkrs,F_15_19_Mach_oper_dvrs,F_15_19_Labrs,F_15_19_Inad_desc_Ns,F_15_19_Tot,F_20_24_Mgrs,F_20_24_Profnls,F_20_24_Techs_trades_wrkrs,F_20_24_Comm_psnl_serv_wrkrs,F_20_24_Cler_admin_wrkrs,F_20_24_Sales_wrkrs,F_20_24_Mach_oper_dvrs,F_20_24_Labrs,F_20_24_Inad_desc_Ns,F_20_24_Tot,F_25_34_Mgrs,F_25_34_Profnls,F_25_34_Techs_trades_wrkrs,F_25_34_Comm_psnl_serv_wrkrs,F_25_34_Cler_admin_wrkrs,F_25_34_Sales_wrkrs,F_25_34_Mach_oper_dvrs,F_25_34_Labrs,F_25_34_Inad_desc_Ns,F_25_34_Tot,F_35_44_Mgrs,F_35_44_Profnls,F_35_44_Techs_trades_wrkrs,F_35_44_Comm_psnl_serv_wrkrs,F_35_44_Cler_admin_wrkrs,F_35_44_Sales_wrkrs,F_35_44_Mach_oper_dvrs,F_35_44_Labrs,F_35_44_Inad_desc_Ns,F_35_44_Tot,F_45_54_Mgrs,F_45_54_Profnls,F_45_54_Techs_trades_wrkrs,F_45_54_Comm_psnl_serv_wrkrs,F_45_54_Cler_admin_wrkrs,F_45_54_Sales_wrkrs,F_45_54_Mach_oper_dvrs,F_45_54_Labrs,F_45_54_Inad_desc_Ns,F_45_54_Tot,F_55_64_Mgrs,F_55_64_Profnls,F_55_64_Techs_trades_wrkrs,F_55_64_Comm_psnl_serv_wrkrs,F_55_64_Cler_admin_wrkrs,F_55_64_Sales_wrkrs,F_55_64_Mach_oper_dvrs,F_55_64_Labrs,F_55_64_Inad_desc_Ns,F_55_64_Tot,F_65_74_Mgrs,F_65_74_Profnls,F_65_74_Techs_trades_wrkrs,F_65_74_Comm_psnl_serv_wrkrs,F_65_74_Cler_admin_wrkrs,F_65_74_Sales_wrkrs,F_65_74_Mach_oper_dvrs,F_65_74_Labrs,F_65_74_Inad_desc_Ns,F_65_74_Tot,F_75_84_Mgrs,F_75_84_Profnls,F_75_84_Techs_trades_wrkrs,F_75_84_Comm_psnl_serv_wrkrs,F_75_84_Cler_admin_wrkrs,F_75_84_Sales_wrkrs,F_75_84_Mach_oper_dvrs,F_75_84_Labrs,F_75_84_Inad_desc_Ns,F_75_84_Tot,F_85_yr_over_Mgrs,F_85_yr_over_Profnls,F_85_yr_over_Techs_tra_wrkrs,F_85ov_Com_psnl_serv_wrkrs,F_85ov_Cler_admin_wrkrs,F_85_yr_over_Sales_wrkrs,F_85_yr_over_Mach_oper_dvrs,F_85_yr_over_Labrs,F_85_yr_over_Inad_desc_Ns,F_85_yr_over_Tot,F_Tot_Mgrs,F_Tot_Profnls,F_Tot_Techs_trades_wrkrs,F_Tot_Comm_psnl_serv_wrkrs,F_Tot_Cler_admin_wrkrs,F_Tot_Sales_wrkrs,F_Tot_Mach_oper_dvrs,F_Tot_Labrs,F_Tot_Inad_desc_Ns,F_Tot_Tot
4RSAU,119,40,1282,308,54,988,249,1936,124,5091,466,315,2292,404,134,512,765,1813,142,6852,2208,1656,4867,925,388,720,2205,3188,337,16484,3461,1695,3893,821,517,659,2423,2498,359,16329,4457,1793,3882,931,691,739,2988,2768,435,18681,4610,1698,3494,929,743,784,3209,2809,422,18694,2500,739,933,241,249,288,930,855,171,6907,705,89,98,16,39,38,76,142,98,1298,71,4,3,0,5,0,0,10,22,118,18594,8029,20750,4571,2813,4726,12850,16023,2105,90452,79,65,184,1414,238,1958,51,950,96,5037,260,861,403,1752,726,992,145,808,86,6035,1181,3620,946,2982,2105,1472,345,1549,182,14382,1930,3659,784,2910,2954,1280,210,1521,213,15455,2488,3373,872,3539,3659,1738,267,2022,245,18198,2398,2807,680,3430,3302,1559,242,2133,197,16745,1105,739,155,630,929,294,64,541,131,4594,267,53,13,27,117,32,3,69,84,671,18,0,0,0,7,5,0,4,15,54,9729,15177,4044,16685,14042,9327,1326,9603,1250,81185
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,9,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,324,590,4830,3198,652,6330,2159,9091,439,27611,1701,5461,12406,6082,2574,5879,4928,8260,958,48243,10670,26761,31233,8558,6799,5658,12902,11791,2493,116861,20949,30478,28982,6599,7271,4271,13294,9049,2327,123215,21533,23197,23765,5494,6463,3968,12529,7942,2016,106918,15115,16083,17168,4018,5445,3232,11280,7012,1347,80709,4471,5905,4181,1077,1722,1430,3135,2460,466,24845,711,942,333,92,231,227,235,378,156,3299,48,58,14,4,23,22,4,23,52,251,75520,109476,122905,35126,31186,31012,60470,56010,10263,531954,363,690,1046,8171,1753,12977,440,3949,412,29801,2074,7600,3029,14146,7351,9180,962,3192,676,48210,10061,37968,7464,19777,19455,8242,1999,5812,1723,112517,13264,37973,6161,17874,22355,6769,1784,6215,1600,113988,12523,28998,4972,16760,23601,7445,1865,6998,1322,104492,7444,18045,3308,11802,19300,6196,1378,5754,870,74101,1652,4546,738,2487,5179,1621,304,1509,270,18310,173,349,54,142,447,125,22,166,118,1591,12,13,6,0,24,7,0,10,40,109,47569,136185,26772,91156,99463,52574,8768,33608,7025,503124
5RWAU,129,77,1918,489,96,1490,479,2408,183,7279,442,607,3757,538,206,639,1427,2382,172,10170,2767,3688,10418,1381,687,887,4650,4436,538,29446,5087,3971,10106,1352,914,742,5630,3449,658,31902,6023,3855,8698,1424,1026,838,6636,3171,678,32351,5573,3276,6391,1270,1088,870,6485,3070,536,28548,2807,1156,1466,332,364,370,1718,1032,216,9461,796,128,93,27,61,69,111,167,95,1555,106,5,0,3,0,3,4,22,31,182,23735,16767,42845,6818,4444,5909,27135,20135,3110,150893,81,107,380,1913,466,2645,149,1237,150,7129,372,1210,735,2054,1358,1139,453,1089,170,8584,2005,6159,1763,3988,4071,1758,1078,2455,300,23581,3213,6422,1598,4330,5023,1892,937,2383,363,26166,3673,5544,1472,4532,5482,2217,1100,2728,350,27108,3147,4329,1046,3591,4821,1997,789,2514,282,22525,1302,1117,227,739,1300,476,158,680,134,6136,289,68,24,51,118,41,14,106,64,772,22,3,0,0,0,0,0,0,7,37,14104,24960,7255,21202,22637,12163,4684,13205,1818,122040
59799,0,0,0,0,0,0,0,3,0,3,0,6,15,9,0,0,0,20,0,54,5,42,103,8,0,0,18,64,0,237,18,80,204,10,11,0,52,105,9,494,27,92,175,10,18,0,60,66,10,451,21,53,90,6,5,0,32,29,8,234,5,8,10,0,0,0,4,7,0,32,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,76,290,596,37,33,6,168,289,18,1517,0,0,0,0,0,0,0,0,0,7,0,0,7,7,0,0,0,10,0,23,3,15,8,12,3,0,0,18,0,54,0,8,8,3,0,0,0,9,0,28,3,9,6,0,3,0,0,10,0,32,11,8,0,5,0,0,0,6,0,29,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,21,40,28,25,9,0,4,49,5,186
6GHOB,56,43,584,314,81,614,118,706,59,2566,246,493,1482,688,308,666,296,748,86,5012,1499,2969,3927,1680,1035,1075,1271,2043,325,15827,2238,2971,2638,1024,830,534,926,1206,266,12643,2333,2623,2065,911,874,516,875,874,233,11311,1694,1948,1760,608,678,424,1070,847,158,9179,522,757,459,163,174,161,254,246,62,2796,104,76,38,16,29,31,25,23,23,366,8,4,0,6,0,4,0,0,3,23,8701,11897,12946,5396,4012,4025,4841,6695,1212,59717,43,54,117,715,195,1283,46,381,49,2877,202,839,322,1459,802,1031,41,344,71,5112,1176,4555,825,3269,2363,1276,111,920,242,14729,1668,4265,527,2086,2318,743,92,641,206,12544,1570,3631,511,1851,2700,750,103,697,163,11980,961,2545,380,1498,2343,659,98,698,132,9299,217,637,95,314,537,153,27,233,34,2244,34,41,10,15,54,14,0,21,18,207,3,3,0,0,0,0,0,0,7,19,5874,16569,2776,11197,11321,5912,521,3938,918,59019
6RTAS,135,30,965,265,53,766,214,1089,72,3587,378,291,1913,466,198,538,604,1234,131,5754,1710,1768,4032,1066,531,718,1865,2434,307,14427,2292,1939,3006,820,542,544,1822,1649,310,12916,2788,2002,2862,863,700,651,2217,1790,314,14185,2555,1738,2632,745,716,608,2403,1742,298,13443,1125,691,660,201,219,220,631,504,123,4373,296,97,51,22,38,34,56,65,61,720,40,6,4,0,7,4,0,0,17,78,11322,8572,16128,4445,2989,4083,9809,10519,1620,69489,60,47,188,946,218,1727,59,625,67,3937,232,626,423,1662,722,1038,92,566,73,5429,1022,3367,851,2933,1869,1267,198,1317,166,12995,1421,3541,674,2367,2241,1086,167,1193,175,12866,1679,3202,698,2825,2997,1350,192,1591,194,14723,1458,2568,565,2373,2694,1101,176,1618,146,12705,496,608,124,412,647,234,37,342,82,2976,107,42,5,13,55,11,8,29,42,319,6,0,0,5,0,0,0,4,15,25,6480,13999,3527,13536,11460,7805,940,7285,959,65978
69799,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,8,0,10,20,4,0,0,5,13,0,52,0,21,22,3,0,0,0,11,0,60,4,11,17,0,0,0,4,14,0,58,0,12,12,3,5,0,4,3,0,44,0,5,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,66,66,9,3,0,18,48,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,4,0,0,0,5,0,12,0,3,0,0,0,0,0,4,0,12,4,0,4,5,0,0,0,4,0,16,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,6,11,0,0,0,8,0,48
7GDAR,31,33,374,238,59,379,107,496,38,1754,170,277,978,826,235,311,283,427,96,3608,1001,1848,2619,1534,749,533,849,946,235,10301,1441,1754,2242,1013,646,310,713,666,190,8974,1474,1339,1754,767,541,249,752,572,161,7605,1187,973,1149,405,426,205,697,454,128,5627,401,411,286,97,134,84,180,141,47,1787,51,44,16,5,8,10,19,13,7,179,7,0,0,0,5,0,0,0,5,14,5759,6681,9412,4889,2800,2081,3603,3723,915,39852,31,34,81,459,210,746,27,191,42,1821,161,509,187,864,693,447,47,156,60,3121,919,3423,523,2008,2030,692,100,456,162,10312,1287,2872,400,1394,1825,500,86,459,141,8956,1238,2006,260,1017,1746,436,93,514,98,7407,787,1429,146,632,1309,359,85,379,58,5185,152,360,57,151,362,115,20,95,25,1333,22,20,0,7,34,9,0,5,4,108,0,0,0,0,5,0,0,0,0,4,4600,10653,1640,6532,8216,3311,460,2251,587,38261
7RNTE,12,22,127,105,25,125,33,211,34,705,58,185,342,252,52,94,78,331,46,1432,470,921,1105,763,210,172,359,600,137,4732,675,837,941,631,199,114,379,384,119,4274,679,554,763,516,184,78,436,386,80,3681,702,635,664,357,181,76,420,347,77,3452,273,235,173,84,72,48,118,116,36,1165,46,18,14,11,11,8,15,8,6,127,0,5,0,0,0,0,0,0,0,10,2913,3414,4131,2718,933,714,1831,2379,536,19578,9,51,27,205,71,207,8,141,28,756,47,308,91,383,205,112,23,179,49,1399,417,1680,225,1021,731,294,54,301,104,4824,521,1277,159,750,651,174,52,218,83,3876,585,1062,121,625,694,176,64,243,68,3648,446,1024,107,473,638,166,33,212,56,3149,140,272,39,96,163,49,6,49,21,826,8,14,0,4,14,4,6,4,5,65,0,0,0,0,0,0,0,0,0,0,2176,5695,757,3558,3168,1190,242,1346,422,18550
79799,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,12,0,9,0,4,0,0,3,24,0,33,0,26,16,0,0,0,0,13,0,60,3,20,18,0,0,0,6,22,0,75,0,22,19,0,0,0,0,8,0,60,3,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,82,54,7,0,0,8,77,4,249,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,9,0,0,0,12,0,35
8ACTE,357,248,932,1172,264,1461,253,1323,91,6096,1111,2463,2671,1982,1266,1406,521,1193,276,12885,4375,10475,6148,2725,2904,1720,1491,2317,756,32909,7030,10625,4279,1825,2509,816,1056,1506,715,30347,6607,7537,3079,1349,2268,592,976,1054,595,24066,3525,4501,1859,733,1474,439,893,813,307,14544,756,1488,494,206,350,190,335,257,98,4183,118,202,55,23,47,49,22,37,18,570,9,15,5,0,0,5,0,4,5,49,23892,37565,19524,10016,11094,6678,5536,8505,2861,125659,190,318,247,2288,576,2552,46,557,78,6850,820,2986,707,3579,2967,1817,62,403,245,13594,4345,12719,1366,4240,5888,1658,109,998,727,32054,6557,11167,902,2899,5587,833,56,677,626,29313,5592,7807,663,2242,5375,768,95,574,431,23547,2522,4303,408,1520,3651,675,88,537,230,13928,363,1078,87,344,865,241,12,155,44,3191,25,100,17,25,83,19,0,9,15,293,4,4,0,0,5,3,0,5,6,29,20422,40476,4399,17148,24994,8569,473,3913,2403,122796
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,17,0,15,21,0,6,4,14,0,70,21,11,25,5,3,0,6,13,0,98,56,33,70,41,8,0,13,27,3,242,43,27,62,29,12,6,25,22,5,228,54,30,69,24,20,3,28,24,7,257,74,42,91,14,8,16,28,29,8,306,18,23,41,4,3,3,26,17,3,142,6,3,6,5,0,0,0,4,3,22,3,0,0,0,0,0,0,0,0,3,293,161,369,140,57,47,123,148,30,1370,11,0,3,42,3,6,0,9,0,66,11,13,4,27,11,0,0,5,0,83,30,56,9,52,35,15,6,11,3,203,43,48,10,43,46,19,4,18,4,231,54,47,12,49,57,23,0,31,0,266,46,44,12,31,67,29,0,29,0,266,11,21,0,18,19,13,3,14,6,106,3,4,0,7,3,3,0,3,0,20,0,0,0,0,0,0,0,0,0,0,204,238,52,260,234,105,11,123,17,1244
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
