GCCSA_PEP_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
1GSYD,1870,10885,71968,371255,400531,127773,29595,41486,1055358,760,5869,29566,34863,6363,1001,240,4732,83390,622,8542,32810,77986,28670,4106,769,8209,161710,1381,14415,62369,112847,35031,5105,1012,12941,245095,2515,20325,51395,16155,1821,373,215,7611,100413,2692,23489,105043,21320,990,116,122,9570,163343,4054,41414,111318,27504,1022,146,91,12251,197804,3429,35151,63686,15510,618,47,56,8016,126518,154,1255,3525,1690,1006,489,196,699,9016,12852,121634,334963,82183,5462,1175,674,38148,597093,456,2185,3444,1641,347,99,50,1297,9527,297,949,1254,653,422,171,77,748,4576,16852,150063,474004,568582,441799,134324,31407,94617,1911653
1RNSW,3171,15683,96710,392473,299843,59831,13823,52155,933689,325,7027,37289,21524,2008,242,114,6182,74711,129,3345,13190,17970,2414,309,103,2671,40130,452,10367,50471,39497,4426,556,219,8855,114840,642,9539,22201,6097,700,126,112,4435,43855,111,1651,7465,1804,70,28,17,1103,12250,107,1763,6349,2535,107,5,16,656,11542,47,861,2523,1290,73,8,4,256,5059,57,543,720,425,280,87,35,179,2318,961,14353,39253,12164,1233,256,183,6630,75032,2034,5232,4268,1591,623,167,100,3987,18008,432,1108,1003,854,443,146,152,907,5043,7046,46749,191704,446575,306564,60955,14474,72535,1146610
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,1325,7396,91777,551292,449604,84586,14266,50068,1250313,377,11333,80664,55171,10740,1067,249,8909,168510,235,3604,35959,64699,19839,2296,358,5787,132774,615,14937,116624,119871,30575,3364,606,14699,301290,987,19286,47128,16407,1880,200,127,6155,92183,884,16132,30580,4759,283,48,36,3566,56291,1053,20650,35847,5017,251,28,34,4015,66890,1350,24653,41016,7377,257,24,41,6529,81248,20,284,308,175,123,51,22,199,1185,4296,81002,154883,33744,2795,358,259,20464,297802,250,1922,2255,927,223,52,20,1513,7169,99,400,528,467,258,51,37,391,2224,6572,105664,366065,706302,483463,88401,15197,87132,1858799
2RVIC,1210,7273,63324,281567,165416,22980,4630,32305,578704,216,6850,22184,7411,1000,97,49,4010,41823,28,452,1814,2459,556,66,22,449,5854,250,7299,24006,9869,1556,163,73,4460,47674,106,2732,6036,1404,110,20,26,1240,11675,15,166,283,90,24,8,0,56,643,3,108,231,52,9,0,0,46,454,5,38,80,52,9,0,3,8,191,3,63,42,26,19,6,0,34,203,130,3104,6676,1638,170,36,32,1391,13167,753,2214,1823,711,294,45,44,1952,7839,95,248,279,334,193,46,61,199,1449,2429,20132,96115,294116,167623,23274,4841,40310,648837
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,986,5723,38724,252988,283736,67932,14978,25345,690414,247,4052,14420,11337,1419,83,40,2792,34390,194,3226,17186,45035,4807,245,94,4823,75610,446,7275,31603,56373,6225,333,134,7614,110003,659,9788,17313,6378,721,129,95,2969,38046,431,4539,24421,4937,260,36,50,1961,36640,478,6376,18160,5590,289,29,19,2103,33045,427,10038,15848,4407,272,14,16,2042,33068,34,413,731,244,125,77,44,314,1990,2032,31148,76480,21560,1663,288,223,9389,142788,595,1938,897,254,121,22,17,1573,5409,157,469,416,361,205,44,38,338,2019,4216,46545,148108,331534,291952,68620,15388,44259,950630
3RQLD,3397,13373,62909,305019,280503,50652,12383,43778,772014,428,5135,31669,19339,1886,205,110,5534,64301,250,3481,18085,29407,4208,318,127,4445,60318,679,8611,49753,48743,6092,517,230,9974,124615,608,6691,21728,7026,719,110,76,4538,41499,164,3753,15660,4084,232,25,25,2182,26125,149,2906,11002,4799,303,17,15,1821,21010,322,4016,11199,4349,255,15,14,2805,22971,33,226,300,155,99,58,24,275,1172,1277,17588,59889,20414,1606,231,158,11625,112782,6747,10882,2466,1638,927,135,175,6356,29317,1467,2710,1222,1125,558,139,169,1281,8666,13563,53158,176236,376938,289693,51671,13117,73014,1047392
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,3,5
4GADE,378,2882,33137,233394,109276,18192,3300,11634,412207,191,5334,30926,24017,2383,250,80,3754,66938,31,910,7318,13208,1975,237,36,981,24706,225,6246,38244,37223,4359,487,123,4734,91645,180,5455,20462,3331,178,33,25,1746,31404,61,614,3129,522,24,0,5,316,4665,77,1127,3672,742,38,8,0,313,5970,73,1187,2015,485,10,4,0,268,4043,5,70,84,66,29,14,5,95,378,393,8453,29353,5147,283,56,38,2741,46455,223,599,406,228,71,13,9,532,2080,83,253,317,392,155,26,26,176,1435,1307,18443,101455,276385,114148,18774,3495,19820,553819
