GCCSA_PEP_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Tot_M,Tot_F,Tot_P
1GSYD,59207,29458,30421,59878,29956,31124,61078,30328,31487,61819,29635,30388,60023,148764,153242,302006,28657,30260,58914,27069,28958,56019,26221,27582,53801,25760,27951,53713,24676,26882,51563,132388,141627,274009,23769,26110,49877,22896,25509,48407,22139,24352,46484,21410,23789,45199,20125,22642,42772,110333,122407,232739,20018,22182,42195,19738,21799,41536,18765,20772,39530,19127,20849,39982,19153,20978,40134,96802,106577,203383,16150,17972,34119,14774,16638,31414,14269,15643,29912,12218,13925,26138,11647,13246,24889,69062,77418,146478,45865,56144,102004,26144,36597,62747,11656,20641,32294,2731,6608,9335,254,941,1186,6506,6974,13479,2581571,2642142,5223712
1RNSW,34372,17214,18119,35337,18484,19267,37753,18972,20220,39196,19479,20534,40015,90890,95777,186667,19571,20572,40142,19062,20189,39252,19005,20246,39250,18668,19857,38524,18449,19401,37853,94750,100267,195021,18307,18841,37149,17818,18800,36616,17457,18283,35737,17798,18296,36090,17015,17683,34697,88393,91891,180284,16966,17374,34344,16410,16916,33325,16051,16352,32397,15964,16016,31977,16675,17229,33906,82063,83887,165950,13406,13700,27109,12870,13513,26379,11845,12844,24686,10272,11291,21563,9942,10768,20707,58333,62109,120445,37139,43871,81011,19919,27850,47772,8412,15004,23412,1722,4415,6131,138,582,718,2229,1742,3971,1401513,1444721,2846239
19799,3,0,0,4,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,4,0,4,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,31,4,38
2GMEL,55701,26909,28257,55163,26861,28580,55436,27267,28258,55523,26409,27570,53979,134632,141178,275810,25926,27374,53301,24438,26516,50951,24101,25663,49760,22900,24964,47868,22238,24591,46830,119596,129110,248708,21918,23836,45756,20791,22988,43779,19418,22059,41478,19184,21465,40650,18271,20838,39106,99586,111185,210766,17922,20742,38656,17322,19990,37313,16748,19267,36010,16847,19370,36218,17531,20021,37550,86363,99389,185752,14660,16447,31105,13447,15426,28870,12606,14714,27318,10993,13100,24090,10912,12813,23723,62625,72494,135118,42817,53660,96483,24536,35446,59984,10980,19276,30256,2534,5809,8344,225,815,1039,5352,5840,11189,2413108,2488067,4901169
2RVIC,19683,9738,10355,20089,10079,10853,20934,10442,11359,21801,10766,11601,22366,50464,54412,104877,10702,11489,22191,10480,11119,21601,10609,11296,21897,10419,11083,21499,10136,10727,20868,52347,55717,108066,10265,10623,20888,9997,10608,20606,9930,10305,20233,9794,10386,20183,9709,9804,19505,49696,51720,101416,9402,9526,18928,9282,9605,18881,8759,9051,17804,8662,8867,17530,8984,9282,18266,45087,46323,91413,7281,7410,14693,6627,7060,13694,6098,6633,12734,5469,5932,11402,5336,5878,11215,30821,32917,63735,20057,23207,43268,10643,14870,25516,4632,8175,12810,1005,2474,3478,75,315,385,935,799,1736,771787,799391,1571178
29799,21,17,10,24,9,0,9,19,4,24,20,0,20,84,16,101,7,0,7,18,0,18,16,0,16,4,0,4,6,3,10,50,3,61,5,0,5,5,0,5,4,0,4,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,72,565
3GBRI,28073,13795,14452,28249,14092,14824,28920,13909,14949,28857,13604,14603,28208,69060,73249,142303,13425,14357,27787,12794,13495,26282,12272,13394,25670,11679,12914,24589,11412,12562,23967,61578,66717,128293,11412,12221,23639,10805,11907,22711,10333,11639,21969,10232,11386,21621,10210,11332,21535,52993,58484,111477,9783,10865,20647,9660,10785,20449,9414,10476,19888,9111,10099,19208,9600,10555,20157,47572,52777,100345,7776,8647,16422,7434,8261,15697,6743,7546,14282,5759,6565,12326,5697,6375,12075,33411,37402,70810,20390,24733,45120,10475,15317,25793,4626,8553,13178,966,2619,3582,99,362,459,3033,2867,5899,1235654,1283364,2519014
3RQLD,33530,16476,17565,34042,17408,18289,35695,17588,18689,36278,17746,18794,36539,85516,90566,176079,17917,19000,36915,17287,18384,35682,17216,17876,35094,16738,17827,34566,16573,17018,33591,85727,90111,175840,16218,16930,33144,16099,16821,32923,15718,16515,32237,15913,16264,32176,15674,15453,31126,79625,81976,161609,15404,15375,30785,15000,15238,30236,14445,14463,28905,14326,14020,28342,14950,14775,29727,74123,73866,147994,12142,11830,23976,11421,11554,22971,10441,10536,20977,8822,9192,18021,8486,8855,17340,51318,51970,103290,30658,33332,63996,15181,19452,34632,5908,10048,15954,1241,2908,4151,93,394,491,5363,3611,8979,1330649,1360596,2691254
39799,6,0,0,0,3,0,3,0,0,0,0,0,0,17,4,15,4,0,4,4,0,0,3,0,3,3,0,3,0,0,0,14,0,16,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,13,0,13,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,24,317,65,385
4GADE,16762,8214,8711,16928,8280,8788,17070,8310,8800,17109,8128,8801,16932,41083,43710,84795,8283,8875,17157,7927,8615,16551,7735,8560,16299,7550,8132,15677,7232,8221,15450,38730,42398,81128,7038,7974,15020,6971,7623,14593,6619,7609,14230,6642,7502,14137,6500,7274,13777,33771,37983,71752,6283,7313,13592,6274,7089,13356,5964,6919,12885,5925,6777,12703,6426,7152,13579,30877,35245,66116,5055,5879,10934,4654,5539,10188,4388,5063,9449,3930,4718,8652,3761,4441,8199,21790,25636,47425,14462,18860,33321,8619,12442,21064,3994,7273,11269,974,2444,3419,116,336,450,1208,1286,2497,674396,704664,1379064
