GCCSA_PEP_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
1GSYD,20384,3456,5024,68,31,28960,4931,842,1153,16,0,6942,4300,775,1090,9,9,6180,6996,1208,1968,19,5,10190,9694,1647,2796,30,11,14182,29061,5044,9425,74,34,43637,36070,6853,13620,96,51,56699,71094,13046,27557,183,121,111993,58122,9327,18410,103,122,86091,69945,11464,16513,111,101,98138,80321,14554,12324,144,100,107436,29016,4489,6662,62,50,40282,419940,72704,116535,917,638,610733
1RNSW,14941,902,412,70,52,16384,6808,459,204,37,13,7515,6321,483,209,38,5,7057,12352,743,344,82,26,13547,17391,973,581,64,37,19047,48635,2717,1544,159,55,53111,52310,3234,1401,114,60,57117,64355,3164,1468,117,83,69185,31247,1200,556,56,34,33098,24026,834,431,37,31,25364,15320,474,331,44,42,16210,17690,924,437,79,32,19165,311400,16114,7928,901,461,336795
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,25541,4081,2268,33,25,31943,7954,1263,659,11,3,9893,6877,1088,663,6,4,8645,11677,1901,1200,22,9,14804,16090,2701,2068,25,6,20890,51932,9237,8706,101,35,70010,73004,12512,11601,105,62,97288,121350,17927,13687,143,79,153189,61745,9978,5630,63,40,77457,56146,10239,4511,68,45,71005,50921,9562,3213,51,41,63789,35409,5269,2845,46,29,43591,518628,85779,57046,683,368,662506
2RVIC,9605,324,66,30,22,10055,5780,206,50,12,5,6054,5515,180,42,23,3,5767,11197,453,92,38,11,11785,15537,616,167,35,19,16359,40871,1295,270,62,39,42536,37444,849,142,53,42,38525,32928,599,115,51,49,33738,11805,194,24,25,17,12061,8734,141,27,13,12,8935,6039,93,13,19,15,6183,11678,299,58,30,12,12071,197123,5240,1060,392,253,204070
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,11842,714,868,8,10,13439,4280,353,256,0,0,4894,3659,389,327,6,4,4385,6637,804,649,16,5,8103,10031,1295,1090,11,10,12430,35013,4484,4248,30,36,43815,50526,4671,4915,25,45,60176,69950,3723,4325,40,48,78084,34249,1263,1556,11,12,37097,27523,805,1198,13,21,29567,18878,457,989,9,18,20356,16083,952,955,16,16,18028,288672,19916,21377,184,222,330371
3RQLD,12466,1002,838,144,94,14534,5556,617,366,42,18,6591,5284,569,366,38,15,6269,10679,995,788,103,22,12588,15604,1480,1232,85,46,18448,45718,4559,2988,190,76,53523,51052,4752,2866,143,91,58899,59526,3655,2448,131,100,65861,25073,1123,809,63,32,27103,18300,786,714,37,43,19874,11917,513,514,59,64,13070,17515,1235,952,78,62,19842,278680,21296,14862,1110,667,316618
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,8118,1044,315,16,19,9510,3713,542,166,8,0,4431,3478,532,185,4,4,4203,6625,1042,421,12,10,8104,9802,1519,775,10,6,12109,31645,4151,1807,20,64,37682,35439,4072,1214,11,57,40793,33752,3624,743,16,69,38196,13142,1311,217,6,29,14704,10652,941,160,9,16,11771,7560,602,144,8,14,8332,8319,960,303,6,19,9606,172237,20343,6442,118,303,199451
