GCCSA_PEP_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
1GSYD,56775,51464,108244,150264,139991,290259,40411,40005,80411,27563,26916,54483,218640,207262,425905,94271,89365,183634,42702,42705,85409,34438,33839,68274,171705,166166,337872,9507,9605,19109,11902,17431,29341,19074,9537,28615,23063,36699,59761,267,260,524,63819,73526,137349,70669,82132,152806,25088,29652,54741,9676,11045,20722,22776,34843,57616,355,363,711,128558,158034,286594,192768,231993,424759,11835,11458,23293,14740,20016,34753,300,268,571,26872,31744,58620,137050,132093,269140,6506,6974,13479,810315,827701,1638016
1RNSW,30573,28219,58796,80006,74336,154339,23705,23200,46902,11757,11493,23249,115610,109159,224765,54513,52209,106717,19879,20795,40673,13049,13448,26494,87507,86541,174051,3622,4195,7817,2934,5325,8257,12935,8462,21396,11479,20668,32147,202,176,372,31166,38824,69987,13856,21744,35607,6179,9745,15928,2805,4778,7579,9133,19319,28453,93,125,214,32069,55713,87782,63319,94632,157949,2411,2436,4847,3754,6759,10514,138,121,257,6301,9311,15620,100397,91670,192071,2229,1742,3971,405941,421273,827217
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3
2GMEL,56217,51400,107617,141308,131346,272654,38249,37282,75532,23180,24135,47315,203053,193037,396091,91570,84630,176208,34089,35048,69144,33722,34780,68504,159618,154678,314297,12156,10617,22771,12107,16220,28331,15096,6764,21864,19796,28277,48067,245,179,425,59404,62062,121459,67767,81484,149250,25889,32103,57997,8028,9657,17681,21337,35276,56614,297,326,622,123319,158843,282163,183028,221197,404227,11509,11057,22566,14477,21290,35764,281,278,562,26272,32622,58892,116402,111485,227884,5352,5840,11189,749933,770256,1520185
2RVIC,16505,15189,31698,42276,38965,81241,15567,15545,31117,5504,5294,10798,63405,59860,123262,27736,26435,54166,13273,14144,27414,8110,8102,16214,49152,48706,97857,2249,2719,4970,1706,3326,5028,5953,3529,9480,5300,8846,14142,121,91,213,15330,18507,33836,6643,11097,17740,2947,5338,8279,1101,2031,3129,4176,9946,14119,61,93,143,14918,28502,43421,30290,47054,77347,1866,1693,3557,2693,4579,7271,115,99,214,4679,6375,11046,54430,50341,104767,935,799,1736,219387,228312,447707
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,49,384,0,0,0,337,49,389
3GBRI,23468,21509,44969,76687,73289,149976,19762,18996,38755,13000,12591,25592,109622,105070,214690,52877,49797,102676,19916,18435,38354,17664,18131,35799,90604,86499,177107,4473,4570,9047,4820,7862,12682,5774,4746,10524,9353,16258,25613,93,103,200,24525,33543,58066,28893,37288,66177,11995,16033,28026,4500,6150,10655,12292,21152,33445,90,115,206,57773,80730,138506,82404,114394,196799,4407,4533,8933,6350,9643,15988,102,118,218,10860,14285,25144,63285,58266,121554,3033,2867,5899,383277,402887,786161
3RQLD,20700,19056,39755,73434,69053,142484,20667,20228,40892,14159,14168,28332,108434,103618,212052,54869,51996,106863,17064,17669,34732,17101,16788,33895,89144,86578,175721,3493,3220,6714,3436,5488,8925,6080,4978,11060,8500,16805,25303,115,130,247,21626,30617,52238,11940,20697,32640,6581,11729,18315,2792,4875,7666,8515,18430,26943,78,106,185,29905,55841,85747,51604,86574,138176,3295,3430,6725,5981,9374,15359,110,129,240,9386,12931,22324,114547,96327,210870,5363,3611,8979,399182,408698,807883
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,29,228,17,10,24,210,42,257
4GADE,11706,10782,22484,39851,36723,76580,11210,10832,22046,9389,9268,18655,60530,56909,117444,21376,19983,41362,9812,10059,19873,10187,10296,20482,41409,40388,81801,2458,1919,4374,2804,4134,6937,3356,2234,5588,5768,8699,14473,72,59,130,14457,17045,31504,16968,21563,38533,7569,9588,17148,2135,2760,4899,6010,10322,16328,71,79,146,32751,44307,77063,47274,61423,108705,2029,2126,4155,3230,4758,7992,69,68,139,5331,6952,12287,25889,25406,51295,1208,1286,2497,193357,203150,396509
4RSAU,2715,2617,5330,12027,11190,23213,2278,2237,4513,2219,2224,4441,16531,15667,32204,7830,7420,15253,1223,1278,2495,1512,1624,3136,10570,10331,20904,259,320,573,231,565,801,1044,695,1741,1113,2074,3187,28,27,56,2670,3682,6355,538,1369,1908,348,898,1245,147,357,507,613,1769,2385,6,14,17,1659,4411,6064,4330,8095,12426,263,289,557,437,919,1360,26,25,48,728,1235,1965,17159,12889,30043,864,250,1113,52906,51079,103989
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,7,0,7,12,0,12
5GPER,19227,17668,36893,64027,60070,124100,14590,14506,29095,12456,12320,24778,91218,87058,178281,41603,38686,80283,15284,15051,30328,16345,16033,32371,73302,69857,143165,4910,4642,9551,3902,6634,10535,6241,3626,9864,6795,12055,18851,94,87,183,21936,27048,48987,22405,28771,51175,8910,11823,20734,3736,4702,8438,8572,14477,23056,102,121,224,43723,59898,103621,65784,87073,152862,3162,3453,6610,5282,8274,13554,97,97,198,8539,11825,20361,48255,44091,92350,2777,2614,5399,309106,320196,629302
5RWAU,4379,4232,8611,16866,15499,32369,3939,3820,7757,2401,2343,4741,23243,21689,44924,11361,10753,22114,2944,3166,6110,2153,2348,4500,16478,16279,32760,722,690,1418,430,844,1279,1788,1084,2864,1806,3492,5298,38,26,62,4788,6132,10918,499,1153,1651,502,1214,1719,201,477,678,1349,2991,4337,17,11,30,2557,5850,8410,7353,12001,19352,508,516,1028,909,1517,2429,36,23,51,1452,2058,3507,46467,28217,74681,1198,785,1988,100562,85258,185816
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,5,6,3,9,22,0,21,0,0,0,30,3,32,3,0,3,5,0,5,0,0,0,21,5,27,0,0,0,33,5,36,60,10,69,0,0,0,8,3,7,0,0,0,8,3,7,1252,127,1379,143,16,164,1464,160,1629
6GHOB,1669,1557,3226,7221,6504,13727,2138,2273,4404,1125,1128,2256,10495,9912,20411,4092,3789,7877,1823,2005,3827,1485,1396,2887,7406,7197,14608,540,512,1060,1260,1300,2559,841,464,1308,1420,1447,2869,17,18,36,4079,3743,7826,1983,2423,4407,1562,1847,3409,308,412,714,1267,2304,3569,11,8,18,5133,6990,12118,9221,10750,19972,520,576,1093,517,818,1334,19,8,29,1047,1407,2458,5868,5499,11363,332,172,502,36037,36499,72541
6RTAS,1665,1602,3268,9332,8893,18225,2040,1926,3965,1244,1266,2503,12626,12094,24717,5949,5721,11671,1614,1666,3283,1303,1254,2558,8877,8659,17535,501,538,1039,575,755,1328,1069,644,1709,1191,1608,2791,27,20,47,3357,3560,6920,964,1546,2509,737,1134,1875,194,353,551,896,1843,2737,9,17,27,2798,4897,7691,6167,8473,14634,498,491,998,479,846,1324,15,16,39,995,1360,2360,9395,8944,18339,323,207,529,40033,41340,81374
69799,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,4,0,0,0,0,0,6,0,0,0,4,3,10,4,8,9,0,0,0,0,0,0,0,0,0,0,0,0,101,15,109,8,0,13,113,18,134
7GDAR,1395,1316,2706,4774,4513,9288,714,726,1444,795,871,1667,6291,6122,12414,2821,2827,5641,751,726,1472,800,845,1647,4374,4397,8771,183,142,327,326,349,680,307,246,552,648,1047,1691,4,5,16,1471,1787,3264,658,986,1648,812,1286,2104,229,379,607,996,2106,3094,8,11,19,2705,4765,7471,4187,6565,10748,359,370,732,362,685,1047,4,7,15,735,1065,1798,9015,7619,16639,2077,552,2629,28067,27630,55699
7RNTE,886,794,1678,3988,3577,7568,629,603,1236,400,394,793,5018,4580,9598,1659,1609,3266,379,400,781,509,400,905,2545,2415,4959,41,37,72,69,86,157,118,88,208,303,431,733,5,3,8,540,643,1181,60,150,205,138,288,429,38,116,153,443,875,1329,4,6,8,690,1430,2121,1235,2074,3304,115,116,236,141,236,383,12,9,21,272,370,641,8442,6172,14617,348,217,562,18751,16619,35364
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,7,0,0,0,3,0,9,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,135,19,151,12,7,17,154,19,172
8ACTE,4599,4228,8829,12924,12006,24931,4504,4192,8697,2173,2273,4445,19630,18490,38120,8461,7716,16177,3652,3466,7120,2234,2427,4653,14357,13622,27985,726,676,1402,1078,1145,2220,1579,957,2535,2472,3225,5695,18,14,28,5865,6018,11884,7770,9246,17010,3206,3521,6728,1149,1489,2636,4235,5880,10114,30,28,62,16385,20159,36551,22282,26206,48482,1069,947,2012,1637,2102,3739,11,18,30,2711,3070,5784,9260,8361,17617,553,597,1151,73391,74573,147967
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,46,33,81,180,172,354,0,0,0,0,0,0,180,172,354,116,117,224,0,4,3,0,0,3,116,117,230,6,0,9,4,0,3,11,6,20,18,23,43,0,0,0,40,36,84,4,6,12,0,10,12,0,10,5,15,22,39,0,0,3,29,46,71,69,83,153,6,0,6,5,8,17,0,0,0,15,10,26,703,427,1129,15,10,23,1147,846,1998
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
