GCCSA_PEP_CODE_2021,M_Part_a_r_mar_0_14,M_Part_a_r_mar_15_24,M_Part_a_r_mar_25_34,M_Part_a_r_mar_35_44,M_Part_a_r_mar_45_54,M_Part_a_r_mar_55_64,M_Part_a_r_mar_65_74,M_Part_a_r_mar_75_84,M_Part_a_r_mar_85ov,M_Part_a_r_mar_Tot,M_Part_de_f_mar_0_14,M_Part_de_f_mar_15_24,M_Part_de_f_mar_25_34,M_Part_de_f_mar_35_44,M_Part_de_f_mar_45_54,M_Part_de_f_mar_55_64,M_Part_de_f_mar_65_74,M_Part_de_f_mar_75_84,M_Part_de_f_mar_85ov,M_Part_de_f_mar_Tot,M_LPar_0_14_yr,M_LPar_15_24_yr,M_LPar_25_34_yr,M_LPar_35_44_yr,M_LPar_45_54_yr,M_LPar_55_64_yr,M_LPar_65_74_yr,M_LPar_75_84_yr,M_LPar_85_yr_over,M_LPar_Tot,M_Child_u_15_0_14_yr,M_Child_u_15_15_24_yr,M_Child_u_15_25_34_yr,M_Child_u_15_35_44_yr,M_Child_u_15_45_54_yr,M_Child_u_15_55_64_yr,M_Child_u_15_65_74_yr,M_Child_u_15_75_84_yr,M_Child_u_15_85_yr_over,M_Child_u_15_Tot,M_Dep_stu15_24_0_14,M_Dep_stu15_24_15_24,M_Dep_stu15_24_25_34,M_Dep_stu15_24_35_44,M_Dep_stu15_24_45_54,M_Dep_stu15_24_55_64,M_Dep_stu15_24_65_74,M_Dep_stu15_24_75_84,M_Dep_stu15_24_85_over,M_Dep_stu15_24_Tot,M_Non_dep_child_0_14,M_Non_dep_child_15_24,M_Non_dep_child_25_34,M_Non_dep_child_35_44,M_Non_dep_child_45_54,M_Non_dep_child_55_64,M_Non_dep_child_65_74,M_Non_dep_child_75_84,M_Non_dep_child_85_over,M_Non_dep_child_Tot,M_Oth_rel_ind_0_14,M_Oth_rel_ind_15_24,M_Oth_rel_ind_25_34,M_Oth_rel_ind_35_44,M_Oth_rel_ind_45_54,M_Oth_rel_ind_55_64,M_Oth_rel_ind_65_74,M_Oth_rel_ind_75_84,M_Oth_rel_ind_85ov,M_Oth_rel_ind_Tot,M_Unrel_ind_liv_fam_hh_0_14,M_Unre_ind_liv_fam_hh_15_24,M_Unre_ind_liv_fam_hh_25_34,M_Unre_ind_liv_fam_hh_35_44,M_Unre_ind_liv_fam_hh_45_54,M_Unre_ind_liv_fam_hh_55_64,M_Unre_ind_liv_fam_hh_65_74,M_Unre_ind_liv_fam_hh_75_84,M_Unrel_ind_liv_fam_hh_85ov,M_Unrel_ind_liv_fam_hh_Tot,M_Group_hh_mem_0_14,M_Group_hh_mem_15_24,M_Group_hh_mem_25_34,M_Group_hh_mem_35_44,M_Group_hh_mem_45_54,M_Group_hh_mem_55_64,M_Group_hh_mem_65_74,M_Group_hh_mem_75_84,M_Group_hh_mem_85ov,M_Group_hh_mem_Tot,M_LPer_0_14_yr,M_LPer_15_24_yr,M_LPer_25_34_yr,M_LPer_35_44_yr,M_LPer_45_54_yr,M_LPer_55_64_yr,M_LPer_65_74_yr,M_LPer_75_84_yr,M_LPer_85_yr_over,M_LPer_Tot,M_Vis_from_within_Aus_0_14,M_Vis_from_within_Aus_15_24,M_Vis_from_within_Aus_25_34,M_Vis_from_within_Aus_35_44,M_Vis_from_within_Aus_45_54,M_Vis_from_within_Aus_55_64,M_Vis_from_within_Aus_65_74,M_Vis_from_within_Aus_75_84,M_Vis_from_within_Aus_85ov,M_Vis_from_within_Aus_Tot,M_OS_vis_0_14_yr,M_OS_vis_15_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_Overseas_v_Total,M_Tot_0_14_yr,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Part_r_mar_0_14,F_Part_r_mar_15_24,F_Part_r_mar_25_34,F_Part_r_mar_35_44,F_Part_r_mar_45_54,F_Part_r_mar_55_64,F_Part_r_mar_65_74,F_Part_r_mar_75_84,F_Part_r_mar_85ov,F_Part_r_mar_Tot,F_Part_de_f_mar_0_14,F_Part_de_f_mar_15_24,F_Part_de_f_mar_25_34,F_Part_de_f_mar_35_44,F_Part_de_f_mar_45_54,F_Part_de_f_mar_55_64,F_Part_de_f_mar_65_74,F_Part_de_f_mar_75_84,F_Part_de_f_mar_85ov,F_Part_de_f_mar_Tot,F_LPar_0_14_yr,F_LPar_15_24_yr,F_LPar_25_34_yr,F_LPar_35_44_yr,F_LPar_45_54_yr,F_LPar_55_64_yr,F_LPar_65_74_yr,F_LPar_75_84_yr,F_LPar_85_yr_over,F_LPar_Tot,F_Child_u_15_0_14_yr,F_Child_u_15_15_24_yr,F_Child_u_15_25_34_yr,F_Child_u_15_35_44_yr,F_Child_u_15_45_54_yr,F_Child_u_15_55_64_yr,F_Child_u_15_65_74_yr,F_Child_u_15_75_84_yr,F_Child_u_15_85_yr_over,F_Child_u_15_Tot,F_Dep_stu15_24_0_14,F_Dep_stu15_24_15_24,F_Dep_stu15_24_25_34,F_Dep_stu15_24_35_44,F_Dep_stu15_24_45_54,F_Dep_stu15_24_55_64,F_Dep_stu15_24_65_74,F_Dep_stu15_24_75_84,F_Dep_stu15_24_85_over,F_Dep_stu15_24_Tot,F_Non_dep_child_0_14,F_Non_dep_child_15_24,F_Non_dep_child_25_34,F_Non_dep_child_35_44,F_Non_dep_child_45_54,F_Non_dep_child_55_64,F_Non_dep_child_65_74,F_Non_dep_child_75_84,F_Non_dep_child_85_over,F_Non_dep_child_Tot,F_Oth_rel_ind_0_14,F_Oth_rel_ind_15_24,F_Oth_rel_ind_25_34,F_Oth_rel_ind_35_44,F_Oth_rel_ind_45_54,F_Oth_rel_ind_55_64,F_Oth_rel_ind_65_74,F_Oth_rel_ind_75_84,F_Oth_rel_ind_85ov,F_Oth_rel_ind_Tot
4RSAU,..,224,4825,9162,11246,14370,16038,9315,1996,67177,..,1534,4912,3039,2931,2734,1568,457,54,17232,..,60,298,720,1152,696,334,200,134,3590,30846,..,..,..,..,..,..,..,..,30846,..,5948,..,..,..,..,..,..,..,5948,..,6891,2890,1206,914,433,54,3,0,12395,..,947,554,283,296,454,364,172,76,3142,..,429,432,203,207,172,78,17,11,1544,..,733,1058,544,587,715,546,192,48,4423,..,890,2303,2220,3791,5811,5261,2850,1201,24323,553,697,709,521,490,494,425,151,44,4092,0,31,85,41,10,11,3,6,3,199,31405,18379,18066,17937,21629,25890,24678,13362,3561,174913,..,442,6522,10721,12444,15389,15086,7000,940,68557,..,2347,5253,3152,3086,2587,1259,287,39,18013,..,479,2214,3085,3135,1513,741,577,374,12115,29335,..,..,..,..,..,..,..,..,29335,..,6168,..,..,..,..,..,..,..,6168,..,3974,1413,495,376,299,84,0,0,6639,..,656,282,124,266,514,539,420,247,3042
49799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
5GPER,..,1023,36475,81298,77138,68540,57745,31076,7525,360824,..,6756,32030,19291,13052,9039,4420,1347,228,86161,..,180,1140,3522,5502,3631,1643,765,478,16872,196251,..,..,..,..,..,..,..,..,196251,..,51843,..,..,..,..,..,..,..,51843,..,37622,21687,7126,4321,1861,333,3,0,72967,..,6130,5493,2057,1668,1949,1615,899,468,20282,..,3119,4658,1862,1169,727,371,134,23,12055,..,8072,13971,4624,3258,2884,1951,713,151,35630,..,3708,14183,14210,14247,15804,13957,8078,3503,87691,2317,2817,3052,2307,1856,1472,1115,506,156,15595,121,116,239,181,174,253,270,94,19,1464,198689,121378,132932,136483,122389,106176,83423,43608,12560,957634,..,2438,54745,91785,80814,68535,52571,22584,3576,377040,..,10853,36569,19374,13152,8129,3368,869,109,92426,..,1611,9754,17641,19577,10863,4747,3015,2014,69223,185600,..,..,..,..,..,..,..,..,185600,..,53329,..,..,..,..,..,..,..,53329,..,26344,13160,3222,2090,1495,376,13,0,46697,..,5557,3565,1208,1643,3849,4595,2857,1724,24998
5RWAU,..,342,6844,14475,15725,16825,15105,7815,1703,78833,..,2330,7500,5209,4270,3518,1754,466,61,25100,..,78,337,1039,1395,806,403,206,128,4393,47238,..,..,..,..,..,..,..,..,47238,..,7150,..,..,..,..,..,..,..,7150,..,8692,3172,1430,955,416,70,0,0,14737,..,1564,931,527,463,586,505,227,109,4903,..,665,790,389,300,233,125,38,4,2544,..,1043,1767,822,793,915,597,203,35,6174,..,1277,3040,3060,4394,5730,5179,2516,904,26099,902,991,981,828,723,792,876,347,69,6520,24,35,73,29,16,24,26,11,3,239,48162,24163,25444,27799,29031,29852,24632,11826,3025,223925,..,615,9951,17228,17187,17341,13709,5650,788,82468,..,3555,8489,5485,4561,3245,1238,314,28,26923,..,623,2818,4463,3945,1788,913,650,366,15551,44554,..,..,..,..,..,..,..,..,44554,..,7500,..,..,..,..,..,..,..,7500,..,5480,1615,607,458,307,77,4,0,8547,..,1225,506,282,476,866,847,538,298,5030
59799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,10,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
6GHOB,..,136,4679,7458,7150,7622,7402,4013,949,39418,..,891,4317,2713,2040,1519,781,277,30,12572,..,29,201,570,805,547,212,113,65,2546,20141,..,..,..,..,..,..,..,..,20141,..,4974,..,..,..,..,..,..,..,4974,..,4183,2333,889,620,266,49,0,0,8335,..,624,624,198,190,274,235,113,55,2320,..,622,1682,333,140,92,60,18,7,2945,..,1109,2796,581,349,382,257,96,22,5599,..,298,1372,1346,1716,2340,2056,1179,544,10853,297,466,539,345,275,219,159,56,19,2380,0,8,19,4,7,13,12,3,0,77,20444,13332,18570,14442,13290,13285,11238,5877,1693,112172,..,331,5978,7904,7636,7782,6762,3054,449,39901,..,1308,4715,2662,1999,1366,639,156,19,12861,..,304,1493,2435,2500,1338,626,443,261,9401,19060,..,..,..,..,..,..,..,..,19060,..,4971,..,..,..,..,..,..,..,4971,..,2773,1322,408,279,203,42,0,0,5028,..,518,362,116,192,427,460,299,169,2547
6RTAS,..,210,4453,7545,9184,11453,11601,6489,1267,52200,..,1307,4321,2908,2672,2338,1292,336,45,15216,..,53,282,645,885,587,259,179,87,2977,24336,..,..,..,..,..,..,..,..,24336,..,5189,..,..,..,..,..,..,..,5189,..,5724,2649,1005,836,330,58,0,0,10605,..,660,474,208,249,329,280,158,65,2428,..,483,740,203,146,117,68,28,4,1785,..,706,1510,408,435,543,474,198,45,4311,..,544,1683,1685,2659,3924,3821,2064,774,17151,418,610,619,404,351,377,212,82,19,3083,8,11,25,13,14,16,11,0,0,95,24761,15490,16768,15025,17428,20003,18072,9534,2304,139393,..,419,5835,8572,10144,12062,10629,4624,602,52879,..,1925,4695,2929,2698,2098,923,203,17,15481,..,443,1996,2855,2835,1393,699,553,289,11068,23133,..,..,..,..,..,..,..,..,23133,..,5476,..,..,..,..,..,..,..,5476,..,3548,1309,439,402,268,54,0,0,6026,..,494,234,113,196,529,485,366,182,2589
69799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
7GDAR,..,100,2986,5028,4262,3445,2361,963,140,19282,..,689,2543,1626,1225,814,343,85,3,7327,..,27,110,294,366,265,132,49,16,1262,13080,..,..,..,..,..,..,..,..,13080,..,2294,..,..,..,..,..,..,..,2294,..,2225,1103,425,211,71,3,0,0,4045,..,449,420,138,164,176,155,88,31,1626,..,310,667,187,134,115,61,13,4,1499,..,623,1345,433,354,318,207,65,7,3352,..,324,970,813,1031,1150,959,353,79,5676,267,250,368,253,208,324,504,172,19,2362,7,15,30,11,10,12,21,3,0,114,13364,7316,10548,9209,7975,6689,4744,1783,300,61915,..,272,4285,5579,4338,3201,1888,546,41,20161,..,983,2907,1780,1186,711,254,45,4,7856,..,162,764,1231,1128,580,279,151,67,4354,12554,..,..,..,..,..,..,..,..,12554,..,2360,..,..,..,..,..,..,..,2360,..,1438,587,208,109,65,9,0,0,2420,..,369,315,90,172,349,377,189,81,1949
7RNTE,..,522,2089,2639,2074,1770,989,295,32,10415,..,355,1258,913,708,443,177,30,4,3891,..,35,117,183,212,158,107,31,13,855,9574,..,..,..,..,..,..,..,..,9574,..,989,..,..,..,..,..,..,..,989,..,2093,889,320,135,34,4,0,0,3474,..,1064,634,471,390,317,161,57,16,3115,..,142,208,78,50,50,18,9,0,542,..,166,386,167,151,135,69,20,0,1093,..,171,565,466,576,641,481,154,21,3071,239,213,265,168,127,154,168,54,4,1394,0,9,9,3,0,8,5,0,0,35,9815,5750,6424,5403,4424,3709,2175,646,96,38449,..,714,2568,2739,2089,1557,720,164,12,10570,..,481,1438,903,720,367,102,21,4,4043,..,292,860,923,739,439,229,102,21,3608,8742,..,..,..,..,..,..,..,..,8742,..,963,..,..,..,..,..,..,..,963,..,1618,655,235,135,26,3,0,0,2671,..,837,452,351,445,499,362,122,32,3097
79799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
8ACTE,..,283,10210,20130,16690,13218,10881,5849,1388,78645,..,1896,8659,4489,3006,1853,896,248,31,21087,..,22,244,886,1310,740,280,143,88,3718,40853,..,..,..,..,..,..,..,..,40853,..,10396,..,..,..,..,..,..,..,10396,..,6593,3858,1228,780,323,55,0,0,12842,..,1198,1309,389,310,341,272,150,87,4057,..,1103,2132,493,231,161,47,21,3,4197,..,3156,4882,1166,654,533,289,98,22,10798,..,899,3965,3253,3060,2998,2409,1356,628,18550,428,758,888,549,474,334,255,105,29,3820,16,39,53,32,37,47,57,20,5,316,41303,26345,36197,32611,26559,20546,15441,7992,2286,209285,..,679,13827,21012,16175,12663,9898,4300,663,79213,..,2776,8926,4234,2809,1591,670,172,19,21205,..,210,1532,3362,3940,2113,865,560,356,12933,38318,..,..,..,..,..,..,..,..,38318,..,10185,..,..,..,..,..,..,..,10185,..,4710,2363,660,388,211,65,0,0,8393,..,1024,967,298,282,698,830,605,270,4975
89799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
9OTER,..,6,54,121,126,156,151,59,13,693,..,12,35,27,39,48,13,9,0,187,..,0,0,9,11,9,6,3,0,35,374,..,..,..,..,..,..,..,..,374,..,41,..,..,..,..,..,..,..,41,..,60,25,15,3,0,0,0,0,103,..,11,4,8,4,8,4,3,7,51,..,0,3,0,0,0,0,0,0,7,..,5,0,4,0,12,3,0,0,24,..,11,22,23,37,72,52,21,4,239,4,8,5,5,10,4,7,0,0,39,0,0,0,0,3,0,0,0,0,7,384,143,161,207,237,304,246,98,25,1814,..,9,69,142,128,174,114,48,0,694,..,16,46,44,39,34,11,0,0,195,..,4,12,23,37,14,11,6,4,105,318,..,..,..,..,..,..,..,..,318,..,57,..,..,..,..,..,..,..,57,..,42,11,9,9,4,0,0,0,71,..,11,7,3,5,9,6,11,3,54
99799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
