GCCSA_PEP_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
1GSYD,2081405,2168529,4249932,821901,592752,1414647,281759,424445,706210,149775,148866,298640,71135,58146,129281,1324567,1224206,2548773,642193,829141,1471325,5.4,4.7,5.1,63.6,56.5,60,60.2,53.8,56.9,197984,200193,398175,33273,56930,90198,424512,501574,926087,177759,233238,411000,333288,171361,504650,13757,25403,39157,32444,51147,83589,379490,247905,627398,2019823,2080780,4100606,392473,397498,789969,1283799,1338240,2622033,995398,1014631,2010018
1RNSW,1138231,1195950,2334183,447579,272347,719928,149825,294742,444563,42563,52854,95416,33897,26466,60365,673864,646407,1320272,387851,472963,860816,5,4.1,4.6,59.2,54,56.6,56.2,51.8,54,40411,46345,86762,14250,30836,45085,113076,174851,287933,79147,124551,203701,311770,169793,481565,11646,22114,33766,18193,32900,51096,341610,224816,566423,1091010,1130238,2221249,190119,203098,393218,722044,740808,1462856,491687,528971,1020658
19799,31,4,32,26,0,27,0,0,0,0,0,0,0,0,0,33,3,35,0,0,0,0,0,0,96.9,66.7,94.3,96.9,66.7,94.3,0,0,0,0,0,0,0,0,4,0,0,0,7,0,7,0,0,0,0,0,0,11,0,11,29,3,33,6,0,6,20,0,19,12,3,17
2GMEL,1950795,2049353,4000139,904847,560497,1465342,294192,518254,812442,68176,88376,156553,72243,64435,136680,1339451,1231561,2571012,514526,721854,1236379,5.4,5.2,5.3,68.7,60.1,64.3,65,57,60.9,171990,180374,352362,40190,78291,118487,381358,457440,838797,177371,220489,397855,328769,170881,499650,13251,20003,33257,24160,36474,60635,366180,227360,593539,1914256,1985480,3899735,353716,362507,716226,1214425,1276166,2490592,929431,954241,1883672
2RVIC,628219,663730,1291947,259699,142675,402376,83196,179248,262444,23310,30397,53711,17170,13396,30562,383373,365712,749081,203499,256168,459670,4.5,3.7,4.1,61,55.1,58,58.3,53.1,55.6,20154,25178,45335,10134,23445,33582,61706,97933,159638,46790,72500,119293,165342,88487,253835,5710,10083,15788,7841,11157,19000,178899,109728,288625,609142,633194,1242341,98013,105449,203460,400767,412545,813318,269859,290751,560616
29799,493,72,565,131,22,147,7,0,7,11,0,13,4,0,4,151,22,174,7,0,9,1.3,0,1.2,30.5,29.2,30.4,30.1,29.2,30,3,0,3,3,0,3,16,3,19,21,3,32,68,6,73,8,0,8,8,0,8,80,6,86,135,20,154,25,4,28,91,11,105,60,12,71
3GBRI,983877,1045304,2029184,447611,293594,741207,136200,246992,383197,45868,67154,113018,39009,33252,72259,668689,640992,1309681,267529,355722,623244,5.8,5.2,5.5,68,61.3,64.5,64,58.1,61,62911,65154,128065,18266,34756,53020,158142,208487,366626,84207,115203,199411,217728,127608,345335,11657,15774,27437,14327,21342,35671,243721,164731,408443,949524,989511,1939032,206864,219999,426863,562347,584230,1146574,528342,563209,1091554
3RQLD,1077058,1123033,2200092,431246,269205,700452,134603,270736,405340,46880,57868,104749,36430,30322,66749,649160,628133,1277290,331894,412357,744252,5.6,4.8,5.2,60.3,55.9,58.1,56.9,53.2,55,32565,37846,70409,12660,27654,40312,101893,166038,267931,79192,120643,199835,294189,157905,452093,13245,19576,32823,16265,23885,40146,323701,201366,525067,984505,1016807,2001309,212444,230621,443064,609027,618671,1227700,524345,569176,1093517
39799,302,53,358,70,9,77,8,0,10,15,6,18,3,0,0,88,15,103,21,11,26,3.3,7.1,3.8,30.1,26.9,29.7,29.1,25,28.5,0,0,0,0,0,0,7,4,8,3,0,9,34,11,37,10,0,10,4,0,6,50,10,56,89,14,103,25,10,32,47,11,52,63,11,79
4GADE,551134,587785,1138921,237333,144335,381664,86810,161361,248177,15595,20027,35622,21758,17355,39113,361497,343075,704567,168830,223650,392478,6,5.1,5.6,65.6,58.4,61.9,61.6,55.4,58.4,34181,36697,70882,9879,18262,28140,85163,111184,196347,45096,57569,102660,118803,70368,189172,6328,8637,14961,8077,11809,19880,133210,90814,224022,552572,579402,1131975,87040,90781,177823,365893,383962,749859,241022,255598,496620
