GCCSA_PEP_CODE_2021,F_Inad_desc_Ns_15_19,F_Inad_desc_Ns_20_24,F_Inad_desc_Ns_25_34,F_Inad_desc_Ns_35_44,F_Inad_desc_Ns_45_54,F_Inad_desc_Ns_55_64,F_Inad_desc_Ns_65_74,F_Inad_desc_Ns_75_84,F_Inad_desc_Ns_85_yr_over,F_Inad_desc_Ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Agr_fstry_fsh_15_19,P_Agr_fstry_fsh_20_24,P_Agr_fstry_fsh_25_34,P_Agr_fstry_fsh_35_44,P_Agr_fstry_fsh_45_54,P_Agr_fstry_fsh_55_64,P_Agr_fstry_fsh_65_74,P_Agr_fstry_fsh_75_84,P_Agr_fstry_fsh_85_yr_over,P_Agr_fstry_fsh_Tot,P_Min_15_19_yr,P_Min_20_24_yr,P_Min_25_34_yr,P_Min_35_44_yr,P_Min_45_54_yr,P_Min_55_64_yr,P_Min_65_74_yr,P_Min_75_84_yr,P_Min_85_yr_over,P_Min_Tot,P_Manf_15_19_yr,P_Manf_20_24_yr,P_Manf_25_34_yr,P_Manf_35_44_yr,P_Manf_45_54_yr,P_Manf_55_64_yr,P_Manf_65_74_yr,P_Manf_75_84_yr,P_Manf_85_yr_over,P_Manf_Tot,P_Elec_gas_wtr_wst_sv_15_19,P_Elec_gas_wtr_wst_sv_20_24,P_Elec_gas_wtr_wst_sv_25_34,P_Elec_gas_wtr_wst_sv_35_44,P_Elec_gas_wtr_wst_sv_45_54,P_Elec_gas_wtr_wst_sv_55_64,P_Elec_gas_wtr_wst_sv_65_74,P_Elec_gas_wtr_wst_sv_75_84,P_Elec_gas_wtr_wst_sv_85_ov,P_Elec_gas_wtr_wst_sv_Tot,P_Con_15_19_yr,P_Con_20_24_yr,P_Con_25_34_yr,P_Con_35_44_yr,P_Con_45_54_yr,P_Con_55_64_yr,P_Con_65_74_yr,P_Con_75_84_yr,P_Con_85_yr_over,P_Con_Tot,P_Whl_trd_15_19_yr,P_Whl_trd_20_24_yr,P_Whl_trd_25_34_yr,P_Whl_trd_35_44_yr,P_Whl_trd_45_54_yr,P_Whl_trd_55_64_yr,P_Whl_trd_65_74_yr,P_Whl_trd_75_84_yr,P_Whl_trd_85_yr_over,P_Whl_trd_Tot,P_Re_trd_15_19_yr,P_Re_trd_20_24_yr,P_Re_trd_25_34_yr,P_Re_trd_35_44_yr,P_Re_trd_45_54_yr,P_Re_trd_55_64_yr,P_Re_trd_65_74_yr,P_Re_trd_75_84_yr,P_Re_trd_85_yr_over,P_Re_trd_Tot,P_Acc_food_svc_15_19,P_Acc_food_svc_20_24,P_Acc_food_svc_25_34,P_Acc_food_svc_35_44,P_Acc_food_svc_45_54,P_Acc_food_svc_55_64,P_Acc_food_svc_65_74,P_Acc_food_svc_75_84,P_Acc_food_svc_85_yr_over,P_Acc_food_svc_Tot,P_Trp_pos_wh_15_19,P_Trp_pos_wh_20_24,P_Trp_pos_wh_25_34,P_Trp_pos_wh_35_44,P_Trp_pos_wh_45_54,P_Trp_pos_wh_55_64,P_Trp_pos_wh_65_74,P_Trp_pos_wh_75_84,P_Trp_pos_wh_85_yr_over,P_Trp_pos_wh_Tot,P_In_med_tcom_15_19,P_In_med_tcom_20_24,P_In_med_tcom_25_34,P_In_med_tcom_35_44,P_In_med_tcom_45_54,P_In_med_tcom_55_64,P_In_med_tcom_65_74,P_In_med_tcom_75_84,P_In_med_tcom_85_yr_over,P_In_med_tcom_Tot,P_Fin_in_svc_15_19,P_Fin_in_svc_20_24,P_Fin_in_svc_25_34,P_Fin_in_svc_35_44,P_Fin_in_svc_45_54,P_Fin_in_svc_55_64,P_Fin_in_svc_65_74,P_Fin_in_svc_75_84,P_Fin_in_svc_85_yr_over,P_Fin_in_svc_Tot,P_Rnt_hrg_rea_est_serv_15_19,P_Rnt_hrg_rea_est_serv_20_24,P_Rnt_hrg_rea_est_serv_25_34,P_Rnt_hrg_rea_est_serv_35_44,P_Rnt_hrg_rea_est_serv_45_54,P_Rnt_hrg_rea_est_serv_55_64,P_Rnt_hrg_rea_est_serv_65_74,P_Rnt_hrg_rea_est_serv_75_84,P_Rnt_hrg_rea_est_serv_85_ov,P_Rnt_hrg_rea_est_serv_Tot,P_Prof_sc_tech_serv_15_19,P_Prof_sc_tech_serv_20_24,P_Prof_sc_tech_serv_25_34,P_Prof_sc_tech_serv_35_44,P_Prof_sc_tech_serv_45_54,P_Prof_sc_tech_serv_55_64,P_Prof_sc_tech_serv_65_74,P_Prof_sc_tech_serv_75_84,P_Prof_sc_tech_serv_85_over,P_Prof_sc_tech_serv_Tot,P_Adm_sup_serv_15_19,P_Adm_sup_serv_20_24,P_Adm_sup_serv_25_34,P_Adm_sup_serv_35_44,P_Adm_sup_serv_45_54,P_Adm_sup_serv_55_64,P_Adm_sup_serv_65_74,P_Adm_sup_serv_75_84,P_Adm_sup_serv_85_over,P_Adm_sup_serv_Tot,P_PubAd_saf_15_19,P_PubAd_saf_20_24,P_PubAd_saf_25_34,P_PubAd_saf_35_44,P_PubAd_saf_45_54,P_PubAd_saf_55_64,P_PubAd_saf_65_74,P_PubAd_saf_75_84,P_PubAd_saf_85_yr_over,P_PubAd_saf_Tot,P_Ed_trng_15_19,P_Ed_trng_20_24,P_Ed_trng_25_34,P_Ed_trng_35_44,P_Ed_trng_45_54,P_Ed_trng_55_64,P_Ed_trng_65_74,P_Ed_trng_75_84,P_Ed_trng_85_yr_over,P_Ed_trng_Tot,P_Hlth_cre_socia_assist_15_19,P_Hlth_cre_socia_assist_20_24,P_Hlth_cre_socia_assist_25_34,P_Hlth_cre_socia_assist_35_44,P_Hlth_cre_socia_assist_45_54,P_Hlth_cre_socia_assist_55_64,P_Hlth_cre_socia_assist_65_74,P_Hlth_cre_socia_assist_75_84,P_Hlth_cre_socia_assist_85_ov,P_Hlth_cre_socia_assist_Tot,P_Arts_rec_svc_15_19,P_Arts_rec_svc_20_24,P_Arts_rec_svc_25_34,P_Arts_rec_svc_35_44,P_Arts_rec_svc_45_54,P_Arts_rec_svc_55_64,P_Arts_rec_svc_65_74,P_Arts_rec_svc_75_84,P_Arts_rec_svc_85_yr_over,P_Arts_rec_svc_Tot
4RSAU,151,161,362,420,458,443,219,105,15,2334,5037,6035,14382,15455,18198,16745,4594,671,54,81185,738,1403,3493,3903,4546,4947,3144,972,98,23242,59,348,1608,1461,1269,887,129,10,0,5764,719,1204,2773,3021,3589,3081,679,67,4,15141,28,105,439,429,513,474,106,14,0,2105,705,1331,2986,2828,2855,2631,704,64,5,14099,160,247,602,701,895,849,228,33,0,3713,2732,1674,2757,2520,2906,2670,748,56,4,16060,2941,1376,1886,1503,1648,1589,423,52,0,11428,102,322,894,1087,1647,1959,658,79,6,6745,38,66,185,178,140,151,62,4,0,817,35,112,340,473,514,384,90,29,0,1968,23,74,239,271,317,354,136,30,6,1443,102,287,896,1025,1006,971,435,61,0,4779,140,407,1063,1050,1442,1460,430,42,4,6053,86,354,1355,1764,2246,1904,382,26,0,8113,240,784,2615,3010,3213,2627,821,53,0,13354,411,1575,4180,4192,5315,5912,1278,66,3,22932,154,150,291,267,293,302,98,17,0,1577
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,919,1750,4337,4300,3567,2325,718,189,39,18147,29801,48210,112517,113988,104492,74101,18310,1591,109,503124,271,514,1347,1396,1574,1352,782,249,30,7517,426,3033,14790,17857,14030,7897,1419,95,7,59559,2194,4035,10661,12918,13048,9772,2344,269,13,55246,163,527,2389,3195,2797,1972,385,20,0,11446,3250,7850,22376,22544,18236,13121,3120,248,12,90756,734,1883,5393,6420,6221,4513,1146,144,15,26467,14793,16910,18947,14864,13810,10855,3194,340,23,93730,20321,12991,13513,8936,6061,4204,1138,112,9,67280,890,3068,9792,10846,10384,9092,2763,244,9,47090,430,913,2159,2182,1714,1126,322,54,0,8907,175,1316,5832,7350,6195,3665,992,160,12,25707,234,987,3078,3471,3420,2649,1253,267,26,15386,684,5757,20065,23148,17148,10395,3712,515,31,81458,934,3046,7671,7375,6521,5131,1572,180,10,32443,561,3508,12941,15489,15348,11862,2704,231,10,62664,2368,5819,17185,21039,23229,17841,4856,393,13,92746,2184,12103,35266,34384,31623,25066,6777,519,15,147945,2367,2868,4256,3483,2676,1938,736,131,8,18455
5RWAU,272,339,705,821,810,650,282,99,10,3984,7129,8584,23581,26166,27108,22525,6136,772,37,122040,742,1316,3473,3738,4239,4612,2996,976,126,22217,437,2349,9715,10479,9213,5961,850,36,0,39048,721,1089,2805,3122,2902,2279,603,73,3,13590,70,191,637,881,909,834,152,6,0,3693,1013,1986,5317,5457,5078,4560,1171,77,3,24664,241,431,1165,1230,1326,1046,296,44,0,5767,3464,2098,3444,3493,3856,3484,1000,117,0,20954,4133,1846,3467,2837,2556,2236,753,99,7,17947,227,567,1799,2246,2956,3125,1128,114,4,12174,97,107,265,251,222,185,78,3,0,1210,25,146,505,624,661,487,139,24,0,2604,77,235,622,600,734,645,259,57,5,3239,161,472,1759,2093,1938,1611,662,74,9,8776,234,538,1528,1683,1839,1568,458,51,0,7904,219,601,2491,3239,3870,3398,801,63,0,14680,312,914,3635,5145,5828,4734,1182,86,0,21830,619,1809,5792,6421,6837,6582,1702,107,3,29869,277,215,516,503,508,444,167,31,0,2659
59799,0,0,5,0,0,3,0,0,0,16,7,23,54,28,32,29,5,5,0,186,3,16,34,25,17,11,3,0,0,106,4,15,78,182,166,88,3,0,0,533,0,0,5,14,13,10,6,0,0,44,0,0,7,13,11,8,0,0,0,50,0,0,37,81,61,23,3,0,0,218,0,0,3,7,8,9,0,0,0,27,0,0,0,7,5,3,0,0,0,10,0,4,9,20,17,14,0,0,0,62,0,16,38,57,54,27,3,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,4,0,0,0,0,7,0,0,10,14,25,10,0,0,0,55,0,7,13,17,16,13,4,0,0,64,0,0,3,0,11,6,0,0,0,25,0,0,0,0,0,3,4,0,0,12,0,0,3,0,6,5,0,0,0,18,0,0,0,0,0,0,3,0,0,8
6GHOB,59,113,362,207,213,162,52,21,6,1192,2877,5112,14729,12544,11980,9299,2244,207,19,59019,64,169,694,495,431,333,137,41,4,2372,0,8,60,72,60,49,22,3,0,282,285,476,1416,1292,1212,1065,244,26,5,6026,16,90,609,765,643,401,69,6,0,2600,481,1150,2765,2180,1705,1448,367,33,0,10129,50,147,474,436,450,329,110,10,0,2009,1399,1754,3000,1794,1496,1248,389,48,0,11126,1786,1440,3159,1318,826,540,197,27,0,9293,57,227,1026,778,781,848,230,27,4,3969,35,104,379,364,318,236,74,4,0,1522,23,128,675,729,587,370,90,18,0,2612,23,119,302,246,304,240,116,33,4,1384,84,461,1990,1876,1598,1106,447,59,0,7621,78,260,907,710,689,581,172,21,0,3424,82,489,2312,2961,3310,2248,417,23,0,11849,242,674,2617,2928,3024,2317,619,31,0,12444,171,1484,5466,4223,4039,3690,833,63,3,19987,291,278,622,476,472,376,155,17,4,2688
6RTAS,100,118,271,268,312,255,115,62,11,1511,3937,5429,12995,12866,14723,12705,2976,319,25,65978,360,790,2212,1903,2032,2021,1101,346,37,10807,15,119,510,537,541,458,91,3,0,2280,431,804,2149,2005,2334,2009,410,36,7,10192,18,68,364,425,504,411,74,5,0,1859,718,1335,2749,2116,2152,2011,520,52,3,11650,134,285,673,729,918,769,198,23,0,3727,1976,1680,2588,2079,2403,1996,552,50,4,13327,2356,1397,2212,1308,1274,1190,349,38,0,10128,91,303,996,1121,1510,1685,486,60,0,6247,38,77,206,243,218,207,52,5,0,1049,23,145,488,569,495,370,86,11,0,2184,34,124,294,229,292,291,126,29,8,1424,108,347,1184,1164,1103,942,411,65,4,5321,89,284,723,818,970,854,208,16,3,3965,53,295,1100,1510,1935,1530,282,23,0,6720,151,545,1848,2758,3079,2547,620,44,4,11599,251,1500,4808,4211,4941,4898,1079,54,4,21748,193,158,335,339,370,384,126,12,0,1927
69799,0,0,0,0,0,0,0,0,0,0,0,6,12,12,16,7,0,0,0,48,0,0,6,3,3,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,5,0,0,0,3,3,0,0,0,0,3,0,5,29,40,42,23,7,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,26,17,18,0,0,0,77,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3
7GDAR,80,140,354,267,214,147,59,12,0,1276,1821,3121,10312,8956,7407,5185,1333,108,4,38261,26,67,180,158,209,222,106,25,0,1001,14,73,368,454,461,246,30,5,0,1642,104,161,432,479,474,333,82,4,0,2085,12,47,277,347,305,247,55,5,0,1294,244,495,1691,1717,1419,954,253,26,0,6793,31,89,293,308,314,220,63,9,0,1334,767,746,1460,952,828,639,231,23,0,5640,1173,759,1817,957,576,408,130,14,0,5826,71,222,856,724,763,692,186,17,0,3532,23,49,177,155,105,94,24,0,0,631,9,52,280,242,216,129,53,3,0,975,16,60,230,230,223,163,86,26,0,1032,77,302,1288,1099,789,626,241,23,0,4448,59,186,590,549,525,370,97,11,0,2376,173,1423,3684,3520,3122,1945,428,21,0,14317,137,380,1346,1671,1494,1149,296,16,0,6488,157,761,3450,2642,1818,1387,426,29,5,10680,159,240,525,315,242,164,65,3,0,1705
7RNTE,39,62,162,134,114,88,30,8,0,631,756,1399,4824,3876,3648,3149,826,65,0,18550,161,356,462,305,270,279,133,25,5,1998,17,73,348,458,442,271,33,4,0,1646,39,48,154,140,132,132,42,3,0,705,5,13,71,71,104,103,27,0,0,394,89,196,640,575,486,488,139,12,0,2626,14,37,96,101,65,101,26,7,0,447,313,243,644,429,378,344,133,13,0,2500,238,250,779,409,343,349,115,8,0,2495,31,76,256,237,264,266,84,15,0,1233,7,23,80,61,56,58,15,3,0,306,4,18,59,73,37,55,17,0,0,267,3,24,62,47,58,74,31,3,0,313,15,54,409,321,286,282,107,9,0,1488,26,69,221,204,215,209,70,7,0,1028,77,390,1453,1404,1322,965,232,8,0,5854,128,254,979,919,907,811,220,16,0,4251,92,377,1855,1545,1284,1218,333,18,0,6727,63,104,283,219,186,143,72,8,0,1078
79799,0,0,0,0,0,0,0,0,0,0,0,12,4,6,4,3,4,0,0,35,3,9,15,7,6,9,3,0,0,48,0,0,3,10,23,9,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,6,0,0,0,16,0,0,6,3,3,0,0,0,0,12,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,12,0,10,14,16,17,13,6,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,6,0,5,3,4,5,4,0,0,0,14,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
8ACTE,93,236,631,422,284,158,51,13,6,1893,6850,13594,32054,29313,23547,13928,3191,293,29,122796,32,62,148,107,87,119,76,30,5,674,0,15,33,40,36,19,5,0,0,150,293,425,1040,826,864,503,159,29,0,4140,23,144,529,485,402,243,42,3,0,1882,777,2088,5109,3851,2696,1614,433,54,3,16632,71,235,430,441,402,309,79,9,3,1977,2901,3301,4260,2170,1630,1277,468,61,7,16072,4301,3536,4108,1880,1084,735,192,25,0,15863,92,363,1402,1147,1040,859,303,25,5,5235,97,316,975,1000,806,407,89,18,4,3711,29,287,978,997,699,400,120,22,6,3531,71,354,832,660,501,390,153,39,11,3007,287,2597,7741,7272,5132,2982,971,133,9,27126,168,597,1776,1518,1201,920,284,33,3,6496,708,4679,17739,21444,18316,9249,1513,86,3,73737,1107,2242,5253,5696,4932,3146,877,97,8,23343,640,2937,8239,6750,5131,3646,1013,82,0,28448,674,780,1014,764,628,427,171,39,6,4510
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,5,4,9,5,7,8,6,5,0,50,66,83,203,231,266,266,106,20,0,1244,0,0,6,4,9,11,0,0,0,34,3,5,11,20,29,22,9,0,0,103,4,0,4,4,5,13,3,0,0,34,0,0,10,16,5,16,9,0,0,51,14,20,40,35,54,52,13,4,0,226,0,0,6,3,4,5,3,3,0,34,14,10,16,34,35,53,30,11,3,204,35,20,32,37,49,56,24,4,0,259,0,13,25,19,19,24,9,0,0,114,0,0,0,0,3,7,6,0,0,15,0,0,6,6,6,5,0,0,0,25,0,0,0,8,4,5,0,0,0,20,0,3,6,11,19,31,7,3,0,75,5,6,17,34,31,36,15,3,0,151,37,62,154,122,123,94,38,6,0,641,0,9,35,28,32,43,9,0,0,164,0,4,33,36,39,50,29,3,0,200,12,9,5,8,14,15,4,0,0,70
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
