SED_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
SED10001,416,1589,19,2023,8380,671,6,11088,64,1305,10,1375,7942,594,5,9916,15,276,0,292,4979,523,3,5792,0,13,0,13,1925,254,0,2198,12755,4965,598,18315,45427,4871,66,68682
SED10002,680,616,28,1325,9191,880,51,11444,157,529,6,693,6042,513,43,7290,29,97,0,130,2947,308,17,3391,4,14,0,13,1072,208,0,1293,16997,2409,184,19589,68528,9410,334,97865
SED10003,628,1211,30,1867,9101,772,20,11756,129,1512,5,1644,8871,696,22,11227,31,261,0,295,4945,433,13,5680,5,14,0,17,2071,318,3,2410,12318,4365,531,17212,46754,5470,210,69643
SED10004,672,349,9,1036,7405,434,30,8901,87,724,4,817,5671,317,33,6835,18,162,0,177,2793,217,9,3195,0,0,0,8,891,187,0,1084,13715,1867,141,15722,50138,3767,242,69868
SED10005,646,516,25,1186,8400,765,33,10375,90,424,9,522,6038,593,30,7188,20,87,0,107,3208,449,6,3766,0,7,0,10,1527,394,0,1928,14333,1950,150,16430,50226,7430,160,74246
SED10006,312,1260,15,1586,8394,1391,8,11378,65,888,9,968,7392,1141,12,9507,15,180,0,201,4283,799,0,5286,9,11,0,13,1640,389,0,2051,9688,3754,391,13833,40011,8687,100,62629
SED10007,387,1434,18,1837,8317,683,13,10849,89,1152,6,1243,7605,640,7,9488,12,201,0,214,4709,450,6,5379,3,17,0,17,1770,153,0,1935,11773,4466,534,16772,43620,5703,72,66168
SED10008,625,862,24,1505,8648,244,49,10448,238,1350,19,1605,7063,238,75,8976,30,256,0,289,4433,240,24,4983,7,10,0,12,1338,232,7,1591,18364,3200,181,21744,47003,2139,241,71130
SED10009,457,1356,20,1836,10649,872,12,13372,116,1329,16,1462,11634,885,11,13993,18,226,0,245,6277,596,3,7119,3,17,0,25,2210,365,0,2597,9167,4151,488,13810,47268,5153,80,66316
SED10010,480,691,19,1189,7879,556,50,9676,117,567,8,688,6169,434,53,7347,11,94,0,111,3140,332,8,3593,0,4,0,5,1250,189,3,1449,15628,2582,217,18422,50422,5377,196,74422
SED10011,564,903,17,1484,8536,286,4,10314,101,973,7,1079,8399,299,13,9788,19,161,0,180,4443,230,9,4861,3,8,0,13,1457,168,0,1639,12427,3073,274,15773,41712,2091,70,59644
SED10012,737,647,18,1398,9587,622,33,11647,154,550,12,715,7085,423,19,8242,19,76,6,97,3170,346,9,3616,3,7,0,15,1274,393,0,1677,11012,2157,157,13322,51385,4633,132,69476
SED10013,523,1416,26,1964,9127,395,45,11541,91,1013,8,1116,6714,310,32,8181,12,136,3,155,3462,330,13,3962,0,3,0,3,1163,290,3,1461,29011,4496,535,34044,60089,4159,164,98454
SED10014,392,858,27,1273,7427,506,28,9243,71,660,12,740,6452,452,29,7670,14,96,0,109,3208,365,5,3687,0,0,0,0,788,178,5,974,13966,2951,293,17213,44090,4792,133,66224
SED10015,701,532,23,1257,9065,625,40,10996,130,536,11,676,6592,432,20,7719,31,140,0,175,4512,418,14,5114,3,17,0,20,1960,352,3,2337,14629,2030,148,16808,56110,5570,222,78706
SED10016,670,986,18,1672,8773,209,65,10714,176,1232,18,1426,6416,180,73,8102,25,202,3,231,3694,171,13,4107,0,8,0,12,1145,148,7,1311,22662,3486,242,26389,52009,2225,232,80856
SED10017,321,1746,29,2097,7418,503,9,10019,68,1322,7,1394,6738,439,13,8589,12,184,0,199,3569,351,5,4118,0,3,0,7,1338,208,0,1555,15422,5332,596,21350,43166,4812,58,69386
SED10018,416,1479,16,1909,6663,265,10,8846,94,1632,8,1729,5294,260,4,7287,31,349,0,377,4395,243,0,5014,0,9,3,13,1939,242,0,2197,13509,4739,461,18710,39693,2364,51,60822
SED10019,355,1418,18,1791,9222,847,3,11860,79,1094,0,1173,10131,788,4,12091,21,218,0,232,5956,558,4,6753,0,17,0,17,2178,335,0,2524,9769,4272,512,14556,44744,6377,93,65774
SED10020,417,1294,25,1733,8267,600,31,10626,79,1299,11,1390,8476,525,16,10403,28,221,0,252,5062,549,4,5869,3,16,0,19,1893,415,0,2335,11734,4280,600,16603,44388,4570,262,65841
SED10021,735,349,10,1088,6495,336,45,7972,75,696,5,777,4697,358,44,5876,23,182,0,211,3080,429,10,3733,9,6,0,9,1349,622,3,1985,14001,1977,158,16140,48188,4475,330,69133
SED10022,334,1360,21,1714,7802,807,9,10329,91,1053,0,1144,7878,754,9,9783,14,212,3,224,5046,535,6,5807,0,10,0,8,2009,223,0,2244,9909,4054,454,14413,39340,5641,97,59500
SED10023,524,1101,16,1639,8133,230,18,10025,79,1513,11,1600,6055,211,14,7881,25,194,4,219,3994,199,3,4416,0,10,0,11,1842,207,6,2067,14098,3594,219,17912,43452,2117,103,63590
SED10024,974,632,23,1625,7815,211,47,9699,214,1184,14,1412,6069,167,36,7682,32,321,5,355,5231,170,16,5774,6,14,0,19,2236,190,0,2448,17260,2716,157,20128,42383,1497,216,64226
SED10025,678,633,7,1318,7964,347,48,9683,110,947,16,1068,6309,417,23,7823,22,199,5,222,4053,423,7,4711,8,11,0,21,1757,451,6,2220,14397,2371,128,16895,48294,3628,175,68989
SED10026,300,1474,18,1801,7402,820,9,10031,61,1065,3,1131,6389,641,6,8156,16,244,0,261,4196,520,3,4984,3,21,0,26,1527,272,0,1820,12784,4638,594,18023,40913,6407,79,65418
SED10027,569,640,21,1233,8277,390,28,9933,109,627,9,747,6122,319,20,7211,22,104,0,130,3704,348,5,4188,0,10,0,14,1697,444,5,2155,14136,2250,184,16575,45731,3720,108,66137
SED10028,840,771,15,1625,8924,195,72,10816,263,1234,19,1521,6430,200,77,8219,43,217,3,257,4244,305,33,4832,0,10,0,14,2319,487,4,2823,17673,2794,155,20620,48253,2398,273,71548
SED10029,721,505,22,1251,9691,776,20,11743,138,402,5,541,7032,611,22,8205,26,84,5,117,3790,456,9,4370,4,3,0,8,1434,435,6,1887,11930,1863,144,13934,55089,6121,132,75277
SED10030,447,983,12,1441,8708,539,18,10708,94,897,13,995,7774,555,14,9344,15,156,3,170,5241,483,9,5910,3,13,0,15,2099,378,6,2494,12418,3090,279,15783,45948,4129,91,65952
