SED_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
SED40033,870,4715,4961,1941,1247,13737,836,14572
SED40034,630,5173,5214,1828,1159,14002,994,15000
SED40035,867,5215,5346,1757,950,14131,395,14523
SED40036,791,4691,5422,1947,1030,13880,563,14445
SED40037,1357,5996,5311,1592,835,15093,606,15698
SED40038,1648,5974,4961,1712,898,15188,945,16137
SED40039,1098,5871,5203,1576,774,14528,677,15211
SED40040,338,3659,5416,2558,2052,14017,610,14624
SED40041,1322,5495,4592,1843,1147,14396,1290,15682
SED40042,1217,5386,5117,1694,1017,14431,1089,15517
SED40043,1274,6334,6192,1773,783,16356,616,16973
SED40044,1107,5942,5517,1541,756,14864,362,15230
SED40045,413,4053,6026,2007,1139,13639,248,13888
SED40046,1516,6000,5016,1528,790,14854,502,15351
SED40047,644,4538,5445,1925,1059,13607,352,13963
SED49797,0,0,0,0,0,0,0,0
SED50106,687,5083,5619,2127,1333,14843,822,15664
SED50202,1182,6811,6866,2284,1253,18399,1296,19689
SED50304,1318,8356,6889,1691,817,19068,997,20067
SED50405,513,6289,8355,2573,1241,18981,835,19814
SED50502,855,5422,6199,2182,1161,15817,763,16578
SED50605,588,5243,6937,2227,1180,16172,419,16592
SED50702,1402,8092,7004,1947,899,19348,1157,20502
SED50805,777,5604,6235,1716,925,15256,528,15784
SED50906,978,6522,6516,2084,972,17065,1049,18108
SED51004,432,4653,6787,2487,1307,15661,553,16219
SED51104,696,7313,7944,2326,1121,19396,873,20275
SED51205,1030,7139,7300,2332,1190,18994,1041,20034
SED51304,319,3784,7213,2266,1259,14840,335,15169
SED51401,607,4407,4950,2280,1757,14005,1695,15701
SED51504,793,5787,6797,1913,978,16271,436,16706
SED51605,530,5237,7327,2537,1310,16946,621,17565
SED51706,454,4777,6564,2811,1651,16257,970,17227
SED51804,952,6002,6660,2024,1062,16698,676,17376
SED51902,212,3327,6454,3066,2483,15546,579,16125
SED52006,553,6234,6649,2129,1057,16619,525,17142
SED52102,498,4749,6110,2341,1503,15207,747,15954
SED52205,1614,7610,6501,1710,808,18245,1105,19350
SED52301,710,5074,5494,1988,1081,14350,1288,15645
SED52404,350,4335,7007,2417,1267,15380,346,15729
SED52505,219,4217,9217,2834,1474,17961,363,18324
SED52604,459,4416,6297,2322,1254,14748,566,15318
SED52702,325,3151,5707,2748,2124,14055,382,14440
SED52803,736,4178,4577,1811,1032,12337,1951,14293
SED52903,2126,6474,3604,1201,687,14093,2743,16832
SED53004,451,4497,6823,2266,1281,15318,342,15662
SED53105,699,5573,7067,2233,1206,16772,854,17626
SED53204,287,3837,7333,2698,1485,15641,397,16033
SED53306,1271,7683,6106,2002,970,18040,1080,19118
SED53402,1507,8174,6467,1447,686,18282,818,19103
SED53502,1137,6428,6686,2317,1304,17879,1199,19079
SED53602,1141,6112,5870,2191,1283,16589,1162,17753
SED53701,388,4159,5308,2573,1941,14360,1853,16212
SED53802,963,6554,6857,2081,1108,17556,757,18316
SED53902,1351,7819,6121,1584,836,17713,742,18455
SED54006,408,4652,6098,2730,1847,15734,888,16616
SED54104,1562,8207,6216,1611,716,18316,667,18986
SED54203,887,5576,2972,849,582,10860,1817,12678
SED54304,3590,12022,6127,1249,459,23446,1925,25374
SED54403,890,4783,5673,2076,1029,14440,2664,17106
SED54505,455,4576,7001,2265,1122,15419,326,15743
SED54605,1174,6976,5713,1891,886,16648,918,17568
SED54701,650,4443,5055,2165,1730,14043,1599,15647
SED54804,925,7377,7654,1833,805,18592,883,19473
SED54905,1012,7479,6652,1789,755,17687,702,18389
SED55005,411,4587,7071,2714,1505,16287,580,16865
SED55102,282,3927,6490,2851,2101,15651,834,16487
SED55202,1032,6295,6364,2278,1306,17275,954,18230
SED55306,505,5689,6742,2320,1227,16479,1012,17495
SED55405,1870,8424,6494,1823,852,19461,1176,20633
SED55504,536,5025,7013,2624,1641,16850,541,17385
SED55605,429,4775,7016,2666,1446,16335,628,16959
SED55706,568,5523,6570,2533,1485,16681,1528,18209
SED55802,427,5101,7728,2687,1588,17536,560,18092
SED55905,943,5452,6063,2006,1093,15557,700,16254
SED59797,11,0,0,0,0,13,0,13
SED60105,758,4023,3408,1147,576,9914,404,10319
SED60106,129,1066,1105,520,380,3202,251,3451
SED60113,627,5070,5593,2261,1406,14943,626,15572
SED60115,1301,5504,5105,2056,1260,15222,1115,16340
SED60207,981,5694,5599,2124,1226,15620,716,16339
SED60208,672,4467,4758,1924,1286,13100,689,13787
SED60209,1041,5993,5438,2093,1131,15695,1165,16857
SED60301,514,2396,2097,820,557,6384,319,6709
SED60302,1521,5797,4615,1651,923,14502,728,15228
SED60303,1570,6343,4650,1351,656,14572,594,15164
SED60304,0,21,54,22,30,123,4,129
SED60310,530,3031,2832,995,561,7948,252,8200
SED60404,347,4005,5531,2231,1470,13587,696,14283
SED60410,363,2455,2324,722,380,6242,171,6406
SED60411,859,4842,4825,1541,842,12901,406,13306
SED60414,430,2977,3851,1598,1101,9954,378,10333
SED60501,653,2670,2627,1320,892,8164,675,8845
SED60505,185,1301,1569,642,432,4127,127,4257
SED60506,445,4041,4606,2110,1354,12556,751,13307
SED60508,53,494,737,363,281,1929,126,2060
SED60512,410,4192,5124,2305,1712,13746,860,14598
SED60514,67,1116,1543,658,425,3812,122,3931
SED69797,0,0,0,0,0,0,0,0
SED70001,993,869,253,60,27,2205,262,2468
SED70002,275,1282,1262,448,204,3462,200,3665
SED70003,719,1043,491,98,57,2412,370,2780
SED70004,754,1432,524,118,108,2929,417,3343
SED70005,166,906,1150,425,143,2792,356,3149
SED70006,255,1227,1065,415,180,3152,292,3447
SED70007,70,910,1379,437,149,2947,182,3129
SED70008,153,1029,1238,424,195,3043,266,3306
SED70009,561,1511,894,336,230,3532,649,4181
SED70010,267,1116,1011,321,151,2856,488,3345
SED70011,265,1294,1123,323,167,3180,218,3403
SED70012,202,1290,1271,373,165,3311,450,3755
SED70013,70,831,1097,614,574,3191,574,3769
SED70014,777,1124,270,67,39,2283,367,2652
SED70015,229,1176,1108,372,202,3083,236,3317
SED70016,264,899,918,389,196,2657,297,2957
SED70017,235,1259,960,363,219,3048,615,3664
SED70018,543,679,465,119,42,1849,313,2164
SED70019,586,1672,940,311,239,3749,552,4297
SED70020,106,879,1072,532,495,3081,355,3436
SED70021,306,1483,1199,336,162,3492,221,3713
SED70022,554,2348,1373,257,108,4637,470,5106
SED70023,131,944,1162,378,174,2792,243,3034
SED70024,69,1019,1859,552,237,3734,232,3963
SED70025,110,819,1435,503,231,3112,223,3327
SED79797,7,0,0,0,0,7,3,7
SED80001,1137,9866,12442,4441,2436,30329,931,31260
SED80002,1922,13994,13759,3913,1981,35573,1232,36800
SED80003,3569,17848,10549,2491,1060,35518,2003,37521
SED80004,1752,13190,13494,3511,1765,33712,1143,34855
SED80005,1159,11487,14700,4004,2062,33407,1127,34537
SED89797,0,0,0,0,0,0,0,0
SED99191,84,600,532,213,118,1549,253,1805
SED99797,0,0,0,0,0,0,0,0
