SED_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
SED10001,0,0,0,0,0,0,0,29,0,0,0,0,0,5,7,5,0,3,0,0,0,0,0,10,0,9,13,7,10,4,17,16,0,0,0,0,0,0,4,84,7,47,30,6,0,0,4,8,0,4,10,4,0,0,13,127,0,0,0,0,0,3,16,3,0,0,0,0,0,0,0,27,0,0,0,0,3,4,17,11,3,10,3,10,3,0,3,62,0,0,3,3,0,3,8,3,0,0,0,0,0,0,5,28,0,0,9,14,7,7,10,11,0,7,0,6,0,0,3,77,0,0,0,0,0,0,85,152,30,45,23,14,0,0,10,351,13,160,40,21,15,12,10,4,0,0,0,0,0,0,3,278,5,18,61,144,181,127,144,60,14,0,12,14,9,4,37,833,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,11,33,12,8,11,0,0,0,0,83
SED10002,53,35,53,60,30,15,27,869,0,0,3,8,8,398,291,209,26,22,16,16,4,5,32,1039,0,3,19,8,8,6,29,32,0,0,5,5,0,5,7,124,0,100,125,39,12,19,20,37,12,8,9,9,0,0,18,413,0,0,0,3,9,35,55,36,14,7,9,8,0,3,6,183,0,0,0,146,591,1123,2487,1155,259,245,252,244,80,10,179,6765,3,38,413,934,659,548,551,237,30,63,59,52,25,12,177,3800,0,0,9,44,154,129,200,158,78,123,119,104,22,3,44,1196,0,0,0,0,0,55,587,628,440,991,1864,1670,392,8,152,6777,0,6,4,0,4,0,8,6,10,0,0,0,0,0,0,43,0,4,17,77,124,210,209,158,22,11,31,32,9,6,71,969,0,0,27,10,13,4,0,0,0,0,0,0,0,0,0,59,0,0,0,21,103,203,495,794,158,190,170,222,99,45,56,2551
SED10003,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,20,17,27,23,52,16,4,0,5,0,5,0,8,192,15,54,20,5,14,15,47,86,9,21,20,24,8,0,19,345,0,4,3,3,11,36,86,59,10,10,16,20,7,0,13,285,0,0,0,4,10,9,12,6,0,4,0,3,0,0,0,49,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,16,0,3,15,21,14,6,17,6,0,12,3,0,0,0,4,110,0,0,0,0,0,0,7,4,11,9,8,0,0,0,0,47,11,91,33,19,33,22,37,23,11,11,12,15,9,0,9,327,9,32,127,276,295,243,273,164,38,24,32,25,24,4,69,1634,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,17
SED10004,19,6,12,15,0,4,0,266,0,0,3,3,3,12,9,9,0,0,3,0,0,0,0,40,0,8,22,39,119,117,209,130,17,18,18,11,6,6,4,723,21,184,245,74,32,35,75,133,27,26,28,37,12,0,41,966,0,0,0,18,41,63,98,59,9,20,6,13,20,3,6,362,0,0,0,24,56,48,101,50,12,9,25,30,16,0,16,389,0,9,27,18,42,13,6,7,0,6,4,0,3,0,5,144,0,0,35,59,135,75,119,69,20,20,30,25,20,9,13,627,0,0,0,0,0,8,21,8,12,7,11,19,5,0,3,94,10,26,14,16,10,11,43,48,7,5,10,15,0,0,5,210,9,22,122,269,370,376,432,210,34,38,58,40,34,26,33,2076,0,4,16,17,14,5,5,0,0,0,0,0,0,0,4,69,0,0,0,3,5,5,10,18,6,3,4,6,4,0,0,71
SED10005,4,15,4,7,0,0,44,288,0,0,0,14,17,289,288,277,11,23,35,15,4,3,36,1011,0,0,10,16,10,8,12,3,0,0,0,0,0,0,9,66,11,191,204,53,6,11,9,10,0,0,0,7,0,0,45,548,0,0,0,3,6,15,26,0,0,3,3,4,0,0,0,70,0,0,0,42,103,110,152,64,17,14,9,6,5,0,26,542,5,52,489,1472,1197,960,1135,566,97,91,122,107,60,20,279,6650,0,4,8,22,91,50,55,48,62,60,51,44,8,4,21,530,0,0,0,0,0,7,86,43,15,49,66,36,21,0,20,349,0,10,8,3,0,0,6,0,0,0,0,0,0,0,13,47,0,0,13,64,129,202,237,173,19,19,29,19,6,0,107,1014,0,10,234,271,114,116,77,10,0,0,0,3,0,0,21,869,0,0,0,7,52,140,355,510,142,119,150,141,81,14,32,1745
SED10006,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,3,7,16,19,15,3,0,0,3,8,0,4,80,6,20,19,3,0,0,0,0,0,0,4,0,0,0,5,56,0,0,0,0,3,9,0,0,0,0,0,5,0,0,0,18,0,0,0,0,0,0,7,3,0,0,0,11,5,0,0,32,0,3,0,4,0,0,5,0,0,0,0,0,0,0,0,13,0,3,3,3,5,3,13,5,3,0,0,7,0,0,0,51,0,0,0,0,0,0,17,17,9,18,26,0,0,0,0,84,4,49,18,7,9,0,5,0,0,0,0,0,0,0,0,98,0,3,41,77,112,77,87,39,0,8,6,4,4,5,21,488,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,8,13,5,0,8,0,0,0,0,44
SED10007,0,0,5,4,0,0,9,52,0,0,0,0,0,3,7,10,0,0,0,0,0,0,3,26,0,6,23,27,19,12,25,14,0,4,6,5,0,0,9,136,6,36,36,11,7,0,5,5,0,0,0,3,0,0,14,122,0,0,6,0,4,6,4,5,0,4,3,0,0,0,3,40,0,0,0,0,3,6,15,5,3,4,0,3,0,0,4,49,0,0,23,18,6,10,8,0,0,0,0,0,0,0,16,79,0,0,14,13,18,3,26,0,0,0,0,7,0,0,4,91,0,0,0,0,0,0,41,38,23,49,35,20,6,0,3,209,23,74,34,23,22,7,5,0,0,0,0,0,0,0,4,185,0,4,81,162,186,118,149,51,14,3,6,7,4,5,65,862,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,6,16,26,0,3,9,13,3,3,3,77
SED10008,42,35,51,54,13,8,22,1262,0,0,6,3,8,26,35,5,0,5,4,0,0,3,0,96,0,8,20,35,51,28,42,36,4,4,3,5,3,0,6,234,16,140,143,33,18,16,18,10,4,5,0,5,5,0,15,424,0,0,5,5,23,30,42,14,3,0,0,6,7,0,0,144,0,0,0,66,320,453,653,243,30,38,25,33,16,10,29,1918,3,37,75,85,91,63,30,5,0,4,4,4,0,4,11,419,0,7,47,163,327,138,237,92,12,30,24,15,10,0,19,1136,0,0,0,0,0,40,94,14,3,4,4,9,5,0,0,172,3,63,18,7,10,7,18,3,0,4,5,5,5,0,5,149,4,21,65,136,179,205,238,96,20,15,14,27,17,8,22,1063,0,0,11,9,3,9,0,0,0,0,0,0,0,0,4,34,0,0,3,15,54,72,97,169,34,46,47,27,15,6,7,591
SED10009,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,31,24,30,12,35,13,0,4,0,0,0,0,0,173,9,57,58,22,5,9,8,4,0,0,0,0,0,0,14,183,0,0,0,3,0,4,15,5,6,0,4,4,0,0,6,48,0,0,0,0,5,4,5,0,0,0,6,0,0,0,3,29,0,6,3,3,0,3,0,0,0,0,0,0,0,0,0,14,0,9,22,11,9,5,8,3,5,0,0,0,0,0,4,82,0,0,0,0,0,4,10,14,24,16,16,14,6,0,0,103,28,189,38,38,31,19,11,5,0,0,4,0,0,0,12,381,3,29,120,274,212,132,103,29,13,0,7,0,3,6,55,995,0,4,8,4,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,8,5,0,0,3,0,0,0,0,14
SED10010,12,10,9,36,0,0,4,430,0,0,3,4,8,45,70,62,6,16,12,10,8,3,0,253,0,0,18,21,22,7,17,12,0,0,0,0,4,0,0,105,14,110,161,49,7,13,5,9,0,3,0,0,0,0,10,382,0,0,0,0,6,5,12,6,0,0,0,0,3,0,0,43,0,0,0,23,115,171,231,75,17,12,5,12,0,0,24,692,0,17,80,161,131,104,88,28,5,11,11,0,0,0,25,659,0,0,12,30,66,52,63,27,3,11,16,16,0,0,3,309,0,0,0,0,0,38,430,233,51,72,101,78,38,0,7,1045,3,81,19,6,8,0,3,0,0,0,0,5,0,0,4,128,0,5,23,75,225,361,414,261,60,43,77,39,14,9,69,1684,0,0,11,23,8,4,4,0,0,0,0,0,0,0,3,60,0,0,0,16,48,113,235,223,60,54,49,65,42,3,13,907
