SED_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
SED10001,1073,255,308,296,300,83,15,80,4138,10,3,0,0,0,0,0,0,0,70,85,4607,1215,1361,316,347,369,363,126,36,308,9041
SED10002,9808,2731,3870,4897,4546,1255,270,1493,62536,25,12,19,0,7,10,15,0,3,430,528,27284,10556,10623,2942,4078,5140,4782,1350,295,2105,69165
SED10003,751,197,209,296,385,164,33,114,3965,12,3,8,0,0,0,6,0,0,27,45,7782,1704,1683,407,388,505,602,356,61,462,13951
SED10004,2048,664,737,835,1208,513,103,225,12913,3,0,3,0,0,0,8,0,0,80,98,13816,3550,3954,1051,1138,1320,1667,750,207,535,28005
SED10005,5350,1435,1428,1435,1320,543,170,1015,39235,23,5,4,0,0,5,0,0,0,818,861,24064,5764,5724,1507,1533,1516,1410,568,182,1962,44227
SED10006,283,81,130,162,190,98,39,44,1729,8,0,0,0,0,0,0,0,0,21,22,2237,463,453,115,169,195,247,130,53,154,4223
SED10007,506,119,165,191,192,84,15,60,2777,13,0,0,0,0,0,0,0,0,237,250,4859,798,776,180,219,244,253,107,28,476,7922
SED10008,4113,841,872,793,991,441,153,366,29082,7,0,6,0,0,0,0,3,0,83,100,21523,6493,4915,1031,1037,982,1193,598,195,596,38560
SED10009,241,107,95,106,109,50,13,71,2086,19,0,0,0,0,0,0,0,0,8,29,7878,649,522,157,139,145,159,80,25,386,10146
SED10010,5527,1559,1765,2172,2496,674,148,601,35946,25,9,3,0,0,0,3,4,0,39,88,18620,8085,6233,1717,1910,2354,2649,745,167,872,43352
SED10011,373,102,80,134,116,37,3,65,3113,15,0,0,0,0,0,0,0,0,15,34,9978,1040,817,175,139,173,176,56,26,282,12857
SED10012,4537,1787,1296,908,1288,488,165,1268,43453,36,3,9,0,0,3,3,4,0,285,339,29834,4654,4817,1844,1346,953,1343,503,175,1681,47140
SED10013,3582,589,576,484,550,223,60,298,20004,12,9,5,0,0,7,0,0,0,188,223,17034,5374,4547,753,757,620,659,305,80,744,30880
SED10014,2488,500,454,455,527,218,86,294,16148,11,4,3,0,0,0,0,0,0,173,191,14143,3642,3001,600,574,531,619,274,110,673,24160
SED10015,4339,1287,1943,1889,1846,467,79,905,37614,11,0,3,0,0,3,6,0,0,456,483,24555,5310,4985,1410,2090,2041,1988,522,90,1533,44523
SED10016,4831,1178,1111,984,986,481,147,311,29374,15,0,0,4,0,0,0,0,0,80,105,20621,7957,6160,1457,1439,1227,1229,586,205,561,41448
SED10017,590,106,111,121,122,53,7,53,2534,12,4,0,0,0,0,0,0,0,247,259,4043,1031,907,144,137,176,161,78,16,429,7125
SED10018,515,174,165,127,126,55,17,74,3222,8,0,0,0,0,0,0,0,0,17,32,5116,1156,987,252,241,211,194,105,35,197,8501
SED10019,217,63,68,79,80,40,20,36,1338,10,0,0,0,0,0,0,0,0,188,192,4046,533,466,109,114,113,128,65,28,456,6064
SED10020,930,308,415,507,735,211,91,154,5463,4,4,5,0,0,0,5,0,0,37,56,6330,1543,1417,408,510,601,838,262,114,420,12434
SED10021,1737,536,660,736,983,374,91,195,11808,14,0,4,3,0,4,0,0,0,303,335,13829,3591,4832,1409,1598,1924,2340,1006,257,800,31587
SED10022,316,114,134,156,253,72,61,44,1888,7,0,0,0,0,0,0,0,3,107,116,2705,458,506,149,176,198,299,85,78,293,4944
SED10023,682,142,147,128,136,69,15,73,4709,6,0,0,0,0,0,0,0,0,34,40,8094,1572,1487,333,262,278,280,161,61,238,12774
SED10024,2638,625,582,548,645,439,126,248,18182,15,0,0,0,0,4,0,0,0,29,45,18657,5038,4081,872,778,776,905,560,188,451,32309
