SED_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
SED10001,101,2214,218,3,2528,118,2012,209,0,2342,339,4167,415,12,4931,536,3806,384,0,4728,679,3888,385,4,4950,817,4215,371,3,5403,571,4013,305,5,4897,300,2157,225,3,2684,90,661,97,0,843,3543,27130,2610,28,33309,131,2152,209,0,2493,184,1980,159,0,2322,589,4104,337,13,5045,918,3847,346,7,5118,1159,3781,290,0,5228,1376,3963,337,5,5679,890,3841,288,0,5024,358,2419,331,0,3107,76,1119,155,0,1354,5690,27204,2438,36,35371,235,4362,426,5,5022,305,3990,367,4,4663,931,8272,751,29,9981,1458,7650,731,7,9848,1840,7665,671,4,10175,2192,8176,705,6,11088,1459,7864,591,5,9916,659,4579,554,3,5792,165,1777,257,0,2198,9236,54338,5044,66,68682
SED10002,125,2389,260,3,2779,204,4820,695,23,5739,629,12487,1820,39,14973,695,7994,1289,27,10009,617,5106,794,22,6541,568,4604,521,22,5715,330,2990,295,23,3638,147,1349,178,4,1680,38,402,120,0,564,3348,42143,5965,170,51629,142,2254,212,4,2606,244,4111,435,12,4802,875,10683,1103,35,12697,980,6554,714,20,8268,911,4632,465,23,6033,845,4456,397,33,5729,470,2921,245,17,3655,167,1399,144,11,1715,25,608,96,0,728,4655,37613,3805,162,46238,266,4641,477,7,5394,446,8926,1127,38,10537,1502,23167,2927,78,27669,1674,14547,1999,54,18276,1528,9739,1257,47,12566,1409,9065,921,51,11444,798,5913,536,43,7290,309,2751,322,17,3391,67,1013,212,0,1293,8004,79759,9773,334,97865
SED10003,101,1832,212,0,2146,85,1426,140,20,1674,266,3594,456,32,4354,412,4091,461,8,4972,676,4090,402,16,5174,852,4334,396,8,5590,621,4487,377,12,5494,294,2186,196,4,2680,96,689,105,0,896,3400,26736,2733,107,32977,116,1716,162,3,2003,123,1512,176,14,1827,361,4148,463,33,5008,728,4283,434,11,5447,1172,4340,432,16,5967,1429,4336,395,11,6168,967,4400,353,11,5733,374,2372,242,4,2998,78,1206,226,3,1517,5354,28316,2897,106,36664,222,3548,370,3,4151,203,2938,318,38,3503,627,7747,922,66,9361,1135,8370,893,17,10420,1849,8426,832,32,11138,2279,8670,786,20,11756,1588,8894,730,22,11227,673,4558,436,13,5680,178,1897,335,3,2410,8752,55051,5630,210,69643
SED10004,54,1496,86,0,1638,99,2229,182,12,2520,296,6558,422,40,7319,471,6118,371,20,6974,655,4776,312,12,5759,565,3456,248,7,4282,342,2585,174,17,3122,133,1212,104,0,1457,34,325,62,0,420,2649,28750,1953,121,33477,64,1428,93,6,1587,134,2596,177,22,2921,434,6983,455,27,7898,704,6141,341,18,7204,982,4796,260,9,6042,927,3471,199,19,4618,588,2949,166,11,3714,158,1462,114,3,1737,28,512,126,0,664,4015,30329,1930,119,36392,117,2920,179,8,3228,232,4821,360,33,5450,725,13539,875,72,15213,1170,12257,712,34,14175,1641,9565,563,25,11797,1498,6926,451,30,8901,933,5535,338,33,6835,288,2676,223,9,3195,58,838,187,0,1084,6671,59079,3884,242,69868
SED10005,133,2762,315,6,3215,188,2854,428,8,3476,464,5916,904,18,7294,614,4783,795,15,6203,629,4174,581,8,5393,562,4204,423,12,5204,303,2908,297,15,3516,149,1426,224,3,1803,58,567,129,0,752,3105,29585,4094,79,36860,153,2541,274,7,2972,218,2763,296,0,3286,752,5842,725,8,7322,1003,4535,667,6,6211,923,4183,486,16,5608,854,3924,372,22,5173,437,2889,329,19,3673,155,1562,245,5,1966,40,868,270,0,1172,4529,29103,3670,77,37384,286,5299,586,6,6187,406,5617,727,8,6761,1213,11755,1623,25,14614,1618,9313,1463,20,12421,1551,8355,1068,23,11002,1414,8131,796,33,10375,738,5794,624,30,7188,306,2993,465,6,3766,95,1432,404,0,1928,7638,58692,7759,160,74246
SED10006,77,1640,375,0,2098,104,1597,306,4,2014,260,3539,669,28,4500,381,2988,599,5,3976,588,3429,671,7,4690,810,4242,761,3,5824,467,3916,624,6,5012,228,1938,381,0,2557,81,563,138,0,782,3005,23849,4532,60,31447,116,1545,324,0,1983,119,1422,268,10,1814,487,3599,609,19,4715,654,2819,585,0,4060,856,3081,615,5,4559,1187,3721,647,5,5559,651,3294,545,0,4493,292,1988,444,4,2731,66,940,267,0,1272,4432,22400,4313,37,31182,191,3184,699,3,4079,225,3019,577,17,3827,747,7132,1287,47,9209,1041,5806,1180,10,8034,1450,6506,1295,9,9250,2000,7961,1409,8,11378,1115,7207,1168,12,9507,522,3930,825,0,5286,148,1498,407,0,2051,7436,46251,8842,100,62629
SED10007,111,2308,247,0,2672,121,2001,357,0,2479,303,3829,818,9,4962,459,3453,703,7,4622,730,3796,523,6,5055,812,4177,425,9,5417,526,3903,358,4,4792,291,2100,236,0,2629,72,577,58,0,706,3429,26158,3727,36,33346,135,2079,166,0,2378,154,1844,146,4,2144,512,3826,297,4,4642,739,3355,298,4,4397,1203,3624,319,9,5155,1226,3917,285,3,5431,712,3668,311,3,4699,314,2183,247,3,2749,48,1077,107,0,1231,5045,25574,2169,29,32819,249,4387,411,0,5049,275,3844,500,9,4625,813,7658,1115,12,9598,1196,6807,1001,10,9015,1938,7426,845,13,10217,2041,8098,706,13,10849,1241,7572,668,7,9488,609,4282,481,6,5379,117,1660,166,0,1935,8477,51727,5896,72,66168
SED10008,127,2604,74,4,2801,148,2469,81,3,2700,255,3805,154,20,4237,601,5821,222,5,6655,777,4883,141,13,5808,721,4179,122,19,5033,458,3619,111,30,4216,274,2050,103,10,2434,68,501,78,5,646,3419,29931,1079,108,34536,110,2399,53,3,2571,138,2256,52,4,2450,355,3890,165,3,4412,922,6167,204,19,7301,1115,4910,148,12,6188,1048,4185,142,37,5416,695,3889,137,45,4765,236,2153,145,11,2547,48,738,160,0,947,4663,30581,1209,133,36588,236,5004,129,6,5381,283,4726,137,0,5153,605,7694,317,25,8651,1520,11985,424,25,13954,1893,9797,289,19,11995,1771,8367,261,49,10448,1153,7509,242,75,8976,507,4204,247,24,4983,110,1237,240,7,1591,8086,60514,2284,241,71130
SED10009,95,1652,247,3,1991,88,1196,136,5,1424,243,2618,281,13,3153,366,2726,260,4,3358,561,3486,382,5,4436,965,4847,462,8,6278,802,5788,475,6,7069,371,2823,301,4,3497,107,806,137,0,1053,3591,25940,2687,40,32258,109,1427,193,4,1736,109,1086,118,3,1314,368,2648,261,10,3288,636,2754,305,4,3701,1037,3444,340,0,4823,1531,5118,439,9,7091,1085,5412,418,6,6926,425,2856,346,3,3624,75,1236,241,0,1548,5374,25978,2662,37,34052,205,3082,439,6,3728,196,2289,250,5,2741,613,5275,539,21,6445,1003,5481,566,10,7059,1599,6930,728,3,9255,2495,9966,898,12,13372,1887,11202,896,11,13993,794,5675,649,3,7119,186,2035,381,0,2597,8969,51919,5342,80,66316
SED10010,118,2341,202,3,2655,175,3166,310,0,3648,462,6567,727,17,7772,653,6163,510,9,7333,629,4319,375,10,5336,545,3913,324,10,4789,359,2887,230,20,3500,163,1331,159,4,1657,42,409,78,3,532,3143,31088,2928,71,37232,125,2080,187,0,2402,231,2696,250,6,3180,636,6338,606,12,7592,979,5574,536,10,7098,899,4075,346,21,5331,773,3814,269,38,4890,451,3131,239,35,3848,174,1571,190,3,1937,22,770,121,0,911,4291,30035,2737,128,37196,241,4420,390,6,5057,410,5860,562,4,6831,1095,12907,1337,28,15362,1634,11730,1050,15,14434,1524,8393,722,28,10667,1316,7723,588,50,9676,806,6016,468,53,7347,331,2903,347,8,3593,66,1179,202,3,1449,7434,61127,5662,196,74422
