SED_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED10001,15713,9681,9951,9835,10178,11073,9909,5790,2197,84331
SED10002,20081,15880,27594,18224,12525,11391,7249,3374,1289,117614
SED10003,13427,7607,9292,10399,11111,11735,11212,5668,2409,82854
SED10004,12242,8624,15144,14149,11772,8871,6802,3187,1084,81872
SED10005,20464,12928,14591,12395,10980,10342,7158,3761,1929,94552
SED10006,14021,7891,9168,8027,9245,11373,9497,5283,2053,76553
SED10007,14603,9664,9585,9007,10202,10842,9482,5374,1935,80701
SED10008,17691,10511,8617,13930,11975,10393,8903,4965,1582,88576
SED10009,11227,6459,6427,7053,9252,13360,13983,7117,2598,77464
SED10010,18005,11881,15338,14416,10642,9624,7292,3583,1446,92234
SED10011,12557,7346,6691,8883,10087,10309,9770,4857,1639,72128
SED10012,14517,12062,10999,9975,11187,11616,8219,3608,1678,83858
SED10013,32549,15970,21079,20481,15722,11491,8142,3946,1452,130830
SED10014,17722,11143,12237,11610,9610,9211,7638,3681,968,83810
SED10015,14910,11112,14953,13525,12806,10954,7695,5100,2336,93395
SED10016,22864,13789,10816,17056,14883,10650,8025,4093,1305,103486
SED10017,18032,10451,12534,11347,10738,10010,8569,4117,1555,87357
SED10018,14345,8820,8975,9850,9792,8833,7283,5012,2200,75115
SED10019,13049,7730,7566,7757,9398,11853,12089,6748,2527,78725
SED10020,14030,8266,8903,9342,9888,10594,10389,5862,2328,79602
SED10021,12851,7462,17784,13412,10677,7924,5834,3725,1980,81649
SED10022,13142,7525,7421,7568,8744,10323,9782,5807,2244,72547
SED10023,13994,9287,9015,9879,10954,10006,7865,4405,2064,77478
SED10024,16264,10271,5347,10302,12588,9653,7650,5758,2449,80271
SED10025,13115,8073,12879,12531,10984,9636,7800,4701,2219,81931
SED10026,17312,9203,11586,9863,9711,10018,8148,4979,1820,82647
SED10027,16400,10568,10271,11194,10568,9903,7190,4183,2149,82426
SED10028,16494,10744,9411,12909,11701,10742,8146,4804,2817,87771
SED10029,17697,12918,12498,11584,11993,11720,8185,4360,1878,92847
SED10030,12949,8216,9132,9905,10196,10690,9328,5898,2488,78817
SED10031,14690,8833,8822,9170,11017,11753,10549,5825,1974,82634
SED10032,21191,13462,20264,16717,11044,9517,6529,3605,1401,103727
SED10033,14946,10113,9637,9081,10988,10035,7466,4143,1392,77808
SED10034,15095,9127,8578,10617,10738,9317,7338,4272,1782,76871
SED10035,13366,16557,35859,20438,11862,8668,5839,3343,1298,117224
SED10036,19741,12577,11866,12645,11872,9932,6430,3548,1479,90085
SED10037,16047,10006,8263,12209,12529,10356,7738,4598,1561,83323
SED10038,15254,10788,8953,10471,10844,9924,7972,5072,2370,81641
SED10039,14207,8598,9210,9059,9363,10781,10031,5529,2202,78977
SED10040,14251,12217,17275,13230,10845,10656,8150,4792,2534,93951
SED10041,16420,10357,7993,12833,12400,9877,7631,5504,3272,86294
SED10042,13531,8841,8793,8768,9592,10421,9824,6339,2539,78638
SED10043,20944,12646,15087,13261,10602,10057,7089,4074,1725,95476
SED10044,15701,9324,13239,14571,12014,9652,7588,4651,2466,89210
SED10045,12879,7981,7362,8582,10194,12342,10788,5075,2107,77313
SED10046,20628,14046,14281,13689,12245,11414,6793,3313,1069,97478
SED10047,29436,14762,19426,19759,13353,10606,7942,3930,1056,120267
SED10048,25886,13624,16686,18530,12946,11674,8144,3452,1090,112030
SED10049,19275,11073,12882,11934,10912,9775,8012,4329,1498,89694
SED10050,15175,8644,11979,12508,12532,9441,6182,3730,1563,81749
SED10051,14720,9745,12819,13058,11887,9870,7598,4927,2064,86680
SED10052,14547,8866,9291,10813,10835,9542,7824,5337,2651,79702
SED10053,16648,10460,13085,12148,12940,11908,8009,3881,1253,90330
SED10054,21703,13250,13286,13357,11729,10272,6777,2903,1179,94455
SED10055,19078,12213,11414,12355,11728,10581,6688,2482,711,87259
SED10056,15870,9326,10465,9572,10698,11862,9992,5879,2354,86027
SED10057,11693,6812,6345,6912,8688,11791,13018,7891,3090,76244
SED10058,11522,9911,13251,10293,9846,9751,7938,4213,1854,78586
SED10059,7216,11318,21873,13200,9896,7369,4745,2557,1033,79208
SED10060,10097,6791,14404,12658,10169,8868,7478,4946,1769,77185
SED10061,14561,10080,9289,8537,9623,10867,9234,5752,1964,79907
SED10062,13394,9675,9611,10377,10502,10170,7725,4583,2328,78365
SED10063,17072,9539,9794,9677,9763,9937,8508,5161,2078,81528
SED10064,13173,7450,7234,7507,9296,12526,12490,6628,2359,78677
SED10065,20332,12366,22555,20237,12304,10909,7440,3740,1638,111515
SED10066,16317,10860,12729,11831,10392,9116,7688,4288,1590,84807
SED10067,13031,8366,6164,8405,10799,10487,8726,5867,2758,74610
SED10068,12323,8086,6894,7930,9702,11660,13075,8499,3249,81418
SED10069,12654,7866,6871,7631,9323,11122,11291,6901,2081,75735
SED10070,17730,10606,11629,13425,10713,9754,8211,4572,1814,88455
SED10071,30005,15049,17734,24834,15284,9688,6354,2524,696,122166
SED10072,13802,10862,19003,14162,11275,9697,7487,4995,2274,93553
SED10073,15723,11306,19084,16697,11294,10726,8217,4430,2291,99768
SED10074,17290,9824,12738,14116,10705,8888,7428,4615,1829,87436
SED10075,16719,10937,10570,11003,11130,10957,9157,5652,2002,88124
SED10076,12448,7061,7551,7819,8726,11431,12246,7117,2529,76935
SED10077,13942,15591,23049,14085,11061,10263,7136,4293,2259,101673
SED10078,10724,8614,16193,12670,10685,8799,6278,3979,2060,79998
SED10079,12535,7884,7314,7890,9256,10189,9840,6322,2108,73337
SED10080,6578,10425,29925,18799,11527,9204,6641,3511,1335,97959
SED10081,16454,9389,10287,9365,9531,9947,8695,5530,2069,81274
SED10082,14068,8540,6631,8976,10326,10295,9737,6226,2539,77336
SED10083,14010,8505,8728,9393,9426,9601,8578,5062,2382,75689
SED10084,13355,7599,7704,9374,9979,11444,11580,7545,3288,81871
SED10085,15337,9123,9473,9426,10436,10920,8688,4605,1613,79628
SED10086,12066,7633,15358,11811,10117,7970,6763,4402,1916,78033
SED10087,16609,12098,11266,9930,9460,9609,7762,4577,1979,83305
SED10088,15603,10062,9303,11647,12629,9683,6758,4827,2212,82735
SED10089,15326,13022,13023,11096,10059,9119,7779,5063,2559,87045
SED10090,15729,8895,11342,14309,12316,9330,7570,4159,2089,85739
SED10091,16495,9574,9266,9793,10920,10016,9162,5627,1997,82840
SED10092,12866,11819,13543,10019,9968,10484,8374,5560,2503,85132
SED10093,16089,10215,10073,9838,10385,9709,8397,5431,2259,82398
SED19797,0,0,0,4,18,8,3,0,0,32
SED20106,8189,8067,20421,14207,10553,8570,5907,3125,955,79998
SED20207,25443,11474,15373,21310,14105,9530,6662,3040,1095,108043
SED20302,25445,11851,17587,17382,12626,11776,10718,5751,1942,115081
SED20401,11395,6886,9079,9725,8494,7369,5928,3584,1677,64132
SED20508,12033,6493,6437,8043,8728,9921,10627,5799,2055,70144
SED20604,13288,8125,8370,8484,8892,9406,8226,4199,1525,70506
SED20704,14182,8934,9217,8731,8589,8711,7355,3934,1647,71303
SED20804,10708,6677,7844,7675,7981,8483,7907,4622,1910,63815
SED20906,12784,7940,7367,9969,10342,7594,5261,3269,1820,66352
SED21001,11104,10273,10772,9724,9918,8269,6436,4225,2577,73299
SED21106,9923,6950,6603,7854,9716,8163,6004,3773,1909,60889
SED21203,15471,10192,12307,10073,8469,7737,5058,3451,1486,74245
SED21303,8875,8739,19174,12633,8730,6407,4423,2865,1505,73352
SED21401,10078,7541,8012,8583,8568,8277,6924,5883,2772,66634
SED21503,9745,8232,9125,8230,8079,6837,5601,3572,1489,60912
SED21608,12953,8088,8518,8491,8742,8293,6977,3459,1259,66774
SED21706,11268,10198,9316,8812,9407,7767,5777,3546,2057,68139
SED21805,13086,7372,9483,10392,9967,8642,6388,3430,1329,70089
SED21906,10990,7752,12166,9799,8225,6747,6325,3179,1776,66952
SED22005,11644,9612,14139,10716,8951,7801,6551,4472,2358,76241
SED22105,32593,15687,21137,22693,14441,10002,6473,3164,1131,127329
SED22201,11157,6712,8346,8721,7688,7168,5942,3769,1552,61047
SED22305,14075,9308,13817,11461,8681,7916,6234,3717,1570,76770
SED22404,10645,6802,6394,7000,8818,9823,8321,4143,1301,63260
SED22501,11310,6807,5333,7958,8748,8008,6690,3217,1014,59083
SED22607,10697,8420,12263,10384,9601,7892,5645,2822,1414,69137
SED22704,10816,7077,7076,7130,8906,10450,9578,5239,1906,68189
