SED_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SED10001,530,10739,11272,10789,1763,12549,4115,479,4590,3834,276,4112,1801,124,1925,841,70,909,21911,13447,35359
SED10002,278,8461,8733,9413,2154,11566,6243,1019,7268,5368,787,6153,2753,462,3218,2804,295,3106,26857,13179,40036
SED10003,497,9174,9673,9821,2515,12337,4245,769,5012,3809,481,4292,1583,200,1790,786,97,886,20745,13236,33985
SED10004,525,12089,12614,10511,2331,12844,4482,783,5259,4141,357,4500,1020,99,1118,255,38,288,20933,15700,36633
SED10005,170,6332,6507,6056,1197,7259,4679,528,5207,4695,437,5127,2940,273,3210,2723,203,2926,21264,8970,30232
SED10006,466,10405,10866,8557,2635,11195,3494,646,4133,2678,426,3102,1485,266,1743,895,150,1049,17566,14527,32092
SED10007,493,9569,10062,9730,1652,11380,3959,433,4394,3617,221,3839,1737,156,1895,914,59,975,20447,12091,32538
SED10008,245,3748,3991,7713,534,8248,5577,189,5772,6732,159,6890,2668,77,2744,1292,35,1329,24227,4744,28974
SED10009,500,10215,10708,12007,2259,14261,3431,430,3864,2880,271,3151,1263,120,1383,713,60,769,20793,13358,34143
SED10010,238,6126,6367,7208,1326,8535,5629,572,6204,5515,389,5907,2454,211,2667,1744,120,1863,22787,8757,31540
SED10011,409,7846,8253,9476,1210,10685,3942,223,4159,3833,140,3970,1602,64,1668,713,24,737,19973,9506,29476
SED10012,127,4045,4176,5348,805,6154,4456,356,4805,4601,266,4870,2650,147,2799,2650,118,2768,19827,5736,25569
SED10013,370,5694,6065,10293,953,11249,7573,332,7901,9107,292,9398,4615,158,4769,2384,75,2459,34337,7503,41841
SED10014,282,6498,6781,7652,1165,8816,4918,381,5299,4350,257,4605,2206,153,2357,1702,110,1810,21105,8558,29668
SED10015,289,7670,7958,8737,1736,10475,5697,659,6353,5214,409,5629,2216,194,2406,1434,105,1537,23589,10772,34360
SED10016,314,3521,3834,7816,559,8370,6103,183,6290,8258,165,8426,3616,75,3691,1756,31,1790,27864,4543,32407
SED10017,493,7158,7650,9315,1320,10644,5110,357,5462,4822,229,5049,2155,101,2257,1179,44,1219,23069,9203,32274
SED10018,432,7228,7661,8778,1140,9915,4241,362,4605,4636,169,4802,1768,72,1846,663,31,694,20517,9002,29525
SED10019,453,9139,9595,10552,2403,12955,3667,446,4113,3059,261,3321,1507,160,1666,936,84,1023,20179,12491,32670
SED10020,448,8578,9016,9672,1879,11547,4077,449,4527,3597,235,3837,1688,116,1807,1042,81,1123,20524,11335,31859
SED10021,479,10255,10737,9820,2778,12600,4398,883,5281,4197,313,4505,1280,90,1371,351,27,379,20526,14348,34877
SED10022,443,9243,9686,9473,1553,11024,3395,348,3740,2844,237,3082,1585,147,1731,862,57,922,18601,11575,30181
SED10023,376,6996,7372,8873,1079,9949,4200,223,4415,5021,133,5154,2146,51,2197,754,23,779,21371,8498,29870
SED10024,285,4241,4519,7334,534,7862,4709,145,4856,6263,113,6373,2593,57,2652,955,16,969,22138,5105,27244
SED10025,396,8070,8466,10330,1508,11842,5109,395,5502,4707,192,4901,1645,76,1717,565,22,580,22743,10257,33002
SED10026,470,8579,9053,8884,1768,10651,4190,563,4758,3828,392,4217,1971,214,2188,1080,105,1184,20424,11635,32055
SED10027,197,5160,5352,6666,775,7445,4510,268,4778,5033,237,5276,2613,132,2745,1791,82,1868,20803,6653,27463
SED10028,247,4814,5057,7881,768,8651,5513,244,5754,6679,148,6830,2379,52,2431,1178,25,1206,23882,6050,29927
SED10029,150,5646,5790,5851,974,6826,4548,406,4955,4572,343,4912,3092,219,3306,3017,164,3186,21228,7755,28979
SED10030,403,10589,10988,9782,1786,11567,4369,403,4771,3876,219,4089,1456,72,1524,708,46,751,20586,13112,33701
SED10031,416,8563,8986,10302,1688,11987,3999,372,4369,3887,272,4158,1890,137,2031,1014,72,1087,21517,11105,32621
SED10032,216,7580,7794,7228,1834,9066,5717,965,6680,5556,673,6235,2755,324,3074,2337,212,2546,23806,11594,35401
SED10033,282,5557,5837,7661,942,8602,4223,243,4472,4354,172,4528,2278,86,2364,1497,49,1544,20300,7051,27346
SED10034,352,5382,5735,8277,740,9018,4571,147,4725,5382,91,5475,2184,42,2222,773,14,786,21545,6413,27958
SED10035,573,15631,16206,15611,5160,20769,6333,1572,7905,4385,604,4991,1332,188,1520,624,79,709,28867,23235,52101
SED10036,216,4247,4466,6282,742,7021,4899,272,5167,5836,247,6086,2960,143,3105,2067,85,2154,22273,5733,28009
SED10037,306,5449,5750,8136,812,8956,5324,206,5534,5966,141,6104,2154,62,2213,1071,21,1092,22953,6689,29643
SED10038,364,7479,7842,8784,1075,9858,4531,405,4938,5110,265,5375,2026,89,2114,758,63,817,21571,9377,30946
SED10039,427,6663,7092,10211,1240,11452,4122,291,4412,4171,214,4393,1866,98,1968,901,52,952,21701,8564,30260
SED10040,243,6930,7176,8250,1456,9707,6071,681,6755,5411,395,5804,2296,178,2473,1388,74,1463,23658,9714,33372
SED10041,339,5788,6134,8632,774,9409,5633,201,5837,6163,136,6305,2254,51,2302,805,19,826,23836,6966,30801
SED10042,428,7683,8108,10253,1253,11502,4469,278,4753,4052,150,4198,1682,68,1750,909,38,947,21794,9474,31267
SED10043,184,6518,6698,5871,1269,7142,4597,652,5247,4680,482,5163,3023,291,3317,2878,203,3083,21236,9417,30655
SED10044,430,9319,9748,10022,1520,11532,5282,327,5604,5402,170,5570,2012,67,2082,660,28,685,23806,11422,35231
SED10045,474,9765,10243,9521,2101,11621,3799,555,4353,3179,312,3489,1499,149,1642,909,81,989,19377,12960,32337
SED10046,231,6816,7050,6278,1216,7495,5176,432,5604,5417,347,5764,3048,192,3241,2612,139,2752,22764,9138,31902
SED10047,352,7814,8170,9110,1653,10768,7081,578,7658,7052,503,7552,3361,230,3592,2525,157,2679,29478,10936,40419
SED10048,285,5882,6169,8197,1108,9301,6759,374,7130,7409,346,7750,3344,153,3498,2355,117,2468,28355,7972,36328
SED10049,502,7244,7747,9981,1143,11119,5411,337,5751,5309,217,5525,2282,97,2380,1107,42,1153,24585,9087,33667
SED10050,467,7515,7981,9429,1645,11081,4603,484,5087,5294,205,5496,1919,83,1997,562,30,590,22277,9952,32226
SED10051,401,8985,9385,8848,1698,10545,5156,553,5707,5371,255,5624,1851,111,1965,741,41,788,22372,11642,34014
SED10052,330,6766,7097,8676,977,9643,4655,221,4873,5140,140,5284,2136,71,2201,778,22,802,21712,8192,29907
SED10053,512,8682,9197,9263,1752,11018,4707,510,5218,4704,383,5088,1967,190,2163,920,125,1046,22076,11648,33728
SED10054,190,4539,4737,6086,958,7038,5086,397,5482,5540,388,5926,3060,222,3285,2487,158,2648,22451,6668,29114
