SED_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
SED10001,41377,43028,84402,2596,2498,5097,5468,5158,10622,2528,2493,5022,2342,2322,4663,4931,5045,9981,4728,5118,9848,4950,5228,10175,5403,5679,11088,4897,5024,9916,2684,3107,5792,843,1354,2198,32,42,70,40233,41924,82159,1143,1098,2242,1429,1493,2924,26,26,56,49,44,88,1514,1563,3075,34004,35656,69668,4454,4589,9041,35804,37658,73459,2726,2801,5525,36682,38561,75238,740,730,1470,5022,4766,9784,1697,1872,3570,550,808,1356,979,1892,2870,12883,16183,29060,3888,3831,7723,9084,8500,17580,2847,2539,5386,1708,1518,3222,243,233,476
SED10002,61887,56087,117975,3956,3636,7595,6303,6213,12514,2779,2606,5394,5739,4802,10537,14973,12697,27669,10009,8268,18276,6541,6033,12566,5715,5729,11444,3638,3655,7290,1680,1715,3391,564,728,1293,188,180,363,60144,55571,115718,1742,515,2261,472,305,782,10,11,18,18,16,28,500,331,834,21207,19463,40675,36243,32919,69165,13047,11286,24335,42667,40347,83010,37232,36640,73876,895,861,1758,5620,5613,11234,2150,2197,4354,2973,2666,5641,3881,4204,8084,33092,30899,63993,1974,1648,3621,4803,4092,8895,1811,1470,3281,2420,2476,4894,1871,1968,3836
SED10003,39905,43177,83080,2045,1915,3952,4880,4598,9480,2146,2003,4151,1674,1827,3503,4354,5008,9361,4972,5447,10420,5174,5967,11138,5590,6168,11756,5494,5733,11227,2680,2998,5680,896,1517,2410,116,106,221,39019,42172,81192,882,1001,1890,1127,1213,2340,40,34,74,48,50,100,1226,1298,2519,30240,32344,62589,6466,7481,13951,34244,36791,71031,2594,3155,5748,34435,37170,71607,616,566,1186,4457,4162,8617,1515,1472,2981,421,572,994,1120,2224,3347,16936,20112,37044,2400,2389,4788,7664,8078,15745,1933,1964,3894,1083,990,2077,92,81,173
SED10004,39718,42403,82121,2204,2142,4352,4037,3869,7904,1638,1587,3228,2520,2921,5450,7319,7898,15213,6974,7204,14175,5759,6042,11797,4282,4618,8901,3122,3714,6835,1457,1737,3195,420,664,1084,127,129,253,38322,41211,79531,1397,1191,2591,495,547,1045,20,23,41,14,11,28,535,583,1116,24261,25814,50071,13422,14580,28005,29738,30749,60489,7809,9523,17331,32103,34307,66415,711,674,1382,3862,3704,7566,1409,1405,2817,1415,1714,3125,2362,3212,5567,25705,28403,54108,1283,1245,2527,2846,2906,5752,781,840,1619,613,672,1291,167,226,400
SED10005,47317,47423,94735,3586,3557,7142,6868,6475,13342,3215,2972,6187,3476,3286,6761,7294,7322,14614,6203,6211,12421,5393,5608,11002,5204,5173,10375,3516,3673,7188,1803,1966,3766,752,1172,1928,86,94,184,46316,46704,93023,997,716,1717,270,262,526,12,19,31,4,8,15,288,284,575,21639,21572,43214,21968,22262,44227,12486,11854,24345,30322,31418,61748,36780,37538,74320,889,806,1697,6016,5754,11771,2465,2412,4876,1474,1487,2959,1785,2248,4038,20629,21194,41823,1890,1794,3685,5428,5129,10558,1721,1756,3477,2123,2466,4591,1121,1529,2649
SED10006,38628,38026,76652,2316,2194,4512,4865,4644,9513,2098,1983,4079,2014,1814,3827,4500,4715,9209,3976,4060,8034,4690,4559,9250,5824,5559,11378,5012,4493,9507,2557,2731,5286,782,1272,2051,65,37,100,36929,36694,73622,1701,1330,3035,5781,6167,11944,34,34,74,97,101,199,5919,6299,12220,31211,30666,61880,2041,2186,4223,32312,31956,64267,1194,1233,2426,32621,32190,64814,595,596,1188,4097,3939,8038,1118,1200,2319,281,385,664,510,1328,1840,8930,11176,20101,2281,2248,4528,9745,8661,18410,3167,2847,6015,2431,1656,4087,176,108,291
SED10007,40850,39926,80780,2215,2071,4289,5288,5033,10322,2672,2378,5049,2479,2144,4625,4962,4642,9598,4622,4397,9015,5055,5155,10217,5417,5431,10849,4792,4699,9488,2629,2749,5379,706,1231,1935,38,34,75,38277,38839,77120,2570,1092,3660,2935,2582,5521,53,51,107,70,61,126,3056,2697,5752,33956,33408,67365,4012,3906,7922,35014,35588,70599,1901,1961,3862,35508,36064,71565,668,639,1309,4850,4640,9491,1807,1774,3584,606,763,1369,863,1666,2529,12302,15067,27372,2433,2273,4707,10305,9012,19314,2721,2672,5392,1596,1336,2935,127,107,230
SED10008,43650,45174,88827,2399,2291,4690,6714,6297,13012,2801,2571,5381,2700,2450,5153,4237,4412,8651,6655,7301,13954,5808,6188,11995,5033,5416,10448,4216,4765,8976,2434,2547,4983,646,947,1591,112,143,250,43183,44430,87614,468,748,1221,174,198,373,0,0,3,8,15,22,182,215,391,24190,23961,48151,18447,20113,38560,23656,23529,47185,18797,20298,39103,37134,37665,74802,888,851,1746,6543,6098,12635,2498,2351,4849,1449,1446,2900,1366,1955,3323,25421,26445,51871,1648,1478,3128,4399,4999,9396,1161,1325,2490,595,783,1379,195,258,452
SED10009,38064,39484,77550,1669,1560,3228,4134,3877,8006,1991,1736,3728,1424,1314,2741,3153,3288,6445,3358,3701,7059,4436,4823,9255,6278,7091,13372,7069,6926,13993,3497,3624,7119,1053,1548,2597,43,40,86,37011,38319,75329,1059,1164,2219,1881,1914,3793,20,21,38,32,35,62,1932,1965,3900,30135,31024,61157,4786,5359,10146,33920,35120,69033,1326,1611,2940,34104,35498,69607,471,446,913,3717,3524,7241,1314,1203,2512,254,338,590,620,1357,1982,12949,15214,28165,2809,2819,5628,9324,9216,18546,2640,2493,5131,1558,1365,2924,106,78,178
SED10010,46465,45975,92443,3217,3100,6315,6019,5685,11703,2655,2402,5057,3648,3180,6831,7772,7592,15362,7333,7098,14434,5336,5331,10667,4789,4890,9676,3500,3848,7347,1657,1937,3593,532,911,1449,73,134,214,46033,45356,91393,436,615,1054,1017,1114,2133,20,25,47,30,39,69,1069,1180,2248,21878,21270,43146,21575,21772,43352,20624,19785,40406,22593,22959,45550,35083,34993,70077,787,795,1585,5498,5203,10701,2056,1925,3979,1582,1506,3093,1993,2811,4803,22223,22440,44666,1947,1728,3673,6364,5889,12256,1835,1779,3613,1416,1774,3193,503,694,1194
