SED_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SED10001,58,302,3158,13297,9370,1444,295,1697,29622,14,504,2865,634,43,5,5,377,4450,0,126,181,103,14,10,0,70,500,16,634,3044,737,57,11,5,449,4950,0,107,120,24,0,0,0,34,293,4,8,64,0,0,0,0,11,84,0,0,25,4,0,0,0,6,35,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,0,0,7,3,113,209,32,4,0,0,51,420,28,65,48,36,9,0,0,62,256,3,16,13,30,18,4,0,22,116,109,1134,6478,14121,9465,1461,304,2286,35359
SED10002,38,226,1815,5734,3879,1386,517,1197,14802,31,203,229,149,28,0,0,103,747,6,198,516,2011,586,69,11,238,3638,32,402,745,2156,614,73,13,340,4382,60,401,1720,227,43,3,0,229,2682,9,89,1362,560,6,0,8,151,2189,79,1519,4298,970,52,9,5,411,7324,18,2086,4298,972,57,4,0,464,7892,5,46,150,112,53,22,19,40,453,163,4133,11828,2846,216,41,27,1291,20543,6,11,37,32,10,7,4,20,123,3,38,81,22,9,3,0,30,179,241,4809,14518,10786,4724,1510,568,2885,40036
SED10003,174,856,2759,10065,7603,1606,404,1677,25141,4,150,1250,1208,124,12,6,214,2969,8,184,816,1220,151,17,7,196,2600,7,333,2067,2431,277,36,11,413,5567,21,260,602,285,34,0,4,128,1338,0,28,157,73,4,0,0,16,272,0,10,25,39,0,0,0,16,88,0,3,12,3,0,0,0,0,21,16,79,39,18,18,9,0,10,195,41,376,834,420,50,13,8,175,1904,126,340,307,82,18,4,0,323,1202,20,66,32,25,8,5,5,23,169,362,1965,5996,13020,7955,1653,423,2610,33985
SED10004,17,150,1590,3252,1752,366,50,187,7360,10,327,1951,1732,589,66,10,159,4838,78,536,2268,3274,1215,211,63,345,7983,88,864,4216,5002,1798,278,74,498,12823,143,733,1121,481,63,7,5,222,2773,295,1226,1871,285,27,0,0,230,3944,273,2048,2377,588,42,8,0,451,5785,161,1417,1302,319,15,0,7,241,3467,3,18,35,9,3,4,0,3,76,871,5443,6703,1684,157,22,17,1150,16046,12,86,101,46,15,7,4,34,309,16,23,19,13,5,0,9,10,86,1011,6576,12630,10001,3727,672,146,1882,36633
SED10005,32,173,1920,6656,4402,1479,443,1311,16429,17,76,195,431,102,17,0,77,924,5,119,405,1095,877,87,9,201,2786,24,194,597,1523,975,103,6,279,3710,99,526,525,268,56,5,0,222,1700,46,206,2952,501,8,0,4,374,4093,23,212,1663,265,5,0,0,262,2436,5,69,840,177,0,0,0,136,1231,0,27,158,78,49,22,7,28,373,177,1043,6135,1292,119,26,15,1022,9828,0,16,75,58,3,0,0,21,178,4,14,34,14,10,3,0,17,83,238,1437,8766,9547,5511,1612,469,2647,30232
SED10006,145,718,3767,12135,6615,1334,416,3455,28580,12,266,546,94,24,6,3,188,1130,0,13,36,19,3,0,0,13,94,12,274,580,115,30,9,4,201,1221,17,234,282,40,9,0,0,146,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,4,17,242,286,40,10,5,0,146,741,138,317,157,90,30,10,3,263,1014,48,107,95,96,55,30,28,84,546,357,1661,4886,12473,6734,1379,459,4147,32092
SED10007,102,468,3098,11341,9301,1954,523,1729,28517,17,256,1012,588,67,5,5,195,2142,5,119,150,161,37,5,4,66,537,16,374,1164,743,105,8,6,261,2680,21,202,516,96,13,0,4,90,927,3,7,18,0,0,0,0,8,37,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,8,9,9,3,0,0,8,29,23,222,538,103,15,0,4,95,1001,21,45,32,33,12,6,7,63,220,8,21,13,23,25,0,4,11,115,182,1129,4850,12249,9456,1971,545,2160,32538
SED10008,10,112,627,5345,11091,4500,955,457,23102,0,10,196,242,18,5,0,15,495,0,11,350,1586,383,43,6,50,2440,0,24,547,1834,405,48,7,66,2934,6,50,209,90,4,0,0,24,379,0,12,248,167,0,0,0,18,444,5,302,744,234,15,0,0,57,1357,0,106,349,88,3,0,0,31,579,3,9,40,18,16,7,3,21,110,7,482,1585,598,38,7,3,146,2876,0,0,0,0,0,0,0,0,0,3,7,8,19,10,10,3,8,66,19,627,2771,7803,11543,4569,971,685,28974
SED10009,187,775,3690,12310,7716,1516,362,1712,28268,10,133,830,543,31,3,0,154,1707,6,105,452,461,68,7,3,89,1178,13,237,1275,1009,95,12,3,246,2890,20,187,928,368,28,5,0,146,1683,0,13,62,28,0,0,0,8,103,0,0,27,15,0,0,0,4,42,0,0,0,0,0,0,0,0,5,0,8,15,7,4,3,0,5,46,21,202,1026,424,33,10,3,159,1878,104,255,295,62,27,4,6,183,940,13,32,45,35,22,4,0,17,167,332,1507,6336,13831,7888,1545,380,2318,34143
SED10010,42,295,2461,11340,6629,1567,405,1478,24203,20,103,275,454,135,7,0,109,1105,11,113,501,1362,609,46,6,200,2847,37,210,778,1811,739,59,8,307,3947,54,323,115,32,10,0,0,103,637,0,0,15,0,0,0,0,13,27,0,78,1807,91,0,0,0,176,2153,0,16,146,45,3,0,0,26,242,3,12,113,69,18,7,11,27,262,60,430,2196,238,36,7,12,344,3316,0,3,14,8,0,0,0,6,28,0,14,12,5,0,5,0,9,43,136,950,5462,13400,7408,1632,419,2141,31540
