SED_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
SED10001,10979,774,50,77,33,11912,10054,384,16,15,8,10478,3763,2501,200,28,9,6501,580,192,20,0,0,788,103,118,13,0,4,241,1388,315,16,5,7,1734,258,53,13,55,16,392,39,33,7,0,0,85,6127,3214,269,94,37,9733,695,141,31,7,14,896,1766,436,54,59,22,2338,29622,4950,420,256,116,35359
SED10002,4955,637,1712,13,8,7319,4301,1298,5083,16,33,10730,2292,1000,10093,46,68,13509,488,559,532,0,3,1583,51,184,225,0,0,468,865,204,1024,18,27,2137,340,71,302,5,12,733,42,15,63,0,0,123,4080,2041,12242,74,115,18545,246,68,249,3,3,568,1220,346,1258,15,23,2872,14802,4382,20543,123,179,40036
SED10003,10303,1555,360,482,41,12741,7364,992,260,41,12,8665,2542,1453,587,44,21,4648,245,302,83,0,0,628,124,102,72,0,0,296,1992,517,268,95,29,2894,230,32,20,190,40,506,46,18,6,0,0,72,5173,2424,1035,331,87,9048,613,183,81,33,10,912,1686,424,169,313,24,2618,25141,5567,1904,1202,169,33985
SED10004,2763,3447,2001,29,5,8239,2809,3972,2433,16,8,9238,1137,3078,7723,156,44,12127,65,837,1063,0,0,1964,23,53,439,0,4,522,277,707,912,52,13,1961,10,52,123,11,3,212,5,17,30,0,0,55,1525,4742,10287,217,64,16838,70,161,198,8,0,439,199,505,1123,37,7,1872,7360,12823,16046,309,86,36633
SED10005,5439,618,989,28,5,7078,4730,1217,1955,45,10,7959,2253,701,3643,52,34,6678,1026,440,1257,0,3,2723,101,137,293,0,5,534,928,191,418,21,11,1577,287,43,106,8,4,447,39,10,39,3,0,90,4628,1524,5756,86,55,12050,297,60,122,3,4,488,1334,293,1009,24,11,2668,16429,3710,9828,178,83,30232
SED10006,10837,96,28,456,215,11627,6843,36,11,48,46,6984,1821,370,208,6,11,2403,843,150,56,7,11,1070,459,103,63,0,6,630,1976,100,73,37,28,2222,1007,124,100,139,65,1430,72,19,14,0,3,107,6174,859,509,190,123,7860,1183,37,44,75,77,1420,3529,200,145,250,79,4205,28580,1221,741,1014,546,32092
SED10007,11092,462,106,62,38,11761,9332,237,48,18,18,9661,3611,1133,535,23,12,5318,704,213,73,0,4,988,88,88,20,0,0,201,1267,147,60,8,12,1504,180,30,22,23,13,263,36,8,0,0,0,49,5887,1618,713,57,43,8323,468,118,41,8,10,645,1733,248,91,61,8,2147,28517,2680,1001,220,115,32538
SED10008,8971,650,441,0,4,10070,10214,1110,739,0,25,12094,2616,879,1160,0,22,4676,38,35,12,0,0,85,22,4,49,0,0,69,475,99,110,0,0,685,51,20,11,0,0,79,9,4,9,0,0,16,3206,1035,1345,0,28,5605,244,55,195,0,0,491,463,78,159,0,6,712,23102,2934,2876,0,66,28974
SED10009,14014,965,435,473,57,15936,7419,302,171,26,21,7935,2218,659,758,17,9,3661,353,173,78,15,0,620,135,95,29,4,0,261,1580,217,179,40,17,2035,215,24,30,152,26,453,42,12,4,0,5,71,4544,1189,1076,234,54,7092,545,193,55,28,14,830,1754,249,148,174,17,2337,28268,2890,1878,940,167,34143
SED10010,6247,361,138,0,0,6747,8197,1434,540,4,4,10178,5183,1092,1569,14,18,7872,1342,428,395,0,0,2159,101,60,76,0,0,237,1149,162,179,3,8,1499,197,31,31,0,0,269,48,21,14,0,0,83,8021,1788,2259,18,28,12115,250,50,32,0,0,336,1497,316,339,6,10,2168,24203,3947,3316,28,43,31540
SED10011,11122,366,157,7,14,11668,10869,178,89,4,6,11139,2717,325,326,21,14,3404,78,84,50,0,0,213,126,127,106,4,0,372,965,74,76,5,3,1121,63,6,17,3,4,92,22,4,7,0,0,33,3967,630,581,35,24,5229,277,83,89,0,9,458,789,76,79,10,23,980,27026,1325,990,58,69,29476
SED10012,6898,534,534,3,4,7972,5753,676,501,3,9,6938,2694,655,1439,21,28,4836,705,748,114,0,0,1564,163,181,62,0,0,406,953,159,255,3,10,1381,316,52,83,0,9,463,35,8,24,0,0,66,4868,1796,1978,21,49,8720,264,55,60,3,0,384,1053,205,277,10,11,1551,18829,3271,3352,46,73,25569
SED10013,7996,327,88,117,17,8546,20151,680,89,4,52,20971,7139,788,143,10,20,8106,266,72,41,0,0,381,48,85,0,0,0,136,1058,102,24,7,7,1198,205,14,5,20,4,242,39,7,0,0,0,50,8756,1074,213,37,33,10114,415,205,31,3,13,663,1353,130,30,22,14,1549,38665,2419,448,181,122,41841
SED10014,5673,568,280,0,3,6518,8945,636,546,0,0,10125,4229,722,1409,3,9,6379,1494,906,142,0,0,2542,90,161,107,0,0,359,811,100,111,0,5,1022,96,18,18,0,0,131,18,14,10,0,0,42,6742,1916,1799,3,17,10478,204,311,171,0,0,681,1181,421,246,0,9,1859,22747,3849,3035,7,36,29668
SED10015,7381,869,1467,23,3,9751,5261,1111,3063,31,8,9475,1983,870,6428,93,22,9393,138,265,409,0,0,812,52,132,161,0,5,351,573,182,762,20,10,1551,109,39,171,4,4,324,10,15,36,3,0,65,2868,1493,7958,128,46,12492,225,72,174,0,4,474,696,210,1213,18,23,2165,16433,3763,13880,200,83,34360
SED10016,7609,544,689,0,5,8841,13986,897,663,0,16,15567,3555,709,1397,7,9,5672,15,50,9,0,0,70,4,13,30,0,6,46,538,87,126,0,4,756,116,22,11,0,0,150,13,5,3,0,0,20,4240,876,1575,7,16,6721,204,179,91,0,0,478,587,87,128,0,0,804,26620,2584,3150,9,34,32407
SED10017,9127,327,45,48,22,9576,12452,218,35,12,20,12737,4442,931,190,15,11,5585,445,194,53,0,3,687,92,78,42,0,0,216,1144,94,26,8,0,1274,144,22,13,6,9,189,27,14,5,0,0,46,6290,1326,331,29,20,7998,368,83,60,4,5,523,1173,176,64,26,7,1447,29418,2135,543,110,71,32274
SED10018,9174,1121,252,0,0,10545,9425,638,212,0,0,10278,2620,1034,531,6,3,4195,898,423,139,0,0,1472,61,53,73,0,0,182,918,216,103,0,0,1247,142,32,16,0,0,188,25,10,9,0,0,38,4659,1767,869,15,9,7320,189,135,35,0,5,366,707,200,87,0,4,1008,24168,3855,1453,20,22,29525
SED10019,11997,566,238,780,72,13656,8024,235,71,91,14,8440,2618,798,626,31,16,4090,361,81,57,0,0,501,126,148,40,0,0,318,1584,210,171,40,21,2018,229,41,29,198,23,518,34,25,8,4,0,78,4949,1303,933,277,65,7525,414,67,34,30,14,562,1859,251,168,186,16,2478,27247,2424,1447,1366,188,32670
SED10020,9380,906,628,515,64,11494,7911,573,334,36,8,8863,2753,1135,1381,20,25,5314,368,218,201,3,0,788,208,135,126,0,0,463,1300,280,290,29,20,1918,196,41,38,136,27,438,36,17,14,5,3,73,4860,1832,2039,187,75,8993,327,185,78,25,7,624,1123,287,297,165,21,1885,23607,3783,3379,926,176,31859
SED10021,2666,2142,3516,109,4,8438,2036,2311,3413,65,8,7830,490,1102,10868,366,17,12840,4,23,818,0,0,845,0,11,177,0,4,194,167,244,1630,72,7,2114,39,79,112,8,4,240,5,4,44,0,0,56,709,1456,13644,457,29,16292,79,60,377,16,4,532,163,189,1361,61,13,1791,5648,6156,22310,707,56,34877
SED10022,12105,275,53,128,27,12592,7540,101,18,36,17,7713,2379,536,296,33,0,3242,544,43,69,0,0,653,116,65,16,0,3,202,1639,128,38,17,11,1832,404,44,28,44,9,536,39,10,8,0,0,62,5116,822,454,93,35,6523,872,77,15,23,20,1001,1982,149,97,84,42,2356,27616,1430,641,353,142,30181
SED10023,7178,1731,2088,8,11,11018,7286,1198,1955,13,9,10452,1039,661,3737,40,8,5488,60,105,224,0,0,386,14,13,59,0,0,88,370,104,502,11,3,1002,32,92,21,6,0,147,7,0,9,0,0,17,1523,968,4556,64,15,7120,134,47,113,0,0,296,372,160,435,5,5,972,16485,4103,9147,93,38,29870
SED10024,9074,587,1572,5,5,11238,8804,294,1169,3,4,10274,1701,150,1812,3,15,3678,6,50,0,0,0,62,15,18,15,0,4,48,409,39,225,7,3,682,36,14,44,0,0,101,10,0,9,0,0,24,2179,275,2110,7,21,4597,172,120,228,0,0,521,376,47,191,0,3,612,20612,1320,5264,17,28,27244
SED10025,5917,932,3404,38,5,10295,4222,1034,4026,69,5,9359,1288,699,7231,201,21,9445,65,170,369,0,0,613,15,32,146,0,0,190,297,116,784,39,7,1249,37,31,113,5,4,186,6,0,25,0,0,33,1719,1056,8665,250,31,11717,124,49,226,8,0,403,330,119,742,24,5,1229,12312,3196,17062,390,50,33002
SED10026,9206,394,86,92,33,9805,9688,180,34,28,20,9937,3723,989,702,35,20,5466,586,139,187,0,0,912,161,97,60,0,0,324,1457,102,65,19,9,1658,224,34,57,52,33,402,41,13,19,0,0,76,6192,1381,1095,107,55,8834,435,190,63,9,3,693,2093,289,201,151,44,2777,27615,2428,1477,382,161,32055
SED10027,7211,1462,132,17,6,8820,6647,2684,153,16,13,9510,2548,1358,340,67,20,4329,731,465,347,0,0,1543,50,94,105,0,0,254,683,244,70,9,5,1013,119,36,28,6,0,187,32,6,7,0,0,44,4161,2203,895,84,25,7371,261,74,128,4,0,462,824,302,143,14,6,1297,19107,6722,1446,133,52,27463
SED10028,8270,996,831,4,9,10104,7777,1109,1451,6,14,10351,1953,777,3445,3,14,6194,20,74,37,0,0,128,31,69,158,0,4,265,466,107,382,0,3,958,68,17,65,0,4,147,15,10,25,0,0,51,2558,1047,4114,3,21,7742,257,234,424,0,0,918,352,121,333,0,5,813,19213,3505,7153,10,50,29927
SED10029,6166,586,599,5,6,7360,5072,1166,772,8,13,7040,3446,1174,2439,27,61,7140,527,729,657,0,3,1917,74,165,327,0,0,569,1076,213,361,10,8,1667,367,69,124,6,10,581,65,26,34,0,0,127,5549,2374,3940,47,87,11997,283,53,75,0,3,417,1234,304,589,17,17,2165,18313,4487,5972,86,130,28979
SED10030,7393,2021,897,54,31,10402,7582,969,855,28,17,9447,3857,1571,2463,245,51,8185,223,430,389,0,3,1053,100,115,161,5,0,380,948,243,284,46,13,1540,97,29,26,7,3,159,26,10,23,4,0,64,5257,2399,3350,307,75,11389,273,159,109,12,3,552,1019,359,441,69,24,1911,21524,5905,5653,464,150,33701
