SED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED10001,1588,953,907,927,933,931,739,475,192,7639,15713,9681,9951,9835,10178,11073,9909,5790,2197,84331
SED10002,1890,1565,2712,1990,1310,1052,598,332,190,11651,20081,15880,27594,18224,12525,11391,7249,3374,1289,117614
SED10003,1482,821,1022,1100,1110,1093,910,478,248,8263,13427,7607,9292,10399,11111,11735,11212,5668,2409,82854
SED10004,723,688,1039,980,814,666,452,256,182,5792,12242,8624,15144,14149,11772,8871,6802,3187,1084,81872
SED10005,2440,1439,1661,1523,1239,956,702,449,386,10803,20464,12928,14591,12395,10980,10342,7158,3761,1929,94552
SED10006,2358,1368,1407,1328,1465,1624,1262,771,361,11955,14021,7891,9168,8027,9245,11373,9497,5283,2053,76553
SED10007,1472,1117,1296,1212,1131,947,818,465,162,8621,14603,9664,9585,9007,10202,10842,9482,5374,1935,80701
SED10008,738,446,414,545,510,470,373,259,173,3936,17691,10511,8617,13930,11975,10393,8903,4965,1582,88576
SED10009,1276,741,632,680,941,1156,1062,594,342,7412,11227,6459,6427,7053,9252,13360,13983,7117,2598,77464
SED10010,1599,1046,1346,1149,914,781,492,340,175,7852,18005,11881,15338,14416,10642,9624,7292,3583,1446,92234
SED10011,853,467,394,534,608,545,451,292,204,4354,12557,7346,6691,8883,10087,10309,9770,4857,1639,72128
SED10012,1349,948,918,868,894,890,527,291,234,6915,14517,12062,10999,9975,11187,11616,8219,3608,1678,83858
SED10013,2176,1016,1154,1274,993,660,415,277,210,8186,32549,15970,21079,20481,15722,11491,8142,3946,1452,130830
SED10014,1942,1131,1127,1085,861,727,538,352,161,7933,17722,11143,12237,11610,9610,9211,7638,3681,968,83810
SED10015,1156,886,1302,1145,1005,842,558,436,335,7669,14910,11112,14953,13525,12806,10954,7695,5100,2336,93395
SED10016,938,679,518,692,728,479,312,185,129,4663,22864,13789,10816,17056,14883,10650,8025,4093,1305,103486
SED10017,1633,1030,1333,1173,1030,788,532,320,150,7983,18032,10451,12534,11347,10738,10010,8569,4117,1555,87357
SED10018,1024,586,584,601,595,525,423,245,176,4759,14345,8820,8975,9850,9792,8833,7283,5012,2200,75115
SED10019,1604,1046,1226,1163,1089,1126,956,533,236,8986,13049,7730,7566,7757,9398,11853,12089,6748,2527,78725
SED10020,1321,807,842,885,876,841,677,510,321,7074,14030,8266,8903,9342,9888,10594,10389,5862,2328,79602
SED10021,900,548,1338,950,706,523,467,380,431,6240,12851,7462,17784,13412,10677,7924,5834,3725,1980,81649
SED10022,1436,971,988,1048,1061,1012,829,575,214,8130,13142,7525,7421,7568,8744,10323,9782,5807,2244,72547
SED10023,866,562,552,587,681,565,383,225,181,4611,13994,9287,9015,9879,10954,10006,7865,4405,2064,77478
SED10024,630,432,217,357,518,416,304,231,188,3291,16264,10271,5347,10302,12588,9653,7650,5758,2449,80271
SED10025,790,499,826,735,667,587,590,441,415,5557,13115,8073,12879,12531,10984,9636,7800,4701,2219,81931
SED10026,2263,1202,1423,1259,1168,1057,769,510,242,9900,17312,9203,11586,9863,9711,10018,8148,4979,1820,82647
SED10027,1249,740,802,783,733,609,434,354,382,6086,16400,10568,10271,11194,10568,9903,7190,4183,2149,82426
SED10028,605,418,408,494,449,395,292,328,369,3754,16494,10744,9411,12909,11701,10742,8146,4804,2817,87771
SED10029,1836,1161,1159,1176,1079,972,679,362,235,8666,17697,12918,12498,11584,11993,11720,8185,4360,1878,92847
SED10030,1102,705,769,723,819,831,709,458,265,6385,12949,8216,9132,9905,10196,10690,9328,5898,2488,78817
SED10031,1483,873,928,937,1070,1042,853,524,231,7950,14690,8833,8822,9170,11017,11753,10549,5825,1974,82634
SED10032,2333,1380,2166,1768,1118,892,519,288,98,10560,21191,13462,20264,16717,11044,9517,6529,3605,1401,103727
SED10033,1175,803,738,702,818,717,474,305,168,5889,14946,10113,9637,9081,10988,10035,7466,4143,1392,77808
SED10034,787,482,416,497,559,438,317,235,142,3881,15095,9127,8578,10617,10738,9317,7338,4272,1782,76871
SED10035,926,1461,2649,1447,868,713,441,231,87,8817,13366,16557,35859,20438,11862,8668,5839,3343,1298,117224
SED10036,1584,1047,1011,969,805,642,418,391,345,7208,19741,12577,11866,12645,11872,9932,6430,3548,1479,90085
SED10037,757,501,396,534,624,443,376,261,163,4042,16047,10006,8263,12209,12529,10356,7738,4598,1561,83323
SED10038,943,915,524,647,643,567,419,353,293,5302,15254,10788,8953,10471,10844,9924,7972,5072,2370,81641
SED10039,1171,795,885,877,788,723,593,346,248,6423,14207,8598,9210,9059,9363,10781,10031,5529,2202,78977
SED10040,910,779,1098,848,700,673,587,492,479,6571,14251,12217,17275,13230,10845,10656,8150,4792,2534,93951
SED10041,675,481,378,507,536,460,305,290,295,3930,16420,10357,7993,12833,12400,9877,7631,5504,3272,86294
SED10042,1161,678,595,622,663,597,522,446,276,5561,13531,8841,8793,8768,9592,10421,9824,6339,2539,78638
SED10043,2158,1305,1506,1293,1004,890,569,321,127,9174,20944,12646,15087,13261,10602,10057,7089,4074,1725,95476
SED10044,783,528,737,811,641,607,554,517,763,5952,15701,9324,13239,14571,12014,9652,7588,4651,2466,89210
SED10045,1566,997,855,1017,1091,1260,1029,560,395,8775,12879,7981,7362,8582,10194,12342,10788,5075,2107,77313
SED10046,2330,1327,1476,1503,1151,1097,674,377,155,10092,20628,14046,14281,13689,12245,11414,6793,3313,1069,97478
SED10047,2990,1702,2189,2021,1447,911,631,380,191,12466,29436,14762,19426,19759,13353,10606,7942,3930,1056,120267
SED10048,2045,1037,1201,1257,949,721,397,195,67,7869,25886,13624,16686,18530,12946,11674,8144,3452,1090,112030
SED10049,1619,841,878,851,704,629,378,271,156,6327,19275,11073,12882,11934,10912,9775,8012,4329,1498,89694
SED10050,794,467,679,688,742,564,311,176,102,4525,15175,8644,11979,12508,12532,9441,6182,3730,1563,81749
SED10051,997,683,1177,1161,1039,800,582,361,135,6930,14720,9745,12819,13058,11887,9870,7598,4927,2064,86680
SED10052,856,529,555,690,667,523,426,355,306,4902,14547,8866,9291,10813,10835,9542,7824,5337,2651,79702
SED10053,1356,997,1239,1077,1068,1111,702,307,122,7983,16648,10460,13085,12148,12940,11908,8009,3881,1253,90330
SED10054,2368,1336,1320,1230,1109,777,491,278,241,9158,21703,13250,13286,13357,11729,10272,6777,2903,1179,94455
SED10055,1280,864,764,745,801,617,357,134,24,5589,19078,12213,11414,12355,11728,10581,6688,2482,711,87259
SED10056,1945,1119,1270,1188,1286,1329,1061,646,292,10140,15870,9326,10465,9572,10698,11862,9992,5879,2354,86027
SED10057,1354,719,641,696,794,909,962,637,303,7021,11693,6812,6345,6912,8688,11791,13018,7891,3090,76244
SED10058,832,910,951,792,800,703,527,292,195,5997,11522,9911,13251,10293,9846,9751,7938,4213,1854,78586
SED10059,432,898,1653,1073,903,740,546,369,250,6871,7216,11318,21873,13200,9896,7369,4745,2557,1033,79208
SED10060,506,405,826,751,596,543,432,335,167,4569,10097,6791,14404,12658,10169,8868,7478,4946,1769,77185
SED10061,2235,1846,1383,1275,1340,1390,1006,658,323,11460,14561,10080,9289,8537,9623,10867,9234,5752,1964,79907
SED10062,760,593,625,607,635,540,417,274,258,4711,13394,9675,9611,10377,10502,10170,7725,4583,2328,78365
SED10063,1702,943,893,933,887,876,647,454,265,7605,17072,9539,9794,9677,9763,9937,8508,5161,2078,81528
SED10064,1732,1023,1100,1045,1020,1132,1002,552,204,8822,13173,7450,7234,7507,9296,12526,12490,6628,2359,78677
SED10065,1332,910,1606,1402,847,749,475,265,183,7777,20332,12366,22555,20237,12304,10909,7440,3740,1638,111515
SED10066,1554,955,1194,1005,883,683,593,500,368,7738,16317,10860,12729,11831,10392,9116,7688,4288,1590,84807
SED10067,818,543,415,549,663,668,479,365,266,4763,13031,8366,6164,8405,10799,10487,8726,5867,2758,74610
SED10068,985,693,544,602,670,810,797,547,310,5954,12323,8086,6894,7930,9702,11660,13075,8499,3249,81418
SED10069,1171,648,561,575,722,705,686,567,313,5944,12654,7866,6871,7631,9323,11122,11291,6901,2081,75735
SED10070,1371,753,854,926,795,644,543,389,317,6591,17730,10606,11629,13425,10713,9754,8211,4572,1814,88455
SED10071,1540,1098,1512,1561,981,532,331,125,48,7729,30005,15049,17734,24834,15284,9688,6354,2524,696,122166
SED10072,1049,870,1536,1034,919,721,496,436,343,7411,13802,10862,19003,14162,11275,9697,7487,4995,2274,93553
SED10073,783,639,1147,900,646,636,429,284,214,5680,15723,11306,19084,16697,11294,10726,8217,4430,2291,99768
SED10074,1490,740,986,932,743,647,540,448,307,6841,17290,9824,12738,14116,10705,8888,7428,4615,1829,87436
SED10075,1386,911,785,754,799,709,522,421,286,6571,16719,10937,10570,11003,11130,10957,9157,5652,2002,88124
SED10076,1398,785,720,783,797,835,748,511,245,6827,12448,7061,7551,7819,8726,11431,12246,7117,2529,76935
SED10077,862,1090,1562,876,681,626,406,351,301,6756,13942,15591,23049,14085,11061,10263,7136,4293,2259,101673
SED10078,615,584,1086,762,619,597,354,225,98,4939,10724,8614,16193,12670,10685,8799,6278,3979,2060,79998
SED10079,1052,631,560,560,654,630,564,430,198,5291,12535,7884,7314,7890,9256,10189,9840,6322,2108,73337
SED10080,602,1684,3586,2152,1397,988,614,377,258,11666,6578,10425,29925,18799,11527,9204,6641,3511,1335,97959
SED10081,1921,1130,1086,994,1014,924,760,621,328,8774,16454,9389,10287,9365,9531,9947,8695,5530,2069,81274
SED10082,979,558,434,583,603,605,510,385,260,4936,14068,8540,6631,8976,10326,10295,9737,6226,2539,77336
SED10083,1206,759,683,734,703,632,509,345,281,5857,14010,8505,8728,9393,9426,9601,8578,5062,2382,75689
SED10084,1330,741,808,907,953,867,765,555,305,7244,13355,7599,7704,9374,9979,11444,11580,7545,3288,81871
SED10085,1514,1054,994,960,1031,960,727,397,164,7803,15337,9123,9473,9426,10436,10920,8688,4605,1613,79628
SED10086,744,552,1183,855,671,509,389,353,245,5505,12066,7633,15358,11811,10117,7970,6763,4402,1916,78033
SED10087,1530,1177,941,846,876,809,560,409,200,7355,16609,12098,11266,9930,9460,9609,7762,4577,1979,83305
SED10088,803,562,508,630,751,555,404,336,259,4803,15603,10062,9303,11647,12629,9683,6758,4827,2212,82735
SED10089,1220,1341,1009,810,701,691,569,541,444,7326,15326,13022,13023,11096,10059,9119,7779,5063,2559,87045
SED10090,692,436,579,676,611,426,344,216,148,4141,15729,8895,11342,14309,12316,9330,7570,4159,2089,85739
SED10091,1193,784,598,710,762,644,516,449,368,6022,16495,9574,9266,9793,10920,10016,9162,5627,1997,82840
