SED_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
SED10012,18829,65553,581,1415,2694,8037,3271,9452,839,2091,1765,4107,378,857,0,0,374,1017,3352,8074,0,0,0,0,4,4,41,102,46,105,73,180,25569,83355,1313,..,26883,83355
SED10013,38665,123125,946,1848,1475,3610,2419,5458,245,372,26,38,35,48,0,0,145,366,448,827,31,50,132,188,5,3,21,39,181,278,122,321,41841,130009,1606,..,43451,130009
SED10014,22747,68523,1512,3287,2335,5320,3849,8608,831,1346,458,747,1362,2699,190,349,201,400,3035,5539,0,0,0,0,4,8,5,6,7,9,36,53,29668,82726,1641,..,31307,82726
SED10015,16433,50344,1157,2903,2602,7444,3763,10345,5328,11877,3468,7793,3999,9168,906,2116,178,524,13880,31474,0,0,0,0,0,0,200,428,200,434,83,198,34360,92789,2853,..,37215,92789
SED10016,26620,89283,438,794,2152,6173,2584,6964,439,886,726,1672,1385,3018,506,1104,90,207,3150,6888,0,0,0,0,0,0,9,17,9,17,34,80,32407,103228,1427,..,33838,103228
SED10017,29418,79998,1799,3147,336,546,2135,3697,448,616,22,27,0,0,0,0,80,162,543,803,49,61,11,12,28,34,29,54,110,165,71,147,32274,84803,2520,..,34798,84803
SED10018,24168,64761,2126,3455,1730,3475,3855,6928,798,1254,117,172,256,422,236,420,48,110,1453,2386,0,0,0,0,0,0,20,39,20,39,22,41,29525,74149,1482,..,31000,74149
SED10019,27247,66940,1595,2556,832,1580,2424,4142,1209,1860,136,236,36,57,3,8,66,113,1447,2276,559,987,542,847,55,86,205,465,1366,2380,188,348,32670,76087,4067,..,36738,76087
SED10020,23607,62426,2183,3915,1599,3364,3783,7283,2456,4314,428,775,289,466,117,183,80,156,3379,5884,357,738,472,733,67,70,28,57,926,1595,176,335,31859,77521,2730,..,34586,77521
SED10021,5648,17732,2708,7275,3450,9724,6156,17000,4393,8849,11536,22062,3840,7292,2449,4450,90,219,22310,42870,0,0,0,0,4,4,703,1377,707,1385,56,102,34877,79082,4226,..,39104,79082
SED10022,27616,65935,1331,1975,95,142,1430,2112,582,808,36,47,0,3,0,0,10,20,641,880,128,198,87,153,16,35,125,239,353,627,142,277,30181,69828,4407,..,34588,69828
SED10023,16485,51077,866,1639,3233,7644,4103,9281,2128,3463,3824,7043,2029,3782,1104,1990,57,159,9147,16425,0,0,9,7,0,0,84,174,93,184,38,83,29870,77047,2188,..,32056,77047
SED10024,20612,65825,180,350,1143,2456,1320,2802,1143,1918,639,1268,3251,7349,151,307,82,194,5264,11038,3,0,0,0,0,0,18,38,17,40,28,74,27244,79775,1821,..,29067,79775
SED10025,12312,36779,1069,2699,2120,5304,3196,8007,3306,6515,2941,5731,6461,13352,4258,9050,91,215,17062,34864,0,0,0,0,0,0,383,802,390,805,50,97,33002,80563,3036,..,36041,80563
SED10026,27615,72679,2321,3961,109,206,2428,4163,1425,2260,29,39,0,5,0,0,27,56,1477,2357,163,257,109,181,10,22,93,185,382,645,161,272,32055,80119,3226,..,35281,80119
SED10027,19107,59153,1480,3620,5241,16078,6722,19700,665,1001,332,564,220,380,0,0,228,538,1446,2494,0,0,0,0,0,0,133,309,133,309,52,123,27463,81768,1419,..,28885,81768
SED10028,19213,60862,830,1743,2679,7503,3505,9249,732,1054,1507,3475,3793,9359,992,2360,124,315,7153,16568,0,4,0,0,0,0,12,26,10,32,50,100,29927,86805,1999,..,31928,86805
SED10029,18313,63777,907,2385,3580,12095,4487,14479,2003,4102,1250,2715,1764,4101,604,1428,354,1099,5972,13443,7,12,0,0,3,0,72,170,86,185,130,342,28979,92228,1783,..,30760,92228
SED10030,21524,55781,3550,6110,2350,4618,5905,10724,2574,4241,760,1305,1704,3119,477,876,134,284,5653,9823,21,36,385,603,0,7,55,99,464,743,150,252,33701,77321,3664,..,37366,77321
SED10031,29742,75286,1538,2441,240,457,1776,2897,551,787,69,104,0,0,0,3,42,94,665,994,99,151,112,152,12,14,90,180,315,492,127,220,32621,79886,4649,..,37273,79886
SED10032,15718,52439,1373,3173,3495,11530,4872,14702,1924,4391,5210,12427,6637,16883,595,1371,209,622,14574,35693,0,0,0,0,3,11,76,216,80,229,156,352,35401,103408,3545,..,38941,103408
SED10033,23961,70355,1736,3235,602,1264,2337,4498,523,832,112,191,19,28,0,0,90,200,741,1256,96,147,78,103,11,33,33,84,213,366,98,190,27346,76662,1692,..,29038,76662
SED10034,19704,59265,604,1153,2053,5038,2654,6183,1008,1892,2782,5193,1376,2551,210,416,70,142,5442,10190,7,9,45,70,0,0,42,109,101,193,54,110,27958,75948,1480,..,29440,75948
SED10035,7528,21989,2531,6052,3226,8164,5757,14217,2976,6401,5637,10799,16524,32063,13210,27265,106,231,38451,76762,0,0,0,0,4,15,204,432,205,450,159,246,52101,113658,7041,..,59139,113658
SED10036,22269,74316,554,1212,3522,9326,4073,10533,279,406,271,536,275,607,589,1155,203,533,1618,3235,0,0,0,0,0,0,14,24,17,29,32,89,28009,88199,1243,..,29249,88199
SED10037,21346,64413,494,903,1480,3812,1970,4713,638,1275,2888,5900,2154,5036,330,805,153,343,6164,13364,16,25,60,92,0,0,49,114,125,234,46,91,29643,82813,1659,..,31305,82813
SED10038,21996,62625,2060,3744,3317,7039,5374,10775,2340,4115,593,975,276,447,0,3,135,289,3339,5831,47,69,3,9,0,0,122,241,171,325,67,147,30946,79703,1657,..,32607,79703
SED10039,25135,67491,1988,3464,1541,3142,3528,6601,482,812,191,332,325,477,0,0,92,191,1083,1815,52,74,251,381,15,20,62,148,380,627,133,212,30260,76749,3407,..,33669,76749
SED10040,13902,43512,1839,4492,1848,5450,3686,9940,1357,3056,3573,8551,6962,17461,3292,8268,265,654,15443,37986,0,0,0,0,0,0,273,564,273,564,65,152,33372,92160,2937,..,36312,92160
SED10041,17785,55684,180,428,1192,2902,1370,3326,1318,2325,1459,2792,5593,12547,3054,7196,69,167,11489,25023,0,0,8,10,0,0,124,278,135,284,23,46,30801,84372,2225,..,33027,84372
SED10042,27310,70651,1815,2771,872,1685,2690,4451,514,771,89,161,204,360,0,0,82,161,889,1458,70,99,200,283,7,16,28,53,302,455,68,117,31267,77138,2302,..,33569,77138
SED10043,14656,52046,979,2512,3848,12183,4834,14696,5264,13336,3371,8592,1524,3867,507,927,254,771,10921,27491,5,8,0,0,0,0,167,410,169,417,75,191,30655,94840,2464,..,33114,94840
SED10044,15083,46468,949,2220,2071,5085,3018,7302,1833,3263,5308,9993,5697,11110,4108,8138,78,194,17031,32706,12,12,6,13,0,0,34,85,45,112,55,102,35231,86686,3182,..,38409,86686
SED10045,27717,67847,1495,2336,642,1176,2139,3511,1404,2170,146,219,21,29,0,6,101,204,1670,2621,225,337,268,351,89,116,91,182,666,986,140,246,32337,75210,3129,..,35471,75210
SED10046,18803,66282,733,1820,1824,5170,2555,6989,1509,2803,4196,8822,1563,3991,2915,6738,251,689,10432,23036,0,0,0,0,5,7,21,58,28,70,91,181,31902,96560,2586,..,34488,96560
SED10047,33144,101888,1530,3314,3260,9112,4794,12432,744,1211,643,1081,721,1450,0,0,251,605,2362,4347,0,0,0,0,6,14,43,105,48,122,67,182,40419,118959,2003,..,42422,118959
SED10048,28802,93017,2775,6391,3353,8792,6125,15177,305,668,66,117,438,905,236,449,263,672,1313,2811,0,5,0,0,0,0,10,15,11,15,74,188,36328,111209,1631,..,37956,111209
SED10049,29276,81306,2621,4616,679,1159,3300,5774,698,989,0,0,30,57,0,3,75,163,811,1213,167,203,10,10,4,16,49,79,227,306,58,112,33667,88719,1744,..,35413,88719
SED10050,13061,41694,896,2134,2106,5243,3000,7377,3093,6482,7252,14456,4028,7691,1456,2701,150,355,15980,31686,0,0,6,9,8,5,131,285,141,293,52,91,32226,81147,3052,..,35282,81147
SED10051,11470,35065,2274,5613,4467,12471,6737,18090,2291,4249,5095,9983,6136,12715,1953,4223,81,172,15565,31343,0,0,0,0,0,0,180,368,180,368,59,120,34014,84984,2930,..,36943,84984
SED10052,17127,52171,1308,3001,3907,9083,5210,12091,982,1792,2535,4705,3235,5976,531,1033,77,188,7362,13682,74,107,0,3,0,0,80,182,158,285,50,96,29907,78329,1913,..,31811,78329
SED10053,25647,69497,2026,3790,1899,3947,3926,7743,1841,3462,725,1347,995,1746,79,132,59,142,3695,6829,75,123,25,45,48,71,81,183,223,424,227,418,33728,84907,4740,..,38468,84907
SED10054,23197,76424,1303,3716,2623,8640,3929,12352,166,317,301,622,1238,2817,0,0,225,600,1923,4344,0,0,0,0,3,9,30,95,31,102,39,126,29114,93359,1364,..,30477,93359
SED10055,25554,83378,255,612,847,2342,1097,2957,93,143,87,183,44,85,0,0,103,276,334,686,28,45,0,0,0,11,4,10,34,61,59,146,27079,87231,846,..,27924,87231
SED10056,29756,75193,1790,2858,126,194,1915,3053,1593,3068,31,72,0,0,0,0,11,28,1642,3171,300,518,188,280,41,72,136,295,664,1169,305,594,34283,83190,4221,..,38497,83190
SED10057,26178,63194,2799,4513,464,872,3262,5386,1833,2742,483,725,414,696,107,187,25,52,2862,4397,232,379,334,501,14,23,94,173,673,1078,132,217,33107,74271,5471,..,38578,74271
SED10058,19999,50121,2082,3707,4342,8978,6416,12687,2514,3792,2157,3446,2027,3401,1480,2397,117,205,8287,13234,20,38,27,26,18,20,183,332,249,411,111,172,35058,76622,3712,..,38773,76622
SED10059,2798,7606,5138,11744,8095,20067,13234,31811,2757,4613,4788,7850,7140,11994,5442,8285,141,263,20267,33003,0,0,0,0,8,5,669,1321,673,1327,181,285,37148,74024,4944,..,42093,74024
SED10060,6009,17625,1336,3321,2710,6316,4049,9638,3626,7334,8685,15502,6032,10638,8552,14862,91,174,26988,48509,0,0,10,19,0,0,131,268,146,287,109,174,37295,76238,5659,..,42957,76238
SED10061,28407,69335,2261,3703,360,594,2617,4297,770,1162,60,107,0,0,5,4,17,42,844,1311,258,431,163,231,29,46,81,195,529,891,231,386,32638,76221,4339,..,36976,76221
SED10062,17007,52424,1573,3359,2691,7460,4261,10820,920,1615,2910,6277,2762,5848,0,0,127,342,6718,14091,0,0,0,0,0,0,142,322,137,325,33,55,28163,77719,1697,..,29853,77719
SED10063,28281,72402,1927,3072,277,468,2200,3539,1160,1626,78,120,0,0,0,0,25,41,1259,1790,107,165,56,78,4,9,262,643,429,897,131,275,32302,78901,3263,..,35565,78901
SED10064,28399,69569,1083,1913,390,677,1477,2583,1203,1876,203,319,36,47,6,14,49,106,1492,2360,535,957,336,559,28,45,84,173,983,1726,177,324,32528,76562,3598,..,36121,76562
SED10065,13632,41549,1103,2411,6000,16767,7101,19174,3123,6545,5851,12848,5423,12610,7010,16487,117,295,21523,48787,15,36,0,0,6,8,191,484,211,534,104,201,42579,110239,4700,..,47279,110239
SED10066,22525,63115,1561,2983,3437,7481,4997,10468,1317,1960,1132,1823,1991,3479,884,1565,79,170,5404,8996,0,0,100,132,3,11,18,37,123,177,42,72,33092,82821,2207,..,35304,82821
SED10067,18217,53939,833,1521,2224,4900,3055,6424,1882,3554,2475,4671,1976,3853,13,22,143,328,6488,12423,34,73,67,97,0,8,125,271,231,446,82,176,28071,73403,2592,..,30665,73403
SED10068,25542,63707,3452,5721,1253,2519,4704,8236,1775,2761,651,1059,1032,1643,155,273,51,116,3665,5852,230,424,362,532,27,48,55,120,677,1117,156,264,34756,79179,3466,..,38220,79179
SED10069,24960,63491,2281,3829,1987,4118,4267,7951,405,642,266,417,475,813,0,0,61,145,1205,2017,239,332,334,591,22,24,53,100,645,1053,121,205,31202,74706,6348,..,37548,74706
SED10070,20806,66081,1821,4697,2967,8696,4783,13388,819,1894,819,1954,1087,2826,0,0,329,928,3059,7600,94,105,0,0,0,3,9,40,106,148,52,143,28806,87361,1492,..,30296,87361
SED10071,30790,103056,1265,3262,2902,8922,4169,12179,156,420,50,135,2100,4483,0,0,85,210,2391,5246,0,0,0,0,4,4,27,81,32,81,111,317,37486,120883,1571,..,39059,120883
SED10072,13656,41717,2493,5548,1680,4528,4170,10078,1157,2102,3037,6112,7584,16179,6784,15333,138,326,18700,40052,77,95,3,4,0,0,229,540,307,639,114,234,36947,92722,3380,..,40324,92722
SED10073,14834,45298,2161,5348,3820,9473,5982,14830,1074,1923,5418,10485,6820,14444,4894,9942,141,317,18353,37109,0,0,0,0,0,3,119,233,115,239,97,163,39384,97633,3846,..,43226,97633
SED10074,20637,61273,1219,2540,2996,8103,4213,10639,1077,1551,1285,2895,2626,6273,842,2226,185,449,6028,13390,0,0,4,5,10,7,18,40,25,51,50,109,30957,85461,2366,..,33320,85461
SED10075,26970,75056,2261,3998,2310,4923,4573,8928,1231,2009,121,209,103,168,0,0,99,229,1564,2621,324,449,4,5,0,4,42,96,375,558,38,76,33519,87234,1502,..,35024,87234
SED10076,28843,68788,1820,3051,679,1192,2499,4242,606,942,33,51,11,20,0,0,88,166,741,1179,144,205,554,848,69,79,45,84,808,1216,206,317,33089,75735,11375,..,44465,75735
SED10077,12744,39811,1299,3233,2732,7877,4028,11109,2816,5859,5323,12854,7836,18872,4545,11013,75,183,20601,48785,0,0,0,0,6,6,245,558,245,567,189,320,37809,100600,3721,..,41531,100600
SED10078,10773,31518,2798,7007,1280,3381,4083,10394,5438,9883,7044,13099,4953,9620,880,1741,144,311,18457,34656,0,0,0,0,0,0,541,1098,541,1098,66,144,33923,77806,3378,..,37304,77806
SED10079,26219,66044,1542,2549,555,1046,2097,3596,1217,1834,124,177,261,416,23,30,98,190,1724,2654,154,263,120,174,10,22,64,150,351,605,54,107,30440,73001,2739,..,33178,73001
SED10080,698,1680,774,1599,6886,15505,7662,17107,1352,2124,3178,4742,11340,18257,21995,42443,13,22,37875,67588,0,3,0,0,53,52,198,354,254,413,267,416,46752,87197,10459,..,57210,87197
SED10081,28621,72920,2420,3796,455,790,2873,4587,559,857,29,46,27,44,0,0,27,49,645,998,166,219,139,205,15,20,39,74,354,515,150,253,32644,79279,3346,..,35985,79279
SED10082,24532,66864,1734,2689,1050,2124,2785,4810,1683,3234,381,700,178,300,5,4,115,257,2357,4495,136,188,17,24,3,5,25,51,178,267,38,82,29891,76527,4067,..,33963,76527
SED10083,22164,60900,2951,4684,2274,4579,5228,9260,904,1447,416,733,688,1176,154,276,71,151,2241,3781,134,191,70,120,6,7,45,84,252,399,51,97,29941,74439,3511,..,33450,74439
SED10084,20711,55250,4334,8147,2921,6242,7256,14388,1737,2928,1686,2976,666,1151,654,1119,66,117,4809,8284,358,678,624,908,164,169,22,54,1169,1807,145,269,34084,80002,3354,..,37442,80002
SED10085,28229,72288,1579,2607,475,758,2054,3362,436,638,13,27,0,0,0,3,7,15,458,683,163,236,126,200,23,30,72,149,377,618,116,224,31231,77172,3817,..,35047,77172
SED10086,7031,22128,1476,4001,2332,6699,3808,10701,4225,8739,10483,20194,6150,11313,1649,2947,87,203,22595,43395,0,0,0,0,9,5,271,534,275,544,99,172,33812,76942,4867,..,38675,76942
SED10087,27612,72013,1458,2227,248,428,1703,2655,2344,3580,121,168,53,61,3,6,28,60,2547,3881,57,84,48,82,24,23,87,200,213,395,130,239,32208,79181,2694,..,34898,79181
SED10088,17896,57263,392,712,1696,3714,2090,4431,1749,3299,4510,9334,2874,5672,515,1063,227,562,9881,19927,0,0,0,0,8,5,82,197,82,204,44,109,29998,81936,1696,..,31695,81936
SED10089,26768,70777,2753,4861,1834,3936,4578,8799,1156,1873,422,735,47,76,0,0,218,453,1849,3129,3,4,0,0,5,3,55,118,65,127,43,85,33297,82915,1777,..,35073,82915
SED10090,13549,41038,1514,3804,2087,5389,3605,9199,2932,5764,4608,9144,4664,9395,4305,9553,68,183,16571,34048,0,0,8,6,0,3,115,246,127,252,56,87,33909,84622,3404,..,37313,84622
SED10091,27478,77659,1261,1987,392,717,1657,2710,378,619,25,44,0,0,0,0,107,259,513,928,24,31,106,132,13,14,56,115,194,289,74,151,29919,81729,1990,..,31906,81729
SED10092,19951,53557,1171,2173,2286,5025,3459,7206,3279,5688,2602,4429,3782,6923,2168,4112,134,325,11968,21479,3,9,251,371,6,7,189,377,447,765,82,146,35918,83145,3102,..,39020,83145
SED10093,26685,72753,1686,2984,805,1607,2485,4588,1648,2616,78,136,112,171,0,0,70,138,1912,3061,63,103,57,72,0,3,17,35,137,216,57,121,31273,80738,2014,..,33289,80738
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,..,0,5
SED20106,2020,5242,4679,10647,4955,12006,9636,22658,2266,3540,4492,7168,5900,9549,17040,29392,26,73,29726,49718,0,0,7,9,41,40,492,785,532,836,120,220,42037,78674,11092,..,53131,78674
SED20207,31481,94182,2351,5207,2392,5902,4744,11110,1053,1898,77,87,310,483,0,0,17,35,1457,2502,0,0,0,0,0,0,23,48,23,48,17,32,37722,107873,2812,..,40537,107873
SED20302,39092,107151,2184,3623,939,2095,3123,5724,461,760,55,69,13,21,0,6,13,22,548,878,75,93,191,258,0,0,17,41,286,394,51,119,43104,114263,11942,..,55042,114263
SED20401,19325,51306,3272,6425,1628,3540,4902,9966,631,1091,256,402,67,110,0,0,25,56,978,1664,0,0,0,0,0,5,10,18,17,22,26,49,25240,63001,1463,..,26705,63001
SED20508,27029,65744,1277,1975,449,892,1724,2862,152,238,12,24,0,3,0,0,11,13,173,275,55,78,179,259,5,12,23,47,257,396,24,52,29212,69328,7930,..,37141,69328
SED20604,25608,63304,1796,2620,104,193,1894,2823,393,587,19,45,4,15,13,32,15,29,437,700,133,193,20,37,32,39,63,139,254,408,92,197,28292,67424,2672,..,30958,67424
SED20704,25813,65978,1904,2967,252,494,2154,3464,117,191,19,39,0,0,0,0,5,7,146,239,39,69,40,64,28,30,26,51,127,215,69,143,28308,70039,2037,..,30346,70039
SED20804,24695,57716,1445,2189,246,442,1688,2634,348,539,6,13,0,0,0,0,13,17,371,569,61,83,26,40,16,18,47,100,147,243,52,95,26952,61255,2424,..,29376,61255
SED20906,16191,45898,2136,4443,2312,6656,4449,11096,2805,5532,598,1097,1102,1876,103,173,11,31,4621,8712,0,0,0,0,0,0,83,180,87,179,36,66,25378,65957,2145,..,27521,65957
SED21001,15497,44091,5000,10015,2700,6826,7704,16834,1552,2979,1173,2075,1390,2278,1751,3227,16,26,5887,10590,0,0,0,0,0,0,27,55,33,56,41,69,29153,71653,3491,..,32648,71653
SED21106,12278,35310,2560,5377,2584,6002,5147,11377,2975,4998,3777,5969,1207,1885,75,112,7,26,8041,12984,0,0,0,0,0,6,127,218,127,225,24,54,25616,59952,3327,..,28936,59952
SED21203,19517,60571,1830,4401,1912,5193,3746,9593,1024,2587,0,0,134,284,0,0,30,75,1192,2950,55,58,84,91,15,13,24,58,183,222,41,100,24672,73441,1952,..,26625,73441
SED21303,12738,34026,3866,8016,4330,10024,8197,18040,3782,6087,1745,2872,5151,8102,1524,2434,24,57,12223,19556,0,0,0,0,48,47,228,536,282,585,36,84,33477,72289,4515,..,37994,72289
SED21401,17505,48528,1526,3038,3004,8011,4531,11043,686,1263,421,708,1029,1846,1321,2459,4,17,3461,6294,0,0,0,0,0,0,5,20,5,20,23,44,25528,65939,2627,..,28157,65939
SED21503,18161,49508,1630,3074,1788,4213,3421,7291,410,822,447,693,506,789,81,138,16,32,1469,2468,0,0,0,0,13,10,3,12,22,28,25,40,23090,59343,1889,..,24980,59343
SED21608,23651,60685,2250,3852,127,252,2376,4098,275,426,14,15,0,0,0,0,19,26,308,471,43,68,32,42,13,11,29,61,118,186,41,65,26491,65515,2349,..,28844,65515
SED21706,16516,47047,2961,5903,2572,6825,5530,12723,1830,3710,612,1008,701,1101,182,293,28,58,3351,6177,0,0,0,6,0,0,68,138,69,140,31,72,25499,66159,2767,..,28262,66159
SED21805,20248,54242,4021,7186,2694,5824,6718,13011,849,1344,238,369,125,182,0,0,30,58,1241,1954,31,51,295,357,3,0,21,46,350,452,25,47,28586,69709,1773,..,30362,69709
SED21906,9895,29030,4443,9957,3004,7522,7449,17478,5698,9856,3106,5293,1789,2969,397,625,19,38,11001,18778,0,0,0,0,5,0,202,365,198,369,32,62,28582,65721,3867,..,32445,65721
SED22005,18287,52354,4069,9419,2771,7822,6841,17243,1618,3082,476,922,390,713,0,3,14,38,2504,4757,0,0,0,0,7,4,15,28,23,38,30,56,27679,74443,2389,..,30063,74443
SED22105,35840,116183,3183,7403,897,2251,4078,9654,547,973,29,47,0,0,0,0,13,33,586,1050,0,0,0,0,0,0,7,15,3,16,38,90,40552,126996,1559,..,42108,126996
SED22201,21127,54426,1619,2948,791,1770,2416,4716,233,410,296,464,111,162,0,0,27,51,656,1096,0,0,0,0,0,3,12,27,13,32,32,64,24246,60333,1339,..,25587,60333
SED22305,17834,53353,4324,9682,1918,5566,6246,15247,2234,4610,299,558,317,558,0,0,7,10,2858,5743,44,52,23,35,10,16,23,51,104,152,95,179,27132,74665,2051,..,29184,74665
SED22404,23692,58272,728,1127,68,152,798,1283,123,220,62,188,48,121,4,3,14,29,241,561,85,138,270,372,19,30,23,34,395,572,69,153,25198,60840,5484,..,30679,60840
SED22501,19015,53730,997,1687,750,1677,1750,3368,656,1168,88,113,29,46,0,0,16,40,788,1363,0,0,0,0,9,4,3,16,11,19,15,30,21579,58510,1030,..,22611,58510
SED22607,13026,37053,2490,5424,3139,7220,5637,12647,3014,5175,2977,4743,3795,6062,1202,2345,7,15,11002,18344,0,0,0,0,0,0,105,202,106,207,28,45,29791,68298,3862,..,33652,68298
SED22704,26477,62792,1690,2421,57,95,1747,2517,63,91,0,0,0,0,0,0,12,21,72,115,207,302,154,215,38,52,48,116,449,694,60,106,28802,66224,3828,..,32630,66224
SED22802,20448,57059,995,1565,517,970,1507,2532,7,16,10,9,0,0,0,0,25,46,41,71,70,91,0,0,0,6,11,17,86,110,30,65,22113,59839,1018,..,23127,59839
SED22901,18690,51769,1796,3127,1225,3052,3022,6175,116,171,92,145,176,284,182,277,27,56,588,930,0,0,0,0,3,5,31,59,29,62,14,31,22347,58967,1148,..,23493,58967
SED23007,17041,47565,2771,5726,5518,14176,8287,19905,2669,4851,1478,2619,2499,4099,1530,2475,48,103,8230,14149,10,12,32,43,0,4,94,231,138,296,58,99,33753,82015,4596,..,38345,82015
SED23101,17865,50433,2610,5129,1092,2942,3702,8074,412,656,128,215,352,605,0,0,22,52,911,1523,0,0,0,0,4,4,15,40,22,39,11,13,22508,60086,1638,..,24151,60086
SED23205,20344,51533,3391,5248,1074,2114,4465,7356,964,1404,74,118,121,189,33,42,15,21,1206,1779,9,19,26,32,32,34,20,51,90,138,35,56,26136,60863,1888,..,28023,60863
SED23308,22021,53527,3726,5710,1064,2171,4790,7883,1371,2057,170,247,348,529,151,257,3,12,2048,3097,14,27,240,336,25,25,54,117,334,508,72,128,29263,65144,2497,..,31759,65144
SED23402,26895,77465,1954,3490,704,1579,2660,5070,69,91,5,6,0,0,0,3,11,22,86,126,17,33,89,105,0,3,9,24,115,158,34,78,29793,82908,1505,..,31293,82908
SED23502,25078,58039,1341,1968,136,258,1479,2223,412,571,9,15,0,0,0,6,9,21,428,601,215,304,229,353,33,44,47,100,518,798,103,203,27599,61871,5493,..,33092,61871
SED23602,23388,54916,880,1328,142,225,1027,1548,562,733,28,51,0,0,0,0,6,10,597,795,117,155,112,173,17,23,52,89,295,444,46,68,25351,57774,7790,..,33145,57774
SED23702,22851,62721,3397,5649,439,904,3839,6559,90,160,0,0,0,0,0,0,47,82,134,243,0,4,248,324,13,15,8,28,269,374,32,60,27126,69956,1307,..,28436,69956
SED23806,10744,31706,3321,7443,1678,4146,4998,11587,3465,6085,3701,6118,3208,5206,634,1003,4,19,11017,18432,0,0,0,0,6,8,95,210,106,213,45,90,26899,62023,4080,..,30984,62023
SED23901,17765,48180,2756,5084,2617,6250,5376,11331,1797,3199,438,753,923,1496,326,500,11,30,3497,5980,0,0,0,0,11,7,34,68,39,77,38,66,26720,65635,2685,..,29403,65635
SED24006,15162,45101,2438,5154,2084,5352,4519,10513,1434,2580,1123,1966,994,1855,29,43,7,17,3587,6454,0,0,0,0,5,3,59,130,69,140,25,50,23360,62249,2716,..,26076,62249
SED24105,20216,64320,1832,3808,1432,3959,3268,7767,983,2252,79,121,101,194,0,0,25,62,1180,2637,73,87,27,30,3,5,7,19,102,138,21,33,24788,74890,1308,..,26095,74890
SED24207,28604,92375,1043,2463,1112,3046,2155,5508,145,298,62,111,309,553,0,0,18,29,533,990,68,78,67,75,0,0,10,15,142,167,32,75,31464,99122,1573,..,33036,99122
SED24308,23994,61413,2418,3974,429,853,2845,4828,511,857,0,0,0,0,0,0,5,15,521,871,32,41,37,53,5,7,79,200,160,301,35,72,27551,67491,1757,..,29308,67491
SED24408,23648,54016,872,1188,27,41,895,1232,625,819,0,0,0,0,0,0,3,18,632,833,123,192,47,78,18,25,58,114,236,418,49,85,25462,56581,4162,..,29616,56581
SED24504,23496,60963,1131,1840,96,185,1233,2025,39,80,19,32,0,0,0,0,17,39,71,150,30,46,73,160,15,29,53,92,171,329,39,91,25010,63562,3657,..,28666,63562
SED24606,10266,30075,2542,5277,2371,5538,4910,10816,3996,6930,3538,5794,1816,3039,363,607,11,28,9721,16398,0,0,0,0,3,0,321,507,322,509,36,79,25259,57873,4398,..,29652,57873
SED24703,1697,4367,4082,9040,5960,14291,10050,23332,1897,3430,3716,6369,8755,14918,35728,61963,8,28,50106,86711,0,0,5,3,122,121,180,379,307,506,260,377,62419,115292,20190,..,82604,115292
SED24808,30984,90640,2549,4590,420,934,2971,5528,126,200,0,0,21,26,0,0,31,73,180,299,21,31,34,51,4,20,16,53,69,149,31,85,34238,96708,1946,..,36184,96708
SED24904,22997,58785,1836,2983,95,179,1931,3160,1336,2039,32,34,0,0,0,0,5,11,1372,2084,351,619,261,524,49,68,40,93,707,1305,137,259,27147,65588,2890,..,30036,65588
SED25003,20478,61371,2024,4646,1365,3410,3385,8057,47,104,256,380,201,357,0,0,16,19,514,870,0,0,0,0,5,0,0,0,3,3,4,9,24385,70304,928,..,25313,70304
SED25102,20267,55787,359,636,92,164,446,800,167,250,11,13,0,0,0,0,25,33,201,302,4,0,3,4,0,0,18,50,23,58,24,38,20961,56993,1207,..,22171,56993
SED25205,14721,42314,3764,7258,2431,6036,6197,13289,4433,8008,382,591,60,95,0,0,10,34,4880,8730,0,0,0,0,0,0,73,109,72,116,17,29,25891,64483,1693,..,27585,64483
