SED_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
SED54605,13871,32792,1318,1861,468,754,1788,2621,1089,1564,170,249,318,481,34,54,15,31,1618,2379,141,199,88,134,30,33,5,6,273,383,24,27,17568,38196,2197,..,19763,38196
SED54701,14007,33165,889,1378,51,97,941,1476,150,189,8,20,0,0,0,0,4,9,166,218,227,374,66,106,59,91,27,63,389,630,146,309,15647,35789,3897,..,19537,35789
SED54804,9827,25377,4718,8675,2760,5761,7477,14443,955,1366,359,500,534,883,176,319,4,8,2028,3078,71,149,28,55,19,36,0,0,118,235,26,33,19473,43167,2125,..,21598,43167
SED54905,8889,23738,2869,5129,3619,6971,6480,12098,959,1606,840,1281,624,1072,562,907,7,15,2989,4880,0,0,0,0,0,0,3,6,3,9,28,47,18389,40769,2400,..,20789,40769
SED55005,15998,48197,731,1591,37,91,773,1673,38,89,18,24,0,0,0,0,16,41,70,152,0,3,0,0,0,0,10,18,15,23,13,24,16865,50070,767,..,17631,50070
SED55102,15765,44767,373,821,99,193,468,1015,38,69,0,0,0,0,0,0,30,63,71,129,10,11,0,0,145,154,4,8,162,178,24,47,16487,46132,1221,..,17705,46132
SED55202,15296,42197,2095,3726,236,420,2334,4141,410,785,101,181,0,0,0,0,24,50,539,1013,0,0,0,0,21,21,25,36,47,60,20,27,18230,47447,1247,..,19478,47447
SED55306,15322,38263,1294,2146,247,497,1543,2646,42,64,0,0,20,33,0,0,31,63,85,160,146,267,239,386,88,117,15,51,487,824,58,117,17495,42003,5480,..,22974,42003
SED55405,11808,29223,3978,8329,1725,3679,5700,12001,1098,1875,780,1261,1059,1624,128,224,4,15,3063,4995,3,3,0,0,14,15,3,4,26,24,36,66,20633,46313,2125,..,22761,46313
SED55504,16158,45932,955,1612,55,105,1010,1719,4,12,39,45,0,0,0,0,34,79,75,135,110,137,21,17,0,10,13,32,144,195,6,15,17385,47994,959,..,18353,47994
SED55605,16337,45983,508,825,54,100,560,929,11,16,0,0,0,0,0,0,21,57,27,65,4,3,0,0,0,0,0,0,4,3,32,77,16959,47061,1304,..,18266,47061
SED55706,16691,38734,676,1104,118,207,795,1308,102,148,0,0,0,0,0,0,8,16,114,171,185,320,143,300,121,154,20,39,464,811,139,242,18209,41258,5414,..,23618,41258
SED55802,16642,48529,990,1882,245,488,1231,2367,14,31,108,197,0,0,0,0,20,43,146,261,10,13,24,34,9,13,0,0,41,58,24,43,18092,51266,891,..,18981,51266
SED55905,13205,33498,1997,3358,219,409,2219,3771,407,651,340,518,0,0,0,0,38,76,788,1241,0,0,0,3,17,11,0,0,16,16,28,35,16254,38557,1250,..,17503,38557
SED59797,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,5,12,8,23,13,37,0,..,13,37
SED60105,7970,19277,581,889,420,933,1000,1826,1023,1637,97,157,26,44,11,26,71,137,1221,1998,0,0,0,0,34,39,62,96,103,138,23,49,10319,23282,874,..,11194,23282
SED60106,3277,7252,90,126,0,5,93,131,38,52,0,0,0,0,0,0,0,0,38,52,11,17,12,20,3,13,6,28,31,71,9,21,3451,7529,1163,..,4617,7529
SED60113,13971,33759,312,532,252,526,560,1060,832,1247,14,15,6,10,0,0,44,72,896,1344,69,99,14,26,19,21,14,28,114,179,32,57,15572,36396,1557,..,17127,36396
SED60115,13590,33893,1720,2882,231,466,1950,3342,648,1050,12,17,0,0,0,0,12,17,671,1086,31,34,3,7,12,13,43,82,87,140,43,71,16340,38543,1590,..,17926,38543
SED60207,14426,34035,1401,2057,188,293,1583,2349,56,109,0,0,0,0,0,0,9,17,64,128,81,124,113,190,35,48,13,36,242,400,32,58,16339,36970,1488,..,17828,36970
SED60208,12436,29488,1039,1453,67,118,1104,1569,26,39,0,0,0,0,0,0,8,23,40,57,102,144,45,70,11,10,31,58,190,278,23,38,13787,31434,1044,..,14829,31434
SED60209,15369,35040,828,1165,158,269,985,1433,141,223,50,50,50,80,0,0,3,9,245,364,103,172,18,39,31,44,39,78,187,340,70,123,16857,37296,2891,..,19751,37296
SED60301,5335,13805,284,437,44,91,325,529,1032,1734,0,0,0,0,0,0,4,9,1039,1744,0,0,0,0,0,0,0,6,0,6,6,12,6709,16101,341,..,7048,16101
SED60302,12387,30978,644,1128,287,599,933,1732,1654,3062,58,93,22,35,0,0,16,32,1741,3223,18,21,26,36,19,23,59,141,123,219,42,77,15228,36222,933,..,16161,36222
SED60303,9929,24947,625,1155,1025,2104,1654,3260,2030,3706,722,1180,481,832,31,47,91,171,3363,5932,4,4,3,3,71,69,68,161,142,239,79,152,15164,34528,1556,..,16718,34528
SED60304,123,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,10,0,5,0,0,0,0,0,0,0,5,0,0,129,339,12,..,137,339
