SED_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
SED10001,5621,6910,5649,5010,4495,3367,2834,4384,680,38947
SED10002,5167,11904,5155,4803,5775,3641,3232,5077,1511,46258
SED10003,5856,9154,5151,4920,3665,3396,1320,3545,708,37703
SED10004,9842,19494,2800,2974,4828,2727,739,1331,664,45398
SED10005,2667,6171,3423,3186,4457,2524,2876,3158,839,29312
SED10006,6222,4499,4035,3858,2963,2007,3392,3805,648,31434
SED10007,4666,6058,5342,5014,4213,2857,3084,4064,682,35975
SED10008,7798,15333,3688,2966,6602,3231,1206,1786,664,43276
SED10009,4077,5338,4757,4185,3411,2936,1668,3714,595,30684
SED10010,3446,8098,4452,4206,5862,3049,5323,4086,957,39476
SED10011,4526,10131,4263,4006,4116,2237,1357,2296,453,33379
SED10012,2255,4489,3207,2673,3598,2364,3914,3809,812,27124
SED10013,8925,12885,9142,6860,9926,5645,5328,4788,1172,64664
SED10014,3140,5657,4280,3985,4879,3037,4066,3730,763,33526
SED10015,5059,9903,4295,3951,5549,3426,2217,3248,920,38566
SED10016,10050,16624,5062,4154,7869,4444,1553,2348,811,52922
SED10017,3788,5211,6913,5319,4489,3556,4355,4711,703,39052
SED10018,4328,9968,5036,4455,4878,3027,1679,2779,431,36596
SED10019,3568,4286,3941,4387,3206,2645,2135,4391,557,29112
SED10020,4159,6794,4557,4902,4177,3339,1591,4176,588,34286
SED10021,9225,19281,3467,3155,4763,2792,740,1435,822,45679
SED10022,6030,3980,4095,3615,3042,2381,2359,4319,572,30397
SED10023,7616,10868,5165,4064,6150,3178,1233,1871,625,40759
SED10024,8425,14605,2326,2434,4724,2893,626,1165,613,37808
SED10025,8605,14908,3294,2704,6079,3147,930,1562,768,42006
SED10026,5073,6554,5719,5242,4393,3278,3160,4108,690,38230
SED10027,4488,8017,4036,3199,5888,2821,2253,2465,714,33888
SED10028,7027,17041,2920,2882,5848,2899,857,1547,682,41705
SED10029,1983,4289,3149,2631,3652,2143,3511,3627,816,25790
SED10030,4541,7810,4679,4199,4686,3022,1855,3219,624,34636
SED10031,6704,6877,5749,4657,4495,2841,2464,4001,767,38556
SED10032,3778,9603,4020,3943,5499,3130,3240,3776,1096,38081
SED10033,5839,6241,7044,3862,5595,2983,3061,3405,707,38746
SED10034,5813,10401,5717,4431,6269,3004,1479,2288,508,39906
SED10035,11163,25237,6013,5325,8273,4825,2227,3464,1178,67700
SED10036,4682,8304,4655,4140,6160,2966,3253,2742,741,37646
SED10037,6839,14345,4353,3949,5817,2911,1161,2389,550,42311
SED10038,4985,11034,4988,4621,4577,2722,1847,2542,491,37805
SED10039,4630,7595,5632,4826,4162,2913,2223,3131,556,35662
SED10040,4656,11232,4551,4754,5862,3959,2387,4292,964,42656
SED10041,8461,17055,2323,2943,5207,2729,606,1308,681,41313
SED10042,3695,6607,5606,4716,4385,2892,2625,3295,579,34396
SED10043,2805,6131,3360,3268,4244,3057,2823,2985,852,29516
SED10044,9747,18860,3216,3122,6082,3140,729,1384,740,47022
SED10045,4502,6186,4264,4392,3692,2803,1887,4242,601,32568
SED10046,2856,5826,4040,3712,4909,2840,4355,3819,864,33219
SED10047,5074,8729,6118,5680,7805,3948,7035,4993,1162,50545
SED10048,4882,10512,5331,5449,7269,3906,4860,4442,1125,47775
SED10049,4508,7341,6957,5776,5391,3967,4023,4458,689,43109
SED10050,10323,16124,3706,3556,4815,3304,946,1472,685,44937
SED10051,6872,12301,4593,3925,5819,3142,1848,2523,750,41771
SED10052,6767,10407,4800,3558,6076,3329,1454,1964,646,38991
SED10053,8788,10069,6484,5546,7057,3380,2695,3946,1045,49011
SED10054,2986,6251,4161,4182,5699,2988,5961,4333,864,37430
SED10055,5676,7555,5871,4047,7486,3683,4125,3388,777,42599
SED10056,7345,5231,5331,4105,4335,3007,3082,6577,898,39908
SED10057,3160,4816,3884,4257,2934,2927,1519,3349,550,27409
SED10058,5343,13438,4588,5394,4678,2937,1599,2697,586,41256
SED10059,8082,20819,3249,3668,5101,2767,882,1647,730,46933
SED10060,10113,19745,2050,2400,5084,2667,395,857,776,44102
SED10061,5881,6030,3920,4036,3550,2680,1974,4459,607,33135
SED10062,5433,10670,3757,3178,5915,3057,1634,2156,656,36448
SED10063,5534,7395,5403,4504,4380,2929,2956,3976,633,37715
SED10064,3800,4828,3983,4530,3100,2547,1808,3671,565,28841
SED10065,6658,17747,4987,4584,7358,3828,2979,3557,1122,52811
SED10066,4642,7894,5456,4378,6175,3289,3585,3493,724,39637
SED10067,7656,10333,4652,3235,4521,3051,994,1713,581,36740
SED10068,3799,7162,4519,5018,3984,3167,1477,3113,537,32775
SED10069,3522,4675,5235,4340,3822,2873,2321,3447,627,30862
SED10070,3937,8170,3879,3032,5729,2681,3448,2899,775,34540
SED10071,8770,18675,5870,5402,9483,4602,3783,3348,1104,61043
SED10072,6146,12206,4845,4164,6555,3909,2340,3604,936,44716
SED10073,7121,18601,4549,3860,6963,3771,1453,2524,906,49754
SED10074,5193,11907,4163,3540,5966,2871,2751,2681,758,39833
SED10075,3848,6518,6524,5477,5260,3605,3256,4006,707,39202
SED10076,3538,5182,4920,4444,3229,2822,1397,3282,471,29283
SED10077,6202,16177,4630,4666,6637,4122,2060,4463,1197,50157
SED10078,6758,16759,3749,3452,5419,2752,1309,2260,631,43078
SED10079,3258,5426,5165,4294,4037,2930,2115,3233,480,30936
SED10080,11434,22227,4050,4846,5591,3498,1011,2744,1095,56493
SED10081,5134,6152,5056,4466,4030,3159,3110,5068,606,36784
SED10082,5387,9509,4660,4034,4633,3004,1144,2372,546,35286
