SED_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
SED10001,3,8,8,62,57,126,9,3,10,0,0,0,37,30,68,14031,12531,26566,813,871,1681,319,8,325,122,25,148,210,62,264,131,45,182,677,644,1323,16415,14289,30700,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,5,7,8,6,10,15,0,0,6,10,14,24,126,76,200,138,93,230,0,0,0,0,5,4,15,3,20,16,4,27,1824,2276,4104,1252,2382,3632,149,110,258,19796,19155,38947
SED10002,1659,1730,3385,135,166,301,14,13,26,5,3,15,59,59,113,10098,5159,15262,491,1058,1547,184,0,186,177,4,187,112,39,155,158,111,273,515,536,1050,13614,8887,22495,507,792,1296,3,4,7,29,21,43,100,53,152,45,71,110,31,22,58,709,960,1675,0,3,5,0,0,0,13,4,16,6,15,22,7,8,16,28,31,55,128,67,192,860,1056,1917,158,160,318,0,7,7,4,0,8,164,166,329,7038,7401,14440,3544,3196,6737,223,109,335,25443,20815,46258
SED10003,3,3,3,39,48,90,0,3,3,0,0,0,9,4,14,10533,9711,20242,523,631,1152,290,9,299,128,12,146,362,204,562,104,79,182,604,596,1202,12594,11300,23901,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,4,0,4,4,12,7,0,0,0,0,0,0,7,0,3,4,7,9,0,0,7,10,10,24,123,88,209,136,102,238,0,0,3,0,0,4,4,3,9,10,6,18,3536,4600,8140,2092,3058,5150,151,108,263,18525,19182,37703
SED10004,166,112,282,583,626,1209,58,22,79,80,68,147,53,61,113,4708,3364,8069,209,428,632,84,0,86,286,53,336,469,165,634,93,71,164,1082,1223,2308,7859,6196,14059,172,183,351,5,8,5,10,10,20,14,5,20,4,4,8,11,5,14,216,207,421,14,18,27,29,33,65,13,14,24,3,12,20,28,18,40,87,92,177,87,43,127,386,342,731,64,23,86,20,14,32,3,0,8,80,39,124,11956,13498,25453,1936,2964,4900,68,66,129,22288,23108,45398
SED10005,445,410,855,100,153,258,0,0,0,0,0,0,22,21,44,7625,4641,12262,380,726,1099,223,7,226,54,9,62,36,11,49,106,72,176,188,289,474,9181,6333,15511,109,169,279,0,0,0,7,11,16,56,25,78,5,28,38,16,7,21,181,247,432,0,0,0,0,0,0,4,6,11,3,24,28,0,6,11,17,32,52,82,69,151,280,348,626,52,51,102,0,3,5,6,0,3,59,52,111,3629,4162,7790,2721,2349,5063,127,81,203,15995,13316,29312
SED10006,3,0,0,200,76,277,5,3,6,0,0,4,15,15,27,10299,8995,19298,825,842,1666,434,24,456,123,35,157,87,24,116,182,87,270,1027,1019,2041,13189,11122,24309,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,6,8,0,0,0,0,0,0,32,4,42,6,3,9,3,0,3,41,11,52,152,67,226,195,82,277,0,0,0,3,0,4,23,3,25,23,4,32,1791,1836,3618,1251,1629,2882,163,148,309,16610,14823,31434
SED10007,9,6,15,46,40,87,8,3,10,0,0,0,36,40,77,12354,10804,23154,840,860,1705,371,12,384,89,13,106,65,11,75,86,39,124,667,582,1250,14578,12413,26994,5,0,6,0,0,0,0,0,0,3,6,7,0,0,0,3,3,8,8,8,17,0,0,0,0,0,0,3,0,8,9,10,14,0,6,6,8,15,19,134,60,194,152,87,235,0,4,5,5,0,4,5,0,8,11,7,20,1977,2613,4589,1661,2248,3908,116,114,229,18492,17483,35975
SED10008,196,149,350,385,364,741,0,0,0,3,0,8,9,12,24,8173,5899,14073,321,589,903,153,3,152,58,4,65,45,5,45,98,68,164,133,147,282,9570,7240,16807,111,103,215,0,0,0,0,3,3,33,26,63,4,9,17,9,3,9,164,151,316,0,0,0,8,7,12,38,23,54,8,16,24,9,4,11,56,45,102,53,48,98,280,237,513,32,38,70,4,4,11,0,0,5,45,43,81,10128,10204,20329,2276,3155,5433,73,47,115,22355,20924,43276
SED10009,0,3,4,51,55,103,0,3,4,0,0,0,7,10,19,9951,9359,19311,616,671,1292,408,11,418,99,14,108,101,52,158,98,50,149,562,571,1133,11899,10812,22712,0,0,0,0,0,0,0,0,0,6,4,7,0,0,0,0,4,4,6,8,10,0,0,0,0,0,0,3,4,7,3,7,15,0,0,0,11,12,22,114,33,157,128,54,187,0,0,0,0,0,0,4,5,10,4,3,9,1668,2244,3912,1438,2113,3553,165,146,314,15311,15372,30684
SED10010,596,736,1336,164,324,487,0,0,0,0,0,0,43,59,104,10531,6249,16782,519,946,1473,280,11,289,96,15,111,51,9,65,134,72,205,170,237,413,12594,8658,21251,223,376,593,0,0,0,9,0,11,107,62,167,20,33,49,14,13,23,366,478,845,0,0,0,0,0,0,16,7,19,12,37,49,6,18,23,36,58,95,126,61,188,531,604,1127,81,112,198,6,8,9,0,0,0,90,118,207,5016,5786,10804,2964,2883,5851,135,99,234,21332,18147,39476
