SED_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
SED10066,361,41,22,0,0,426,110,14,8,0,0,139,93,13,9,0,0,111,200,25,17,0,0,249,231,39,34,0,0,298,757,121,167,0,0,1043,1119,206,306,0,4,1627,2124,306,204,0,0,2635,1594,99,65,0,0,1763,1153,47,24,0,0,1225,589,16,13,0,0,623,513,44,33,0,0,597,8851,978,896,0,4,10737
SED10067,406,29,60,3,4,496,83,10,16,0,0,102,63,13,13,0,0,94,92,15,28,0,0,134,133,18,34,3,0,183,361,43,95,4,0,501,316,41,128,3,0,500,674,86,271,5,0,1027,582,68,223,0,0,879,1273,108,289,4,4,1678,2795,162,167,7,3,3137,562,59,74,0,0,695,7334,649,1404,29,14,9426
SED10068,389,43,21,0,5,460,172,31,9,0,0,207,138,22,14,0,0,173,249,46,15,3,0,309,375,30,21,0,0,432,910,105,73,8,0,1104,1281,133,60,0,0,1474,1880,91,41,4,0,2016,847,23,17,3,0,887,579,23,7,0,0,611,307,10,9,3,0,324,357,24,14,0,0,395,7478,575,304,23,6,8391
SED10069,411,35,9,6,0,457,162,18,3,0,0,187,129,28,5,0,0,162,293,28,13,0,0,335,352,50,5,0,0,414,1182,127,22,0,0,1332,1417,106,23,0,0,1548,1810,133,20,3,0,1971,880,30,7,3,0,922,663,18,5,0,0,688,335,13,7,3,0,355,496,40,5,0,0,538,8129,624,116,19,8,8896
SED10070,350,51,28,0,0,435,81,17,5,0,0,99,75,14,6,0,0,99,135,26,6,0,0,169,193,36,25,0,0,262,566,125,62,0,0,756,722,233,150,0,0,1108,1355,482,309,0,0,2151,1159,317,103,0,0,1573,1331,170,47,0,4,1551,718,90,21,0,6,832,569,123,52,0,0,743,7264,1692,816,3,5,9782
SED10071,578,61,15,0,0,655,133,4,6,0,0,144,100,15,7,0,0,121,164,20,3,0,0,191,259,30,4,0,0,293,771,97,33,0,3,906,1016,172,127,0,0,1318,2604,495,313,0,10,3420,3397,432,89,3,34,3951,4410,306,27,9,13,4769,2206,122,28,0,0,2363,1159,103,32,0,4,1303,16789,1856,690,14,70,19421
SED10072,258,68,162,0,0,487,55,19,32,0,0,111,44,12,45,0,0,101,73,23,81,0,0,168,92,38,105,0,0,236,298,78,334,0,0,713,262,97,508,0,0,872,546,170,1323,8,0,2040,426,156,910,0,0,1490,791,288,527,0,0,1610,1235,246,255,0,0,1733,419,86,259,4,0,774,4489,1272,4553,21,12,10341
SED10073,374,103,181,0,0,658,60,21,39,0,0,119,62,11,27,0,0,97,89,23,64,0,0,175,114,34,83,0,0,234,296,91,286,0,0,678,261,119,415,0,0,797,608,285,1055,4,0,1964,432,255,689,0,0,1381,815,340,539,4,0,1696,1623,311,272,0,0,2203,433,97,225,0,0,751,5174,1685,3874,13,4,10751
SED10074,399,38,37,0,0,475,94,22,8,0,0,130,92,14,17,0,0,125,146,21,11,0,0,177,188,23,30,0,0,234,612,106,93,0,0,812,777,138,238,0,4,1159,1412,306,398,3,5,2119,1280,245,156,0,0,1681,1662,178,61,0,0,1902,1033,80,48,0,0,1156,499,76,62,0,0,638,8202,1245,1153,0,8,10616
SED10075,413,46,11,0,0,464,159,21,8,0,0,181,128,18,6,0,0,151,244,37,3,0,0,285,366,45,14,0,0,426,1076,122,38,4,0,1241,1466,176,40,0,0,1688,2603,284,35,0,4,2926,1597,112,18,0,0,1729,1200,55,6,0,0,1263,596,23,5,0,0,623,558,47,12,0,0,611,10400,973,200,12,7,11589
SED10076,478,22,11,0,0,507,217,3,0,0,0,216,159,22,0,5,0,186,302,11,5,3,0,322,454,13,7,0,0,479,1223,35,9,0,0,1268,1339,35,9,0,0,1385,1668,31,18,0,0,1718,740,9,0,3,7,760,485,3,3,3,0,497,319,0,4,0,5,326,486,14,0,4,0,506,7873,193,65,24,17,8169
SED10077,309,66,159,0,0,536,45,16,35,0,0,92,46,15,32,0,0,85,52,16,65,0,0,131,87,30,81,0,0,195,220,67,323,0,0,612,207,75,478,0,0,768,418,179,1393,3,0,1996,296,142,758,5,4,1205,603,253,482,0,0,1341,1375,218,225,3,0,1827,373,88,253,4,0,714,4029,1169,4281,25,7,9515
SED10078,206,67,139,4,0,419,52,16,36,0,0,104,44,17,32,0,0,92,43,27,75,0,0,144,72,28,95,0,0,198,194,77,303,3,0,581,212,92,423,8,0,734,387,183,895,9,4,1478,289,160,694,10,0,1146,541,321,583,7,0,1453,1227,447,292,6,0,1975,205,69,162,3,0,438,3469,1488,3735,55,6,8753
SED10079,442,25,7,3,0,469,172,8,3,0,0,187,154,12,18,0,0,178,275,15,5,0,0,296,358,12,14,0,0,384,1110,27,28,3,0,1173,1587,59,39,4,0,1685,2273,64,22,0,0,2353,1168,17,11,0,0,1195,768,9,7,0,0,785,439,4,3,0,0,453,578,13,8,4,3,609,9326,259,156,20,6,9761
SED10080,13,113,346,5,0,484,0,16,46,0,0,63,0,17,54,0,0,66,3,15,92,0,0,110,0,27,112,0,0,143,4,73,372,0,0,453,6,71,388,0,0,468,19,154,778,6,5,955,9,116,604,0,0,728,16,265,884,0,6,1172,133,911,1255,10,4,2311,13,113,336,0,0,466,220,1895,5259,23,16,7415
SED10081,387,12,0,0,3,400,198,0,0,0,0,200,206,8,0,0,0,218,444,15,0,0,0,461,720,13,4,4,0,741,1985,39,8,3,0,2031,1848,31,3,0,3,1886,1623,8,0,0,0,1635,616,5,0,0,0,623,406,4,0,0,0,413,281,0,4,0,3,296,508,9,3,0,0,520,9224,146,23,16,12,9426
SED10082,434,21,26,5,0,489,152,8,9,0,0,163,117,17,6,0,0,143,210,16,10,0,0,241,288,29,11,0,0,326,806,27,45,3,0,885,993,58,51,0,0,1102,1912,79,75,0,0,2070,1525,51,33,0,4,1615,1554,31,41,0,0,1629,1223,23,33,0,4,1286,595,26,23,0,0,644,9815,386,374,10,5,10590
SED10083,396,29,22,0,5,456,130,28,7,0,0,167,144,22,3,0,0,169,221,34,13,0,0,270,340,41,21,3,0,406,970,120,45,0,0,1145,1333,160,63,0,0,1553,2377,177,57,0,0,2607,1447,57,20,0,0,1521,941,48,8,0,0,999,478,21,6,0,0,507,533,54,7,0,0,597,9306,782,275,15,7,10378
SED10084,381,89,46,0,0,514,136,46,14,0,0,199,96,29,13,0,0,138,200,64,22,0,0,295,271,80,55,9,0,412,746,253,148,5,0,1152,933,341,123,0,0,1393,1798,306,102,7,9,2216,1067,106,32,0,0,1203,817,60,43,0,0,923,503,23,29,0,0,548,438,108,45,6,0,603,7386,1504,669,21,9,9599
SED10085,416,5,0,0,3,428,168,0,3,0,0,179,183,3,0,0,0,193,353,8,0,0,0,370,531,21,6,4,0,562,1651,39,11,10,0,1704,1850,36,4,3,0,1904,1953,22,4,0,0,1985,913,6,0,0,0,919,744,7,0,0,0,758,431,0,0,0,0,435,566,14,6,0,0,584,9764,180,40,19,10,10015
SED10086,224,83,251,4,0,562,14,19,34,0,0,63,8,13,32,0,0,58,6,9,47,0,0,64,32,16,60,0,0,107,63,48,199,0,0,312,42,49,235,0,0,334,121,86,438,3,0,650,64,69,467,5,0,607,172,158,753,6,0,1084,1397,710,1117,16,4,3252,265,118,273,4,0,663,2413,1370,3915,45,10,7757
SED10087,383,10,9,0,3,403,197,7,3,0,0,205,197,5,6,0,0,200,414,5,16,0,0,436,663,15,28,3,0,707,2253,33,37,5,3,2328,2071,21,19,0,0,2115,1785,5,8,0,5,1811,560,3,3,0,0,568,459,4,0,0,0,470,327,4,0,0,8,334,547,3,3,0,0,556,9858,123,125,17,15,10133
SED10088,361,24,83,0,0,468,91,8,23,0,0,121,66,5,38,0,0,106,88,7,50,0,0,151,142,7,75,0,0,222,365,19,193,0,0,577,394,25,254,5,0,668,752,59,521,0,3,1333,705,52,457,0,0,1218,1443,108,453,0,0,2010,2923,108,251,3,5,3291,480,30,146,0,0,656,7813,455,2543,14,7,10825
SED10089,419,35,4,0,0,462,158,14,5,0,0,180,131,13,5,0,0,146,258,23,7,0,0,289,399,24,15,0,0,438,1218,111,48,0,0,1379,1831,202,29,0,0,2064,2785,152,20,6,0,2960,1285,44,3,4,0,1333,762,27,5,0,0,790,433,4,4,0,0,450,521,39,0,7,0,564,10196,702,150,6,4,11059
SED10090,356,78,164,0,0,594,36,6,24,0,0,63,41,6,11,0,0,64,55,8,38,0,0,104,69,12,73,0,0,150,204,57,182,0,0,444,173,48,190,0,0,411,366,104,464,0,0,939,250,103,401,0,0,755,551,193,561,0,4,1306,2443,531,520,0,0,3497,327,61,188,0,0,571,4871,1204,2815,3,6,8900
SED10091,435,12,6,0,0,457,154,5,0,0,0,162,124,4,0,0,0,131,218,12,0,0,0,228,297,4,0,0,0,303,963,26,13,0,3,1000,1288,36,10,0,0,1331,2587,34,8,0,5,2631,1996,17,8,0,4,2024,1781,9,8,3,0,1798,1278,0,5,5,0,1288,748,8,3,0,0,762,11865,166,59,13,13,12114
SED10092,265,26,74,0,0,372,121,4,35,0,0,159,79,11,23,4,0,120,164,18,41,0,0,222,225,30,66,4,0,322,668,66,240,5,0,980,854,101,312,4,0,1268,1426,175,399,18,0,2023,896,85,158,10,0,1143,735,48,113,3,0,900,406,28,82,0,3,518,348,36,86,0,0,464,6179,627,1628,47,10,8489
SED10093,356,22,9,0,0,385,137,12,7,0,0,156,128,11,5,0,0,146,249,15,7,0,0,274,377,17,11,0,0,408,1110,54,50,0,0,1216,1756,96,31,0,0,1884,2701,50,29,0,3,2780,1349,16,7,0,0,1372,739,10,6,0,4,755,398,3,3,0,4,400,563,22,13,0,0,597,9866,322,179,5,7,10381
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,55,170,242,0,0,468,3,29,56,0,0,94,3,25,51,0,0,77,3,36,97,0,0,143,10,58,158,3,0,223,21,130,637,13,0,802,20,122,985,16,7,1154,48,281,1399,22,0,1759,37,196,621,9,5,864,86,393,558,13,0,1054,298,1003,478,12,0,1785,53,185,319,5,0,562,638,2627,5606,92,15,8983
SED20207,591,51,11,0,0,656,145,34,8,0,0,192,139,22,5,0,0,168,272,21,5,0,0,298,337,54,9,0,0,402,1200,175,58,0,0,1433,1810,294,95,0,0,2204,3827,439,48,0,0,4313,2054,208,17,0,0,2274,1453,159,6,0,0,1616,825,85,5,0,0,917,901,89,14,0,0,1005,13550,1648,277,0,0,15484
SED20302,531,21,3,0,0,558,256,19,0,0,0,273,231,16,3,0,0,247,409,24,0,0,0,437,594,26,3,0,0,630,2049,107,14,0,6,2175,3203,116,15,0,0,3342,5329,113,14,0,9,5464,2240,30,0,0,0,2273,1156,16,3,0,3,1176,631,12,0,0,0,648,1045,41,4,0,0,1091,17672,539,70,5,18,18312
SED20401,385,76,11,0,0,471,141,17,0,0,0,162,139,22,4,0,0,164,216,48,8,0,0,267,301,65,16,0,0,382,903,197,60,0,0,1162,1206,352,84,0,0,1646,1999,481,54,0,0,2540,1238,177,17,0,0,1438,779,96,3,0,3,889,364,50,0,0,0,413,439,73,9,0,0,525,8126,1654,271,0,7,10051
SED20508,416,22,3,0,0,443,220,11,0,0,0,231,144,5,0,0,0,153,339,15,0,0,0,358,379,10,0,0,0,389,1277,53,5,0,0,1334,1655,50,3,5,0,1710,2156,38,3,0,5,2204,921,13,0,0,0,935,716,14,0,0,0,730,499,10,0,0,0,508,527,23,0,0,0,553,9253,259,19,10,7,9547
SED20604,394,11,0,3,0,411,228,5,5,0,0,241,198,3,3,0,0,206,420,27,0,0,0,455,716,40,10,0,0,769,2038,49,11,3,0,2102,1995,18,3,3,4,2020,1527,5,5,3,3,1539,478,4,0,4,5,489,397,0,0,3,0,404,228,0,0,0,0,231,470,11,0,4,0,483,9097,178,37,24,20,9347
SED20704,414,11,0,0,0,432,258,5,0,0,0,263,209,6,0,0,0,211,442,19,0,0,0,461,665,32,5,0,0,703,2171,65,4,0,4,2249,2289,38,7,3,8,2343,1721,28,0,0,0,1756,534,7,0,0,0,537,390,8,0,0,0,404,245,0,0,0,0,250,523,12,0,0,0,537,9873,225,17,11,21,10153
SED20804,418,8,0,0,0,424,255,14,3,0,0,268,217,7,0,0,0,229,432,15,4,0,0,452,663,28,0,0,0,693,2003,45,8,0,3,2062,1797,31,4,0,0,1828,1226,15,0,0,0,1244,427,3,0,0,0,429,282,3,0,0,0,288,164,5,0,0,4,171,462,7,0,0,0,477,8340,174,26,10,11,8562
SED20906,364,81,45,0,0,487,88,16,18,0,0,126,84,18,14,0,0,113,123,11,18,0,0,157,152,40,21,0,0,214,403,106,138,5,0,645,406,116,239,0,0,758,791,263,370,7,0,1433,662,206,158,0,4,1030,1206,335,136,6,0,1689,1343,336,85,0,3,1774,413,103,74,0,0,587,6034,1634,1312,17,9,9002
SED21001,426,123,43,0,0,596,79,34,12,0,0,126,75,17,7,0,0,99,96,51,16,0,0,165,124,43,34,0,0,202,346,159,176,0,0,681,350,168,230,0,0,748,646,331,215,0,0,1189,506,242,63,0,0,819,924,295,51,0,0,1272,1410,229,34,0,0,1679,375,100,59,0,0,537,5369,1786,947,8,3,8114
SED21106,297,80,66,0,0,438,53,19,25,0,0,102,50,12,26,0,0,91,41,22,22,0,0,90,80,29,39,0,0,150,188,85,166,3,0,443,149,55,237,0,0,440,365,161,366,5,0,894,260,129,225,0,0,620,545,238,200,3,0,993,1950,445,136,3,0,2535,379,91,103,4,0,573,4357,1365,1617,20,0,7362
SED21203,401,40,14,0,0,452,173,23,7,0,0,206,122,17,0,0,0,133,219,33,9,0,0,263,301,63,15,0,0,374,1011,221,51,4,0,1279,1261,274,63,0,4,1606,1295,248,29,0,0,1578,426,63,6,0,0,498,322,30,0,0,0,352,199,21,4,0,0,220,523,77,11,0,0,613,6245,1125,209,4,6,7587
SED21303,245,102,75,0,0,430,59,34,23,0,0,114,49,22,34,0,0,103,84,39,54,0,0,173,120,63,105,0,0,291,264,163,447,0,0,874,320,191,657,3,0,1176,550,424,723,13,0,1706,488,306,209,9,0,1011,790,379,148,3,5,1318,756,272,87,0,0,1120,243,110,96,4,0,458,3963,2107,2664,34,4,8778
SED21401,392,84,45,0,0,524,73,20,10,0,0,95,64,11,11,0,0,84,103,23,24,0,0,144,129,33,23,0,0,183,348,94,126,0,0,570,347,139,176,0,0,658,730,255,224,0,0,1203,516,228,76,0,0,815,938,281,55,0,3,1276,1206,212,25,0,0,1442,422,93,45,0,0,562,5261,1475,833,0,4,7570
SED21503,382,49,18,0,0,445,127,14,0,0,0,137,105,11,0,0,0,119,176,26,7,0,0,209,216,36,10,0,0,269,636,112,73,0,0,826,819,177,73,0,0,1075,1369,275,45,0,0,1689,964,102,15,0,0,1081,807,74,11,0,0,891,470,25,7,0,0,499,463,54,16,0,0,531,6530,971,267,0,3,7769
SED21608,372,11,0,3,0,389,250,17,0,0,0,273,216,18,0,0,0,233,459,44,0,0,0,506,659,55,9,0,0,717,1884,123,10,3,0,2026,2058,57,0,4,3,2122,1897,36,4,3,6,1941,627,4,0,0,0,632,441,4,0,3,0,450,236,4,0,0,0,235,537,18,0,0,0,555,9637,393,26,15,9,10081
SED21706,435,84,23,0,0,543,109,22,10,0,0,141,54,9,9,0,0,80,101,20,9,0,0,131,111,37,15,0,0,157,337,108,99,0,0,537,339,121,130,0,0,588,674,272,182,3,0,1130,540,256,88,0,0,881,966,303,84,0,0,1355,1745,249,51,0,0,2047,406,93,45,0,0,546,5796,1582,753,6,8,8139
SED21805,359,83,19,0,0,458,134,33,5,0,0,170,139,49,10,0,0,194,280,64,6,0,0,347,365,91,10,0,0,467,1191,306,42,0,0,1543,1521,425,73,0,0,2019,2385,513,75,0,0,2975,1187,233,32,0,0,1459,800,162,21,4,0,981,448,91,4,0,0,547,609,128,13,0,0,754,9414,2177,316,9,4,11916
SED21906,259,119,78,5,0,457,57,29,29,0,0,116,35,32,35,0,0,102,54,36,38,0,0,130,54,35,63,0,0,153,184,140,284,5,0,611,164,171,473,11,0,825,365,287,632,3,0,1292,254,288,258,5,0,808,474,415,176,0,0,1072,1273,410,103,0,0,1783,337,170,118,5,0,624,3510,2130,2291,28,0,7964
SED22005,367,70,20,0,0,461,89,24,5,0,0,121,80,24,4,0,0,107,158,47,9,0,0,221,182,48,20,0,0,247,485,147,113,3,0,743,543,244,145,0,0,930,1047,454,133,0,0,1634,752,271,45,0,0,1060,889,181,25,0,0,1101,527,84,15,0,0,624,391,124,30,0,0,547,5503,1723,554,3,0,7791
SED22105,545,39,4,0,0,591,212,25,0,0,0,236,177,24,6,0,0,212,350,32,3,0,0,382,529,57,8,0,0,589,1984,220,28,0,0,2243,3751,400,13,0,4,4171,6856,363,3,0,4,7227,2662,92,0,0,0,2759,1271,41,0,0,0,1314,666,24,0,0,0,697,1208,70,4,0,0,1283,20219,1391,72,0,13,21694
SED22201,419,34,6,0,0,456,158,8,3,0,0,173,136,14,0,0,0,146,224,18,8,0,0,249,300,27,10,0,0,338,910,96,58,0,0,1068,1152,150,70,0,3,1374,2094,209,28,0,4,2336,1368,106,9,0,0,1486,996,40,4,0,0,1037,480,10,8,0,0,504,475,32,3,0,0,512,8700,743,214,0,9,9673
SED22305,333,44,17,0,0,395,119,30,6,0,0,161,126,24,8,0,0,159,217,52,25,0,0,296,242,66,61,0,0,376,763,310,145,0,0,1227,997,385,82,3,0,1468,1429,287,45,0,0,1761,549,65,16,0,0,628,352,58,8,0,0,417,185,36,14,0,0,235,461,95,39,0,0,596,5776,1461,464,8,3,7713
SED22404,426,11,3,0,7,441,212,5,0,0,0,215,220,3,0,0,0,229,363,5,0,3,5,374,528,11,0,0,0,544,1478,28,3,4,0,1518,1588,23,8,0,0,1618,1968,16,7,0,0,1992,815,3,0,0,5,828,655,5,0,0,0,661,452,5,0,0,4,460,621,6,3,0,0,629,9331,117,36,19,13,9517
SED22501,429,16,13,0,0,456,132,10,3,0,0,147,122,11,5,0,0,135,198,11,4,0,0,213,253,19,7,0,0,274,720,71,27,0,0,828,860,102,50,0,0,1016,1572,157,56,0,0,1781,1355,83,32,0,0,1476,1463,41,11,0,0,1514,856,21,7,0,0,881,511,29,10,0,0,553,8471,580,219,0,3,9270
SED22607,295,69,60,0,0,427,70,15,29,0,0,106,51,15,29,0,0,101,84,39,36,0,0,160,117,48,93,0,0,260,306,170,379,0,0,851,319,167,488,3,0,980,571,290,526,6,0,1401,489,220,163,0,0,877,889,326,113,0,0,1334,1235,223,61,0,0,1528,360,112,89,0,0,567,4793,1704,2073,15,0,8584
SED22704,440,12,0,0,3,455,289,14,0,0,0,303,275,14,0,0,0,286,544,20,0,4,0,570,735,12,0,0,0,757,1816,26,0,6,0,1851,1675,20,4,7,6,1701,1397,3,0,5,0,1412,518,10,0,0,0,529,377,0,0,0,0,383,263,0,0,0,0,266,565,4,0,0,0,567,8905,126,12,23,13,9084
SED22802,429,11,0,0,0,444,166,15,0,0,0,178,141,9,0,0,0,147,253,13,0,0,0,264,334,22,0,0,0,357,990,54,0,0,5,1051,1419,97,4,0,0,1518,2503,92,0,0,3,2607,1624,24,0,0,0,1644,1014,6,0,0,0,1026,483,4,0,0,0,483,637,16,0,0,0,659,9989,364,7,8,7,10373
SED22901,414,36,5,0,0,455,124,17,5,0,0,147,124,17,4,0,0,147,196,19,4,0,0,213,252,28,3,0,0,279,799,96,30,0,0,930,938,146,35,0,0,1119,1596,217,32,4,0,1851,1083,129,4,0,0,1224,957,74,0,0,0,1037,507,37,0,0,0,550,425,45,3,0,0,472,7415,861,136,8,0,8421
SED23007,362,130,39,0,0,538,91,36,13,0,0,136,87,29,18,0,0,137,125,48,47,0,0,224,182,65,106,0,0,355,571,274,439,4,0,1284,616,414,459,0,3,1493,1132,762,414,7,0,2305,693,375,129,3,0,1201,674,260,77,0,0,1015,427,152,46,3,0,628,375,134,87,3,0,599,5333,2681,1874,22,7,9917
SED23101,444,58,7,0,0,511,83,13,0,0,0,93,96,12,0,0,0,113,146,27,10,0,0,169,166,33,11,0,0,204,467,70,57,0,0,591,503,102,64,0,0,672,984,184,50,0,0,1218,778,163,26,0,0,959,1166,120,8,0,0,1296,914,70,3,0,0,985,408,62,11,0,0,483,6149,915,241,0,0,7302
SED23205,351,51,8,0,0,403,168,19,0,0,0,199,120,17,0,0,0,145,251,46,10,0,0,300,303,56,8,0,0,369,901,199,43,0,0,1144,1170,216,34,0,0,1420,1811,159,13,0,0,1988,897,62,3,0,0,955,689,29,5,0,0,722,369,18,3,0,0,388,488,41,4,0,0,533,7512,913,143,0,5,8571
SED23308,369,44,3,0,0,414,177,10,4,0,0,196,148,12,3,0,0,173,278,39,16,3,0,338,337,65,23,0,0,422,1161,152,57,3,3,1374,1333,142,30,0,4,1512,1677,102,49,0,0,1828,698,42,13,0,0,749,600,24,10,0,0,634,407,19,0,0,0,431,406,40,12,5,0,451,7590,678,234,13,8,8523
SED23402,472,23,0,0,0,491,172,13,0,0,0,188,152,10,0,0,0,161,258,14,0,0,0,272,439,21,0,0,0,456,1513,107,0,0,0,1620,2334,137,0,0,3,2471,3812,146,4,0,4,3962,1656,46,0,0,0,1703,1143,30,0,0,4,1180,756,14,0,0,0,767,814,26,0,0,3,852,13512,594,5,7,8,14124
SED23502,388,20,0,0,4,417,266,9,3,4,0,281,251,3,0,0,0,254,496,14,3,0,0,510,751,12,4,4,0,779,1829,21,4,0,9,1859,1429,13,4,4,0,1452,937,7,0,0,0,949,272,0,0,0,0,274,230,0,0,0,0,233,149,4,0,0,0,157,443,6,0,0,0,449,7445,114,25,12,14,7609
SED23602,418,17,0,0,0,437,262,0,0,0,0,266,267,0,4,0,0,271,470,14,5,4,0,494,650,15,7,0,0,676,1633,26,10,0,0,1669,1369,12,0,0,3,1394,1061,12,0,0,0,1077,373,0,0,0,0,377,268,5,0,0,0,275,224,0,0,0,0,234,465,13,3,0,0,476,7468,120,28,14,12,7640
SED23702,501,47,0,0,0,551,203,35,0,0,0,240,153,23,0,0,0,177,315,38,0,0,0,359,471,69,0,0,0,536,1347,215,13,0,0,1576,1858,273,3,0,0,2134,2712,190,6,0,0,2909,1261,35,4,0,0,1301,932,12,3,0,0,947,513,15,3,0,0,525,716,53,0,0,0,777,10971,998,37,5,5,12022
SED23806,295,81,84,0,0,459,40,16,20,0,0,82,35,12,20,0,0,65,45,15,43,0,0,106,56,28,60,0,0,145,163,75,285,0,0,525,135,61,461,0,0,655,282,155,569,0,0,1004,201,136,247,0,0,590,403,200,209,0,0,804,1662,454,126,4,0,2245,320,89,88,0,5,502,3633,1326,2211,5,6,7185
SED23901,392,56,18,0,0,475,126,11,5,0,0,136,74,24,4,0,0,101,125,26,18,0,0,163,166,34,29,0,0,234,463,142,89,0,0,692,528,189,134,0,0,850,943,396,155,4,0,1493,775,243,63,0,0,1078,1039,165,50,0,0,1250,1111,117,24,0,0,1249,380,99,25,0,0,506,6112,1492,612,9,5,8232
SED24006,422,92,32,0,0,549,57,20,6,0,0,84,45,10,8,0,0,62,58,21,15,0,0,92,60,24,23,0,0,114,230,87,50,0,0,371,206,61,95,0,0,363,428,138,187,0,0,753,272,120,95,0,0,494,622,193,78,0,0,898,2160,276,63,0,0,2497,487,79,32,0,0,601,5048,1122,694,7,5,6873
SED24105,523,50,15,0,0,585,122,20,11,0,0,155,119,19,6,0,0,138,184,32,15,0,0,233,278,36,14,0,0,335,786,108,60,0,0,957,971,196,58,0,0,1230,1654,293,53,0,0,2001,1073,152,7,0,0,1234,1075,68,6,0,0,1151,582,43,4,0,0,633,590,68,15,0,0,673,7954,1086,275,3,3,9318
SED24207,639,21,4,0,3,672,209,10,0,0,0,216,191,17,0,0,0,206,300,14,3,0,0,326,432,22,7,0,0,460,1573,109,35,0,0,1715,2360,163,40,0,0,2573,3972,209,10,0,3,4195,1610,50,4,0,0,1665,1047,33,0,0,4,1093,567,26,0,0,0,590,1000,49,8,0,0,1056,13907,715,120,6,14,14757
SED24308,351,25,6,0,0,381,181,11,8,0,0,190,174,6,5,0,0,184,307,27,0,0,0,338,482,32,4,0,0,526,1513,103,24,0,0,1639,1670,95,16,0,0,1780,1732,62,14,0,0,1806,564,10,3,0,0,580,363,14,0,0,4,371,196,6,0,0,0,209,495,24,8,3,0,526,8019,409,81,4,4,8524
SED24408,506,8,0,0,0,515,413,4,5,0,0,419,412,0,0,0,0,420,758,6,0,4,0,770,839,4,6,4,0,852,1549,9,4,0,0,1561,782,9,0,0,0,789,551,3,0,0,0,563,183,3,0,0,0,183,158,0,0,0,0,158,119,0,0,0,0,121,395,4,0,0,0,397,6666,45,19,9,3,6753
SED24504,450,5,3,4,0,459,195,3,0,0,0,193,165,4,0,0,0,171,300,6,0,3,0,310,410,11,0,7,0,428,1229,34,0,3,0,1269,1495,40,8,5,0,1553,2267,33,3,12,3,2313,1167,8,0,7,0,1183,1018,11,0,0,0,1028,741,3,0,0,0,749,576,17,0,0,0,591,10018,167,19,39,4,10250
SED24606,270,93,90,0,4,459,44,13,25,0,0,84,30,15,24,0,0,63,39,15,44,0,0,101,56,27,63,0,0,146,143,71,225,7,0,448,144,77,304,7,0,531,286,171,434,9,3,891,189,123,225,0,0,538,430,244,206,0,0,876,1641,376,204,3,0,2222,340,102,92,4,0,535,3607,1308,1932,35,3,6886
