SED_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
SED10020,381,29,18,3,0,439,165,16,6,0,0,189,132,27,10,0,0,165,286,22,16,3,0,322,359,46,37,3,0,452,1078,112,97,3,0,1293,1454,130,52,4,0,1640,1980,101,51,6,3,2141,842,16,3,0,0,869,522,16,15,0,0,549,260,20,5,4,0,281,468,25,22,0,0,524,7911,573,334,36,8,8863
SED10021,156,133,179,12,0,476,8,20,30,0,0,66,14,11,31,0,0,62,20,24,40,0,0,83,32,35,78,5,0,146,59,76,207,0,0,349,56,92,235,3,0,387,105,158,488,7,0,759,79,133,447,6,0,670,211,278,739,9,0,1234,1091,1193,713,14,4,3014,197,153,224,4,0,582,2036,2311,3413,65,8,7830
SED10022,490,12,0,0,3,511,298,7,0,0,0,310,327,4,0,5,0,333,658,11,3,5,0,681,944,8,5,4,0,958,1754,27,0,9,3,1798,1174,8,3,0,0,1193,815,5,3,0,4,827,249,0,0,0,0,253,200,0,0,4,0,210,174,6,0,0,0,180,456,3,0,3,6,466,7540,101,18,36,17,7713
SED10023,331,54,71,0,0,459,88,15,23,0,0,131,60,11,24,0,0,99,89,14,31,0,0,132,131,29,55,0,0,209,348,72,172,0,0,590,386,67,222,3,0,682,808,165,461,0,3,1439,714,155,331,0,3,1202,1332,264,284,0,3,1883,2500,268,166,0,0,2941,493,78,112,3,0,686,7286,1198,1955,13,9,10452
SED10024,550,24,54,0,0,629,93,3,8,0,0,106,68,5,11,0,0,86,103,4,14,0,0,122,110,4,11,0,0,129,344,12,63,0,0,422,339,24,69,0,5,431,701,29,216,0,0,938,576,26,243,0,0,842,1292,42,230,3,0,1568,4027,106,187,0,0,4318,602,19,65,0,0,686,8804,294,1169,3,4,10274
SED10025,250,58,188,5,0,505,45,6,36,0,0,98,33,11,27,0,0,76,60,19,67,0,0,140,78,26,63,0,0,158,175,50,242,0,0,465,214,58,289,4,0,561,381,109,677,12,0,1184,263,112,676,16,0,1063,610,190,844,14,0,1653,1773,338,672,16,3,2801,343,61,251,0,0,655,4222,1034,4026,69,5,9359
SED10026,377,11,0,6,6,400,186,11,0,3,0,203,193,3,3,0,0,202,404,9,3,7,0,420,667,12,12,0,0,695,1844,46,8,3,0,1903,1992,32,4,5,6,2033,1918,20,0,0,0,1936,722,11,0,0,0,734,472,4,0,0,0,484,331,7,0,0,0,340,570,11,0,0,5,594,9688,180,34,28,20,9937
SED10027,351,108,4,0,0,461,78,35,0,0,0,116,72,13,4,0,0,100,109,39,10,0,0,157,154,78,8,0,0,234,477,175,12,0,0,659,501,253,22,0,0,775,1022,530,33,13,4,1600,932,466,25,0,0,1426,1475,529,21,0,3,2024,969,261,14,0,0,1246,502,200,11,0,0,713,6647,2684,153,16,13,9510
SED10028,574,62,62,0,0,691,104,13,10,0,0,129,86,19,6,0,0,107,111,13,26,0,0,152,135,23,24,0,0,181,389,71,77,0,0,534,416,79,113,0,0,607,845,145,375,0,0,1368,696,140,316,0,3,1158,1271,249,252,0,3,1770,2608,215,106,0,0,2934,550,68,91,0,3,712,7777,1109,1451,6,14,10351
SED10029,339,48,52,0,0,443,88,27,17,0,0,125,83,14,13,0,0,110,114,26,29,0,0,171,162,33,38,0,0,239,570,115,186,0,0,874,558,156,158,3,0,867,977,317,134,4,5,1436,716,173,42,0,0,931,716,121,28,0,0,867,332,51,22,0,0,408,423,91,52,0,3,559,5072,1166,772,8,13,7040
SED10030,342,49,29,0,0,422,140,14,19,0,0,181,123,26,10,0,0,157,178,28,23,0,0,232,248,43,48,0,6,339,732,135,140,4,4,1006,1031,214,194,10,3,1448,1715,247,205,11,3,2177,1200,95,66,3,0,1363,955,34,45,5,0,1041,495,22,26,4,0,545,432,61,44,0,6,532,7582,969,855,28,17,9447
SED10031,468,14,9,4,6,487,180,9,0,0,0,187,170,5,5,0,0,177,320,7,0,3,4,330,449,18,4,0,0,474,1420,51,7,3,4,1478,1679,40,5,7,4,1735,2165,25,4,4,3,2202,1163,7,5,0,8,1179,1032,3,3,0,0,1042,780,6,4,0,0,792,522,13,3,0,0,534,10344,192,45,22,23,10622
SED10032,279,69,89,0,0,442,62,19,23,0,0,93,56,13,19,0,0,87,101,25,42,0,0,166,115,32,75,0,0,224,343,118,316,0,0,781,433,183,579,0,0,1188,792,381,1018,3,0,2192,636,298,297,0,0,1237,798,206,129,7,0,1136,519,101,96,0,0,715,437,127,190,0,0,747,4551,1564,2866,19,15,9006
SED10033,472,23,0,0,0,497,106,6,4,0,0,112,111,13,3,0,0,122,207,12,5,0,0,225,226,24,12,3,0,261,785,68,16,0,0,871,1030,109,24,4,0,1169,1945,138,9,0,5,2093,1556,48,5,0,4,1615,1702,22,6,0,0,1737,1395,9,10,0,5,1409,670,26,5,0,4,702,10206,501,92,10,11,10825
SED10034,339,42,52,0,0,436,93,10,14,0,0,120,96,14,24,0,0,128,144,17,29,0,0,185,204,15,39,0,0,255,584,58,101,0,0,742,723,89,229,0,0,1045,1479,206,534,0,0,2224,1439,194,293,0,5,1927,2298,229,153,0,0,2684,1457,68,64,0,0,1588,497,43,76,0,0,616,9349,979,1617,4,5,11956
SED10035,142,95,294,0,0,525,27,16,58,0,0,103,15,11,35,0,0,65,40,24,85,0,0,150,46,28,126,0,0,202,139,102,537,0,0,775,145,98,602,5,0,850,228,223,1605,6,0,2064,223,198,1491,0,0,1914,405,388,1629,4,3,2430,830,613,907,11,6,2366,181,105,384,0,3,675,2418,1909,7765,23,12,12120
SED10036,441,62,8,0,0,506,125,19,0,0,0,149,104,18,3,0,0,129,168,26,0,0,0,195,237,32,3,0,0,276,708,106,36,0,0,850,949,189,76,0,0,1214,1982,380,93,0,0,2453,1563,232,36,0,4,1832,1763,123,25,0,0,1908,905,40,11,0,0,954,670,78,19,0,0,764,9607,1297,313,0,3,11221
SED10037,482,38,49,0,0,574,120,11,9,0,0,142,89,4,13,0,0,105,141,6,29,0,0,178,200,5,35,0,0,245,557,42,139,0,4,741,666,53,203,0,0,920,1307,102,578,0,0,1987,1116,116,330,5,0,1569,1923,151,175,0,0,2254,2202,71,93,0,0,2371,571,21,82,0,0,678,9381,631,1736,9,5,11758
SED10038,359,47,23,3,0,434,106,12,4,0,0,126,110,27,14,0,0,148,152,31,14,4,0,206,204,47,32,0,0,278,644,113,78,4,0,838,763,164,117,3,0,1048,1567,259,138,0,0,1965,1395,162,68,0,4,1632,1551,117,36,0,0,1700,1110,56,18,0,0,1187,493,45,37,5,0,581,8463,1085,588,18,4,10158
SED10039,447,34,8,0,0,490,153,22,5,0,0,179,120,12,0,0,0,131,227,18,3,0,0,247,316,21,0,0,0,341,997,73,16,3,0,1084,1214,140,11,3,0,1366,2291,193,29,0,4,2514,1427,86,7,3,0,1522,1139,54,13,0,0,1201,657,21,6,0,0,689,531,45,10,3,0,584,9505,706,108,18,7,10347
SED10040,282,76,209,0,0,567,61,27,50,0,0,133,51,19,35,0,0,110,79,25,75,0,0,183,113,46,106,0,0,267,273,86,303,3,0,668,277,102,503,0,0,879,517,199,1029,7,0,1744,435,171,586,4,0,1196,768,222,340,4,3,1341,1053,140,164,0,0,1366,395,78,212,0,0,683,4316,1184,3613,25,7,9138
SED10041,432,19,138,0,0,601,68,0,14,0,0,92,59,6,28,0,0,99,74,0,44,0,0,116,99,6,52,0,0,159,356,21,199,4,0,576,327,21,249,0,0,605,656,58,702,15,0,1436,543,38,554,7,0,1138,1138,79,503,11,0,1733,3472,101,317,5,0,3883,483,22,165,0,0,671,7714,377,2968,47,0,11101
SED10042,485,39,5,0,0,525,187,4,0,0,0,196,157,16,0,0,0,181,279,21,0,8,0,310,400,11,4,0,0,418,1219,56,11,0,0,1297,1731,76,11,0,0,1820,2627,58,16,0,0,2707,1282,17,3,0,0,1305,848,9,0,0,0,859,466,3,0,0,0,472,594,11,3,0,0,612,10279,324,60,14,7,10687
SED10043,257,75,73,0,0,402,70,15,27,0,0,117,71,16,21,0,0,103,97,29,64,0,0,190,137,41,83,0,0,253,354,135,277,6,0,773,404,174,340,0,0,928,771,329,420,0,0,1518,544,241,117,5,5,909,822,217,73,3,0,1119,563,92,45,0,0,698,466,124,113,0,0,703,4549,1486,1646,18,7,7711
SED10044,397,47,142,0,0,582,48,9,42,0,0,93,46,5,24,0,0,80,65,6,38,0,0,111,68,15,74,0,0,159,226,52,248,0,0,532,189,44,383,0,0,616,472,106,967,0,0,1546,376,77,871,0,0,1329,767,167,767,0,0,1700,2792,310,433,3,0,3541,428,59,206,0,0,700,5872,897,4194,4,3,10974
SED10045,477,8,7,8,0,496,239,9,4,0,0,259,247,13,11,0,0,269,426,29,20,0,0,472,566,26,12,0,0,602,1551,67,23,0,0,1647,1645,44,20,0,3,1704,1661,27,8,5,0,1705,552,0,5,3,0,559,425,4,0,4,0,429,234,3,0,0,0,233,510,10,8,3,0,531,8523,239,107,22,10,8903
SED10046,348,29,67,0,0,440,105,3,28,0,0,131,90,16,19,0,0,126,165,12,59,0,0,232,222,24,72,0,0,321,671,68,267,0,0,1013,855,119,324,0,0,1296,1614,206,328,0,0,2147,1172,85,77,0,0,1336,961,50,51,0,0,1057,495,21,40,0,0,560,553,45,97,0,0,701,7246,683,1426,0,3,9365
SED10047,397,32,10,0,0,440,115,12,0,0,0,131,112,11,4,0,0,130,207,25,8,0,0,240,294,31,14,0,0,341,968,178,51,0,0,1192,1416,302,107,0,0,1833,3014,569,93,0,0,3677,2882,172,35,0,0,3095,2418,92,23,0,0,2536,949,35,7,0,0,996,858,84,13,0,0,962,13642,1552,362,3,11,15579
SED10048,502,61,12,0,0,583,127,20,3,0,0,149,137,22,3,0,0,166,234,59,6,0,0,297,288,66,10,0,0,365,1026,271,36,0,0,1331,1373,382,61,0,0,1819,3077,536,85,0,14,3710,2666,223,33,0,0,2927,2110,96,18,0,9,2236,1036,59,10,0,0,1111,917,115,19,0,3,1058,13508,1912,292,0,31,15747
SED10049,428,13,0,0,0,444,167,11,0,0,0,181,160,11,0,0,0,176,274,15,5,0,0,294,427,26,4,0,0,454,1631,97,11,3,0,1737,2460,98,13,0,0,2569,3404,57,3,4,4,3471,1419,15,0,0,0,1433,908,3,0,0,0,915,452,3,0,0,0,456,629,21,0,0,0,652,12352,371,41,8,7,12783
SED10050,292,57,142,0,0,498,47,8,42,0,0,99,43,6,30,0,0,74,65,15,47,0,0,127,63,11,62,0,0,141,209,28,209,3,0,446,173,37,249,0,3,461,397,83,591,3,0,1071,321,81,523,0,0,929,714,136,645,3,0,1509,2843,370,668,4,0,3891,375,54,194,0,0,620,5544,888,3405,22,3,9863
SED10051,238,109,116,3,0,466,31,20,30,0,0,82,28,27,26,0,0,71,50,31,46,0,0,135,65,36,64,0,0,171,187,98,186,0,0,468,205,132,272,0,0,612,362,243,632,4,0,1238,299,219,583,3,0,1101,594,437,528,0,4,1567,1526,733,349,0,0,2610,322,142,191,0,0,660,3911,2235,3019,14,3,9192
SED10052,335,61,61,0,0,453,74,18,14,0,0,107,70,14,14,0,0,102,104,40,32,0,0,178,142,35,58,0,0,227,421,98,145,0,0,665,424,136,257,0,0,819,890,280,545,0,5,1720,864,265,411,3,0,1544,1637,389,228,0,0,2252,1886,257,106,0,0,2249,458,87,98,0,0,647,7303,1668,1971,12,8,10957
SED10053,408,40,17,0,3,466,165,19,16,0,0,201,153,22,23,0,0,197,305,32,44,3,0,373,416,51,96,0,0,561,1139,179,190,3,0,1517,1262,385,105,5,0,1754,2302,286,50,0,3,2648,1663,66,21,3,0,1751,1609,48,14,0,0,1676,868,26,12,0,3,911,551,55,24,0,4,639,10838,1209,615,20,14,12690
SED10054,408,31,14,0,0,450,107,14,4,0,0,122,95,6,3,0,0,104,197,20,5,0,0,222,271,36,15,0,0,322,924,115,71,0,0,1114,1216,229,66,0,0,1512,2298,421,57,0,0,2781,1552,149,11,0,0,1709,1204,67,12,0,0,1282,540,48,6,0,0,591,656,75,18,0,0,748,9458,1212,289,4,7,10973
SED10055,491,12,3,0,0,508,144,0,0,0,0,146,123,7,0,0,0,133,182,4,0,0,0,190,323,6,6,0,0,341,902,35,3,0,0,939,1259,58,14,0,3,1339,2578,121,14,0,0,2718,2250,71,0,0,7,2328,2070,39,9,0,0,2118,1168,23,9,0,0,1199,806,25,0,0,0,828,12287,401,65,3,14,12782
SED10056,516,13,7,0,6,544,279,3,3,3,0,292,292,10,0,0,0,302,633,15,10,5,3,664,837,19,11,3,3,880,1935,34,22,13,3,2006,1489,15,9,0,7,1522,1266,11,6,0,0,1284,380,0,4,0,3,389,294,0,0,0,0,300,238,0,0,0,0,241,563,4,0,3,0,569,8728,126,75,34,32,8999
SED10057,346,25,22,0,0,394,184,18,14,0,0,214,197,9,9,3,0,224,380,24,16,0,0,426,518,29,16,5,0,558,1355,79,42,5,3,1478,1352,51,31,0,0,1438,1290,27,11,0,0,1337,544,8,6,0,0,557,304,3,8,0,0,316,209,10,9,0,0,222,420,23,13,4,0,461,7100,317,190,20,12,7640
SED10058,350,62,48,0,0,461,126,26,14,0,0,164,92,20,20,0,0,139,188,32,27,0,0,247,226,41,41,0,0,312,702,115,143,0,0,962,926,168,193,0,0,1290,1605,246,280,5,0,2145,993,145,99,0,0,1239,845,128,85,0,0,1059,718,113,96,3,0,928,376,69,65,0,0,514,7150,1173,1116,15,6,9457
SED10059,63,211,147,8,0,424,12,58,26,0,0,100,6,35,27,0,0,64,12,47,54,0,0,112,20,85,74,0,0,178,54,178,193,3,0,424,50,212,292,3,0,551,81,382,577,4,0,1046,79,390,461,3,0,933,159,770,490,6,5,1423,397,1513,339,6,3,2263,44,185,147,6,0,379,971,4056,2818,31,10,7892
SED10060,171,71,257,0,5,503,11,13,46,0,0,73,12,12,45,0,0,62,10,14,58,0,0,79,26,15,86,0,0,120,80,33,276,3,0,387,55,41,315,0,0,411,102,93,691,3,0,894,65,66,580,0,4,718,134,140,810,0,0,1082,1163,524,1014,4,3,2711,160,72,249,0,0,487,1980,1088,4425,16,13,7515
SED10061,522,14,0,0,4,539,231,5,0,7,0,247,272,3,0,0,0,277,542,9,4,4,0,551,708,23,7,5,3,735,1761,27,3,4,0,1801,1261,22,0,3,0,1286,981,20,3,4,0,1008,368,3,0,0,0,371,266,5,0,0,0,276,247,0,0,0,0,249,457,7,0,5,0,468,7593,151,15,34,9,7809
SED10062,373,76,68,0,0,517,79,22,13,0,0,116,71,17,14,0,0,104,92,15,40,0,0,149,117,28,49,0,0,192,359,99,151,0,0,607,389,92,236,0,0,721,842,213,425,5,0,1493,587,195,257,0,0,1040,1239,306,146,0,0,1686,1737,199,60,3,0,1995,494,83,60,0,0,637,6384,1337,1521,7,3,9261
SED10063,386,15,4,10,0,407,185,5,6,0,0,191,214,5,5,0,0,221,490,12,5,0,0,514,657,16,3,3,0,683,1866,46,17,14,0,1946,1875,31,5,13,9,1926,1806,12,0,15,5,1838,691,3,0,12,0,708,531,3,4,4,0,542,408,3,0,3,0,417,524,7,4,4,3,536,9623,166,54,74,16,9940
SED10064,393,15,6,3,3,418,254,9,9,0,0,270,213,9,3,0,0,234,410,6,8,5,3,432,571,8,6,4,0,589,1627,36,26,5,4,1696,1435,44,18,8,0,1497,1408,21,3,4,0,1444,470,12,3,0,3,478,336,5,7,0,0,346,179,3,4,0,0,185,477,16,3,0,0,491,7772,173,95,32,17,8082
SED10065,271,100,145,0,0,521,46,19,32,0,0,96,45,24,36,0,0,109,59,43,68,0,0,175,128,56,97,0,0,281,282,156,361,7,0,801,293,189,617,4,0,1107,604,465,1205,11,5,2290,470,411,676,3,0,1561,935,468,326,5,0,1731,1099,267,149,0,4,1518,327,142,238,3,0,717,4563,2348,3958,29,7,10902
