SED_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
SED10001,0,0,7,8,72,50,128,123,24,16,38,44,9,0,22,534,6,0,3,3,10,5,4,0,0,0,0,0,0,0,3,38,0,3,3,7,8,3,6,7,0,4,0,0,0,0,0,42,0,0,6,13,18,45,67,23,5,7,3,12,8,0,0,206,0,4,0,4,11,14,17,19,13,6,14,4,0,4,0,104,0,0,0,0,0,0,0,8,0,6,5,0,0,0,0,19,0,0,0,5,7,10,38,23,13,10,3,3,0,0,14,123,87,238,582,316,234,101,231,53,13,10,26,17,13,7,86,2002,4,5,8,14,17,29,36,27,7,4,0,0,9,0,5,157,0,0,0,3,5,12,16,14,4,16,7,8,7,4,13,104,41,101,151,153,106,75,277,303,44,43,77,111,25,8,53,1566,229,749,1064,797,810,609,1568,1361,316,347,369,363,126,36,308,9041
SED10002,3,0,8,104,484,385,333,297,74,82,120,189,27,5,45,2140,6,4,4,12,38,9,18,16,6,9,0,5,3,0,6,132,0,0,3,11,38,28,66,29,21,9,16,5,7,0,0,241,0,0,5,11,25,44,79,44,10,10,0,8,4,5,4,254,0,0,0,19,263,409,324,176,24,37,21,23,8,3,24,1330,0,0,0,6,41,60,112,157,47,62,81,83,14,0,31,695,0,0,0,8,59,56,149,123,52,30,25,21,5,0,15,538,8,39,117,79,87,73,113,101,21,17,18,20,7,7,24,743,0,0,0,7,17,30,37,20,9,5,17,13,17,5,8,195,0,0,3,1079,1279,459,221,170,54,50,36,45,31,0,137,3575,28,69,641,1251,1128,1397,1481,983,303,347,398,433,159,40,282,8921,80,369,1832,4342,7107,8949,15160,10623,2942,4078,5140,4782,1350,295,2105,69165
SED10003,0,0,10,13,44,27,49,42,11,11,18,12,3,6,14,260,0,8,0,0,15,5,10,11,0,0,0,0,3,0,5,57,0,3,3,11,6,6,7,4,4,3,0,3,0,5,4,65,0,11,33,75,96,74,119,35,4,6,10,10,13,5,5,497,0,0,9,4,10,15,7,0,0,0,0,0,0,0,5,51,0,0,0,0,4,4,7,7,4,3,0,0,0,0,0,27,0,0,0,5,11,23,63,49,6,7,10,8,11,8,13,219,99,314,778,522,470,450,693,368,78,56,66,61,55,5,150,4160,4,7,43,74,87,101,133,101,13,11,38,29,53,8,13,717,0,0,0,15,7,8,13,15,3,4,4,4,0,0,4,76,39,94,183,232,261,253,519,476,147,141,185,279,119,15,82,3028,218,755,1400,1429,1665,1518,2498,1683,407,388,505,602,356,61,462,13951
SED10004,0,0,11,48,124,96,97,70,33,24,39,40,16,0,17,622,0,3,7,13,64,13,31,18,10,4,4,10,5,0,0,197,0,3,10,27,41,58,84,38,13,14,18,16,6,12,9,341,0,10,25,61,93,114,135,67,15,27,15,16,0,10,3,604,3,0,7,24,57,43,27,11,5,8,8,0,0,0,3,204,0,0,0,9,46,41,39,45,12,10,15,20,8,0,8,260,0,0,4,14,44,71,229,224,55,32,39,52,21,0,19,792,56,166,524,581,641,791,1400,806,150,147,160,150,56,34,80,5750,0,13,34,76,88,120,215,197,26,43,63,61,48,15,15,1010,0,0,0,107,203,115,62,62,19,28,29,35,12,7,17,696,61,108,335,486,490,567,745,706,227,243,287,426,175,28,85,4973,207,707,1798,2301,3336,3668,5336,3954,1051,1138,1320,1667,750,207,535,28005
SED10005,0,0,5,31,204,205,189,146,33,32,43,52,17,10,25,986,14,7,20,22,54,30,6,12,0,0,0,0,0,0,22,196,0,0,0,19,11,8,15,7,8,3,0,11,0,0,5,81,0,0,5,10,18,17,20,4,4,0,0,0,0,0,3,86,0,3,9,7,20,37,43,17,3,12,0,3,0,0,12,170,0,0,0,0,21,16,19,28,8,16,5,14,3,0,5,145,0,0,0,0,34,52,72,41,17,3,4,7,5,3,18,266,15,56,152,67,48,24,33,9,3,5,4,5,3,0,50,464,0,0,4,10,10,12,21,30,0,5,6,0,5,0,8,104,5,0,15,1066,3089,2169,1683,1343,316,304,255,291,144,65,433,11179,48,117,335,751,866,1072,1268,934,396,311,309,252,113,24,381,7189,163,650,2076,4332,7157,7010,8437,5724,1507,1533,1516,1410,568,182,1962,44227
SED10006,0,0,0,4,49,40,52,92,22,34,48,66,34,19,8,465,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,10,0,0,6,13,6,23,50,20,0,8,8,9,5,0,0,146,0,0,0,0,5,0,5,3,3,7,3,7,0,0,0,39,0,0,0,0,0,0,0,4,0,0,5,13,0,0,0,21,0,0,0,0,4,5,16,15,3,3,0,0,6,5,10,55,39,122,233,142,80,49,72,36,3,15,7,13,12,3,44,869,0,0,17,20,13,12,20,9,0,6,6,10,0,0,0,113,0,0,0,0,4,0,7,4,0,0,3,0,0,0,0,36,19,52,88,71,59,52,82,72,26,19,17,26,20,7,24,635,91,310,511,394,428,347,620,453,115,169,195,247,130,53,154,4223
SED10007,0,0,0,10,52,54,67,93,11,24,31,29,15,5,19,418,6,4,5,6,15,4,6,0,0,0,4,0,0,0,3,54,0,0,3,3,6,4,7,5,0,0,0,0,0,0,5,40,0,0,5,9,25,33,69,11,11,4,10,10,11,0,7,199,0,0,0,3,19,12,33,31,3,6,5,12,0,0,5,133,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,6,15,38,36,9,13,5,15,3,0,11,149,76,247,641,432,223,149,146,70,13,12,10,8,4,0,113,2153,0,0,10,25,22,25,45,23,4,0,9,0,0,0,5,172,0,0,0,3,17,4,22,32,5,3,7,14,4,0,16,127,39,82,160,153,122,124,106,83,28,10,23,29,11,0,74,1049,209,584,1153,988,882,729,1112,776,180,219,244,253,107,28,476,7922
SED10008,0,0,29,147,364,171,183,88,24,27,29,33,14,0,8,1130,9,5,11,29,121,20,29,16,0,0,3,0,0,0,3,252,0,0,16,45,77,47,109,59,16,6,8,9,18,3,7,421,0,4,3,51,103,166,244,118,30,36,33,48,41,15,20,912,0,5,15,54,429,470,464,145,21,22,25,21,4,0,9,1676,0,0,0,5,91,135,62,27,3,0,11,9,0,0,8,358,0,0,0,13,21,30,76,40,18,9,16,4,0,0,5,229,64,192,495,326,341,257,427,209,38,25,27,25,27,11,42,2510,0,3,12,26,43,50,86,77,18,23,36,70,42,11,3,509,0,0,3,135,162,53,47,34,12,8,9,17,3,0,7,496,71,132,296,501,531,550,617,333,67,110,102,109,63,27,70,3577,262,783,1713,2433,5756,6887,10177,4915,1031,1037,982,1193,598,195,596,38560
SED10009,0,0,5,11,56,40,45,61,11,12,17,13,9,0,13,291,8,0,5,9,23,9,4,3,0,0,0,0,0,0,0,69,0,10,8,9,3,3,14,4,0,0,0,0,0,0,0,46,0,10,23,49,34,53,60,12,11,0,0,10,4,0,4,274,0,3,3,3,3,0,5,10,0,0,3,3,0,0,0,34,0,0,0,0,3,3,4,6,0,0,0,0,0,0,0,17,0,0,3,7,7,16,40,31,5,11,4,4,4,0,10,145,154,614,1289,698,405,221,248,113,12,21,5,21,6,5,177,3980,7,6,28,61,58,48,78,29,0,3,5,12,5,0,3,337,0,0,3,9,21,10,8,11,0,0,0,0,0,4,3,63,58,182,268,250,179,89,128,58,26,15,27,22,15,3,30,1350,368,1402,2162,1631,1175,772,1009,522,157,139,145,159,80,25,386,10146
SED10010,0,0,18,304,1488,1279,1309,901,253,181,313,371,96,10,113,6631,60,13,33,28,143,50,13,3,7,4,0,0,0,0,4,371,0,0,9,10,20,15,12,23,5,12,7,8,0,0,0,120,0,0,3,17,51,45,56,16,7,4,0,0,0,0,7,211,0,0,11,24,108,225,437,276,40,36,37,58,15,8,13,1289,0,0,0,0,6,21,11,10,0,3,9,14,5,0,3,84,0,0,0,4,27,41,63,45,7,10,9,11,0,0,4,223,36,148,370,221,119,86,110,38,8,10,6,3,5,0,40,1207,0,0,9,9,8,20,46,20,4,3,3,13,5,0,8,158,0,0,0,47,91,45,48,21,0,3,8,11,3,0,6,284,60,215,526,662,745,1227,1402,559,227,289,194,183,62,28,160,6534,252,717,1645,2113,4666,6210,11092,6233,1717,1910,2354,2649,745,167,872,43352
