SED_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
SED10001,41,1387,753,260,1839,0.7,1386,2.3
SED10002,33,2167,688,460,1764,1.2,1726,2.9
SED10003,45,2000,748,460,1880,0.8,1484,2.4
SED10004,38,3382,1326,550,3642,1,2438,2.2
SED10005,34,2000,532,400,1523,1.1,1374,3.1
SED10006,43,1036,684,200,1632,0.7,1247,2.3
SED10007,42,1625,737,300,1892,0.7,1427,2.4
SED10008,40,3000,988,570,2868,0.8,2661,3
SED10009,53,1517,637,320,1465,0.7,1198,2.2
SED10010,35,2167,749,390,1994,0.9,1810,2.9
SED10011,45,2000,802,400,2194,0.7,1712,2.4
SED10012,39,1948,488,370,1494,1,1429,3.2
SED10013,33,2500,967,500,2468,0.8,2337,3.1
SED10014,35,2000,706,372,1834,0.8,1568,2.8
SED10015,38,2282,717,420,1978,1,1729,2.7
SED10016,37,3000,1054,600,3048,0.8,2928,3.2
SED10017,37,1733,732,350,1927,0.8,1607,2.6
SED10018,40,2037,841,385,2285,0.8,1826,2.5
SED10019,48,1359,586,300,1408,0.8,1126,2.3
SED10020,44,1733,684,375,1685,0.8,1358,2.4
SED10021,36,3378,1415,610,3569,1,2706,2.3
SED10022,45,1174,655,230,1554,0.7,1185,2.3
SED10023,41,2903,1089,518,2962,0.9,2356,2.6
SED10024,43,3500,1076,700,3423,0.8,3058,2.9
SED10025,40,3000,1125,575,2925,1,2379,2.5
SED10026,37,1560,805,300,1982,0.8,1584,2.5
SED10027,38,2500,732,480,2181,0.9,1912,3
SED10028,40,2864,935,530,2788,0.9,2447,2.9
SED10029,37,2000,472,385,1410,1.1,1299,3.2
SED10030,44,2000,731,395,1949,0.8,1449,2.3
SED10031,44,1842,806,330,2091,0.7,1646,2.5
SED10032,33,2100,679,405,1864,1.1,1662,2.9
SED10033,39,2300,865,400,2316,0.8,2041,2.8
SED10034,40,2600,993,480,2673,0.8,2311,2.7
SED10035,32,2600,1144,560,2743,1.1,2240,2.2
SED10036,35,2200,767,450,2193,0.9,2028,3.2
SED10037,41,2600,951,475,2713,0.9,2341,2.8
SED10038,40,2300,797,390,2386,0.8,1884,2.6
SED10039,43,2080,770,400,2020,0.7,1676,2.5
SED10040,37,2210,737,460,2004,1,1847,2.8
SED10041,41,3000,1079,540,3198,0.9,2678,2.8
SED10042,44,1885,717,370,1894,0.8,1494,2.5
SED10043,34,2106,525,360,1471,1.1,1331,3.1
SED10044,39,3000,1271,515,3358,1,2522,2.5
SED10045,47,1517,626,300,1544,0.8,1198,2.3
SED10046,34,2000,587,360,1663,1,1456,3
SED10047,33,2275,818,375,2072,0.9,1834,2.9
SED10048,34,2183,785,400,2094,0.9,1924,3.1
SED10049,36,1829,800,370,2088,0.8,1763,2.7
SED10050,39,3400,1331,650,3656,1,2990,2.6
SED10051,39,2882,981,520,2659,1,2125,2.5
SED10052,41,2605,965,500,2641,0.9,2189,2.6
SED10053,38,2000,1064,350,2600,0.8,2130,2.5
SED10054,34,2100,713,370,1948,1,1798,3.2
SED10055,35,2314,896,470,2432,0.8,2333,3.2
SED10056,42,1300,750,250,1803,0.8,1406,2.5
SED10057,52,1500,571,320,1354,0.7,1069,2.2
SED10058,39,2058,937,410,2395,0.8,1791,2.2
SED10059,34,2900,1193,510,3229,1,2190,2
SED10060,40,3033,1569,590,3873,1,2627,2.1
SED10061,41,1300,671,255,1634,0.7,1272,2.3
SED10062,41,2600,849,430,2402,0.9,2085,2.8
SED10063,39,1517,786,295,2000,0.7,1529,2.5
SED10064,49,1452,564,310,1381,0.8,1108,2.3
SED10065,35,2300,868,420,2210,1,1945,2.6
SED10066,36,2100,857,385,2154,0.8,1736,2.5
SED10067,46,3098,1046,650,2942,0.9,2413,2.6
SED10068,50,1733,640,380,1552,0.7,1236,2.3
SED10069,48,1733,658,360,1646,0.7,1340,2.4
SED10070,38,2178,690,430,2051,0.9,1852,3
SED10071,34,2600,1058,525,2786,0.9,2696,3.2
SED10072,36,2400,867,500,2231,1,1945,2.5
SED10073,36,2500,908,450,2390,1,2016,2.5
SED10074,37,2300,870,420,2361,0.9,2086,2.8
SED10075,40,2037,710,405,1937,0.8,1577,2.6
SED10076,49,1690,616,350,1467,0.7,1205,2.3
SED10077,34,2383,823,470,2244,1.1,2017,2.7
SED10078,38,2600,1043,450,2670,1,2102,2.3
SED10079,46,1862,681,370,1778,0.8,1380,2.4
SED10080,35,3000,1300,580,3273,1.1,2274,1.9
SED10081,39,1500,752,300,1824,0.7,1417,2.4
SED10082,45,2200,807,460,2286,0.8,1856,2.6
SED10083,41,2000,731,390,1967,0.8,1515,2.5
SED10084,47,1950,669,420,1707,0.8,1311,2.4
SED10085,41,1733,742,300,1959,0.8,1558,2.5
