SED_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
SED10086,37,3500,1507,680,3973,0.9,3038,2.3
SED10087,36,1510,809,290,1996,0.7,1565,2.5
SED10088,40,3000,1004,580,2859,1,2401,2.7
SED10089,36,1850,756,380,2079,0.8,1642,2.5
SED10090,39,3300,1218,590,3389,1,2588,2.5
SED10091,41,2232,845,430,2254,0.8,1956,2.7
SED10092,39,2000,705,380,1921,0.8,1448,2.3
SED10093,39,1928,695,390,1838,0.8,1473,2.6
SED19797,52,0,1687,0,0,0,1499,0
SED20106,36,2167,1257,430,2961,1,2076,1.9
SED20207,35,2000,894,387,2336,0.8,2120,2.9
SED20302,36,1907,763,356,1903,0.8,1605,2.7
SED20401,39,1950,817,376,2126,0.8,1735,2.5
SED20508,47,1740,762,380,1973,0.7,1542,2.4
SED20604,41,1450,788,280,1910,0.7,1471,2.4
SED20704,38,1495,769,300,1955,0.7,1555,2.5
SED20804,43,1373,703,285,1734,0.7,1319,2.3
SED20906,40,2500,945,481,2732,0.9,2186,2.6
SED21001,39,2383,811,411,2369,0.9,1831,2.5
SED21106,43,3000,1216,480,3500,0.8,2420,2.4
SED21203,34,1561,487,346,1409,1,1280,3
SED21303,34,2102,1055,411,2721,0.9,2032,2.2
SED21401,43,2400,745,462,2159,0.8,1814,2.6
SED21503,38,2000,747,381,2140,0.8,1750,2.6
SED21608,39,1517,730,290,1889,0.8,1486,2.5
SED21706,38,2600,865,435,2778,0.8,2151,2.6
SED21805,39,1898,854,380,2182,0.8,1742,2.5
SED21906,37,2383,1111,420,2956,0.9,2131,2.3
SED22005,37,2041,700,396,1926,0.9,1681,2.7
SED22105,32,1950,812,383,2022,0.9,1919,3.1
SED22201,39,2000,832,391,2217,0.8,1777,2.5
SED22305,35,1650,606,325,1508,1,1355,2.8
SED22404,46,1700,719,305,1856,0.8,1466,2.4
SED22501,42,2200,962,430,2681,0.8,2299,2.7
SED22607,37,2200,1055,370,2852,0.9,2050,2.3
SED22704,47,1400,676,265,1694,0.7,1304,2.3
SED22802,38,2000,826,392,2227,0.8,1959,2.7
SED22901,41,2000,767,411,2127,0.8,1806,2.7
SED23007,35,1950,798,355,2079,0.9,1734,2.4
SED23101,42,2275,722,436,2181,0.8,1830,2.7
SED23205,40,1800,753,345,1985,0.8,1463,2.3
SED23308,39,1729,821,330,2152,0.8,1527,2.2
SED23402,36,1950,870,371,2231,0.8,1984,2.8
SED23502,49,1300,619,260,1465,0.7,1159,2.3
SED23602,46,1300,658,260,1635,0.7,1254,2.3
SED23702,39,1800,801,351,2084,0.8,1711,2.6
SED23806,37,2600,1182,421,3324,0.9,2308,2.3
SED23901,40,2200,952,397,2646,0.8,2051,2.5
SED24006,42,3014,986,500,3010,0.8,2409,2.7
SED24105,37,2000,676,371,1845,0.9,1733,3
SED24207,34,1900,722,376,1956,0.9,1859,3.2
SED24308,38,1551,675,300,1768,0.8,1405,2.5
SED24408,46,1055,714,210,1710,0.7,1272,2.2
SED24504,45,1950,822,371,2283,0.8,1885,2.6
SED24606,40,2801,1213,426,3457,0.9,2383,2.3
SED24703,30,2000,894,390,2329,1,1607,1.9
SED24808,33,1647,728,330,1819,0.8,1579,2.8
SED24904,41,1213,687,250,1678,0.8,1323,2.4
SED25003,36,1800,752,371,2046,0.8,1847,2.9
SED25102,41,2000,867,385,2402,0.8,2108,2.7
SED25205,41,2167,939,406,2605,0.8,2043,2.5
SED25302,47,2167,822,440,2399,0.7,1899,2.5
SED25402,41,1267,678,240,1742,0.7,1329,2.3
SED25501,40,2577,763,479,2278,0.8,1995,2.8
SED25605,41,2000,694,380,1921,0.8,1645,2.7
SED25704,45,1257,679,230,1636,0.7,1270,2.3
SED25802,41,1582,706,300,1849,0.7,1430,2.5
SED25905,37,1800,717,361,1962,0.8,1777,2.9
SED26005,34,1855,756,386,2074,0.9,2008,3.3
SED26102,51,1908,731,371,1813,0.7,1409,2.2
SED26207,42,2167,806,406,2357,0.8,1918,2.6
SED26303,37,2200,1097,411,2930,0.9,2117,2.3
SED26406,35,2167,857,400,2408,0.9,1869,2.4
SED26504,46,1360,708,260,1677,0.7,1296,2.3
SED26603,36,2058,882,392,2338,0.9,1944,2.5
SED26708,44,1517,752,260,1879,0.7,1456,2.4
SED26806,35,2100,1320,413,2985,0.9,2038,1.8
SED26903,37,2000,775,366,2088,0.9,1619,2.4
SED27003,34,2300,1334,450,3135,1,2263,2
SED27101,38,2100,869,391,2361,0.8,1885,2.5
SED27208,47,1185,627,240,1533,0.7,1164,2.3
SED27305,41,2081,838,426,2404,0.8,2195,2.9
SED27406,44,2500,1052,441,3043,0.8,2219,2.4
SED27504,39,1300,703,260,1731,0.8,1369,2.5
SED27608,36,1900,887,413,2361,0.8,2048,2.7
SED27708,43,1344,738,280,1839,0.7,1408,2.4
SED27807,37,1600,547,331,1457,0.9,1326,2.7
SED27907,38,1800,821,370,2152,0.8,1809,2.6
SED28007,36,1943,779,381,2237,0.9,2106,3.1
SED28107,31,1924,828,376,2062,0.9,2020,3.2
SED28203,35,1900,632,361,1671,0.9,1513,2.9
SED28301,43,2400,782,462,2438,0.8,2130,2.9
SED28408,39,1476,744,300,1879,0.7,1415,2.3
SED28507,34,1733,783,340,1990,0.8,1743,2.8
SED28607,38,2470,1112,438,2991,0.9,2309,2.5
SED28704,34,1993,894,381,2277,0.8,2113,3
SED28803,32,1950,713,390,1943,0.9,1888,3.3
SED29797,48,2167,2543,0,0,0,2250,0
SED30001,34,1750,802,390,2003,0.8,1863,2.9
SED30002,39,2068,919,430,2491,0.7,2172,2.7
SED30003,36,1787,751,380,1935,0.8,1680,2.7
SED30004,42,1733,839,380,2098,0.8,1724,2.5
SED30005,41,1733,691,410,1704,0.8,1360,2.3
SED30006,50,2068,768,480,2024,0.7,1601,2.3
SED30007,39,1950,788,470,2066,0.8,1769,2.6
SED30008,36,2350,1195,450,3084,0.8,2440,2.5
SED30009,42,1250,602,280,1431,0.8,1117,2.3
SED30010,30,1517,742,335,1716,0.8,1525,2.9
SED30011,41,1300,954,215,2175,0.8,1745,2.5
SED30012,40,2000,832,475,2116,0.8,1707,2.4
SED30013,52,1387,586,300,1432,0.8,1201,2.4
SED30014,40,1517,775,300,1833,0.9,1395,2.3
SED30015,41,1300,717,240,1733,0.8,1364,2.5
SED30016,44,1900,731,430,1827,0.8,1496,2.5
SED30017,39,1850,816,400,2104,0.8,1787,2.6
SED30018,38,2178,1019,450,2764,0.8,2381,2.8
SED30019,36,2200,1149,395,2936,0.8,2117,2.2
SED30020,39,1600,762,295,1940,0.8,1645,2.7
SED30021,40,1517,694,185,1521,0.9,1372,2.7
SED30022,31,2000,852,450,2079,0.8,2014,3.1
SED30023,36,2491,1139,450,3264,0.8,2533,2.6
SED30024,43,2080,771,450,2048,0.8,1662,2.5
SED30025,37,2000,1015,425,2615,0.8,2261,2.7
SED30026,36,2080,1017,400,2671,0.8,2259,2.7
SED30027,39,1842,750,420,1939,0.8,1669,2.7
SED30028,37,1603,797,270,2129,0.7,1718,2.5
SED30029,45,1900,711,370,1877,0.8,1674,2.7
SED30030,35,2167,1103,390,2867,0.8,2174,2.4
SED30031,39,1343,932,220,2278,0.8,1749,2.5
SED30032,49,1300,541,295,1336,0.8,1092,2.4
SED30033,53,1375,548,330,1286,0.7,1060,2.3
SED30034,48,1300,639,260,1494,0.8,1199,2.3
SED30035,38,1625,815,310,2051,0.8,1709,2.6
SED30036,34,1600,657,350,1700,0.8,1509,2.8
SED30037,36,1480,756,300,1854,0.8,1476,2.5
SED30038,36,1517,758,300,1885,0.8,1554,2.6
SED30039,32,1950,949,400,2330,0.8,2242,3.1
SED30040,43,1963,760,460,1991,0.8,1622,2.5
SED30041,41,1647,766,330,2034,0.8,1633,2.5
SED30042,35,1733,819,375,2104,0.8,1904,2.8
SED30043,39,1500,661,305,1681,0.8,1455,2.7
SED30044,33,1800,765,370,1887,0.8,1742,2.9
SED30045,40,2002,891,410,2343,0.8,1933,2.5
SED30046,35,1647,747,350,1819,0.8,1513,2.6
SED30047,39,1600,820,320,2089,0.8,1614,2.4
SED30048,31,2167,902,410,2779,0.9,2072,2.4
SED30049,36,2167,843,420,2330,0.8,2057,2.8
SED30050,47,1800,790,420,1903,0.8,1478,2.2
SED30051,50,1300,531,270,1321,0.8,1093,2.4
SED30052,33,1950,1099,430,2601,1,1935,1.8
SED30053,38,2000,836,485,2147,0.8,1775,2.4
SED30054,37,2266,1079,400,3041,0.8,2298,2.5
SED30055,40,1733,789,315,2178,0.8,1831,2.7
SED30056,42,2167,1012,490,2986,0.7,2683,2.9
SED30057,36,1517,653,330,1547,0.8,1344,2.7
SED30058,39,2000,926,410,2511,0.8,2197,2.7
SED30059,40,2000,799,500,2099,0.8,1910,2.8
SED30060,36,1517,761,340,1854,0.8,1628,2.8
SED30061,35,1500,815,320,2110,0.8,1687,2.5
SED30062,33,1777,826,365,1971,0.8,1711,2.7
SED30063,48,1170,543,240,1334,0.8,1071,2.4
SED30064,43,1733,677,370,1742,0.8,1425,2.5
SED30065,42,2000,764,480,2012,0.8,1770,2.7
SED30066,51,1950,746,480,1832,0.7,1508,2.4
SED30067,36,1950,966,380,2434,0.8,1935,2.4
SED30068,47,2067,802,420,2263,0.7,1803,2.5
SED30069,38,1950,868,375,2287,0.8,2065,2.8
SED30070,52,1730,586,350,1405,0.7,1157,2.3
SED30071,48,1733,694,350,1812,0.7,1316,2.2
SED30072,44,1950,714,425,1959,0.7,1560,2.5
SED30073,36,1300,733,280,1805,0.8,1408,2.4
SED30074,39,1820,829,390,2196,0.8,1817,2.6
SED30075,44,1746,692,320,1817,0.8,1510,2.7
SED30076,32,2019,991,445,2519,1,1963,2.1
SED30077,46,1300,624,250,1450,0.7,1166,2.4
SED30078,40,1800,693,430,1758,0.9,1407,2.3
SED30079,38,1950,884,400,2289,0.8,2079,2.8
SED30080,36,2167,992,385,2598,0.8,1969,2.4
SED30081,36,1896,720,410,1931,0.8,1875,3.1
SED30082,45,2000,821,440,1993,0.9,1519,2.1
SED30083,36,1950,817,440,2109,0.8,1959,2.9
SED30084,35,1452,776,300,1873,0.8,1608,2.6
SED30085,35,1900,752,400,2006,0.8,1787,2.7
SED30086,39,1517,727,295,1817,0.7,1382,2.4
SED30087,37,1440,745,320,1832,0.7,1441,2.4
SED30088,39,1517,866,280,2095,0.8,1520,2.2
SED30089,39,1356,880,220,2140,0.9,1657,2.5
SED30090,41,1200,774,220,1786,0.8,1388,2.4
SED30091,34,1600,678,345,1650,0.8,1424,2.7
SED30092,39,1733,863,365,2187,0.8,1854,2.6
SED30093,31,1491,612,330,1464,0.9,1355,3
SED39797,40,400,1359,0,2750,1,2250,1.5
SED40001,36,1950,864,385,2430,0.9,1671,2
SED40002,36,1733,809,310,2091,0.9,1563,2.3
SED40003,42,1697,849,370,2168,0.8,1853,2.6
SED40004,44,2383,971,365,2740,0.8,2123,2.5
SED40005,47,1058,633,200,1457,0.7,1133,2.3
SED40006,38,1632,743,305,1972,0.8,1479,2.4
SED40007,45,2000,859,350,2349,0.8,1754,2.4
SED40008,36,1600,660,300,1780,0.9,1424,2.5
SED40009,41,1600,778,350,2113,0.8,1803,2.6
SED40010,40,2000,910,340,2416,0.8,1731,2.2
SED40011,39,1761,790,310,2189,0.8,1601,2.4
SED40012,34,1213,582,260,1424,0.8,1194,2.6
SED40013,35,1669,787,340,2052,0.9,1693,2.6
SED40014,58,1300,559,285,1282,0.7,1017,2.1
SED40015,44,1217,726,220,1670,0.8,1283,2.3
SED40016,37,1387,674,320,1660,0.8,1390,2.5
SED40017,44,1300,685,240,1716,0.7,1354,2.4
SED40018,43,1733,762,350,2064,0.8,1468,2.3
SED40019,40,1083,794,180,1735,0.7,1340,2.3
SED40020,45,1300,607,245,1448,0.7,1149,2.3
SED40021,40,1748,735,340,1990,0.8,1467,2.4
SED40022,45,1950,903,355,2473,0.8,2119,2.7
SED40023,41,1380,680,300,1718,0.7,1368,2.5
SED40024,38,1517,702,320,1735,0.7,1356,2.4
SED40025,38,1600,815,350,2086,0.8,1710,2.6
SED40026,41,1517,790,315,2099,0.8,1718,2.6
SED40027,44,1733,739,315,1934,0.8,1420,2.3
SED40028,38,1400,722,288,1779,0.8,1400,2.5
SED40029,45,971,717,200,1641,0.7,1275,2.3
SED40030,46,1400,671,300,1637,0.7,1302,2.4
SED40031,41,1783,816,360,2221,0.8,1847,2.6
SED40032,43,1800,838,320,2214,0.8,1534,2.1
SED40033,42,1192,727,220,1768,0.7,1319,2.3
SED40034,54,1083,561,230,1321,0.7,1008,2.1
SED40035,42,1517,728,330,1880,0.8,1468,2.4
SED40036,34,1365,647,310,1635,0.9,1458,2.8
SED40037,43,1534,751,300,1952,0.8,1441,2.3
SED40038,36,1213,555,270,1366,0.8,1146,2.6
SED40039,40,1300,643,300,1508,0.7,1210,2.3
SED40040,45,1517,759,290,1987,0.8,1600,2.5
SED40041,45,975,615,185,1457,0.7,1097,2.2
SED40042,32,1300,656,275,1489,0.8,1261,2.7
SED40043,37,1600,744,315,1924,0.8,1537,2.5
SED40044,44,2167,985,365,2801,0.8,2073,2.4
SED40045,43,1950,942,370,2569,0.8,2120,2.6
SED40046,38,1733,785,320,2098,0.8,1587,2.4
SED40047,40,1450,758,320,1929,0.8,1573,2.6
SED49797,42,0,1828,0,0,0,0,0
SED50106,44,1517,707,300,1757,0.7,1347,2.4
SED50202,35,1517,681,290,1676,0.7,1392,2.6
SED50304,37,1733,868,325,2111,0.8,1603,2.2
SED50405,31,1831,880,350,2222,0.8,2014,2.9
SED50502,38,1733,749,330,1997,0.7,1626,2.6
SED50605,42,2450,921,450,2720,0.7,2227,2.6
SED50702,36,1788,901,350,2135,0.8,1699,2.3
SED50805,42,2230,985,380,2888,0.8,2060,2.4
SED50906,40,1517,758,300,1914,0.7,1462,2.4
SED51004,37,1950,876,380,2376,0.7,2132,2.8
SED51104,33,1849,790,350,2053,0.8,1767,2.8
SED51205,34,1647,749,340,1880,0.8,1606,2.6
SED51304,43,2383,977,453,2905,0.7,2418,2.7
SED51401,46,1200,742,210,1701,0.7,1305,2.3
SED51504,39,2600,1045,350,3215,0.8,2365,2.6
SED51605,35,1950,930,385,2420,0.8,2129,2.7
SED51706,41,1625,730,310,1990,0.7,1590,2.5
SED51804,43,3100,1174,450,3816,0.8,2534,2.4
SED51902,36,1993,866,370,2277,0.8,2099,2.9
SED52006,47,1733,631,340,1716,0.7,1358,2.4
SED52102,37,1733,807,350,2087,0.7,1751,2.6
SED52205,41,2000,882,350,2301,0.8,1686,2.2
SED52301,40,1520,760,260,2003,0.7,1525,2.4
SED52404,39,2008,915,400,2478,0.7,2117,2.6
SED52505,34,2000,991,430,2516,0.8,2395,3.1
SED52604,41,2000,864,380,2458,0.7,2084,2.6
SED52702,46,2100,819,370,2405,0.7,2031,2.7
SED52803,36,1517,1388,299,2727,0.8,2185,2.5
SED52903,39,2123,898,216,1928,1,1678,2.8
SED53004,42,2000,846,400,2396,0.7,2013,2.6
SED53105,34,1733,838,330,2137,0.8,1835,2.7
SED53204,35,2000,869,410,2354,0.8,2195,3
SED53306,41,1640,607,300,1594,0.7,1193,2.3
SED53402,37,2000,972,320,2547,0.8,1839,2.2
SED53502,38,1777,785,300,2068,0.7,1577,2.4
SED53602,36,1508,611,300,1551,0.8,1342,2.7
SED53701,49,1600,729,250,1817,0.7,1397,2.4
SED53802,38,1733,764,350,1978,0.7,1604,2.5
SED53902,40,2000,927,340,2467,0.8,1766,2.2
SED54006,43,1733,661,300,1867,0.7,1498,2.6
SED54104,38,2645,1072,420,3337,0.9,2262,2.3
SED54203,44,1636,1159,175,2136,0.9,1631,2.5
SED54304,35,2167,1159,400,2873,0.9,2091,2
SED54403,36,1800,1778,244,3327,0.9,2745,2.8
SED54505,41,2167,775,410,2426,0.8,2104,2.9
SED54605,44,1517,672,300,1709,0.7,1271,2.2
SED54701,42,1275,819,225,1909,0.7,1447,2.4
SED54804,37,2167,1107,400,2831,0.8,2120,2.3
SED54905,39,2200,993,360,2756,0.8,1998,2.2
SED55005,35,1820,781,375,2163,0.8,1980,3
SED55102,35,1957,864,360,2220,0.8,2019,2.9
SED55202,37,1555,650,300,1701,0.8,1411,2.6
SED55306,44,1777,753,370,1882,0.7,1484,2.5
SED55405,34,1950,873,340,2316,0.8,1745,2.3
SED55504,35,1937,840,380,2236,0.8,1970,2.8
SED55605,34,1742,783,350,2203,0.7,1986,2.9
SED55706,47,1500,686,280,1639,0.8,1264,2.3
SED55802,33,1876,853,360,2140,0.8,1966,2.9
SED55905,40,1800,771,340,2153,0.7,1662,2.4
SED59797,45,1733,2700,0,1375,0.7,1833,1.7
SED60105,40,1339,775,310,1939,0.8,1442,2.3
SED60106,49,1083,605,200,1377,0.7,1054,2.2
SED60113,43,1300,725,300,1800,0.8,1401,2.4
SED60115,38,1127,590,250,1421,0.8,1144,2.4
SED60207,44,1273,633,250,1505,0.8,1190,2.3
SED60208,45,1219,636,250,1564,0.8,1214,2.3
SED60209,44,1083,647,220,1566,0.8,1187,2.3
SED60301,37,1332,707,320,1682,0.8,1333,2.4
SED60302,36,1371,692,330,1650,0.9,1346,2.4
SED60303,38,1755,912,390,2341,0.9,1840,2.3
SED60304,43,1517,900,250,2218,0.9,2100,2.7
SED60310,39,1920,846,400,2327,0.8,1868,2.5
SED60404,44,1495,702,330,1772,0.8,1440,2.5
SED60410,38,1625,775,380,1915,0.8,1525,2.4
SED60411,43,1600,820,375,2008,0.8,1577,2.3
SED60414,37,1517,826,340,1984,0.8,1634,2.6
SED60501,38,1148,584,255,1374,0.8,1130,2.5
SED60505,44,1493,769,300,1944,0.8,1483,2.4
SED60506,48,1211,601,250,1431,0.8,1107,2.3
SED60508,48,1300,642,220,1503,0.8,1247,2.4
SED60512,45,1300,678,300,1579,0.8,1275,2.3
SED60514,41,1517,820,378,1964,0.8,1655,2.5
SED69797,47,0,1643,0,0,0,0,0
SED70001,32,1322,317,80,730,1.5,1403,3.9
SED70002,34,1733,1195,400,2611,1,2272,2.7
SED70003,32,1083,382,90,865,1.5,1632,4.1
SED70004,37,1127,552,100,993,1.2,1414,3.2
SED70005,31,2000,1067,390,2428,0.9,2139,2.8
SED70006,35,1753,1117,380,2477,0.9,2043,2.5
SED70007,31,1950,1142,420,2502,0.8,2274,2.8
SED70008,36,2167,952,350,2594,0.9,2263,2.9
SED70009,41,1732,561,100,1201,1.2,1335,2.9
SED70010,34,1733,912,300,2035,0.9,1636,2.5
SED70011,38,2142,1198,400,2619,0.9,2170,2.4
SED70012,37,2058,1222,400,2828,0.9,2279,2.4
SED70013,44,2188,976,400,2595,1,2137,2.8
SED70014,32,1062,438,94,729,1.4,1321,3.5
SED70015,36,1865,955,330,2180,0.9,1932,2.6
SED70016,35,1950,780,300,2032,1,1725,2.8
SED70017,38,1625,958,320,2251,1,1852,2.7
SED70018,30,1664,377,100,1241,1.4,2079,4
SED70019,38,1946,723,200,1758,1.1,1596,2.8
SED70020,37,2383,1158,370,2781,1,2307,2.9
SED70021,35,1892,1127,350,2426,1,2044,2.3
SED70022,37,1777,1272,450,2478,1,2221,2.1
SED70023,38,2000,991,390,2375,0.9,2138,2.8
SED70024,30,2275,1251,470,2770,0.9,2512,2.9
SED70025,34,2167,1130,380,2721,0.9,2514,3
SED79797,48,0,2208,0,0,0.7,1649,2.3
SED80001,38,2000,1144,425,2716,0.8,2311,2.6
SED80002,35,1995,1099,430,2615,0.8,2211,2.5
SED80003,33,2132,1337,480,3293,0.9,2390,2.2
SED80004,38,2167,1274,450,3101,0.8,2432,2.5
SED80005,33,2141,1180,462,2818,0.9,2509,2.9
SED89797,52,0,1625,0,0,0,0,0
SED99191,44,1300,906,200,1890,0.9,1508,2.4
SED99797,0,0,0,0,0,0,0,0
