SAL_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SAL21933,0,0,3,3,0,4,0,0,0,9,0,0,0,0,3,5,0,0,0,10,7,12,14,26,36,36,16,3,0,159
SAL21934,4,16,33,56,52,39,7,0,0,213,11,13,48,71,55,32,8,0,0,236,280,438,1422,2122,1753,1106,187,19,0,7315
SAL21935,6,0,0,0,0,0,0,0,0,10,0,0,3,3,0,0,0,0,0,12,10,23,47,40,41,39,17,0,0,217
SAL21936,0,0,4,0,0,0,0,0,0,12,0,0,0,0,4,5,0,0,0,13,14,21,52,67,86,75,30,0,0,355
SAL21937,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,5,0,16,12,20,12,5,0,0,76
SAL21938,5,10,34,13,35,24,4,0,0,133,9,17,45,33,31,25,13,0,0,180,340,492,963,1097,1224,883,266,51,0,5321
SAL21939,4,0,9,10,3,9,4,3,0,37,3,3,13,6,12,9,3,0,0,49,55,86,271,162,223,234,61,34,8,1128
SAL21940,3,0,8,11,4,6,0,0,0,33,0,7,4,10,12,7,3,0,0,46,61,61,117,202,224,166,47,3,0,887
SAL21941,0,3,5,6,5,4,0,0,0,23,0,0,3,6,12,9,5,0,0,29,36,47,113,106,120,128,35,3,3,601
SAL21942,0,8,20,18,21,21,5,0,0,87,7,8,22,28,29,26,5,0,0,119,193,299,585,711,771,490,114,3,0,3165
