SAL_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
SAL10001,9,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
SAL10002,576,5,0,0,0,581,498,5,0,0,0,499,84,4,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,116,8,0,0,0,130,12,0,0,0,0,12,37,3,0,0,0,38,1239,24,0,0,0,1264
SAL10003,326,146,387,0,0,852,206,97,234,0,0,536,60,67,421,5,0,552,27,40,75,0,0,138,3,3,38,0,0,42,18,13,52,3,0,85,6,0,0,0,0,11,0,0,0,0,0,4,108,122,588,14,0,829,7,6,18,0,0,27,21,24,57,0,0,94,665,387,1279,14,0,2344
SAL10004,141,0,0,0,0,140,187,3,0,0,0,188,35,0,0,0,0,40,0,3,0,0,0,3,0,0,0,0,0,0,7,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,45,12,0,0,0,59,4,0,0,0,0,4,5,0,0,0,0,5,381,17,0,0,0,394
SAL10005,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,14,0,0,0,0,14
SAL10006,270,25,0,0,0,295,316,19,0,0,0,340,147,105,12,0,0,261,0,15,0,0,0,11,0,6,0,0,0,5,40,13,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,195,139,12,0,0,347,6,0,0,0,0,6,21,15,0,3,0,40,815,199,14,3,0,1025
SAL10007,272,0,0,37,0,312,297,0,0,0,0,298,66,31,0,0,0,99,17,0,0,0,0,17,0,0,0,0,0,0,58,4,0,0,0,60,7,4,0,0,0,13,0,0,0,0,0,0,157,37,0,0,0,196,15,0,0,0,0,17,35,0,0,4,0,45,778,44,0,43,0,871
SAL10008,18,0,0,0,0,18,11,0,0,0,0,11,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,4,38,0,0,0,0,38
SAL10009,454,22,3,0,0,473,949,22,0,0,0,970,505,91,3,0,0,603,7,5,0,0,0,14,7,5,0,0,0,10,40,8,0,0,0,45,6,0,0,0,0,11,0,0,0,0,0,0,566,113,8,0,0,682,7,0,0,0,0,8,39,12,0,0,0,52,2009,163,11,0,0,2184
SAL10010,315,0,0,0,0,317,372,6,3,0,0,383,88,17,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,46,3,0,0,0,54,8,0,0,0,0,8,4,0,0,0,0,4,147,25,4,0,0,170,8,0,0,0,0,6,29,0,0,0,0,30,873,32,7,0,0,918
SAL10011,35,0,0,0,0,35,62,0,0,0,0,59,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,3,103,0,0,0,0,104
SAL10012,5,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,15
SAL10013,8,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,16
SAL10014,222,16,0,0,0,232,564,81,0,0,0,654,136,54,3,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,0,32,3,0,0,0,0,3,0,0,0,0,0,0,164,57,3,0,0,230,4,0,0,0,0,3,12,5,0,0,0,19,972,164,3,0,0,1133
SAL10015,74,0,0,0,0,72,34,0,0,0,0,34,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,6,0,0,0,0,6,0,0,0,0,0,0,35,0,0,0,0,37,4,0,0,0,6,10,22,0,0,0,0,19,161,0,0,0,3,175
SAL10016,558,98,34,0,0,694,653,66,66,0,0,785,303,160,210,0,0,671,17,44,24,0,0,91,6,10,0,0,0,14,96,32,23,0,0,155,48,15,6,0,0,65,4,0,3,0,0,8,476,252,270,7,0,1004,16,16,5,0,0,37,42,23,30,0,0,98,1752,459,396,8,0,2617
SAL10017,835,18,11,0,0,862,774,20,8,0,0,801,195,16,20,4,0,230,0,0,0,0,0,0,0,0,0,0,0,0,53,3,12,0,0,66,3,0,0,0,0,0,0,0,0,0,0,4,249,24,31,0,0,303,14,0,0,0,0,13,28,0,3,0,0,35,1910,52,49,0,0,2018
SAL10018,195,0,0,3,0,195,112,0,0,0,0,118,18,11,4,5,0,34,4,0,0,0,0,7,0,0,0,0,0,0,18,0,0,0,0,21,0,0,0,0,0,6,0,0,0,0,0,0,48,11,3,3,3,69,10,0,0,0,0,10,19,0,0,0,0,25,380,11,8,10,4,408
SAL10019,9,0,0,0,0,9,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,13,0,0,0,0,13,41,0,0,0,0,39
SAL10020,11,0,0,0,0,11,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,0,0,16
SAL10021,110,0,0,0,0,113,126,0,0,0,0,126,40,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,6,0,0,0,0,5,0,0,0,0,0,0,61,0,0,0,0,60,14,0,0,0,0,14,14,0,0,0,0,14,316,0,3,0,0,324
SAL10022,32,0,0,0,0,35,160,0,6,0,0,168,117,5,9,0,0,128,447,140,0,0,0,588,13,4,0,0,0,19,13,0,0,0,0,14,3,0,0,0,0,5,5,0,0,0,0,3,597,147,4,0,4,757,15,4,0,0,0,22,87,26,0,0,0,117,897,186,11,0,4,1099
SAL10023,27,0,0,0,0,27,9,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,21,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,31,0,0,0,0,0,0,3,0,0,0,0,3,70,0,0,0,0,70
SAL10024,16,0,0,0,3,16,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,28,0,0,0,0,31
SAL10025,1302,188,4,0,0,1492,2083,214,11,0,0,2312,359,162,8,0,0,534,48,47,0,0,0,98,10,3,0,0,0,11,137,34,5,0,0,174,13,0,0,0,0,17,0,0,0,0,0,0,567,245,11,0,0,831,17,17,0,0,4,37,101,19,0,0,0,126,4081,685,30,4,7,4802
SAL10026,744,132,0,0,0,877,818,127,5,0,0,946,211,139,17,0,0,370,104,64,0,0,0,167,11,10,0,0,0,17,92,40,0,0,0,124,3,0,0,0,0,6,0,0,0,0,0,0,419,250,18,3,5,688,18,31,0,0,0,43,84,34,3,0,0,116,2077,564,22,3,5,2668
SAL10027,640,134,19,4,0,806,424,54,3,0,0,485,206,334,81,10,0,637,0,58,14,0,0,71,0,24,0,0,0,23,67,39,4,0,0,118,9,13,0,0,4,20,5,4,0,0,0,11,287,472,100,10,3,878,18,9,3,0,0,39,39,38,15,0,0,94,1405,710,147,14,10,2293
SAL10028,133,0,0,0,0,133,93,0,0,0,0,93,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,8,0,0,0,0,9,6,0,0,0,0,6,267,0,0,0,0,263
SAL10029,33,0,0,0,0,33,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,13,4,0,0,0,0,4,5,0,0,0,0,5,60,0,0,0,0,60
SAL10030,42,312,204,7,3,568,107,469,954,10,0,1548,50,365,1497,7,11,1934,0,32,18,0,0,54,0,12,24,0,0,37,9,86,160,0,10,272,4,12,51,0,3,76,0,0,4,0,0,9,65,515,1762,8,28,2382,0,11,19,0,0,30,7,41,202,0,0,252,223,1352,3144,25,33,4777
SAL10031,468,4,0,0,0,473,421,3,0,0,0,428,28,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,37,0,0,0,0,0,0,12,0,0,0,0,12,937,8,0,0,0,950
SAL10032,14,0,0,0,0,14,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,29
SAL10033,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SAL10034,15,0,0,0,0,15,8,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,26,0,0,0,0,32
SAL10035,16,0,0,0,0,16,8,0,0,0,0,8,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,13,0,0,0,0,13,47,0,0,0,0,47
SAL10036,771,26,41,0,0,841,950,22,29,0,3,1002,162,3,40,0,0,205,3,0,0,0,0,3,40,14,40,0,0,102,73,0,18,0,0,91,8,0,9,0,0,19,0,0,6,0,0,7,286,19,119,0,0,424,19,8,30,0,0,49,34,5,21,0,0,49,2052,81,238,0,3,2373
SAL10037,11,0,0,0,0,11,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,3,0,0,0,0,3,30,0,0,0,0,30
SAL10038,179,22,326,4,0,531,106,21,391,0,0,518,53,20,714,13,0,799,0,0,12,0,0,17,0,0,12,0,0,18,7,8,75,0,0,93,6,0,7,0,0,10,0,0,3,0,0,5,67,34,829,16,0,948,8,0,25,0,0,32,14,3,64,0,0,86,372,76,1638,20,0,2115
SAL10039,8,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,20,0,0,0,0,20
SAL10040,30,0,0,0,0,32,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,61,0,0,3,0,61
SAL10041,31,0,0,0,0,31,32,0,0,0,0,32,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,11,0,0,0,0,11,84,0,0,0,0,84
SAL10042,19,0,0,0,0,19,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28
SAL10043,12,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,21,0,0,0,0,21
SAL10044,24,0,0,0,0,24,13,0,0,0,0,13,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,6,53,0,0,0,0,52
SAL10045,79,0,0,0,0,79,52,0,0,0,0,52,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,0,0,0,0,0,5,14,0,0,0,0,14,159,0,0,0,0,161
SAL10046,929,194,9,0,0,1132,561,82,4,0,0,642,218,132,9,0,0,365,28,17,0,0,0,47,6,7,0,0,0,12,81,46,4,0,0,136,10,6,0,0,0,17,0,0,0,0,0,4,344,208,17,0,0,574,35,64,0,0,0,96,60,30,0,8,0,100,1931,574,26,6,4,2546
SAL10047,11,0,0,0,0,12,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,33,0,0,0,0,34
SAL10048,6,0,0,3,0,10,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,7,0,0,5,0,15
SAL10049,482,20,7,0,0,510,696,40,22,0,0,751,397,48,62,0,0,503,317,94,0,0,0,412,9,6,0,0,0,13,64,3,5,0,0,68,9,0,0,0,0,13,5,3,0,0,0,8,797,154,67,0,0,1017,14,7,0,0,0,19,161,21,10,0,0,198,2152,239,99,0,3,2491
SAL10050,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,20,0,0,0,0,24
SAL10051,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SAL10052,14,0,0,0,0,12,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,20
SAL10053,10,0,0,0,0,10,9,0,0,0,0,9,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20
SAL10054,7,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15
SAL10055,12,0,0,0,0,12,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,29,0,0,0,0,29
SAL10056,29,0,0,0,0,29,20,0,0,0,0,20,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,6,0,0,0,0,6,60,0,0,0,0,60
SAL10057,7,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,3,17
SAL10058,30,0,0,0,0,30,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,3,0,5,0,0,0,0,0,0,7,0,0,3,0,12,0,0,0,0,0,0,4,0,0,0,0,4,47,0,0,3,0,49
SAL10059,43,7,0,0,0,47,19,9,0,0,0,27,6,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,71,12,3,0,0,88
SAL10060,56,0,0,0,0,55,34,0,0,0,0,33,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,0,0,0,0,0,0,11,0,0,0,0,11,124,0,0,0,0,125
SAL10061,771,82,0,11,13,881,415,55,0,3,0,476,121,79,0,0,0,201,0,0,0,0,0,0,3,0,0,0,0,6,60,11,4,3,0,74,32,3,0,0,0,40,0,0,0,0,0,0,212,96,3,5,0,325,30,5,0,0,0,29,77,10,0,6,0,87,1510,243,8,20,20,1803
SAL10062,336,518,122,8,0,980,311,668,190,5,0,1169,151,463,623,28,4,1269,3,5,45,0,0,57,0,0,40,0,0,45,51,105,64,7,0,224,0,4,10,0,0,8,0,0,0,0,0,6,204,578,777,31,4,1607,15,18,12,0,0,46,30,56,88,5,0,186,895,1839,1191,51,7,3987
SAL10063,196,0,0,0,0,193,152,0,3,0,0,157,27,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,45,10,0,0,0,0,8,9,0,0,0,0,9,409,0,8,0,0,418
SAL10064,240,3,0,4,0,253,533,5,0,0,0,538,107,5,4,3,4,122,5,0,0,0,0,5,7,0,0,0,0,7,17,0,0,0,0,25,4,0,0,0,0,4,0,0,0,0,0,0,146,5,7,3,4,166,11,0,0,0,0,16,28,0,5,0,0,33,956,18,11,10,4,1000
SAL10065,14,0,0,0,0,14,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20
SAL10066,4,0,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
SAL10067,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SAL10068,16,0,0,0,0,20,11,0,0,0,0,17,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,3,43,0,0,0,0,48
SAL10069,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,7
SAL10070,118,0,0,8,0,128,48,0,0,0,0,52,17,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,23,0,3,0,0,22,5,0,0,0,0,5,11,0,0,6,0,15,195,4,0,18,0,214
SAL10071,56,0,0,0,0,56,35,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,4,98,0,0,0,0,97
SAL10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10073,206,0,0,0,0,206,165,0,3,0,0,169,28,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,49,15,0,0,0,0,15,22,0,0,0,0,22,457,0,3,0,4,462
SAL10074,202,0,0,0,0,202,235,5,0,0,0,238,57,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,94,0,0,0,0,0,0,22,0,0,0,0,20,549,3,6,0,0,560
SAL10075,14,0,0,0,0,14,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,8,25,0,0,0,0,25
SAL10076,47,0,0,0,0,46,18,0,0,0,0,23,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,3,78,0,0,0,0,75
SAL10077,127,0,0,0,4,129,32,0,0,0,0,32,4,5,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,19,0,0,0,0,15,8,0,0,0,0,8,0,0,0,0,0,0,32,4,0,0,0,30,20,0,0,0,0,20,18,0,0,0,0,16,220,0,0,0,4,228
SAL10078,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SAL10079,147,11,0,0,0,157,170,3,0,0,0,168,86,24,8,0,0,109,28,14,9,0,0,56,4,8,0,0,0,14,37,5,3,0,0,47,3,0,0,0,0,3,0,0,0,0,0,0,156,51,14,0,0,223,9,0,0,0,0,9,14,4,6,0,0,20,490,69,19,0,0,583
SAL10080,44,0,0,0,0,48,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,4,0,0,0,0,4,12,0,0,0,0,12,86,0,0,0,0,87
SAL10081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SAL10082,101,3,0,0,0,100,34,0,0,0,0,33,7,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,0,0,3,5,0,0,0,0,9,0,0,0,0,0,0,21,3,0,0,0,30,7,0,0,0,0,9,17,0,0,0,0,17,178,11,0,0,0,190
SAL10083,5,0,0,0,0,5,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
SAL10084,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,7,0,0,0,0,7
