SAL_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SAL10001,3,0,4,0,13
SAL10002,461,210,43,11,2015
SAL10003,549,508,267,110,3317
SAL10004,114,62,26,0,579
SAL10005,8,0,0,0,11
SAL10006,162,89,40,8,1006
SAL10007,157,86,40,11,828
SAL10008,5,13,5,0,58
SAL10009,378,179,58,14,2869
SAL10010,175,94,34,0,1006
SAL10011,28,11,0,0,140
SAL10012,4,0,0,0,17
SAL10013,7,3,0,0,23
SAL10014,272,127,38,6,1934
SAL10015,53,18,23,3,279
SAL10016,501,277,140,39,3432
SAL10017,399,329,209,59,2995
SAL10018,93,70,29,6,418
SAL10019,16,11,3,0,48
SAL10020,3,0,0,0,12
SAL10021,77,45,16,5,443
SAL10022,96,74,30,5,1076
SAL10023,23,16,8,0,94
SAL10024,9,0,0,0,32
SAL10025,1020,628,244,160,6592
SAL10026,507,402,176,67,3161
SAL10027,479,446,198,47,2951
SAL10028,102,62,21,5,1099
SAL10029,16,11,6,0,64
SAL10030,546,270,77,18,6952
SAL10031,392,213,48,11,1647
SAL10032,9,4,4,0,48
SAL10033,0,0,0,0,4
SAL10034,4,7,5,0,33
SAL10035,11,25,4,0,72
SAL10036,636,420,260,167,3895
SAL10037,7,11,0,0,36
SAL10038,405,241,116,40,3141
SAL10039,3,4,0,0,23
SAL10040,20,14,4,0,78
SAL10041,13,14,6,3,90
SAL10042,10,13,5,0,36
SAL10043,11,7,3,0,25
SAL10044,30,10,9,0,93
SAL10045,87,33,14,3,261
SAL10046,573,553,340,158,3163
SAL10047,7,5,0,4,45
SAL10048,9,0,0,0,21
SAL10049,428,329,100,15,2859
SAL10050,5,7,10,0,34
SAL10051,0,0,0,0,0
SAL10052,3,5,0,0,16
SAL10053,8,0,0,0,30
SAL10054,6,0,0,0,22
SAL10055,10,5,0,0,34
SAL10056,22,23,0,0,83
SAL10057,4,4,0,0,19
SAL10058,12,19,4,0,55
SAL10059,31,52,10,0,132
SAL10060,26,13,5,0,157
SAL10061,431,408,275,46,2172
SAL10062,872,609,221,64,6240
SAL10063,158,91,46,7,752
SAL10064,195,104,34,3,1414
SAL10065,8,3,0,0,26
SAL10066,6,5,0,0,17
SAL10067,3,0,0,0,12
SAL10068,14,14,3,0,60
SAL10069,0,0,0,0,7
SAL10070,95,83,23,8,323
SAL10071,34,22,7,0,120
SAL10072,0,0,0,0,0
SAL10073,166,123,77,11,827
SAL10074,153,91,45,6,713
SAL10075,16,4,0,0,34
SAL10076,19,31,3,0,110
SAL10077,38,29,11,0,176
SAL10078,0,0,0,0,9
SAL10079,79,64,29,11,545
SAL10080,32,19,8,0,102
SAL10081,0,0,0,0,8
SAL10082,30,63,11,9,214
SAL10083,3,3,0,0,20
SAL10084,0,3,0,0,8
SAL10085,23,7,0,0,78
SAL10086,1980,1485,927,338,13068
SAL10087,618,348,201,110,6647
SAL10088,4,0,0,0,11
SAL10089,70,119,74,12,390
SAL10090,61,83,9,8,329
SAL10091,674,479,212,80,5850
SAL10092,3,7,0,0,19
SAL10093,12,0,0,0,20
SAL10094,362,185,70,11,1735
SAL10095,47,57,26,0,180
SAL10096,62,33,12,6,177
SAL10097,3,0,0,0,7
SAL10098,157,98,47,8,1139
SAL10099,1668,1069,602,407,14623
SAL10100,53,51,25,7,266
SAL10101,28,10,3,0,148
SAL10102,200,172,72,46,1456
SAL10103,404,244,107,30,2274
SAL10104,426,305,132,39,3634
SAL10105,0,8,4,0,32
SAL10106,38,34,14,3,236
SAL10107,1495,835,413,216,17227
SAL10108,14,8,3,0,62
SAL10109,354,268,93,22,1674
SAL10110,208,131,105,124,3233
SAL10111,9,8,4,0,63
SAL10112,1273,930,427,192,5868
SAL10113,6,4,0,0,22
SAL10114,36,29,15,0,127
SAL10115,523,386,166,31,2634
SAL10116,0,0,0,0,0
