SAL_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,3,0,8,5,3,0,28
SAL10002,0,0,5,10,10,30,64,56,16,189,0,4,5,8,20,18,21,19,10,98,7,11,11,7,17,24,10,0,0,95,144,327,496,406,608,725,426,160,50,3350
SAL10003,0,0,0,8,9,14,38,69,35,177,0,0,0,3,4,0,13,13,16,48,9,6,35,28,18,20,59,53,54,284,73,204,548,734,750,708,742,460,202,4426
SAL10004,0,0,0,0,3,6,3,5,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,0,18,36,47,103,143,166,154,94,55,3,801
SAL10005,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,4,5,0,17
SAL10006,0,0,3,0,10,24,34,27,15,111,0,0,0,0,0,0,0,9,0,9,10,11,9,15,10,7,13,19,3,92,84,154,372,286,321,318,236,124,30,1919
SAL10007,0,0,0,3,8,18,28,18,9,88,0,0,0,0,0,0,0,5,0,9,0,3,18,5,14,24,9,16,7,102,56,111,248,228,263,294,222,116,35,1580
SAL10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0,8,10,13,17,14,22,7,0,88
SAL10009,0,0,3,6,9,26,35,22,15,114,0,0,0,0,0,0,0,3,0,12,6,12,29,26,14,9,16,7,4,120,189,408,1013,981,762,614,411,157,34,4567
SAL10010,0,0,6,0,9,26,32,23,17,107,0,0,5,0,4,0,0,0,0,5,3,4,11,6,9,12,10,9,0,62,84,142,341,310,296,341,213,119,25,1862
SAL10011,0,0,0,0,0,3,4,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,15,42,36,58,39,21,4,3,238
SAL10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,10,0,3,3,4,9,3,0,0,0,26
SAL10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,9,0,0,6,6,3,5,10,0,0,24
SAL10014,4,0,0,4,7,7,18,14,3,64,0,0,0,0,5,4,0,0,0,9,3,0,7,8,7,0,7,3,0,35,90,219,480,649,514,408,223,86,24,2694
SAL10015,0,0,0,0,0,0,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,6,15,27,14,17,7,7,3,85,4,20,61,73,67,81,42,45,6,387
SAL10016,0,0,6,4,9,20,35,38,22,127,0,0,4,3,0,5,0,4,4,25,10,20,37,22,22,23,18,23,9,180,154,554,1056,845,772,718,470,294,113,4975
SAL10017,0,0,0,0,7,11,11,32,31,93,0,0,0,0,0,5,0,3,4,13,3,0,14,8,5,9,14,10,12,87,124,269,595,826,761,539,476,399,141,4121
SAL10018,0,0,0,0,7,5,11,11,4,40,0,0,0,0,0,0,0,5,0,0,0,0,5,5,0,9,10,7,0,42,28,41,92,96,112,158,136,74,23,754
SAL10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,5,3,0,27,0,0,5,10,6,21,15,5,0,72
SAL10020,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,7,4,0,28
SAL10021,0,0,0,4,6,3,16,12,6,41,0,0,0,0,0,3,0,0,0,6,3,0,0,7,7,8,8,0,0,35,42,62,114,103,160,135,92,33,10,756
SAL10022,0,3,16,18,26,38,51,22,5,172,3,0,3,3,5,5,12,3,0,34,44,38,61,74,42,38,35,14,0,340,165,216,466,441,345,289,213,91,15,2241
SAL10023,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,0,0,4,0,0,5,0,0,0,0,0,0,11,6,5,24,18,14,31,25,7,4,136
SAL10024,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,12,3,3,7,11,12,13,13,5,3,61
SAL10025,3,4,12,15,19,53,112,96,49,367,0,3,8,9,14,6,6,8,4,48,20,15,49,71,30,38,45,73,117,457,410,891,1849,1718,1845,1657,1091,583,286,10325
SAL10026,0,4,14,8,15,42,95,80,59,323,0,3,0,6,11,15,8,6,0,51,15,24,42,42,41,34,29,39,16,286,194,454,923,752,792,922,779,445,212,5473
SAL10027,0,4,5,0,4,7,16,20,32,84,0,0,0,0,0,0,0,0,0,13,17,11,44,40,39,33,23,33,11,240,100,269,601,601,701,649,673,375,154,4138
SAL10028,0,0,0,0,0,7,21,15,4,45,0,0,0,0,0,0,0,0,0,3,17,115,329,216,76,30,5,8,8,800,31,142,389,285,128,143,124,72,9,1314
SAL10029,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,3,8,23,10,12,28,17,12,0,117
SAL10030,0,0,0,3,3,6,21,11,8,55,0,0,4,3,6,4,7,3,8,32,3,35,165,102,44,30,22,17,4,425,76,557,3078,2081,1221,720,400,152,44,8320
SAL10031,0,0,0,0,0,8,30,16,9,69,0,0,0,0,0,4,10,4,3,25,9,4,3,10,4,0,12,0,0,37,88,210,336,323,409,567,354,111,31,2428
SAL10032,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,12,12,19,10,4,0,69
SAL10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
SAL10034,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,14,8,15,13,3,0,63
SAL10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,3,0,0,0,4,0,8,3,8,20,15,26,4,4,91
SAL10036,0,0,0,4,9,19,35,40,21,126,0,0,0,0,9,3,0,6,0,22,5,3,12,8,18,9,25,54,97,238,164,381,485,943,1209,804,626,479,274,5353
SAL10037,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,6,4,14,12,10,0,0,59
SAL10038,0,0,3,4,6,24,38,47,18,140,0,0,11,10,6,8,17,3,5,68,10,26,45,39,26,23,28,11,7,213,79,448,1140,801,588,646,463,228,79,4474
SAL10039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,13,9,4,0,0,36
SAL10040,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,8,4,13,11,27,34,29,12,0,120
SAL10041,0,0,0,0,0,3,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,4,0,17,20,39,24,28,13,4,143
SAL10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,16,18,5,0,45
SAL10043,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,5,5,4,0,7,0,5,3,4,6,17,3,11,0,45
SAL10044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,16,16,23,31,20,11,0,125
SAL10045,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,3,4,0,18,8,18,27,40,70,101,56,26,6,349
SAL10046,0,0,9,6,11,18,45,65,66,220,0,0,0,0,5,6,0,0,3,12,14,13,19,28,36,15,28,51,52,262,116,207,482,581,712,788,850,658,348,4753
SAL10047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,6,3,3,12,10,10,12,9,9,7,70
SAL10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,6,0,0,7,3,16,9,3,0,0,30
