SAL_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
SAL31489,0,15,0,15,53,0,0,72,0,5,0,5,31,0,0,33,4,0,0,3,12,0,0,14,0,0,0,0,4,0,0,4,64,23,8,100,233,6,0,334
SAL31490,0,3,0,8,54,4,0,64,0,5,0,5,55,8,0,70,0,0,0,0,22,4,0,23,0,0,0,0,0,0,0,0,7,13,0,26,166,22,0,214
SAL31491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL31492,0,7,0,4,306,22,0,337,0,6,0,9,449,32,0,486,0,0,0,0,173,18,0,190,0,0,0,0,15,0,0,15,91,10,0,108,1171,98,14,1380
SAL31493,21,87,0,100,347,25,0,471,0,57,0,63,321,33,4,424,0,3,0,8,196,49,0,250,0,0,0,0,112,66,0,181,610,246,29,888,2259,326,7,3482
SAL31494,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,11,0,0,20
SAL31495,22,68,0,91,601,17,0,712,3,70,0,74,744,31,0,852,0,12,0,13,503,44,0,559,0,0,0,0,294,33,0,329,697,236,38,969,3324,223,9,4522
SAL31496,26,105,4,133,619,32,0,781,6,127,0,129,713,51,5,900,0,21,0,21,551,68,0,645,0,0,0,0,312,72,0,384,1514,414,44,1973,5061,473,22,7529
SAL31497,49,73,0,126,755,19,0,900,10,91,3,104,434,22,0,561,0,22,0,26,221,12,3,258,0,0,0,0,147,12,0,157,1868,330,62,2256,5425,290,15,7985
SAL31498,0,5,0,5,15,0,0,15,0,5,0,5,21,0,0,29,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,30,10,0,43,67,0,0,115
