SAL_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SAL10001,9,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,18,9,24
SAL10002,1288,1283,2571,3,0,7,0,0,0,7,3,6,13,18,27,36,29,62,12,5,23,10,13,24,7,3,4,9,8,18,0,4,4,6,0,6,3,5,7,23,16,40,183,209,388,4,4,7,73,73,143,0,0,0,0,0,4,22,27,44,4,6,13,0,0,0,4,0,5,13,11,27,0,4,4,22,44,67,4,4,7,0,3,3,4,0,4,4,4,6,0,0,0,0,6,6,24,22,47,0,0,3,50,69,119,182,218,400,58,53,110,0,0,3,2057,2131,4191
SAL10003,1723,1874,3599,0,0,0,0,0,0,7,5,12,61,97,158,6,10,17,12,12,23,0,6,12,11,14,21,10,10,26,27,28,55,15,22,39,9,5,17,12,11,23,0,0,4,21,14,31,159,145,307,7,3,9,20,24,39,8,18,24,9,21,23,0,0,0,4,6,12,31,25,56,0,0,0,8,18,23,4,7,16,5,5,12,20,22,36,3,3,10,0,4,4,6,14,18,100,101,211,11,26,37,20,16,32,130,181,304,91,105,196,3,3,4,2541,2859,5406
SAL10004,470,524,995,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,3,3,4,4,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,6,0,4,0,0,0,3,0,9,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,12,11,25,0,0,0,0,0,0,6,7,11,12,10,23,0,0,0,523,579,1101
SAL10005,7,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,0,0,10,6,20
SAL10006,1138,1157,2293,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,10,19,0,0,0,5,10,12,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,7,5,9,25,28,58,0,3,3,0,3,3,7,7,12,44,43,88,0,0,0,1247,1288,2529
SAL10007,931,878,1813,0,0,0,0,0,0,0,0,0,4,4,12,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,3,15,11,24,0,0,0,0,4,4,0,0,0,0,0,0,0,5,8,0,0,4,0,0,0,0,0,0,16,9,29,0,0,0,0,0,5,9,14,13,61,44,101,0,0,0,1046,996,2040
SAL10008,56,49,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,57,56,119
SAL10009,2701,2944,5645,0,0,0,0,0,0,5,5,12,4,16,17,4,0,5,0,0,0,12,4,14,6,5,12,0,0,0,0,0,0,52,44,98,0,5,3,0,0,0,0,0,0,4,0,11,0,0,0,4,5,8,4,4,10,0,3,3,0,0,0,0,0,0,0,0,0,40,34,75,6,5,6,15,30,45,4,0,9,0,0,0,22,31,50,10,12,17,0,0,0,0,10,11,53,59,117,6,4,13,4,6,12,51,61,110,71,80,147,6,8,7,3084,3382,6464
SAL10010,1189,1129,2321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,0,0,0,0,4,4,0,0,0,0,0,0,5,3,8,0,0,0,0,0,0,0,0,0,18,19,38,0,3,5,0,0,0,3,4,7,45,33,77,0,0,0,1276,1210,2495
