SAL_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SAL10011,150,128,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,4,6,9,0,0,0,165,145,314
SAL10012,11,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,12,17,30
SAL10013,14,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,18,16,32
SAL10014,1009,970,1976,9,8,22,3,4,8,0,0,3,28,31,63,0,5,3,4,9,16,27,35,63,0,0,0,3,5,6,4,10,17,309,292,609,18,15,30,11,13,21,3,6,8,3,5,5,6,5,8,0,0,0,13,14,28,4,3,10,6,8,21,10,9,23,0,7,5,28,35,65,19,25,40,65,87,151,0,6,5,8,12,18,24,21,47,39,36,72,0,0,0,0,11,8,40,42,83,3,10,10,0,8,9,89,71,165,9,16,26,3,5,6,1816,1836,3656
SAL10015,180,119,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,24,0,0,4,0,0,0,8,0,17,69,25,94,0,0,0,284,167,447
SAL10016,2543,2748,5295,0,0,0,3,0,6,7,7,20,15,16,33,0,0,3,3,4,10,5,0,5,6,13,20,9,7,16,7,7,10,21,16,33,0,0,0,0,4,6,0,0,4,7,13,14,9,11,17,0,4,6,3,5,7,0,0,0,7,6,12,15,8,28,0,0,0,41,28,68,6,0,9,12,13,27,0,0,0,0,0,5,8,14,25,5,0,5,5,0,0,0,13,12,80,71,153,16,12,30,5,6,13,80,80,158,94,100,192,3,8,9,3009,3230,6241
SAL10017,2404,2347,4749,0,0,0,0,0,0,3,7,10,15,15,30,6,3,3,0,0,5,0,4,3,14,10,23,12,10,20,3,5,6,11,10,20,6,11,15,0,0,0,3,3,5,4,0,5,18,20,37,5,0,5,0,3,8,0,0,0,10,10,17,4,0,6,6,4,8,26,31,56,3,0,5,3,12,11,6,3,11,0,0,0,15,16,24,4,0,4,0,4,4,4,16,23,95,77,173,10,17,26,0,6,11,76,95,173,34,39,74,0,0,5,2802,2775,5583
SAL10018,406,387,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,13,0,0,0,0,0,0,0,0,4,0,0,0,3,3,11,0,0,0,0,0,0,0,0,0,9,7,16,0,3,6,0,0,0,4,7,9,25,29,57,0,0,0,462,459,924
SAL10019,40,25,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,28,0,0,0,52,42,92
SAL10020,19,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,28
SAL10021,427,399,826,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,4,8,0,0,3,3,3,3,0,0,0,6,0,3,6,0,6,0,0,0,0,0,0,3,0,4,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,15,0,0,4,0,4,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,27,0,3,4,0,0,0,17,17,27,13,13,33,0,0,0,512,476,991
SAL10022,975,1125,2101,0,0,6,49,51,93,0,0,4,8,11,19,0,0,0,4,3,6,26,18,43,0,6,3,0,3,4,0,0,0,30,27,54,4,0,6,7,4,8,18,15,28,0,0,0,0,0,0,0,0,0,0,4,3,20,25,41,0,0,0,7,11,16,4,3,4,50,65,116,7,5,15,11,13,26,0,4,4,0,0,0,0,3,3,0,0,0,0,0,0,6,8,12,12,31,45,0,0,0,3,7,11,86,103,184,187,230,409,5,0,8,1507,1781,3290
SAL10023,76,61,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,4,4,12,0,0,0,86,80,166
SAL10024,31,33,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,0,0,0,38,36,75
SAL10025,5689,5862,11545,0,0,0,0,0,0,9,8,14,12,14,28,11,9,16,0,4,5,9,0,7,40,45,84,3,3,8,0,0,0,22,21,38,5,8,11,4,4,9,5,3,3,12,8,19,22,21,44,0,0,0,0,0,0,0,0,4,3,7,11,4,3,8,13,20,34,67,57,123,5,0,3,15,58,70,4,9,16,3,0,3,14,8,23,3,3,9,0,0,0,7,21,25,339,371,706,9,10,18,4,0,4,171,154,326,220,248,470,3,5,14,6724,6989,13714
SAL10026,2699,2835,5535,0,0,0,0,0,0,6,4,13,0,0,5,0,7,10,0,3,3,4,0,4,25,24,50,7,0,10,0,4,0,14,5,15,0,6,6,0,3,0,0,0,0,0,8,8,8,9,16,0,0,0,0,0,0,0,0,4,0,0,0,3,4,6,19,27,45,31,34,67,0,4,4,18,29,48,0,12,6,0,4,5,0,4,7,0,0,0,0,0,0,0,7,8,200,242,438,8,3,6,5,11,22,101,109,206,157,153,310,0,5,4,3321,3547,6873
SAL10027,1948,2193,4139,0,0,0,0,8,9,10,6,11,9,12,27,3,4,4,0,0,0,0,3,0,11,24,32,10,6,14,3,0,9,51,39,91,0,5,5,5,0,5,0,0,0,5,3,11,3,0,10,0,5,4,4,4,9,0,0,0,10,6,8,7,11,18,7,7,14,36,24,61,3,0,3,6,8,14,0,0,0,0,9,6,11,7,17,9,4,11,0,0,0,7,12,18,81,79,163,11,3,13,7,4,11,44,47,89,150,108,250,3,6,10,2448,2646,5098
SAL10028,885,331,1220,0,0,0,0,0,0,0,0,3,9,5,12,0,0,0,0,0,0,3,0,3,8,0,5,0,0,0,4,0,4,0,0,4,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,3,0,3,0,0,0,5,0,5,19,7,17,0,0,0,5,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,18,11,28,0,0,0,17,5,19,18,3,22,66,12,76,0,0,0,1073,378,1450
SAL10029,65,63,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,8,14,0,0,0,80,76,152
SAL10030,2972,2679,5652,0,0,0,6,7,10,30,28,58,97,161,254,4,5,6,3,0,3,14,13,27,17,15,27,4,9,9,32,45,80,64,42,102,57,59,119,16,5,20,5,0,3,59,41,105,38,30,65,10,27,32,22,34,56,5,3,5,53,45,97,3,4,9,12,5,21,160,154,315,9,0,11,37,57,96,12,19,26,27,37,62,56,36,87,11,18,24,18,18,34,40,53,91,370,225,596,63,74,140,28,34,61,382,348,734,227,204,433,9,4,16,4952,4541,9495
SAL10031,1172,1197,2371,0,0,0,0,0,0,0,5,7,17,18,34,15,12,21,11,14,27,4,3,15,0,0,6,17,18,35,6,7,16,7,14,23,0,6,5,0,0,0,0,5,4,3,5,6,12,3,17,0,3,5,0,4,5,36,38,67,4,7,9,0,0,0,4,0,10,17,11,18,0,0,0,10,12,20,4,7,11,0,0,0,6,3,10,5,8,9,0,0,0,0,4,9,47,40,86,6,6,9,10,17,24,89,96,182,22,18,37,0,0,0,1540,1577,3117
SAL10032,32,42,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,38,47,89
SAL10033,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL10034,35,46,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,36,47,84
SAL10035,39,45,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,45,60,105
SAL10036,2545,2531,5082,3,0,8,3,0,3,18,22,43,45,66,107,5,4,7,4,6,10,0,10,9,26,35,59,13,9,16,16,12,28,28,25,52,4,5,8,3,3,7,0,4,4,40,29,70,44,75,119,6,25,37,7,10,17,0,3,6,6,10,12,20,12,28,14,20,27,75,68,140,0,0,0,15,29,40,7,8,16,7,9,13,42,44,86,3,0,8,5,8,8,6,13,14,352,322,675,20,36,60,8,14,21,137,140,276,52,61,112,7,5,11,3580,3656,7240
SAL10037,31,34,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,37,39,70
SAL10038,963,875,1840,0,0,0,66,47,109,0,3,5,364,482,849,12,17,26,35,17,50,21,17,37,4,8,9,33,46,73,69,73,137,69,51,122,22,26,54,9,6,13,5,3,7,7,5,12,9,16,27,5,13,24,7,9,23,33,22,52,20,19,39,364,291,655,0,0,0,23,31,50,7,5,11,69,123,196,11,12,23,11,4,18,7,7,17,0,3,5,3,12,13,11,32,43,23,24,46,3,3,7,16,32,45,235,247,480,93,87,183,11,13,20,2650,2683,5329
SAL10039,32,23,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,32,22,56
SAL10040,55,56,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,8,10,16,0,0,0,69,73,145
SAL10041,82,62,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,28,0,0,0,101,81,184
SAL10042,24,19,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,28,21,52
SAL10043,26,21,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,9,0,0,0,32,28,59
SAL10044,71,62,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,4,0,0,0,4,0,4,0,0,0,0,0,0,79,74,156
SAL10045,178,160,340,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,16,17,33,0,0,0,0,0,0,6,7,11,10,10,13,0,0,0,220,201,421
SAL10046,2290,2659,4951,0,0,0,0,0,0,5,10,20,3,5,11,0,0,0,0,0,0,0,0,0,12,9,19,0,0,5,0,0,5,10,6,12,0,4,3,0,0,0,0,0,0,9,0,8,7,6,14,3,4,7,0,5,7,0,0,0,4,4,12,0,0,0,6,7,24,40,49,92,3,0,3,3,10,13,0,5,4,0,4,4,13,21,35,0,0,0,0,0,0,4,6,13,122,143,263,11,6,19,0,0,0,43,54,97,120,137,252,0,0,0,2713,3173,5885
SAL10047,43,37,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,46,89
SAL10048,14,16,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0,0,0,19,20,42
SAL10049,2379,2379,4763,8,3,11,10,10,19,0,9,9,19,16,39,6,3,12,20,17,34,41,39,78,5,7,18,6,12,22,7,3,10,39,45,84,11,15,27,9,14,21,25,15,37,3,3,8,6,14,24,3,9,11,7,0,3,23,25,46,4,3,11,10,11,19,4,5,4,94,85,178,21,25,45,78,123,200,10,10,23,0,0,0,22,18,34,7,6,18,3,3,7,11,25,30,105,81,189,4,15,23,14,16,27,267,271,539,251,255,505,0,8,7,3525,3609,7137
