SAL_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SAL10001,0,0,4,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,11,5,14
SAL10002,5,123,125,295,16,317,263,6,267,283,3,288,142,4,148,107,5,109,1105,162,1264
SAL10003,36,666,707,763,86,856,363,23,386,270,10,276,89,8,94,26,0,24,1546,796,2344
SAL10004,6,62,71,118,13,131,75,3,72,71,6,76,30,0,30,11,0,11,314,81,394
SAL10005,0,6,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,6,14
SAL10006,13,297,312,283,43,324,143,13,154,135,9,143,52,3,58,37,0,38,665,363,1025
SAL10007,20,263,277,265,41,298,113,5,124,87,9,94,55,0,55,16,0,16,558,313,871
SAL10008,0,3,6,11,0,12,3,0,3,3,0,7,9,0,9,0,0,0,28,5,38
SAL10009,36,264,300,636,59,692,408,19,423,454,17,471,205,10,217,80,0,80,1813,375,2184
SAL10010,15,210,218,240,36,281,146,11,152,144,5,150,73,4,78,45,0,45,653,257,918
SAL10011,0,14,18,20,4,27,31,0,31,18,0,16,7,0,7,6,0,6,83,24,104
SAL10012,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,3,15
SAL10013,0,4,4,3,6,5,4,0,5,0,0,0,0,0,0,0,0,0,8,9,16
SAL10014,11,105,115,237,17,254,260,3,264,322,3,335,121,0,121,49,0,49,1003,130,1133
SAL10015,5,62,69,47,22,67,16,5,13,7,3,10,3,0,5,3,0,3,75,95,175
SAL10016,52,758,806,690,168,856,360,63,418,336,26,359,135,5,141,38,0,38,1602,1013,2617
SAL10017,36,345,387,609,47,656,295,18,317,433,15,445,166,0,164,50,0,48,1584,431,2018
SAL10018,7,126,135,142,20,153,42,8,50,42,0,45,14,0,19,15,0,15,256,154,408
SAL10019,0,8,11,11,5,15,3,3,5,3,0,5,5,0,3,0,0,0,21,18,39
SAL10020,0,10,10,5,0,5,3,0,3,0,0,0,0,0,0,0,0,0,7,9,16
SAL10021,6,51,53,99,9,107,44,0,44,56,0,56,32,0,37,26,4,30,255,64,324
SAL10022,9,246,259,201,51,250,187,27,212,152,20,176,90,14,101,87,11,98,726,372,1099
SAL10023,9,17,22,18,4,25,10,0,10,0,0,0,10,0,10,0,0,0,48,26,70
SAL10024,0,9,9,5,3,11,4,0,4,4,3,10,0,0,0,0,0,0,18,14,31
SAL10025,72,752,821,1469,103,1570,843,38,885,912,23,932,386,15,404,179,7,192,3861,938,4802
SAL10026,38,640,673,851,111,958,396,28,425,320,22,341,152,9,167,96,4,100,1855,815,2668
SAL10027,36,887,920,677,129,803,228,33,262,192,17,204,80,6,83,22,0,17,1228,1061,2293
SAL10028,3,54,56,89,15,105,38,0,43,29,0,32,19,0,19,11,0,11,194,73,263
SAL10029,0,13,13,17,5,21,7,0,12,4,0,6,5,0,5,3,0,3,39,25,60
SAL10030,67,1688,1752,1528,425,1952,484,125,606,319,40,361,65,14,77,20,9,24,2482,2297,4777
SAL10031,7,68,73,271,7,282,171,5,176,239,3,240,121,0,123,56,0,55,861,87,950
SAL10032,0,6,6,11,0,11,3,0,6,5,0,5,7,0,7,0,0,0,26,3,29
SAL10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAL10034,0,3,3,15,0,15,3,0,3,3,0,3,0,0,0,3,0,3,22,3,32
SAL10035,0,17,17,15,3,20,3,0,7,0,0,0,4,0,4,0,0,0,25,26,47
SAL10036,21,449,471,550,33,583,350,9,359,584,5,594,279,5,280,88,0,91,1862,508,2373
SAL10037,0,4,10,13,0,14,7,0,7,0,0,0,0,0,0,0,0,0,22,9,30
SAL10038,18,498,516,563,108,673,414,49,454,280,17,301,108,6,120,43,0,47,1427,682,2115
SAL10039,0,6,6,3,0,3,4,0,4,4,0,4,0,0,0,4,0,4,13,6,20
SAL10040,0,20,17,14,7,25,3,0,3,6,0,6,7,0,7,0,0,0,37,23,61
SAL10041,0,31,38,25,3,24,6,0,7,8,0,8,6,3,11,0,0,0,45,38,84
SAL10042,0,5,5,14,0,19,0,0,0,0,0,0,0,0,0,0,0,0,16,6,28
SAL10043,0,0,0,6,0,13,0,0,3,0,0,4,0,0,0,0,0,0,13,5,21
SAL10044,0,10,10,11,4,12,11,0,14,12,0,12,4,0,4,4,0,4,44,10,52
SAL10045,4,21,26,60,16,68,33,0,32,21,0,21,12,0,12,9,0,9,125,33,161
SAL10046,33,809,839,847,84,934,301,18,318,268,15,278,120,3,122,48,7,54,1614,931,2546
SAL10047,0,5,5,14,4,10,10,0,10,4,0,4,0,0,0,0,0,0,24,9,34
SAL10048,0,3,3,4,0,6,0,0,0,0,0,3,0,0,0,0,0,0,12,3,15
SAL10049,26,444,476,689,98,785,452,36,488,363,27,389,179,18,193,150,6,157,1857,636,2491
SAL10050,0,9,9,4,4,10,0,5,5,0,0,0,0,0,0,0,0,0,5,16,24
SAL10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL10052,0,4,9,5,0,8,5,0,5,0,0,0,4,0,4,0,0,0,11,8,20
SAL10053,0,4,4,3,0,10,3,0,3,3,0,3,0,0,0,3,0,3,19,5,20
SAL10054,0,3,3,3,4,6,0,0,5,5,0,5,0,0,0,4,0,4,11,8,15
SAL10055,0,4,4,5,0,7,4,0,4,4,0,9,0,0,0,0,0,0,17,9,29
SAL10056,0,12,12,20,0,29,13,0,12,7,0,7,4,0,4,0,0,0,42,15,60
SAL10057,0,7,11,8,0,6,0,0,0,5,0,5,0,0,0,0,0,0,10,11,17
SAL10058,0,17,17,15,11,28,3,0,3,6,0,5,0,0,0,0,0,0,18,28,49
SAL10059,0,17,22,35,10,44,8,0,8,6,0,6,5,0,5,3,0,3,60,21,88
SAL10060,0,26,32,21,3,26,22,4,26,19,3,24,9,0,12,12,0,13,84,47,125
SAL10061,17,482,504,690,82,775,197,10,206,172,11,184,80,6,81,45,4,53,1204,605,1803
SAL10062,65,1239,1298,1089,226,1317,535,95,629,531,35,566,135,11,146,31,5,31,2378,1606,3987
SAL10063,8,38,49,107,0,114,56,3,63,77,5,78,62,0,62,49,6,55,363,54,418
SAL10064,14,126,135,233,25,255,190,9,198,206,4,214,124,5,126,71,4,70,833,168,1000
SAL10065,0,4,4,6,0,9,0,0,0,0,0,0,4,0,4,0,0,0,14,8,20
SAL10066,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,0,13
SAL10067,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4
SAL10068,0,11,11,17,5,22,0,0,5,3,0,4,9,0,6,0,0,0,35,15,48
SAL10069,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7
SAL10070,0,42,43,90,30,118,23,4,28,14,0,14,11,0,9,0,0,0,137,74,214
SAL10071,3,32,36,35,6,36,9,0,9,4,0,10,0,0,0,0,0,0,59,40,97
SAL10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10073,3,58,65,132,11,142,73,3,74,88,0,91,41,0,48,40,0,39,377,76,462
SAL10074,4,121,122,216,19,235,78,3,82,72,0,73,32,0,32,10,0,17,410,143,560
SAL10075,0,11,11,7,5,15,0,0,0,0,0,0,0,0,4,0,0,0,16,16,25
SAL10076,0,15,15,34,6,41,10,0,10,11,0,11,4,0,4,0,0,0,50,20,75
SAL10077,0,92,96,76,15,92,20,4,22,13,0,14,7,0,7,6,0,6,121,110,228
SAL10078,0,0,0,6,0,6,0,0,0,4,0,4,0,0,0,0,0,0,8,0,5
SAL10079,5,171,177,193,38,226,72,3,79,54,5,62,18,6,21,15,0,15,359,219,583
SAL10080,0,26,26,27,4,31,11,0,15,3,0,3,6,0,6,4,0,4,54,33,87
SAL10081,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3
SAL10082,4,58,59,61,10,73,21,0,22,14,0,12,12,0,13,11,0,11,121,70,190
SAL10083,0,0,0,6,0,5,3,0,3,3,0,3,0,0,0,0,0,0,9,4,14
SAL10084,0,5,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,7,7
SAL10085,0,18,21,12,12,27,7,0,7,6,0,6,7,3,8,6,0,6,33,31,68
SAL10086,126,3047,3173,2655,502,3161,1082,170,1250,960,94,1053,414,30,447,274,13,284,5517,3853,9375
SAL10087,40,978,1015,1147,297,1443,651,124,784,534,73,605,256,29,289,235,14,251,2859,1529,4390
SAL10088,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8
SAL10089,0,150,154,119,59,177,15,8,20,12,6,13,0,5,0,9,16,22,153,233,387
SAL10090,5,32,39,83,8,94,30,3,37,36,3,32,13,0,13,9,5,12,173,46,221
SAL10091,35,950,979,983,233,1212,674,48,722,611,19,631,158,14,166,54,3,60,2517,1254,3771
SAL10092,0,0,0,6,0,6,0,0,0,5,0,5,3,0,3,0,0,0,13,3,16
SAL10093,0,7,7,6,0,11,0,0,3,4,0,4,0,0,0,0,0,0,9,4,16
SAL10094,15,161,178,305,23,329,193,12,209,258,0,262,102,6,109,33,0,37,919,209,1129
SAL10095,6,37,41,67,10,73,14,0,14,11,0,9,6,0,9,0,0,0,95,50,140
SAL10096,0,25,30,42,7,48,23,4,22,11,0,10,0,0,0,6,0,3,85,40,124
SAL10097,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12
SAL10098,6,291,300,206,45,258,177,21,200,140,23,156,119,9,128,123,14,138,775,399,1172
SAL10099,89,3034,3127,2546,657,3206,1365,208,1575,967,102,1072,344,47,391,188,28,214,5502,4076,9583
SAL10100,9,100,103,90,17,110,28,10,38,11,3,15,12,4,13,16,0,16,169,132,300
SAL10101,3,36,42,25,11,33,21,3,20,16,0,19,7,0,9,5,0,5,79,50,133
SAL10102,26,507,535,423,87,508,188,25,212,143,21,163,84,13,96,46,6,54,901,663,1561
SAL10103,18,251,266,468,31,503,301,12,306,308,6,316,131,3,137,55,0,60,1280,310,1591
SAL10104,26,433,465,615,75,691,498,11,513,406,5,417,132,5,140,59,4,59,1738,541,2275
SAL10105,0,4,4,10,0,10,0,0,0,5,0,3,0,0,0,0,0,0,17,10,27
SAL10106,3,64,62,76,9,85,27,0,27,31,0,31,17,3,19,3,0,3,156,77,228
SAL10107,64,1937,2000,2009,606,2612,1772,472,2243,1751,432,2189,1102,249,1354,1198,172,1368,7904,3863,11765
SAL10108,0,6,6,21,0,21,7,0,9,11,0,11,3,0,3,0,0,0,38,7,46
SAL10109,14,166,179,291,30,318,167,14,181,185,3,193,85,0,85,15,0,20,767,216,981
SAL10110,13,279,293,501,48,547,435,34,467,395,24,417,227,17,245,143,3,150,1712,407,2123
SAL10111,0,9,14,14,0,19,10,0,12,3,0,5,5,0,5,0,0,0,40,18,58
SAL10112,54,701,748,1088,108,1199,537,36,578,649,25,680,347,5,352,124,0,124,2800,878,3675
SAL10113,0,4,4,3,0,3,5,0,5,3,0,3,0,0,0,0,0,0,14,4,20
SAL10114,0,8,10,23,11,37,12,0,14,7,0,7,5,0,5,0,0,3,60,19,78
SAL10115,29,254,279,503,59,561,243,17,256,316,19,330,139,6,141,55,3,64,1277,356,1631
SAL10116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10117,14,185,195,215,21,236,118,5,121,91,4,95,38,0,38,13,0,13,486,216,695
SAL10118,3,7,9,22,5,24,9,0,7,8,0,8,3,0,3,0,0,0,47,12,57
SAL10119,0,31,29,40,4,41,28,0,28,17,0,21,16,0,16,8,0,12,106,40,148
SAL10120,0,23,23,35,0,37,15,0,9,13,0,13,4,0,4,0,0,0,58,23,87
SAL10121,6,10,17,26,3,33,5,0,5,4,0,4,3,0,3,0,0,4,48,22,67
SAL10122,3,4,3,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
SAL10123,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
SAL10124,0,0,0,0,4,7,4,0,4,9,0,8,0,0,0,0,0,0,13,8,17
SAL10125,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9
SAL10126,0,5,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8
SAL10127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
SAL10128,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
SAL10129,0,0,0,3,0,6,5,0,5,0,0,0,0,0,0,0,0,0,3,0,6
SAL10130,0,0,0,14,0,16,7,0,7,3,0,3,0,0,0,4,0,4,28,3,34
SAL10131,0,6,6,15,7,20,12,0,12,11,5,11,0,0,0,4,0,4,45,12,51
SAL10132,0,4,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,4,9
SAL10133,0,10,10,15,4,18,4,4,4,8,0,8,6,0,10,4,0,4,41,16,55
SAL10134,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
SAL10135,0,8,8,15,5,20,8,0,9,4,0,3,0,0,0,0,0,0,27,15,39
SAL10136,0,3,3,7,0,6,0,0,0,4,0,4,0,0,0,0,0,0,9,7,12
SAL10137,0,8,8,4,0,6,0,0,0,0,0,0,0,0,0,5,0,5,12,11,21
SAL10138,0,0,0,3,0,3,5,0,5,7,0,7,0,0,0,0,0,0,11,0,16
SAL10139,0,7,7,6,7,13,0,0,0,3,0,3,4,0,4,0,0,0,14,7,25
SAL10140,0,3,3,4,3,3,5,0,5,4,0,4,0,0,0,0,0,0,11,4,15
SAL10141,0,10,10,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,5,9,14
SAL10142,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAL10143,0,9,9,7,3,11,5,0,4,0,0,0,0,0,0,0,0,0,13,14,30
SAL10144,0,36,42,65,9,70,24,0,21,33,0,33,20,0,20,10,0,11,149,50,202
SAL10145,0,12,12,25,4,31,6,0,3,3,0,3,5,0,3,0,0,0,40,18,58
SAL10146,3,88,95,128,24,156,50,3,56,47,3,46,26,0,25,15,0,17,278,124,397
SAL10147,0,6,6,3,0,3,3,0,3,3,0,3,0,0,0,0,0,0,15,6,21
SAL10148,0,18,18,45,4,48,14,0,14,26,0,26,3,0,3,6,0,6,96,23,115
SAL10149,0,0,0,5,0,5,0,0,0,4,0,4,0,0,0,0,0,0,8,3,11
SAL10150,0,0,0,4,0,4,0,0,0,0,0,0,0,0,5,0,0,0,5,4,8
SAL10151,0,6,6,14,3,11,6,0,3,0,0,0,0,0,0,0,0,0,18,8,25
SAL10152,0,3,4,10,0,10,6,0,6,0,0,3,0,0,0,0,0,0,22,4,27
SAL10153,4,0,5,3,9,10,4,0,4,0,0,3,0,0,0,0,0,0,9,11,15
SAL10154,41,801,837,938,132,1072,513,34,550,546,16,559,176,5,183,30,4,31,2243,987,3231
SAL10155,10,98,111,254,15,269,186,8,196,325,4,332,119,7,127,37,0,37,943,133,1073
SAL10156,25,477,510,698,59,761,324,25,345,361,15,373,127,6,128,68,7,77,1601,585,2190
SAL10157,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10
SAL10158,0,5,5,19,4,21,7,4,11,8,0,8,3,0,7,0,0,0,44,10,52
SAL10159,0,4,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
SAL10160,0,25,28,10,8,20,9,3,8,8,3,9,4,4,4,0,0,0,30,44,69
SAL10161,3,5,6,8,0,11,7,0,7,8,0,8,0,0,0,3,0,6,27,6,32
SAL10162,0,20,20,26,6,38,11,5,13,8,0,12,3,0,6,5,0,5,54,33,88
SAL10163,53,1925,1976,1374,280,1659,417,60,479,317,23,336,123,17,140,55,3,57,2345,2308,4651
SAL10164,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
SAL10165,85,1521,1598,1393,220,1612,591,54,643,586,28,613,163,7,170,19,0,20,2840,1826,4662
SAL10166,10,275,281,283,46,323,87,7,88,94,8,99,32,0,32,5,0,5,509,331,836
SAL10167,8,48,54,115,4,119,39,3,38,44,3,47,21,0,21,4,0,4,223,57,278
SAL10168,0,17,20,57,0,57,27,0,31,35,0,36,11,0,14,5,0,7,134,24,156
SAL10169,7,182,189,156,44,204,48,13,65,39,10,46,26,4,27,15,0,21,288,253,544
SAL10170,0,4,4,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,8,4,12
SAL10171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10172,0,10,11,15,0,15,9,0,11,5,0,5,5,0,5,5,0,5,35,15,47
SAL10173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
SAL10174,3,37,38,101,11,115,37,4,37,45,0,46,29,0,29,17,0,17,230,51,279
SAL10175,24,179,206,261,72,333,153,20,174,164,26,191,61,4,65,31,0,31,694,309,1006
SAL10176,0,10,10,7,0,8,5,0,5,3,0,3,0,0,0,0,0,0,13,11,18
SAL10177,0,4,4,14,0,18,12,0,12,0,0,0,3,0,3,0,0,0,37,7,47
SAL10178,20,243,261,563,27,588,328,3,331,404,4,408,188,0,187,62,0,62,1554,284,1843
SAL10179,11,201,212,314,41,358,201,30,225,208,3,208,80,3,84,50,9,53,856,287,1143
SAL10180,5,78,81,76,27,103,35,4,41,16,4,24,0,0,0,0,0,0,135,118,248
SAL10181,85,2573,2659,2442,569,3009,2012,246,2260,1821,186,2003,964,101,1066,777,58,831,8099,3732,11827
SAL10182,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SAL10183,0,3,3,8,0,9,6,0,4,0,0,0,0,0,0,0,0,0,15,8,24
SAL10184,0,15,16,21,4,29,7,0,11,7,0,7,4,0,4,0,0,0,43,20,62
SAL10185,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12
SAL10186,91,1813,1903,2328,257,2578,857,70,929,778,38,816,334,15,350,165,12,177,4557,2198,6754
SAL10187,0,7,3,6,0,3,5,0,5,0,0,0,0,0,0,0,0,0,8,4,16
SAL10188,6,191,196,145,35,182,48,16,64,63,6,71,23,0,23,10,0,10,300,244,547
SAL10189,0,36,33,17,9,21,7,4,8,5,0,5,0,0,0,0,0,0,27,44,67
SAL10190,0,4,4,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,3,13
SAL10191,3,116,119,83,32,113,36,5,44,25,5,23,18,5,25,10,0,11,176,162,337
SAL10192,0,52,52,41,10,53,17,5,19,0,0,0,0,0,0,0,0,0,60,74,133
SAL10193,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SAL10194,5,84,95,337,15,353,223,7,230,314,0,313,167,4,173,70,0,71,1127,106,1238
SAL10195,5,152,161,255,48,302,361,15,378,489,15,505,190,7,198,127,8,139,1442,239,1677
SAL10196,8,137,141,233,15,254,135,9,144,168,6,177,67,0,67,23,0,28,641,172,812
SAL10197,10,163,169,228,24,256,116,12,125,154,5,155,62,0,62,47,0,47,614,203,816
SAL10198,0,76,79,61,3,66,16,3,17,24,0,24,9,0,15,3,0,3,117,84,205
SAL10199,15,348,366,477,45,524,235,6,246,220,9,225,147,4,153,94,0,101,1196,415,1612
SAL10200,9,268,278,256,52,308,52,0,55,53,3,58,23,4,23,17,0,16,406,324,729
SAL10201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10202,0,28,28,27,3,29,14,0,11,7,0,7,3,0,3,5,0,5,46,33,81
SAL10203,6,52,52,50,7,60,20,3,24,15,6,20,12,0,12,6,0,6,105,67,169
SAL10204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10205,7,105,115,205,24,230,103,3,108,120,3,120,41,0,38,15,0,15,494,132,631
SAL10206,18,207,224,279,36,320,92,5,98,88,8,96,36,0,40,13,0,13,531,261,794
SAL10207,9,274,284,209,49,261,59,4,64,30,0,33,18,3,16,8,0,8,333,330,665
SAL10208,23,552,572,751,96,839,391,9,404,319,16,331,137,6,143,57,5,68,1682,683,2362
SAL10209,5,74,86,88,11,97,24,0,21,37,5,44,24,0,24,9,0,9,194,92,286
SAL10210,0,14,14,21,3,26,6,0,6,6,0,6,3,0,3,0,0,0,37,16,58
SAL10211,0,13,13,21,0,22,6,0,6,0,0,3,0,0,0,0,0,0,26,16,41
SAL10212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8
SAL10213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10214,0,18,18,34,5,38,5,3,10,7,4,10,4,0,4,3,0,3,56,25,78
SAL10215,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8
SAL10216,0,0,3,7,0,7,0,0,0,0,0,0,0,0,0,5,0,5,5,4,13
SAL10217,0,39,41,62,17,77,22,4,26,18,0,18,5,0,5,6,0,3,115,56,172
SAL10218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10219,0,25,25,19,3,18,3,0,3,11,0,11,5,0,5,0,0,0,37,26,64
SAL10220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10221,4,12,15,12,6,20,0,0,0,7,0,7,6,0,4,3,0,3,38,19,50
SAL10222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
SAL10223,4,158,162,201,42,241,86,11,99,74,7,85,39,3,38,14,0,14,421,218,641
SAL10224,14,528,543,594,105,697,413,32,448,516,46,557,364,29,392,350,23,371,2251,762,3010
SAL10225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10226,0,10,10,11,5,14,0,0,0,6,0,6,3,0,3,0,0,0,27,13,37
SAL10227,51,1317,1365,1442,162,1610,673,40,710,733,25,761,283,19,306,117,6,127,3306,1566,4874
SAL10228,12,321,336,282,59,348,84,11,96,74,5,74,26,6,32,11,5,11,492,403,895
SAL10229,3,445,452,208,63,271,56,14,73,37,9,46,12,4,16,9,3,10,332,534,869
SAL10230,0,0,3,9,0,7,4,0,0,0,0,5,0,0,0,0,0,0,9,8,16
SAL10231,53,1563,1615,894,231,1127,327,64,391,215,10,226,73,12,86,34,3,39,1596,1890,3491
SAL10232,0,167,173,203,29,235,53,6,61,42,3,52,22,4,26,13,0,11,341,218,551
SAL10233,120,1863,1979,3188,270,3457,2406,90,2493,2909,64,2974,1122,30,1144,454,7,458,10192,2322,12518
SAL10234,3,17,20,31,3,29,18,0,18,12,0,12,7,0,7,8,0,8,73,20,99
SAL10235,6,95,99,143,41,185,33,3,34,36,6,36,17,0,19,0,0,4,235,148,384
SAL10236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10237,18,547,570,507,52,563,164,0,167,177,9,181,88,0,82,50,0,49,997,619,1608
SAL10238,22,281,305,609,42,649,410,23,429,624,15,646,264,4,273,134,7,142,2054,384,2434
SAL10239,4,119,125,157,33,191,73,15,89,54,7,62,6,0,9,13,0,15,304,180,486
SAL10240,3,7,12,11,0,12,0,0,0,0,0,0,0,0,0,0,0,0,17,11,29
SAL10241,0,5,5,6,0,13,0,0,0,3,0,3,6,0,6,0,0,0,17,0,22
SAL10242,0,6,6,22,4,29,8,0,8,4,0,4,0,0,0,5,0,5,36,11,48
SAL10243,18,152,174,514,25,545,528,8,533,830,4,837,354,0,356,162,0,159,2407,199,2605
SAL10244,0,11,11,9,0,12,7,0,9,3,0,3,3,0,4,0,0,0,32,16,47
SAL10245,4,14,12,38,3,39,12,0,10,13,0,10,4,0,4,0,0,0,61,18,81
SAL10246,0,3,3,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,17,3,17
SAL10247,0,17,17,14,0,17,5,0,5,8,0,8,6,0,6,4,0,4,28,20,50
SAL10248,0,50,50,115,8,125,50,0,55,39,0,39,36,0,36,10,0,10,259,58,318
SAL10249,41,519,559,962,61,1017,563,29,588,822,16,835,290,4,297,144,3,144,2821,629,3449
SAL10250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10251,0,25,29,46,3,52,14,3,16,26,0,25,10,0,7,6,0,6,101,39,135
SAL10252,0,4,6,5,0,5,0,0,4,0,0,0,4,0,4,0,0,0,6,0,12
SAL10253,27,662,683,631,114,744,267,33,298,198,13,212,101,9,116,53,5,62,1282,836,2110
SAL10254,0,14,14,13,0,13,3,0,3,6,0,6,8,0,12,0,0,0,34,13,48
SAL10255,0,0,0,3,0,3,0,0,4,4,0,4,0,0,0,0,0,0,5,5,8
SAL10256,0,17,17,25,7,29,7,0,7,0,0,0,0,0,0,0,0,0,36,20,59
SAL10257,18,492,514,568,64,631,349,20,372,397,18,417,195,14,203,138,3,132,1664,610,2274
SAL10258,0,0,3,14,0,15,12,0,12,7,0,7,8,0,9,3,0,3,48,6,47
SAL10259,0,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11
SAL10260,0,12,14,13,4,15,5,0,5,8,0,8,4,0,5,0,0,0,30,14,49
SAL10261,0,20,19,45,7,52,24,0,24,33,0,33,16,0,16,20,0,20,149,28,176
SAL10262,0,3,3,9,7,5,0,0,0,0,0,3,0,0,0,0,0,0,9,6,19
SAL10263,21,152,170,567,24,591,506,14,524,678,12,692,295,8,298,173,7,184,2238,224,2462
SAL10264,14,555,574,468,100,566,232,26,258,192,16,208,77,4,77,44,3,45,1027,710,1735
SAL10265,0,8,8,26,5,26,0,0,0,0,0,0,5,4,9,0,0,0,36,16,52
SAL10266,0,37,37,35,10,38,9,0,12,9,0,9,6,0,11,0,0,4,60,50,108
SAL10267,3,10,8,24,4,34,3,4,11,4,0,4,3,0,3,0,0,0,42,17,58
SAL10268,7,163,171,242,35,276,148,3,154,129,7,143,68,3,67,33,0,33,630,211,844
SAL10269,8,75,83,89,10,96,54,4,59,47,0,47,24,0,24,3,0,3,222,81,307
SAL10270,0,43,43,34,11,50,16,0,16,12,4,16,7,0,7,7,0,7,76,64,135
SAL10271,64,1069,1129,1259,300,1556,531,60,591,546,28,575,256,10,265,96,0,94,2750,1464,4213
SAL10272,0,16,14,9,0,9,8,3,9,8,0,8,0,0,0,0,0,0,25,16,37
SAL10273,21,449,477,414,98,513,208,36,241,202,14,215,80,7,88,49,4,51,974,608,1586
SAL10274,0,6,6,16,7,22,4,0,4,6,0,6,0,0,0,0,0,0,29,13,49
SAL10275,0,0,0,0,0,4,0,0,6,5,0,5,0,0,0,0,0,0,8,3,13
SAL10276,49,1066,1118,1041,141,1187,350,31,376,342,15,361,135,0,138,63,3,69,1982,1260,3245
