SAL_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SAL13918,0,3,3,11,0,14,14,0,17,9,0,9,0,0,0,5,0,5,41,4,44
SAL13919,0,7,9,9,0,9,4,0,3,0,0,3,3,0,3,0,0,0,19,9,27
SAL13920,0,32,30,38,12,50,6,5,13,11,3,15,8,4,9,0,0,0,71,58,126
SAL13921,0,8,13,18,0,18,4,0,4,6,0,6,0,0,0,6,0,6,28,6,39
SAL13922,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,11
SAL13923,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10
SAL13924,0,5,5,17,0,16,3,0,3,0,0,0,0,0,0,0,0,0,20,5,23
SAL13925,33,935,969,1250,198,1449,1092,98,1191,1103,67,1171,394,44,440,254,25,274,4125,1366,5493
SAL13926,0,8,8,10,0,10,4,0,4,5,0,5,0,0,0,0,0,0,15,8,21
SAL13927,0,9,6,3,5,8,4,0,4,0,0,0,0,0,0,0,0,0,10,11,19
SAL13928,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6
SAL13929,0,40,42,29,8,43,17,3,17,6,0,13,9,0,4,5,0,5,59,51,114
SAL13930,38,899,938,764,120,887,314,37,345,239,14,252,131,14,142,70,5,78,1548,1100,2642
SAL13931,0,9,9,3,6,6,3,0,3,3,0,3,0,0,0,0,0,0,12,11,22
SAL13932,0,11,11,35,0,38,15,0,15,8,0,8,3,0,8,0,0,0,62,14,79
SAL13933,0,0,0,7,0,11,6,0,6,3,0,3,0,0,0,5,0,5,14,5,20
SAL13934,3,89,91,100,20,125,22,3,22,16,0,20,10,0,10,3,0,3,155,117,267
SAL13935,0,3,3,3,0,11,3,0,6,0,0,0,0,0,0,0,0,0,17,9,26
SAL13936,35,821,862,844,78,922,316,19,333,233,16,245,85,9,87,71,6,81,1580,945,2525
SAL13937,0,22,22,11,6,20,0,0,0,0,0,0,0,0,0,0,0,0,18,31,43
SAL13938,0,13,14,22,5,28,6,0,7,8,0,7,4,0,4,0,0,0,40,19,58
SAL13939,0,6,6,0,0,0,0,4,4,3,0,3,0,0,0,0,0,0,8,5,16
SAL13940,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,6,14
SAL13941,0,78,85,72,17,91,14,0,16,19,0,19,6,0,5,5,0,5,114,105,214
SAL13942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL13943,29,778,807,613,111,726,254,24,282,161,19,175,64,7,75,40,3,44,1160,944,2107
SAL13944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL13945,0,37,43,29,13,42,9,3,8,10,0,15,0,0,3,7,0,7,57,57,113
SAL13946,7,111,124,123,24,148,57,6,63,53,4,57,22,0,20,13,0,13,272,148,419
SAL13947,12,408,419,350,67,414,175,28,204,182,8,192,68,6,71,29,5,37,816,516,1332
SAL13948,0,14,14,13,3,17,9,6,17,4,0,4,6,0,6,4,0,4,41,21,62
SAL13949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL13950,4,160,162,114,32,143,51,6,58,48,9,56,14,0,20,8,0,8,249,203,450
SAL13951,5,19,21,58,4,63,31,0,35,16,0,16,14,0,14,10,4,8,132,29,161
SAL13952,7,342,349,281,68,349,154,19,174,147,32,185,110,19,130,106,3,115,803,489,1294
SAL13953,0,9,9,13,0,11,4,0,4,3,0,3,0,0,0,0,0,0,22,10,30
SAL13954,0,9,9,15,0,15,6,3,4,3,0,9,0,0,0,0,0,0,21,11,34
SAL13955,0,0,0,7,0,7,3,0,3,0,0,0,0,0,0,0,0,0,9,0,9
SAL13956,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10
SAL13957,3,5,9,9,0,7,3,0,3,3,0,3,3,0,3,0,0,0,20,0,20
SAL13958,3,90,95,83,14,98,27,0,31,17,3,25,4,0,4,10,0,10,145,107,257
SAL13959,0,4,5,8,0,5,7,0,7,0,0,0,6,0,6,4,0,4,22,4,27
SAL13960,0,23,20,21,3,25,5,0,5,0,0,0,0,0,0,3,5,3,32,27,55
SAL13961,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
SAL13962,0,9,7,7,0,7,5,0,8,0,0,0,0,0,0,0,0,0,11,4,19
SAL13963,6,35,40,72,6,78,13,0,17,9,0,9,9,0,9,0,0,0,109,46,153
SAL13964,0,5,5,16,5,18,7,0,10,3,0,3,4,0,4,0,0,0,33,8,45
SAL13965,0,13,13,25,3,26,16,6,18,21,0,21,8,0,8,6,0,9,75,22,95
