SAL_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10002,81,35,14,19,17,0,0,14,1205,0,0,0,0,0,0,0,0,0,0,3,1243,83,80,34,17,21,21,0,0,16,1514
SAL10003,51,17,17,12,8,8,0,17,907,0,0,0,0,0,0,0,0,0,25,25,1192,162,95,31,25,20,16,13,0,50,1610
SAL10004,4,0,0,3,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,57,14,3,3,0,3,0,0,0,0,85
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
SAL10006,7,0,0,4,3,4,0,0,51,0,0,0,0,0,0,0,0,0,0,0,95,27,15,5,0,4,3,4,0,0,149
SAL10007,8,0,5,5,0,0,0,4,40,0,0,0,0,0,0,0,0,0,0,0,66,14,20,6,4,7,0,0,0,11,121
SAL10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7
SAL10009,100,16,14,9,18,7,3,0,333,0,0,0,0,0,0,0,0,0,0,0,265,165,141,25,15,11,18,6,8,6,668
SAL10010,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,69,3,8,0,0,3,5,0,0,0,94
SAL10011,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17
SAL10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL10014,236,72,40,32,49,16,4,16,1327,0,0,0,0,0,0,0,0,0,0,0,789,332,275,76,41,38,53,14,5,19,1647
SAL10015,0,0,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,41,0,3,0,0,0,5,0,0,0,59
SAL10016,58,18,31,12,14,11,0,5,341,0,0,0,0,0,0,0,0,0,0,0,415,99,98,24,37,24,28,12,0,13,751
SAL10017,47,6,5,6,12,6,0,5,346,0,0,0,0,0,0,0,0,0,0,3,467,114,82,6,18,18,15,12,0,18,753
SAL10018,3,3,0,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,45,9,7,3,0,7,0,0,0,3,73
SAL10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10021,4,3,3,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,108,9,15,3,3,0,0,0,0,7,136
SAL10022,114,19,13,11,19,9,3,16,556,0,0,0,0,0,0,0,0,0,3,4,361,145,136,21,17,9,28,14,3,35,769
SAL10023,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,3,22
SAL10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10025,71,11,11,8,5,0,0,9,478,3,0,0,0,0,0,0,0,0,0,8,1296,148,137,25,23,15,9,0,4,28,1691
SAL10026,32,11,8,0,7,0,0,13,287,0,0,0,0,0,0,0,0,0,0,0,822,55,54,14,19,5,13,0,0,35,1026
SAL10027,69,29,34,25,13,15,4,8,318,0,0,0,0,0,0,0,0,0,0,0,344,89,97,39,40,30,19,17,3,16,701
SAL10028,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,88,88,48,9,6,0,0,0,0,0,0,91,153
SAL10029,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,12
SAL10030,290,108,101,107,86,65,4,23,1497,0,0,0,0,0,0,0,0,0,0,3,1403,497,616,177,189,189,160,92,24,54,3394
SAL10031,20,0,0,7,0,3,0,0,437,0,0,0,0,0,0,0,0,0,0,0,589,38,33,4,4,15,7,5,0,9,701
SAL10032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6
SAL10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
SAL10036,98,20,20,18,24,16,0,56,699,0,0,0,0,0,0,0,0,0,4,6,1235,311,227,34,32,38,37,30,9,85,2033
SAL10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6
SAL10038,460,134,161,223,171,48,13,37,2906,0,0,0,0,0,0,0,0,0,0,4,1458,471,512,142,176,235,191,53,13,47,3288
SAL10039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8
SAL10040,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,15
SAL10041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8
SAL10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5
SAL10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10044,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,19,0,4,0,0,0,0,0,0,3,28
SAL10045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,12,0,0,0,3,0,0,0,4,62
SAL10046,16,5,9,12,7,0,0,0,149,3,0,0,0,0,0,0,0,0,3,9,489,70,53,7,15,18,13,0,0,14,680
SAL10047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10049,162,23,22,19,32,18,0,20,1173,0,0,0,0,0,0,0,0,0,7,9,1193,263,203,28,35,22,38,23,5,42,1852
SAL10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10053,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,13
SAL10056,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,17
SAL10057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8
SAL10058,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,19
SAL10059,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,26
SAL10060,3,0,6,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,39,0,5,3,6,0,0,0,0,3,57
SAL10061,11,4,4,5,4,0,0,0,94,0,0,0,0,0,0,0,0,0,0,4,484,33,34,5,4,11,6,0,0,15,596
SAL10062,103,37,38,37,43,8,6,32,836,0,0,0,0,0,0,0,0,0,0,0,1408,318,294,67,71,65,80,36,15,68,2434
SAL10063,5,0,3,0,5,0,0,7,77,0,0,0,0,0,0,0,0,0,0,0,187,29,9,4,3,3,6,0,0,6,239
SAL10064,14,5,3,0,0,0,0,4,116,0,0,0,0,0,0,0,0,0,0,0,277,13,32,4,5,3,3,0,0,8,348
SAL10065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
SAL10066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
SAL10069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
SAL10070,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,6,56
SAL10071,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12
SAL10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10073,11,5,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,193,23,16,5,0,0,5,0,0,0,239
SAL10074,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,110,17,13,0,4,0,0,0,0,0,137
SAL10075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
SAL10076,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9
SAL10077,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,28
SAL10078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10079,13,3,9,5,10,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,89,17,17,7,5,5,11,0,0,0,146
SAL10080,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,3,22
SAL10081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,25
SAL10083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5
SAL10086,331,108,164,433,625,103,17,39,2405,0,0,0,0,0,0,0,0,0,4,5,1298,476,464,143,212,463,655,133,19,76,3938
SAL10087,627,225,252,314,355,94,16,98,4564,0,0,0,0,0,0,0,0,0,55,58,2583,708,778,269,300,353,385,102,18,180,5680
SAL10088,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6
SAL10089,3,5,0,0,64,13,11,10,109,0,0,0,0,0,0,0,0,0,0,0,85,3,5,12,0,4,67,13,11,12,205
SAL10090,4,5,0,3,13,4,0,0,43,0,0,0,0,0,0,0,0,0,0,0,45,12,7,5,6,8,20,4,0,4,108
SAL10091,558,199,215,233,240,117,21,29,3370,0,0,0,0,0,0,0,0,0,0,3,1960,716,694,231,266,269,264,130,30,48,4623
SAL10092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9
SAL10094,25,9,8,4,8,3,0,4,687,0,0,0,0,0,0,0,0,0,0,0,880,63,39,13,10,9,7,9,0,13,1037
SAL10095,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,3,46
SAL10096,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,27,5,3,0,0,0,0,0,0,0,35
SAL10097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10098,150,118,43,23,49,16,3,37,1235,0,0,0,0,0,0,0,0,0,0,5,713,210,168,121,50,25,52,18,3,49,1401
SAL10099,1406,469,621,712,675,180,49,275,9268,3,0,0,0,0,0,0,0,0,19,29,5165,1523,1672,534,672,772,732,204,52,361,11683
SAL10100,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,33
SAL10101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,14
SAL10102,36,5,3,13,20,0,3,7,116,0,0,0,0,0,0,0,0,0,4,4,106,22,42,12,8,12,23,7,10,11,244
SAL10103,67,7,0,10,12,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,271,121,105,10,0,16,18,8,0,14,556
SAL10104,558,126,145,96,112,35,14,19,2203,0,0,0,0,0,0,0,0,0,4,6,944,684,653,146,166,108,130,38,23,29,2924
SAL10105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9
SAL10106,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,4,19,0,6,0,0,0,0,0,0,0,30
SAL10107,3498,1018,1880,2686,2361,577,93,682,23845,10,3,7,3,0,10,9,0,0,42,98,8362,3476,3652,1049,1940,2776,2450,602,97,785,25175
SAL10108,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,11
SAL10109,14,6,6,0,4,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,315,45,59,14,8,11,4,7,3,0,457
SAL10110,559,115,112,69,65,30,10,36,2458,0,0,0,0,4,0,0,0,0,146,154,1169,583,619,131,122,76,69,37,14,196,3014
SAL10111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6
SAL10112,56,6,10,17,28,20,3,7,430,0,0,0,0,0,0,0,0,0,0,0,1589,289,250,58,26,39,64,60,12,34,2415
SAL10113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10114,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,21,5,0,0,0,0,0,0,0,0,20
SAL10115,16,6,0,0,5,3,5,4,131,0,0,0,0,0,0,0,0,0,0,0,518,190,138,12,11,6,7,16,9,13,929
SAL10116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10117,0,0,4,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,211,13,0,0,6,3,0,0,0,4,250
SAL10118,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,22
SAL10119,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,26
