SAL_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
SAL10001,14,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,8,..,24,24
SAL10002,1239,4138,6,20,16,27,24,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1264,4191,27,..,1283,4191
SAL10003,665,1892,42,93,349,785,387,877,508,969,393,734,377,823,0,0,0,3,1279,2522,0,0,0,0,0,0,14,26,14,26,0,0,2344,5319,204,..,2557,5319
SAL10004,381,1069,11,25,5,6,17,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,1101,12,..,413,1101
SAL10005,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,7,..,18,20
SAL10006,815,2141,182,317,13,31,199,351,11,23,0,0,0,0,0,0,0,3,14,23,0,0,0,0,3,4,0,0,3,4,0,0,1025,2523,73,..,1102,2523
SAL10007,778,1876,44,76,0,0,44,76,0,14,0,0,0,0,0,0,0,0,0,14,0,0,35,51,0,0,4,4,43,56,0,0,871,2018,74,..,948,2018
SAL10008,38,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,119,13,..,51,119
SAL10009,2009,6076,160,359,0,6,163,363,7,8,0,0,0,0,0,0,4,8,11,21,0,0,0,0,0,0,0,0,0,0,0,0,2184,6462,95,..,2283,6462
SAL10010,873,2411,32,57,0,0,32,57,8,6,0,0,0,0,0,0,5,17,7,23,0,0,0,0,0,0,0,0,0,0,0,9,918,2495,34,..,952,2495
SAL10011,103,306,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,314,7,..,115,314
SAL10012,10,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,30,0,..,14,30
SAL10013,13,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,16,32,0,..,18,32
SAL10014,972,3175,10,36,149,440,164,474,0,0,0,0,0,0,0,0,3,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1133,3656,19,..,1151,3656
SAL10015,161,330,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,175,345,53,..,224,345
SAL10016,1752,4672,212,339,244,476,459,817,278,445,90,139,24,35,0,0,6,14,396,623,0,0,0,0,0,0,7,19,8,20,0,3,2617,6134,170,..,2784,6134
SAL10017,1910,5349,18,40,35,71,52,117,42,84,4,6,0,0,0,0,4,5,49,97,0,0,0,0,0,0,0,7,0,7,0,0,2018,5562,96,..,2112,5562
SAL10018,380,881,9,12,0,3,11,17,8,5,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,11,9,10,11,4,9,408,921,46,..,458,921
SAL10019,41,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,39,92,8,..,47,92
SAL10020,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,16,28,11,..,20,28
SAL10021,316,971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,10,0,0,0,0,0,0,0,0,0,0,0,12,324,991,16,..,340,991
SAL10022,897,2769,54,149,133,297,186,447,0,0,0,0,0,0,0,0,11,36,11,36,0,0,0,0,0,0,0,0,0,0,4,9,1099,3266,104,..,1202,3266
SAL10023,70,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,166,16,..,87,166
SAL10024,28,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,75,0,..,31,75
SAL10025,4081,12041,387,745,300,708,685,1458,24,41,0,0,0,0,0,0,6,11,30,53,0,0,0,0,0,0,4,3,4,3,7,10,4802,13568,134,..,4936,13568
SAL10026,2077,5641,385,658,179,362,564,1020,18,38,0,0,0,0,0,0,6,16,22,45,0,0,0,0,0,0,3,4,3,4,5,4,2668,6717,130,..,2798,6717
SAL10027,1405,3299,493,745,223,321,710,1072,71,122,43,66,35,48,0,0,5,0,147,236,0,0,0,0,0,0,14,32,14,32,10,14,2293,4657,344,..,2630,4657
SAL10028,267,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,681,20,..,279,681
SAL10029,60,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,152,8,..,67,152
SAL10030,223,556,455,966,898,2270,1352,3234,155,273,590,1050,2304,4108,90,143,0,0,3144,5572,0,0,0,0,0,0,25,72,25,72,33,40,4777,9479,518,..,5291,9479
SAL10031,937,3076,0,0,8,28,8,28,0,6,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,6,950,3117,21,..,970,3117
SAL10032,29,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,89,5,..,32,89
SAL10033,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,..,3,4
SAL10034,26,79,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,84,0,..,27,84
SAL10035,47,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,105,3,..,49,105
SAL10036,2052,6505,59,97,23,57,81,157,205,297,0,0,0,0,0,0,35,92,238,384,0,0,0,0,0,0,0,0,0,0,3,11,2373,7055,121,..,2490,7055
SAL10037,30,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,70,8,..,39,70
SAL10038,372,1154,18,40,65,193,76,229,75,177,569,1332,980,2376,0,0,9,25,1638,3915,0,0,0,0,0,0,20,37,20,37,0,0,2115,5334,172,..,2282,5334
SAL10039,20,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,56,16,..,36,56
SAL10040,61,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,61,145,4,..,59,145
SAL10041,84,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,184,12,..,96,184
SAL10042,28,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,47,7,..,37,47
SAL10043,21,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,59,6,..,29,59
SAL10044,53,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,156,9,..,61,156
SAL10045,159,414,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,421,9,..,167,421
SAL10046,1931,4749,502,795,71,115,574,911,19,33,0,0,0,0,0,0,9,19,26,51,0,3,6,15,3,3,0,0,6,17,4,4,2546,5735,145,..,2690,5735
SAL10047,33,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,89,3,..,32,89
SAL10048,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,5,18,0,0,15,42,4,..,13,42
SAL10049,2152,6330,96,223,148,383,239,602,69,123,18,33,0,0,0,0,18,25,99,185,0,0,0,0,0,0,0,0,0,0,3,0,2491,7114,86,..,2584,7114
SAL10050,20,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,24,43,11,..,36,43
SAL10051,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,..,5,3
SAL10052,18,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,42,5,..,24,42
SAL10053,20,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,62,0,..,20,62
SAL10054,15,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,49,8,..,28,49
SAL10055,29,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,66,0,..,30,66
SAL10056,60,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,164,5,..,69,164
SAL10057,15,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,6,17,37,0,..,22,37
SAL10058,47,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,3,0,0,49,100,81,..,133,100
SAL10059,71,162,3,8,10,24,12,26,3,7,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,88,196,77,..,160,196
SAL10060,124,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,125,384,11,..,143,384
SAL10061,1510,3548,112,221,131,312,243,532,0,0,0,0,0,0,0,0,9,20,8,16,11,15,0,0,0,0,12,10,20,35,20,30,1803,4160,223,..,2035,4160
SAL10062,895,2397,1096,2691,750,1848,1839,4540,470,868,294,435,400,575,0,0,27,53,1191,1927,0,0,3,7,0,0,47,102,51,109,7,10,3987,8989,458,..,4439,8989
SAL10063,409,1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,8,11,0,0,0,0,0,0,0,0,0,0,0,0,418,1447,22,..,441,1447
SAL10064,956,3132,12,29,3,11,18,41,4,3,0,0,0,0,0,0,6,8,11,13,0,0,0,0,4,3,9,13,10,15,4,0,1000,3204,29,..,1028,3204
SAL10065,20,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,44,0,..,22,44
SAL10066,13,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,35,5,..,17,35
SAL10067,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,..,9,16
SAL10068,43,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,5,48,117,5,..,50,117
