SAL_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
SAL10069,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,0,..,7,21
SAL10070,195,454,4,4,0,0,4,4,3,3,0,0,0,0,0,0,0,0,0,0,18,31,0,0,0,0,0,0,18,31,0,0,214,498,54,..,270,498
SAL10071,98,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,203,51,..,150,203
SAL10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SAL10073,457,1419,0,7,0,0,0,7,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,4,12,462,1443,17,..,476,1443
SAL10074,549,1357,3,10,0,0,3,10,9,13,0,0,0,0,0,0,0,3,6,15,0,0,0,0,0,0,0,0,0,0,0,0,560,1382,53,..,610,1382
SAL10075,25,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,58,9,..,37,58
SAL10076,78,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,75,184,8,..,88,184
SAL10077,220,440,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,228,448,51,..,278,448
SAL10078,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,0,..,5,19
SAL10079,490,1194,47,68,20,34,69,99,17,26,0,0,0,0,0,0,5,0,19,29,0,0,0,0,0,0,0,3,0,3,0,3,583,1329,47,..,629,1329
SAL10080,86,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,205,14,..,100,205
SAL10081,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,..,9,9
SAL10082,178,424,11,17,0,0,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,190,440,28,..,222,440
SAL10083,14,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,33,9,..,20,33
SAL10084,7,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27,6,..,12,27
SAL10085,67,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,68,165,17,..,83,165
SAL10086,7555,18608,1006,1691,175,300,1182,1987,457,728,60,107,0,0,0,3,9,16,518,853,10,11,56,68,0,3,15,29,82,107,32,58,9375,21608,1033,..,10409,21608
SAL10087,1686,5454,323,824,135,406,453,1228,203,416,536,1138,783,1758,644,1590,15,41,2180,4949,0,0,0,0,0,0,50,142,50,142,13,29,4390,11808,496,..,4887,11808
SAL10088,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,..,8,9
SAL10089,245,415,0,0,6,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,60,185,69,137,0,0,0,0,125,327,7,19,387,766,18,..,403,766
SAL10090,211,576,0,7,0,11,4,12,3,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,221,594,40,..,258,594
SAL10091,828,2573,28,84,304,846,333,931,418,861,1115,2502,647,1383,423,1031,0,0,2606,5782,0,0,0,0,0,0,3,13,3,13,0,4,3771,9301,325,..,4097,9301
SAL10092,14,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,47,0,..,16,47
SAL10093,16,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,44,4,..,24,44
SAL10094,1013,3012,37,101,39,120,83,227,17,32,0,0,0,0,0,0,7,23,24,56,0,0,0,0,0,0,5,8,5,8,4,9,1129,3313,45,..,1167,3313
SAL10095,140,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,294,14,..,161,294
SAL10096,120,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,124,300,9,..,132,300
SAL10097,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,0,..,13,19
SAL10098,877,3054,0,8,13,41,11,45,143,278,112,165,0,0,0,0,31,85,286,525,0,0,0,0,0,0,0,8,0,8,3,0,1172,3642,120,..,1293,3642
SAL10099,2083,6394,399,935,314,857,709,1789,1658,3205,3279,6664,1509,3119,252,559,16,38,6724,13583,0,0,0,0,0,0,44,109,44,109,19,55,9583,21932,1104,..,10686,21932
SAL10100,276,613,9,12,0,0,9,12,0,9,0,0,0,0,0,0,0,0,5,4,6,18,0,0,0,0,4,8,14,19,0,0,300,653,43,..,340,653
SAL10101,132,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,133,342,14,..,149,342
SAL10102,1285,3246,0,3,0,0,0,3,264,386,0,0,0,0,0,0,0,0,272,386,0,0,0,0,5,0,0,0,5,0,0,0,1561,3640,110,..,1674,3640
SAL10103,1489,4316,96,185,3,4,99,190,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,7,1591,4518,52,..,1640,4518
SAL10104,960,2876,22,52,175,463,197,510,39,77,0,0,1031,2518,36,93,13,24,1116,2715,0,0,0,0,0,0,14,12,14,12,0,0,2275,6121,163,..,2443,6121
SAL10105,27,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,74,13,..,42,74
SAL10106,221,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,4,0,0,0,8,7,0,6,228,547,20,..,246,547
SAL10107,5002,18625,163,419,1029,3219,1191,3632,1497,3937,1172,3468,1060,3273,1555,5117,199,637,5477,16435,0,0,0,0,3,5,35,140,40,146,53,143,11765,38987,1152,..,12921,38987
SAL10108,46,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,126,10,..,53,126
SAL10109,802,2317,12,22,85,199,100,216,33,65,38,75,0,0,0,0,0,5,73,144,0,0,0,0,0,0,0,4,0,4,8,16,981,2692,126,..,1106,2692
SAL10110,1881,6024,8,34,105,306,116,344,7,10,26,38,0,0,0,0,8,35,50,86,0,0,0,0,0,3,0,3,0,7,70,233,2123,6683,142,..,2261,6683
SAL10111,58,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,153,5,..,62,153
SAL10112,2964,8742,132,189,50,128,176,311,246,515,206,372,50,108,0,0,22,42,519,1038,0,0,3,5,0,0,0,8,6,10,7,26,3675,10127,301,..,3979,10127
SAL10113,17,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,3,6,0,0,20,43,11,..,30,43
SAL10114,78,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,206,12,..,89,206
SAL10115,1395,4083,10,29,82,183,93,216,55,129,38,74,31,49,0,6,8,21,132,278,0,0,0,0,0,0,3,7,4,6,0,0,1631,4579,582,..,2210,4579
SAL10116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SAL10117,482,1288,20,43,191,343,206,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695,1683,22,..,715,1683
SAL10118,57,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,155,5,..,67,155
SAL10119,143,408,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,148,414,0,..,149,414
SAL10120,87,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,188,6,..,92,188
SAL10121,67,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,157,8,..,77,157
SAL10122,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,13,4,..,9,13
SAL10123,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,..,3,4
SAL10124,17,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,58,11,..,26,58
SAL10125,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,0,..,4,20
SAL10126,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,6,..,13,19
SAL10127,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,18,..,20,7
SAL10128,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,..,4,7
SAL10129,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,6,..,14,20
SAL10130,29,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,97,0,..,34,97
SAL10131,51,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,151,3,..,56,151
SAL10132,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,10,..,17,21
SAL10133,55,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,167,9,..,68,167
SAL10134,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,..,5,8
SAL10135,39,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,99,7,..,45,99
SAL10136,7,27,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,30,5,..,11,30
SAL10137,21,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,43,0,..,24,43
SAL10138,16,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,40,0,..,16,40
SAL10139,22,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,6,0,0,25,54,6,..,23,54
SAL10140,15,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,49,6,..,20,49
SAL10141,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,27,10,..,22,27
SAL10142,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,..,3,12
SAL10143,30,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,30,63,0,..,30,63
SAL10144,202,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,565,9,..,211,565
SAL10145,58,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,130,18,..,73,130
SAL10146,378,962,0,0,0,0,0,0,17,28,0,0,0,0,0,0,3,7,16,33,0,0,0,0,0,0,0,0,0,0,0,0,397,1003,70,..,468,1003
SAL10147,21,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,50,5,..,24,50
SAL10148,116,315,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,316,11,..,127,316
SAL10149,11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,0,..,11,25
