SAL_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
SAL12348,60,0,17,0,0,76,10,0,9,0,0,18,6,0,4,0,0,8,14,0,5,0,0,24,10,0,0,0,0,15,22,0,24,0,0,51,26,4,27,0,0,53,63,4,73,0,0,143,34,0,61,0,0,101,93,0,76,0,0,171,405,11,83,0,0,494,53,3,19,0,0,81,804,23,393,0,0,1220
SAL12349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SAL12350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,4,0,0,0,0,4,26,0,0,0,0,26,4,0,0,0,0,4,40,0,0,0,0,46
SAL12351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL12352,28,0,0,0,0,32,9,0,0,0,0,9,13,0,0,0,0,17,17,4,0,0,0,20,38,3,0,0,0,40,89,20,0,0,0,108,96,13,0,0,0,105,162,16,0,0,0,178,118,7,0,0,0,122,127,3,0,0,0,126,64,0,0,0,0,67,48,5,0,0,0,52,795,69,0,0,0,873
SAL12353,19,0,0,0,0,19,14,0,0,0,0,14,8,0,0,0,0,15,24,4,0,0,0,27,31,0,0,0,0,33,100,3,0,0,0,108,72,0,0,0,0,74,42,0,0,0,0,42,16,0,0,0,0,15,5,0,0,0,0,5,0,0,0,0,0,0,13,0,0,0,0,14,355,9,8,0,0,366
SAL12354,14,0,0,0,0,15,8,0,0,0,0,9,8,7,0,0,0,11,9,10,0,0,0,15,8,3,0,0,0,18,61,15,0,0,0,78,65,3,0,0,0,67,54,5,0,0,0,58,12,0,0,0,0,12,11,0,0,0,0,11,8,0,0,0,0,8,14,0,0,0,0,16,260,43,0,0,0,303
SAL12355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
SAL12356,23,0,0,0,0,27,15,0,0,0,0,15,14,0,0,0,0,10,29,0,0,0,0,33,37,0,0,0,0,35,135,4,0,0,0,142,109,3,0,0,0,116,68,0,3,0,0,71,21,0,0,0,0,21,19,0,0,0,0,19,8,0,0,0,0,8,22,3,0,0,0,23,487,15,6,3,0,512
SAL12357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
