SAL_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
SAL10001,0,3,5,0,0,4,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,3,7,3,5,5,0,28
SAL10002,116,194,116,105,171,32,0,725,65,104,50,48,156,13,0,431,20,39,13,20,72,3,0,160,3,6,3,0,30,0,0,50,696,832,385,367,1133,124,3,3538
SAL10003,149,260,101,61,115,20,0,708,117,214,132,71,163,43,0,748,52,127,61,46,132,47,0,459,18,28,11,7,75,54,0,202,971,1441,633,373,915,264,4,4605
SAL10004,36,47,37,13,23,3,0,154,16,38,18,8,17,0,0,94,7,15,6,6,13,0,0,55,0,3,0,0,0,0,0,3,177,287,147,69,150,20,0,858
SAL10005,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,3,5,0,3,0,17
SAL10006,52,76,43,38,96,11,0,318,27,36,38,28,108,0,0,236,17,22,16,9,60,9,0,126,6,3,0,0,17,0,0,30,364,492,232,202,645,79,0,2018
SAL10007,45,78,45,30,73,23,0,294,26,48,36,32,66,10,0,224,16,18,16,22,42,9,0,116,0,9,0,0,21,3,0,35,296,440,209,164,443,100,0,1649
SAL10008,11,0,0,0,0,0,0,14,3,7,8,0,3,0,0,22,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,30,24,11,9,14,4,0,89
SAL10009,108,191,111,63,133,18,0,614,58,89,77,71,113,7,0,414,19,29,21,21,57,6,0,157,0,7,0,3,17,0,0,34,1015,1400,641,499,1129,122,4,4810
SAL10010,40,92,59,47,86,13,0,341,17,47,33,15,89,12,0,213,13,19,6,23,56,6,0,119,3,0,0,4,12,0,0,25,298,524,243,199,597,68,0,1926
SAL10011,7,13,5,10,11,0,0,39,0,3,5,3,5,0,0,21,0,0,0,0,3,0,0,4,0,0,0,0,3,0,0,3,49,68,28,29,65,8,0,248
SAL10012,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,10,10,0,26
SAL10013,0,0,0,0,4,4,0,5,0,0,0,0,5,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,9,8,0,24
SAL10014,71,133,63,47,93,0,3,411,30,44,40,24,86,0,0,226,9,18,12,5,42,5,0,85,0,7,0,0,7,0,0,24,584,788,383,285,759,39,6,2841
SAL10015,12,17,11,7,12,15,0,81,4,7,3,6,14,7,0,42,3,13,6,10,12,7,0,45,0,0,0,0,3,3,0,6,69,82,30,34,102,88,0,400
SAL10016,128,242,112,62,154,21,0,718,60,135,68,62,131,15,0,467,28,70,39,26,111,19,0,301,24,15,9,6,55,5,0,113,1209,1656,593,352,1179,201,10,5198
SAL10017,100,215,94,38,83,11,0,539,64,149,108,50,93,7,0,476,45,101,68,61,120,8,0,399,24,29,8,13,59,7,0,141,986,1442,693,380,769,76,0,4351
SAL10018,21,41,27,28,48,3,0,158,13,30,29,18,41,11,0,136,7,15,12,6,28,3,0,74,4,4,0,0,4,0,0,23,156,195,113,89,193,41,0,782
SAL10019,4,0,3,0,6,5,0,21,4,0,3,3,3,3,0,15,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,13,10,11,9,15,21,0,75
SAL10020,0,0,0,0,0,0,0,5,0,5,0,0,4,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,10,3,4,5,5,0,28
SAL10021,9,43,33,11,27,11,0,135,16,24,22,12,19,10,0,92,3,10,4,6,14,5,0,33,0,0,0,0,8,0,0,10,146,231,117,79,182,38,0,804
SAL10022,29,47,22,26,133,25,0,293,23,35,15,12,112,23,3,218,9,12,7,10,46,14,0,91,0,0,0,0,9,0,0,15,316,384,174,259,941,320,8,2397
SAL10023,9,17,3,3,5,0,0,31,8,12,0,4,4,0,0,25,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,33,39,24,10,21,13,0,137
SAL10024,8,7,3,0,0,0,0,13,6,0,0,4,3,0,0,13,0,0,0,3,0,0,0,5,0,0,0,0,3,0,0,3,20,16,8,11,9,8,0,60
SAL10025,261,509,270,217,357,43,3,1664,113,277,190,170,292,43,0,1095,59,95,72,77,237,52,0,582,26,36,11,12,83,110,0,286,2140,2974,1454,1157,2655,468,6,10862
SAL10026,130,273,141,97,264,23,0,924,77,167,130,109,277,26,0,784,52,64,47,58,215,18,0,452,26,22,14,8,138,11,0,212,995,1396,686,552,1773,264,4,5670
SAL10027,130,239,94,27,119,34,0,650,104,214,116,48,172,23,0,672,51,87,55,44,126,15,0,375,15,22,17,10,90,9,0,154,970,1324,560,281,1005,229,10,4362
SAL10028,17,32,20,13,31,28,0,143,11,34,27,9,33,5,0,124,11,13,6,10,23,5,0,72,3,0,0,0,11,0,0,9,112,139,97,54,146,793,0,1337
SAL10029,8,7,8,4,0,0,0,28,4,5,3,4,6,0,0,17,0,0,0,0,8,5,0,12,0,0,0,0,0,0,0,0,29,28,14,19,23,9,0,121
SAL10030,157,289,86,36,120,34,3,729,55,129,63,26,107,25,0,398,32,35,16,12,49,8,0,153,9,7,4,0,19,6,0,44,2148,3182,800,335,1517,441,16,8441
SAL10031,93,183,117,92,83,0,0,569,52,101,88,39,75,0,0,352,25,25,13,13,34,0,0,111,7,5,0,0,16,0,0,31,579,715,386,291,575,28,0,2574
SAL10032,3,0,3,3,10,0,0,19,3,0,0,5,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,17,6,16,15,0,0,70
SAL10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,4
SAL10034,0,0,4,0,4,0,0,15,0,0,5,0,6,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,15,18,6,20,0,0,73
