SAL_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
SAL10001,59,867,887,0,1687,0.6,1625,2.4
SAL10002,42,2216,849,550,2684,0.8,2611,3.3
SAL10003,47,3000,1173,550,2988,0.9,2259,2.3
SAL10004,39,1733,1006,393,2533,0.7,2196,2.8
SAL10005,60,758,524,300,1624,0.7,1024,1.8
SAL10006,36,1430,635,305,1532,0.8,1251,2.5
SAL10007,41,1517,716,280,1917,0.7,1424,2.4
SAL10008,37,150,949,210,3083,0.8,2250,2.9
SAL10009,32,1950,874,430,2257,0.8,2145,3
SAL10010,36,1430,676,320,1771,0.9,1451,2.7
SAL10011,36,1560,749,360,2205,0.9,2042,3
SAL10012,42,1150,1100,0,2416,0.8,2374,2.7
SAL10013,52,1571,624,275,1187,0.7,1062,2.1
SAL10014,36,2470,1050,540,2800,0.9,2789,3.2
SAL10015,47,975,894,400,1350,0.6,1174,2
SAL10016,36,2100,930,395,2438,0.8,1873,2.4
SAL10017,39,2201,983,473,2671,0.8,2318,2.8
SAL10018,49,1200,594,213,1448,0.7,1170,2.3
SAL10019,47,625,1097,150,2312,0.8,2250,2.8
SAL10020,63,650,602,0,1374,0.5,762,1.8
SAL10021,39,2600,950,440,2517,0.8,2446,3.1
SAL10022,29,2205,448,220,1111,0.9,940,2.9
SAL10023,43,780,433,240,1042,0.8,788,2.4
SAL10024,52,463,612,0,1625,0.8,1218,2.6
SAL10025,36,2058,806,460,2132,0.8,1936,2.9
SAL10026,41,1820,637,390,1645,0.8,1407,2.5
SAL10027,45,1733,931,277,2359,0.7,1616,2
SAL10028,35,1483,633,350,1445,0.7,1230,2.5
SAL10029,38,1257,762,160,2125,0.7,1803,2.4
SAL10030,34,2743,1627,560,3600,1.1,2638,2
SAL10031,42,2595,955,768,2978,0.8,2965,3.3
SAL10032,42,2600,871,265,2583,0.8,2625,3.1
SAL10033,59,400,333,0,1074,1,1074,3
SAL10034,45,3500,678,600,2562,0.7,2249,2.9
SAL10035,53,2214,866,270,2312,0.6,1562,2.1
SAL10036,43,3467,1002,600,3298,0.9,2893,3
SAL10037,50,2414,1042,300,2750,0.8,1875,2.3
SAL10038,36,2167,765,425,1960,1,1763,2.5
SAL10039,33,0,900,250,2250,0.8,1875,3.2
SAL10040,53,1517,494,150,1375,0.9,1024,2.4
SAL10041,49,1853,612,300,1531,0.8,1213,2.2
SAL10042,65,1200,575,587,1374,0.6,1042,1.9
SAL10043,51,434,762,185,1875,0.8,1792,2.8
SAL10044,49,3033,991,350,2449,0.9,2457,2.8
SAL10045,52,2000,854,310,2272,0.7,2053,2.6
SAL10046,51,1732,673,380,1690,0.7,1309,2.3
SAL10047,42,1907,593,310,1449,0.8,1281,2.6
SAL10048,45,2709,1031,240,2333,0.8,2166,2.7
SAL10049,34,1803,624,350,1611,0.8,1429,2.8
SAL10050,65,667,575,0,1625,0.6,1125,1.9
SAL10051,61,0,2167,0,4249,0.5,3250,1.7
SAL10052,51,964,567,0,1958,1,1125,2.7
SAL10053,35,2167,604,525,2750,0.9,3049,3.4
SAL10054,50,1018,849,163,2583,0.9,2187,2.8
SAL10055,47,1767,700,129,1437,0.8,2083,2.5
SAL10056,48,1477,719,260,1812,0.7,1562,2.5
SAL10057,54,5000,487,50,1375,0.8,850,1.6
SAL10058,63,1083,671,470,1125,0.6,1187,1.9
SAL10059,58,1560,730,545,1812,0.8,1562,2.3
SAL10060,45,2000,765,350,1958,0.9,1875,3
SAL10061,52,1733,612,390,1457,0.7,1191,2.3
SAL10062,39,3467,1437,570,3905,1,2676,2.3
SAL10063,43,3000,900,500,2529,0.8,2662,3.5
SAL10064,33,2507,975,450,2507,0.8,2423,3.2
SAL10065,48,1791,900,480,1874,0.9,1375,2.4
SAL10066,41,2800,669,345,1875,1.2,1812,3.5
SAL10067,43,2600,1542,285,3083,0.9,2312,2.6
SAL10068,46,1300,710,300,1875,0.7,1437,2.5
SAL10069,44,0,900,350,3249,0.6,3125,2.4
SAL10070,59,1733,628,400,1513,0.7,1349,2.2
SAL10071,54,1105,629,225,1525,0.8,1042,2.1
SAL10072,54,0,1125,0,0,0.8,0,4
SAL10073,45,3305,914,485,2736,0.8,2644,3.2
SAL10074,44,1684,755,385,1855,0.8,1546,2.5
SAL10075,58,1300,562,100,1093,0.8,900,2.1
SAL10076,51,2000,696,200,1474,0.7,1328,2.3
SAL10077,56,433,460,150,1042,0.7,788,2
SAL10078,42,1060,941,0,2250,0.8,1999,2.7
SAL10079,40,1517,617,350,1608,0.8,1320,2.3
SAL10080,51,1376,531,250,1196,0.8,1069,2.3
SAL10081,49,0,900,0,2750,1,2750,3.5
SAL10082,50,780,597,160,1432,0.8,1019,2.3
SAL10083,50,2000,612,250,1542,0.8,1593,2.9
SAL10084,41,1517,1125,0,2249,0.9,1625,3.5
SAL10085,45,221,814,100,1875,0.8,1292,2.5
SAL10086,35,1500,737,290,1893,0.7,1431,2.3
SAL10087,34,2318,852,500,2205,1.1,2043,2.7
SAL10088,46,0,1458,530,2250,1.3,2250,1.3
SAL10089,65,651,535,188,930,0.8,770,1.9
SAL10090,46,1625,683,380,1792,0.8,1596,2.7
SAL10091,37,2772,1196,525,3052,1.1,2414,2.5
SAL10092,46,2000,949,0,2416,0.8,2166,2.8
SAL10093,45,4117,1053,25,1906,0.9,1812,2.8
SAL10094,45,2817,884,600,2869,0.9,2568,2.9
SAL10095,61,1300,575,360,1333,0.7,1147,2
SAL10096,54,1300,522,310,1444,0.8,1218,2.4
SAL10097,58,3250,743,0,774,0.7,1125,2.3
SAL10098,32,1950,459,290,1316,1,1084,3.1
SAL10099,36,2214,890,440,2256,1,1886,2.3
SAL10100,54,650,456,180,1046,0.7,851,2.2
SAL10101,34,1257,949,280,2366,0.9,1875,2.7
SAL10102,35,1105,574,220,1253,0.7,991,2.3
SAL10103,39,1950,880,440,2354,0.7,2146,2.8
SAL10104,36,2400,1035,490,2603,1.1,2295,2.7
SAL10105,46,433,512,84,1656,0.9,1399,2.6
SAL10106,43,1268,746,300,1718,0.7,1410,2.5
SAL10107,31,2000,581,410,1440,1.2,1529,3.3
SAL10108,47,1820,774,335,1968,0.8,1812,2.8
SAL10109,41,2678,1080,550,2955,0.8,2592,2.8
SAL10110,31,2535,933,520,2224,0.8,2163,3.1
SAL10111,51,1350,599,260,1625,0.9,1350,2.7
SAL10112,46,3250,992,700,2891,0.8,2486,2.8
SAL10113,50,1571,575,380,1312,0.9,1124,2.4
SAL10114,53,2763,855,330,2416,0.7,2299,2.7
SAL10115,43,2513,933,538,2671,0.8,2379,2.8
SAL10116,0,0,0,0,0,0,0,0
SAL10117,40,1903,727,300,1931,0.8,1527,2.4
SAL10118,47,1733,866,500,2583,0.8,2125,2.7
SAL10119,39,1755,782,300,2178,0.9,1718,2.8
SAL10120,51,1842,794,430,2173,0.6,1825,2.3
SAL10121,46,1148,812,300,1875,0.7,1771,2.5
SAL10122,59,750,833,200,2249,0.6,1624,1.9
SAL10123,64,0,575,0,0,0.3,575,1
SAL10124,25,2167,1089,133,2166,0.9,2250,3.4
SAL10125,42,1133,449,0,1374,0.9,2250,3.6
SAL10126,61,1700,941,0,2125,0.8,1375,2.4
SAL10127,60,1200,450,380,1249,0.7,900,1.8
SAL10128,57,0,574,81,0,0.4,574,1
SAL10129,44,0,525,350,1062,1,1062,2.6
SAL10130,56,4768,662,400,1833,0.9,1375,2.9
SAL10131,43,1421,695,276,1958,0.8,1843,2.8
SAL10132,65,0,680,0,1624,0.8,1124,1.9
SAL10133,41,1300,496,505,1312,0.8,1292,3
SAL10134,79,0,949,200,2124,0.4,1125,1.7
SAL10135,48,1885,512,245,1312,0.8,1312,2.5
SAL10136,42,1517,725,250,1437,0.8,1375,2.6
SAL10137,59,1365,687,275,1875,0.6,1437,2.3
SAL10138,43,2167,849,345,2125,0.9,2083,3.4
SAL10139,49,2730,725,450,2250,0.8,1749,2.4
SAL10140,50,2600,450,250,1562,0.9,1375,2.6
SAL10141,57,2366,416,100,699,0.9,366,1.5
SAL10142,60,0,849,0,1937,0.5,1937,2.3
SAL10143,53,1690,887,180,2124,0.7,1791,2.2
SAL10144,40,2000,845,500,2135,0.8,2023,2.9
SAL10145,57,1300,612,175,1875,0.7,1350,2.2
SAL10146,43,1733,696,390,1853,0.7,1532,2.5
SAL10147,34,580,630,300,1416,1,1416,3.1
SAL10148,45,1745,654,375,1768,0.8,1462,2.7
SAL10149,46,1249,665,205,1624,0.9,1249,2.7
SAL10150,25,1600,575,200,1249,0.9,1574,2.5
SAL10151,48,925,674,0,2050,0.8,1562,2.2
SAL10152,41,1300,866,171,1625,0.8,1874,3
SAL10153,39,500,637,225,630,0.9,1012,3
SAL10154,41,3250,1263,640,3462,0.9,2672,2.5
SAL10155,43,4878,1317,1320,4784,0.8,4688,3.3
SAL10156,42,2383,809,450,2321,0.8,1906,2.6
SAL10157,37,745,850,100,2249,1.1,2374,3.5
SAL10158,48,2100,537,150,1375,0.8,1350,2.8
SAL10159,52,2500,575,255,1374,0.7,1125,2.3
SAL10160,47,800,524,100,1724,0.8,1292,2.3
SAL10161,43,1930,677,400,1792,0.9,1483,2.9
SAL10162,44,1441,845,240,2062,0.8,1857,2.6
SAL10163,55,1733,619,360,1448,0.7,1012,2
SAL10164,54,0,725,0,0,0.3,725,1
SAL10165,42,3986,1565,625,4562,0.9,3023,2.2
SAL10166,46,4333,1550,619,4641,0.9,3034,2.2
SAL10167,45,1950,760,380,2083,0.8,1920,2.6
SAL10168,43,2167,891,415,2263,0.8,2117,3
SAL10169,48,869,707,200,1690,0.7,1205,2.3
SAL10170,51,3120,664,260,1375,0.9,949,2.8
SAL10171,0,0,0,0,0,0,0,0
SAL10172,49,2221,687,272,1541,1,1874,2.8
SAL10173,23,0,624,0,1625,1,1499,3.5
SAL10174,45,2167,844,385,2435,0.7,2172,2.9
SAL10175,40,2185,911,650,2300,0.9,2101,2.7
SAL10176,53,2492,774,0,2250,0.6,1437,2
SAL10177,41,2479,1031,650,3083,0.7,2625,2.6
SAL10178,42,2800,950,650,2843,0.8,2626,2.9
SAL10179,41,2500,762,500,2174,0.9,2015,2.8
SAL10180,33,3000,1359,620,2571,1.2,2206,2
SAL10181,34,1800,542,400,1436,1.2,1329,2.9
SAL10182,59,0,1374,225,2250,1.3,2124,2
SAL10183,53,2167,857,0,1812,0.8,1625,2.2
SAL10184,53,1950,1106,660,2374,0.7,2233,2.4
SAL10185,48,0,850,150,1624,0.6,1208,2
SAL10186,49,1869,628,440,1571,0.7,1266,2.4
SAL10187,57,1100,483,450,1624,0.8,1187,2.1
SAL10188,40,2800,1200,393,3619,0.8,2300,2.3
SAL10189,53,1500,725,300,2333,0.7,1166,1.7
SAL10190,51,2054,1075,280,1249,0.7,1125,1.8
SAL10191,49,650,527,157,1266,0.8,1044,2.2
SAL10192,39,8667,2133,1223,4807,1,4594,1.8
SAL10193,64,0,350,147,0,0,725,0
SAL10194,40,2656,1028,688,3145,0.8,3136,3.3
SAL10195,30,2600,986,550,2401,0.9,2408,3.5
SAL10196,42,2800,924,550,2709,0.9,2386,2.8
SAL10197,42,2600,793,550,2329,0.9,2093,2.9
SAL10198,48,744,637,200,1787,0.7,1256,2.2
SAL10199,41,2167,740,408,2032,0.8,1732,2.8
SAL10200,58,1148,573,190,1368,0.7,1004,2.1
SAL10201,0,0,0,0,0,0,0,0
SAL10202,51,1219,440,260,1024,1.1,812,2.4
SAL10203,48,650,475,190,1125,0.7,864,2.4
SAL10204,0,0,0,0,0,0,0,0
SAL10205,38,1733,794,360,2020,0.8,1775,2.7
SAL10206,46,1387,720,260,1762,0.7,1369,2.3
SAL10207,58,758,470,200,1137,0.6,778,1.9
SAL10208,41,1863,615,380,1594,0.8,1336,2.5
SAL10209,47,2600,786,480,2510,0.8,1828,2.6
SAL10210,45,1733,484,310,1224,0.8,1149,2.6
SAL10211,63,1950,675,242,1416,0.8,1218,2.1
SAL10212,41,0,1375,0,3499,0.5,2249,1.8
SAL10213,0,0,0,0,0,0,0,0
SAL10214,49,2633,993,450,2749,0.8,2125,2.5
SAL10215,55,0,437,180,1249,1.1,749,3
SAL10216,50,1083,949,300,2750,1.1,2624,2.6
SAL10217,56,1625,572,270,1382,0.7,1275,2.3
SAL10218,57,0,350,0,0,1,350,1
SAL10219,44,1465,758,250,2124,0.8,1437,2.4
SAL10220,26,0,0,0,0,0,0,0
SAL10221,46,1900,871,250,2607,0.7,1812,2.6
SAL10222,48,0,342,0,1024,0.9,725,3.4
SAL10223,47,1529,624,360,1555,0.7,1258,2.4
SAL10224,34,2383,532,450,1576,1,1410,3.3
SAL10225,25,0,549,0,0,0.8,0,4
SAL10226,47,2253,637,0,2150,0.8,2071,2.8
SAL10227,42,2058,719,400,2001,0.8,1472,2.5
SAL10228,53,1365,615,323,1408,0.7,1141,2
SAL10229,52,1300,567,290,1149,0.7,828,1.8
SAL10230,54,2300,949,225,2374,0.6,1625,2.5
SAL10231,40,1509,761,300,1648,0.7,1212,1.9
SAL10232,49,867,616,180,1412,0.7,1067,2.2
SAL10233,39,2600,969,520,2748,0.9,2471,3
SAL10234,45,2015,954,405,2386,0.8,2160,2.8
SAL10235,57,1733,658,325,1646,0.7,1262,2.2
SAL10236,0,0,0,0,0,0,0,0
SAL10237,58,3691,880,850,3050,0.7,1878,2.3
SAL10238,41,3262,980,728,3028,0.9,2934,3.2
SAL10239,33,2990,1466,650,3510,1,3067,2.4
SAL10240,59,693,388,150,900,0.8,780,2.1
SAL10241,39,2167,612,700,1874,0.8,1437,3.1
SAL10242,63,2306,837,250,2062,0.7,1958,2.4
SAL10243,38,3000,1044,650,3274,0.8,3308,3.5
SAL10244,39,1708,710,105,1458,0.8,1125,2.7
SAL10245,49,2167,807,305,1718,0.6,1550,2.4
SAL10246,41,488,630,200,1374,0.8,1208,2.8
SAL10247,47,1,667,250,1821,0.7,1375,2.5
SAL10248,37,1950,682,368,1641,0.8,1508,2.8
SAL10249,43,3350,1082,590,3298,0.8,2956,3
SAL10250,65,1000,1024,0,0,0.3,1024,1
SAL10251,38,1300,816,250,2097,0.8,1803,2.6
SAL10252,37,1517,1292,0,2750,1,2250,2.9
SAL10253,43,1408,666,320,1564,0.7,1196,2.3
SAL10254,31,0,1096,175,2374,0.7,2111,2.8
SAL10255,42,3150,1249,0,3249,0.7,2249,2.5
SAL10256,57,2167,522,300,1375,0.8,985,2.1
SAL10257,40,2500,671,460,2056,1,1728,2.9
SAL10258,43,2447,854,530,2583,0.9,2833,3.4
SAL10259,54,867,724,180,2250,0.6,575,1.4
SAL10260,44,3142,1194,129,2700,0.7,2187,2.6
SAL10261,39,2383,797,480,2216,0.8,2222,3.3
SAL10262,45,1445,537,0,2249,1,1375,2.4
SAL10263,41,3400,1080,740,3393,0.8,3518,3.4
SAL10264,38,1950,615,252,1547,0.8,1183,2.3
SAL10265,52,1688,575,250,1199,0.8,1149,2.2
SAL10266,43,680,735,165,1687,0.8,1273,2.4
SAL10267,59,3033,954,400,2583,0.6,2583,2.2
SAL10268,34,1603,647,323,1612,0.8,1427,2.7
SAL10269,40,1580,689,368,1758,0.8,1487,2.6
SAL10270,51,1000,466,200,1145,0.9,841,2.4
SAL10271,39,3900,1573,650,4509,0.9,3308,2.5
SAL10272,41,1733,811,350,1625,0.8,1291,2.3
SAL10273,45,1493,642,390,1535,0.8,1266,2.4
SAL10274,48,2500,1449,420,3374,0.7,2750,2.6
SAL10275,32,1000,1149,325,2999,1,2749,3.5
SAL10276,48,2050,696,340,1870,0.8,1282,2.2
SAL10277,40,1955,745,380,2089,0.8,1739,2.6
SAL10278,48,1835,639,280,1478,0.8,1216,2.3
SAL10279,38,2156,642,380,1737,1,1454,2.6
SAL10280,52,1300,615,230,1666,0.8,1292,2.5
SAL10281,57,2650,1149,0,2750,0.9,2750,2.9
SAL10282,56,0,1249,0,1875,0.6,1499,1.5
SAL10283,46,3425,900,885,3114,0.8,2592,2.9
SAL10284,50,1138,533,245,1305,0.8,1020,2.3
SAL10285,56,2612,675,160,1874,0.8,1437,2.3
SAL10286,47,650,640,125,1687,0.7,1213,2.4
SAL10287,57,1205,614,230,1625,0.8,1050,2.1
SAL10288,52,2029,822,310,1699,0.7,1312,2.3
SAL10289,53,1083,543,300,1289,0.8,1007,2.3
SAL10290,56,1246,640,200,1416,0.7,1152,2.1
SAL10291,39,1896,677,325,1843,0.8,1625,2.8
SAL10292,43,1625,828,270,1906,0.8,1458,2.6
SAL10293,27,1270,1024,155,2624,0.8,2125,3
SAL10294,46,0,725,140,2250,0.8,1875,2.4
SAL10295,72,0,450,0,900,0.6,900,2
SAL10296,32,1950,891,240,1781,0.9,1843,3.4
SAL10297,42,2167,814,463,2408,0.8,2173,2.9
SAL10298,51,1500,580,250,1239,0.8,1227,2.6
SAL10299,37,2000,595,380,1620,1,1550,3
SAL10300,47,2383,855,200,2143,0.7,2036,2.6
SAL10301,38,1484,667,350,1587,0.8,1256,2.3
SAL10302,51,1733,720,525,1791,0.8,1583,2.7
SAL10303,40,1733,564,288,1541,0.8,1218,2.5
SAL10304,36,1950,785,420,2053,0.8,1788,2.7
SAL10305,37,2600,730,450,2194,0.8,2012,3.2
SAL10306,45,0,649,0,0,0,1125,0
SAL10307,58,1517,613,325,1313,0.7,1055,2.1
SAL10308,41,2700,1001,580,3052,0.8,2768,3
SAL10309,42,2500,965,580,2810,0.8,2466,2.9
SAL10310,56,2167,1062,575,2650,0.7,1843,2.1
SAL10311,45,1517,665,320,1447,0.7,1130,2.2
SAL10312,59,1684,652,340,1531,0.7,1211,2.2
SAL10313,54,1226,814,0,2124,0.7,1458,2.4
SAL10314,53,2383,710,0,2499,0.6,1375,2.2
SAL10315,44,1300,764,280,1947,0.8,1460,2.3
SAL10316,41,250,349,275,612,0.9,575,3.1
SAL10317,54,923,574,178,1276,0.7,981,2.2
SAL10318,50,3000,792,350,2643,0.8,2299,2.9
SAL10319,52,2217,942,495,2351,0.7,2145,2.5
SAL10320,51,2037,774,360,1024,0.7,1041,2
SAL10321,56,2167,782,520,2050,0.7,1522,2.3
SAL10322,43,900,1117,200,2360,0.7,2156,2.6
SAL10323,60,7700,1062,660,2374,0.5,2333,1.9
SAL10324,60,2210,667,307,1437,0.7,1140,2.3
SAL10325,33,0,817,200,2374,0.8,2250,3.3
SAL10326,48,1712,714,410,1625,0.9,1583,2.6
SAL10327,55,758,510,113,1625,0.6,1015,1.9
SAL10328,55,1809,860,180,1374,0.5,1208,1.9
SAL10329,43,3000,854,540,2586,0.9,2239,2.9
SAL10330,40,2500,701,460,2108,0.9,1858,2.9
SAL10331,41,2167,671,450,1833,0.9,1708,2.5
SAL10332,43,2134,787,340,1862,0.9,1704,2.6
SAL10333,40,2340,734,470,2119,1,1868,2.9
SAL10334,41,2800,731,450,2329,0.9,1892,2.7
SAL10335,37,5042,985,230,2150,0.7,2083,2.8
SAL10336,50,1300,717,195,1449,0.7,1359,2.3
SAL10337,43,759,662,108,1468,0.9,1325,2.5
SAL10338,55,500,949,0,2624,0.7,2250,2.4
SAL10339,30,1733,453,200,1045,0.9,900,2.8
SAL10340,56,1733,669,300,1542,0.8,1375,2.4
SAL10341,50,1820,928,550,2250,0.7,2250,2.6
SAL10342,42,2300,1024,225,2250,0.7,2124,2.4
SAL10343,59,0,949,0,1562,0.6,1666,2
SAL10344,48,1857,762,150,2083,0.8,1687,2.7
SAL10345,55,1300,563,215,1406,0.7,850,2
SAL10346,45,2167,647,340,1854,0.9,1375,2.8
SAL10347,43,1905,748,470,1865,0.8,1558,2.6
SAL10348,44,1403,930,280,2267,0.8,2017,2.7
SAL10349,53,3467,1562,1075,4600,0.7,4416,2.5
SAL10350,46,3308,1068,895,3003,0.8,2861,2.9
SAL10351,50,0,875,0,2249,0.6,1875,2.7
SAL10352,53,0,649,0,2399,0.6,2250,2.7
SAL10353,50,2000,675,220,1583,0.7,1312,2.2
SAL10354,43,2286,623,277,1562,1,1375,2.7
SAL10355,53,1229,417,225,1312,1,537,1.9
SAL10356,43,1850,928,200,2522,0.8,1843,2.7
SAL10357,49,2352,709,410,2164,0.8,1670,2.6
SAL10358,0,0,0,0,0,0,0,0
SAL10359,49,1472,682,130,1906,0.7,1781,2.6
SAL10360,43,1767,665,0,1625,1.1,1666,2.9
SAL10361,45,1300,827,285,2046,0.7,1447,2.3
SAL10362,46,1300,808,230,1781,0.8,1399,2.3
SAL10363,64,5200,575,120,1312,0.6,962,1.7
SAL10364,60,1062,481,200,1064,0.7,861,2
SAL10365,51,1143,575,0,1416,0.7,1333,2.4
SAL10366,61,1340,598,273,1406,0.8,1138,2.1
SAL10367,55,1300,487,450,1187,0.9,1187,2.6
SAL10368,33,607,958,195,2100,0.8,1625,2.8
SAL10369,47,1700,919,425,2437,0.7,2021,2.6
SAL10370,39,3000,725,400,2250,0.9,2113,3
SAL10371,54,585,451,150,980,0.7,785,2
SAL10372,40,650,850,250,1978,0.9,1833,3.1
SAL10373,45,4000,1658,700,4706,0.9,3560,2.4
SAL10374,63,1150,437,250,1374,0.7,624,1.8
SAL10375,40,1886,662,100,1562,1,1600,2.9
SAL10376,28,1700,678,380,1753,0.9,1467,2.6
SAL10377,48,0,762,270,2125,0.7,1624,2.3
SAL10378,36,2033,546,442,1639,1,1574,3.2
SAL10379,43,2000,756,185,2139,0.8,1958,2.8
SAL10380,51,1550,715,350,1843,0.7,1583,2.6
SAL10381,59,2167,675,0,1312,0.7,1416,2.3
SAL10382,23,1733,850,0,1375,1.1,1375,3.8
SAL10383,65,1680,600,378,1357,0.7,1073,2
SAL10384,45,2600,893,586,2946,0.8,2961,3.2
SAL10385,59,1080,900,0,3250,0.5,1375,2
SAL10386,44,2000,738,260,1922,0.7,1768,2.6
SAL10387,39,1304,722,380,1850,0.9,1583,2.8
SAL10388,46,1300,817,200,2025,0.7,1625,2.5
SAL10389,43,1600,687,350,1831,0.8,1412,2.5
SAL10390,43,2000,704,420,1994,0.8,1604,2.6
SAL10391,31,1733,554,310,1386,0.9,1172,2.9
SAL10392,52,1733,743,380,1820,0.7,1343,2
SAL10393,38,2167,575,360,2125,1.2,2374,3.8
SAL10394,59,2089,563,255,1312,0.9,725,1.9
SAL10395,50,1733,634,390,1783,0.8,1252,2.3
SAL10396,34,2094,756,400,1935,1,1772,2.9
SAL10397,47,369,703,172,1625,0.7,1416,2.7
SAL10398,44,2062,727,390,1963,0.8,1451,2.2
SAL10399,37,2167,815,470,2388,0.8,2387,3.4
SAL10400,33,1997,777,385,1890,0.8,1792,3.1
SAL10401,48,2156,863,335,2156,0.7,1825,2.5
SAL10402,43,3208,901,600,2744,0.8,2471,3.1
SAL10403,39,2044,1067,350,2833,0.8,2312,2.6
SAL10404,29,1375,819,0,2166,0.8,1437,3.1
SAL10405,51,1300,825,200,2166,0.7,1449,2
SAL10406,41,2230,933,420,2524,0.8,2169,2.7
SAL10407,53,1733,495,275,1593,0.8,1531,2.8
SAL10408,39,2600,890,385,2723,0.9,2750,3.4
SAL10409,38,1375,704,265,1798,0.7,1393,2.5
SAL10410,32,2167,935,410,2250,0.8,2027,2.8
SAL10411,37,625,762,124,1781,0.8,1312,2.8
SAL10412,67,0,450,0,0,0,450,1
SAL10413,51,2167,739,380,1865,0.7,1341,2.1
SAL10414,33,1796,713,420,1743,0.8,1605,2.9
SAL10415,57,1300,463,250,862,0.9,754,1.9
SAL10416,66,0,2374,0,0,0.5,1625,1
SAL10417,45,0,699,0,1625,0.7,1624,2.5
SAL10418,37,2000,942,325,2250,0.7,2083,2.8
SAL10419,62,2600,807,280,2125,0.7,1516,2
SAL10420,47,1950,810,315,2206,0.8,2036,2.9
SAL10421,41,1622,702,410,1659,0.7,1406,2.5
SAL10422,36,2100,1424,330,2749,0.9,2312,2.9
SAL10423,38,1300,1312,590,2874,0.7,2374,2.9
SAL10424,47,2134,762,470,2037,0.7,1767,2.6
SAL10425,43,3000,1031,0,2249,0.6,1937,2.7
SAL10426,56,1450,462,216,1624,1,1083,2.3
SAL10427,45,1733,687,550,1531,0.7,1531,2.9
SAL10428,56,2000,553,196,1389,0.8,1206,2.3
SAL10429,45,1400,850,270,1874,0.7,850,2.4
SAL10430,35,3800,1292,0,2750,0.9,2499,3
SAL10431,51,1244,537,335,1428,0.9,1343,2.5
SAL10432,51,1000,674,150,1374,0.8,1374,2.6
SAL10433,53,1300,612,275,1430,0.8,1181,2.3
SAL10434,51,542,818,220,1812,0.7,1125,2.4
SAL10435,39,1842,1228,225,3249,0.8,2399,2.8
SAL10436,43,758,1047,0,3250,0.7,1156,2.8
SAL10437,40,1083,587,200,1312,0.7,1218,2.6
SAL10438,41,1901,761,460,1942,0.8,1593,2.6
SAL10439,52,1734,406,180,1281,0.7,1041,2.1
SAL10440,37,867,492,160,1238,0.9,1115,2.9
SAL10441,43,1200,834,300,1893,0.7,1625,2.3
SAL10442,0,0,0,0,0,0,0,0
SAL10443,44,1549,833,200,2250,0.9,2083,2.8
SAL10444,51,1733,630,250,1625,0.7,1625,2.8
SAL10445,61,0,466,360,900,0.6,774,1.8
SAL10446,61,1400,575,140,1562,0.6,866,1.9
SAL10447,41,3055,575,335,1531,0.8,1625,2.6
SAL10448,43,1517,617,266,1438,0.8,1221,2.5
SAL10449,40,2000,920,440,2437,0.7,2217,2.8
SAL10450,36,2167,977,420,2723,0.8,2541,3.1
SAL10451,57,0,1625,280,0,0.5,1625,1
SAL10452,45,1583,615,310,1416,0.7,1121,2.2
SAL10453,49,4767,450,260,2249,0.7,2750,2.8
SAL10454,47,1083,744,217,1712,0.7,1279,2.1
SAL10455,49,2167,918,290,2166,0.9,2083,2.6
SAL10456,40,2644,1125,380,3227,0.7,2903,3
SAL10457,41,3250,939,610,2714,0.9,2594,2.9
SAL10458,51,1911,729,325,2115,0.7,1800,2.6
SAL10459,48,1788,1187,290,2349,0.8,2333,2.7
SAL10460,47,2059,1125,150,2999,0.7,1875,2.6
SAL10461,58,704,458,210,1010,0.7,654,1.8
SAL10462,34,3033,1382,660,3345,1,2543,2.1
SAL10463,33,3033,1574,675,3592,1.1,2783,2
SAL10464,26,0,743,0,0,0,0,0
SAL10465,35,3100,1309,660,3225,1.1,2375,2.1
SAL10466,42,1820,696,400,1729,0.7,1453,2.5
SAL10467,44,3000,1110,700,3169,0.8,3094,3
SAL10468,51,1820,681,445,1784,0.7,1410,2.5
SAL10469,37,1950,487,373,1463,1,1390,3.2
SAL10470,38,2038,570,450,1849,0.9,1930,3.6
SAL10471,53,650,593,200,1416,0.7,1083,2.5
SAL10472,43,2000,730,470,1968,0.8,1826,2.8
SAL10473,48,1478,687,250,1593,0.8,1437,2.6
SAL10474,39,1907,1057,150,2050,0.8,1843,3
SAL10475,53,2167,648,400,1810,0.7,1216,2.1
SAL10476,48,1287,780,250,1458,0.7,1395,2.6
SAL10477,0,0,0,0,0,0,0,0
SAL10478,0,0,0,0,0,0,0,0
SAL10479,50,1950,537,315,1275,0.7,1083,2.1
SAL10480,39,1918,767,400,2012,0.8,1496,2.4
SAL10481,29,0,1416,175,3249,0.7,2874,2.4
SAL10482,40,1400,782,150,2312,0.8,1375,2.5
SAL10483,0,0,0,0,0,0,0,0
SAL10484,33,1387,860,230,2100,0.9,2050,3.3
SAL10485,46,2124,797,350,1713,0.8,1647,2.3
SAL10486,40,2000,1125,200,2624,1.2,2624,3.3
SAL10487,44,517,568,126,1792,0.9,1274,2.6
SAL10488,66,1084,749,0,1375,0.5,1374,1.6
SAL10489,42,6666,575,80,1374,0.8,1125,3.3
SAL10490,30,0,924,250,2249,0.8,1625,2.8
