SAL_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
SAL13101,41,2429,695,280,2333,0.9,2150,2.8
SAL13102,30,2628,1025,530,2381,0.9,2345,3.3
SAL13103,36,1690,839,330,2116,0.7,1654,2.5
SAL13104,41,1517,1292,350,2999,0.8,2125,2.7
SAL13105,40,2799,935,420,2643,0.8,2796,3.4
SAL13106,47,2550,838,450,2525,0.8,2257,3.1
SAL13107,52,1625,547,292,1460,0.7,1008,2.3
SAL13108,44,2500,1017,380,2666,0.7,2583,3.4
SAL13109,50,0,754,0,1812,0.8,1833,2.7
SAL13110,46,2015,922,400,2562,0.8,2562,3.2
SAL13111,43,2734,1187,350,3250,0.8,2125,2.8
SAL13112,41,2748,1216,535,3125,0.8,2725,2.9
SAL13113,36,1336,893,175,2156,0.8,1895,2.9
SAL13114,39,1950,829,400,2219,0.8,1934,2.7
SAL13115,52,217,833,180,1562,0.7,1312,2.3
SAL13116,38,2167,974,290,2624,0.7,1875,2.4
SAL13117,72,4000,609,660,1297,0.7,968,2.1
SAL13118,41,9999,900,0,2562,0.7,1875,2.8
SAL13119,26,0,1125,0,1625,0.4,1499,2
SAL13120,44,1965,712,225,1833,0.8,1432,2.8
SAL13121,31,1989,807,400,1793,0.9,1616,2.8
SAL13122,33,1309,727,335,1636,0.8,1383,2.6
SAL13123,40,3190,1094,620,3396,0.8,3133,3.1
SAL13124,56,1600,575,228,1624,0.8,1187,2.4
SAL13125,36,2874,875,0,899,0.7,966,3.4
SAL13126,38,4000,1692,650,4686,0.9,3121,2.1
SAL13127,62,0,399,32,774,1.8,399,2.3
SAL13128,31,900,866,200,1437,0.9,1375,2.9
SAL13129,54,1320,612,205,1125,0.9,575,1.6
SAL13130,36,1509,612,975,1666,0.9,1874,2.9
SAL13131,40,2400,743,470,2210,0.9,1883,2.8
SAL13132,44,2500,846,495,2484,0.8,1926,2.7
SAL13133,54,0,383,0,1649,0.8,1649,2.5
SAL13134,55,0,900,0,1625,0.5,1624,1.8
SAL13135,64,0,350,0,1024,0.5,725,2
SAL13136,43,3250,854,460,2843,0.9,2276,2.9
SAL13137,56,1660,880,205,2124,0.6,1624,2
SAL13138,0,0,0,0,0,0,0,0
SAL13139,53,1452,899,230,2499,0.8,2499,2.3
SAL13140,44,0,875,260,1375,0.8,1374,2.8
